"","WS_c1.which.mclass....7...1."
"486","AT1G30890"
"487","AT1G30900"
"488","AT1G31050"
"489","AT1G31070"
"490","AT1G31280"
"491","AT1G31300"
"492","AT1G31330"
"493","AT1G31340"
"494","AT1G31660"
"495","AT1G31800"
"496","AT1G31810"
"497","AT1G31817"
"498","AT1G31830"
"499","AT1G31870"
"500","AT1G31950"
"501","AT1G32090"
"502","AT1G32190"
"503","AT1G32340"
"504","AT1G32410"
"505","AT1G32500"
"506","AT1G32530"
"507","AT1G32580"
"508","AT1G32700"
"509","AT1G32810"
"510","AT1G33040"
"511","AT1G33110"
"512","AT1G33230"
"513","AT1G33250"
"514","AT1G33360"
"515","AT1G33390"
"516","AT1G33520"
"517","AT1G33560"
"518","AT1G33750"
"519","AT1G33810"
"520","AT1G33990"
"521","AT1G34020"
"522","AT1G34040"
"523","AT1G34110"
"524","AT1G34180"
"525","AT1G34220"
"526","AT1G34260"
"527","AT1G34300"
"528","AT1G34355"
"529","AT1G34510"
"530","AT1G35190"
"531","AT1G35210"
"532","AT1G35250"
"533","AT1G35260"
"534","AT1G35460"
"535","AT1G35470"
"536","AT1G35510"
"537","AT1G35516"
"538","AT1G35620"
"539","AT1G35670"
"540","AT1G35780"
"541","AT1G36280"
"542","AT1G36310"
"543","AT1G36990"
"544","AT1G38131"
"545","AT1G42540"
"546","AT1G43130"
"547","AT1G43580"
"548","AT1G43700"
"549","AT1G43800"
"550","AT1G43860"
"551","AT1G43900"
"552","AT1G44575"
"553","AT1G44820"
"554","AT1G44835"
"555","AT1G44900"
"556","AT1G44910"
"557","AT1G44970"
"558","AT1G45332"
"559","AT1G46264"
"560","AT1G47210"
"561","AT1G47240"
"562","AT1G47250"
"563","AT1G47290"
"564","AT1G47330"
"565","AT1G47380"
"566","AT1G47480"
"567","AT1G47570"
"568","AT1G47640"
"569","AT1G47830"
"570","AT1G47840"
"571","AT1G48100"
"572","AT1G48160"
"573","AT1G48210"
"574","AT1G48430"
"575","AT1G48450"
"576","AT1G48540"
"577","AT1G48610"
"578","AT1G48840"
"579","AT1G48930"
"580","AT1G48950"
"581","AT1G48970"
"582","AT1G49050"
"583","AT1G49300"
"584","AT1G49410"
"585","AT1G49470"
"586","AT1G49540"
"587","AT1G49710"
"588","AT1G49720"
"589","AT1G49740"
"590","AT1G49820"
"591","AT1G49950"
"592","AT1G49960"
"593","AT1G49970"
"594","AT1G49980"
"595","AT1G50120"
"596","AT1G50140"
"597","AT1G50240"
"598","AT1G50360"
"599","AT1G50380"
"600","AT1G50410"
"601","AT1G50460"
"602","AT1G50560"
"603","AT1G50570"
"604","AT1G50620"
"605","AT1G50630"
"606","AT1G50670"
"607","AT1G50710"
"608","AT1G50730"
"609","AT1G50740"
"610","AT1G51350"
"611","AT1G51420"
"612","AT1G51540"
"613","AT1G51720"
"614","AT1G51730"
"615","AT1G51850"
"616","AT1G51950"
"617","AT1G52050"
"618","AT1G52160"
"619","AT1G52200"
"620","AT1G52280"
"621","AT1G52310"
"622","AT1G52320"
"623","AT1G52340"
"624","AT1G52380"
"625","AT1G52400"
"626","AT1G52540"
"627","AT1G52600"
"628","AT1G52670"
"629","AT1G52720"
"630","AT1G52730"
"631","AT1G52750"
"632","AT1G52780"
"633","AT1G53040"
"634","AT1G53165"
"635","AT1G53180"
"636","AT1G53190"
"637","AT1G53320"
"638","AT1G53380"
"639","AT1G53390"
"640","AT1G53430"
"641","AT1G53440"
"642","AT1G53470"
"643","AT1G53510"
"644","AT1G53710"
"645","AT1G53760"
"646","AT1G53780"
"647","AT1G53830"
"648","AT1G54090"
"649","AT1G54115"
"650","AT1G54130"
"651","AT1G54170"
"652","AT1G54220"
"653","AT1G54340"
"654","AT1G54360"
"655","AT1G54370"
"656","AT1G54440"
"657","AT1G54460"
"658","AT1G54510"
"659","AT1G54540"
"660","AT1G54570"
"661","AT1G54830"
"662","AT1G55120"
"663","AT1G55130"
"664","AT1G55150"
"665","AT1G55160"
"666","AT1G55250"
"667","AT1G55270"
"668","AT1G55320"
"669","AT1G55340"
"670","AT1G55460"
"671","AT1G55500"
"672","AT1G55530"
"673","AT1G55540"
"674","AT1G55610"
"675","AT1G55620"
"676","AT1G55730"
"677","AT1G55810"
"678","AT1G55880"
"679","AT1G55900"
"680","AT1G55920"
"681","AT1G56010"
