"","X","WS_c1.which.mclass....3...1."
"1162",1162,"AT2G14210"
"156",156,"AT1G09540"
"1596",1596,"AT2G43190"
"3145",3145,"AT5G04820"
"1501",1501,"AT2G37450"
"2257",2257,"AT3G50230"
"1928",1928,"AT3G14780"
"395",395,"AT1G23740"
"1563",1563,"AT2G40810"
"2535",2535,"AT4G06534"
"2296",2296,"AT3G52820"
"2283",2283,"AT3G52072"
"3842",3842,"AT5G58784"
"970",970,"AT1G74370"
"3699",3699,"AT5G49320"
"3115",3115,"AT5G03030"
"93",93,"AT1G05785"
"3725",3725,"AT5G50970"
"1681",1681,"AT3G01210"
"590",590,"AT1G51130"
"2932",2932,"AT4G31870"
"2123",2123,"AT3G27520"
"3571",3571,"AT5G41170"
"3257",3257,"AT5G10970"
"140",140,"AT1G08530"
"2815",2815,"AT4G24890"
"619",619,"AT1G52870"
"535",535,"AT1G44050"
"3508",3508,"AT5G35520"
"628",628,"AT1G53520"
"947",947,"AT1G73350"
"288",288,"AT1G16500"
"372",372,"AT1G22150"
"692",692,"AT1G57790"
"2286",2286,"AT3G52180"
"3501",3501,"AT5G28520"
"3139",3139,"AT5G04250"
"1746",1746,"AT3G04380"
"3500",3500,"AT5G28510"
"1987",1987,"AT3G18750"
"2791",2791,"AT4G23493"
"291",291,"AT1G16790"
"1017",1017,"AT1G77855"
"3818",3818,"AT5G57000"
"1603",1603,"AT2G43480"
"3388",3388,"AT5G19840"
"1737",1737,"AT3G03880"
"480",480,"AT1G31190"
"3076",3076,"AT5G01610"
"571",571,"AT1G49170"
"1892",1892,"AT3G13000"
"200",200,"AT1G11270"
"241",241,"AT1G13620"
"322",322,"AT1G18180"
"3567",3567,"AT5G40700"
"1755",1755,"AT3G04860"
"2580",2580,"AT4G11310"
"2069",2069,"AT3G24420"
"2293",2293,"AT3G52605"
"2872",2872,"AT4G28070"
"1062",1062,"AT1G80290"
"2711",2711,"AT4G18593"
"1448",1448,"AT2G34350"
"1107",1107,"AT2G02950"
"3932",3932,"AT5G65120"
"22",22,"AT1G02300"
"2772",2772,"AT4G22250"
"625",625,"AT1G53170"
"534",534,"AT1G43605"
"2048",2048,"AT3G22690"
"2477",2477,"AT4G01590"
"2826",2826,"AT4G25400"
"3260",3260,"AT5G11100"
"1380",1380,"AT2G30080"
"2231",2231,"AT3G48810"
"3854",3854,"AT5G59490"
"2752",2752,"AT4G21340"
"3220",3220,"AT5G08360"
"1813",1813,"AT3G07580"
"404",404,"AT1G24140"
"2679",2679,"AT4G16860"
"3404",3404,"AT5G21080"
"3267",3267,"AT5G11460"
"349",349,"AT1G20060"
"1757",1757,"AT3G04950"
"3235",3235,"AT5G09540"
"952",952,"AT1G73470"
"1138",1138,"AT2G06005"
"748",748,"AT1G61950"
"2668",2668,"AT4G16470"
"2411",2411,"AT3G60720"
"285",285,"AT1G16430"
"3184",3184,"AT5G06670"
"362",362,"AT1G21350"
"121",121,"AT1G06910"
"3000",3000,"AT4G36550"
"1589",1589,"AT2G42640"
"1863",1863,"AT3G10880"
"254",254,"AT1G14180"
"102",102,"AT1G06160"
"2652",2652,"AT4G15563"
"3614",3614,"AT5G43680"
"342",342,"AT1G19740"
"965",965,"AT1G74170"
"2929",2929,"AT4G31560"
"137",137,"AT1G08230"
"3600",3600,"AT5G42785"
"1",1,"AT1G01140"
"118",118,"AT1G06690"
"134",134,"AT1G07880"
"1221",1221,"AT2G19240"
"3304",3304,"AT5G14710"
"2732",2732,"AT4G19985"
"3937",3937,"AT5G65230"
"1820",1820,"AT3G08505"
"77",77,"AT1G05220"
"2351",2351,"AT3G57200"
"1208",1208,"AT2G18050"
"1616",1616,"AT2G44360"
"1521",1521,"AT2G38320"
"3561",3561,"AT5G40470"
"2138",2138,"AT3G28580"
"3663",3663,"AT5G47455"
"3301",3301,"AT5G14600"
"2350",2350,"AT3G57190"
"78",78,"AT1G05280"
"783",783,"AT1G63730"
"1291",1291,"AT2G23470"
"1830",1830,"AT3G09032"
"1284",1284,"AT2G23040"
"249",249,"AT1G13830"
"1977",1977,"AT3G18050"
"214",214,"AT1G12060"
"768",768,"AT1G62850"
"2256",2256,"AT3G50220"
"2685",2685,"AT4G17540"
"3598",3598,"AT5G42770"
"3550",3550,"AT5G39980"
"3041",3041,"AT4G39320"
"984",984,"AT1G75030"
"1082",1082,"AT2G01510"
"3841",3841,"AT5G58780"
"3887",3887,"AT5G61650"
"2659",2659,"AT4G15955"
"3921",3921,"AT5G64620"
"2771",2771,"AT4G22235"
"3753",3753,"AT5G52830"
"755",755,"AT1G62110"
"3543",3543,"AT5G39350"
"525",525,"AT1G35530"
"1946",1946,"AT3G16010"
"2305",2305,"AT3G53700"
"644",644,"AT1G54500"
"3632",3632,"AT5G44650"
"1804",1804,"AT3G07215"
"2933",2933,"AT4G31875"
"94",94,"AT1G05820"
"1060",1060,"AT1G80190"
"907",907,"AT1G70880"
"1953",1953,"AT3G16490"
"3009",3009,"AT4G36910"
"3648",3648,"AT5G45730"
"258",258,"AT1G14270"
"2418",2418,"AT3G61350"
"3117",3117,"AT5G03100"
"422",422,"AT1G26840"
"2378",2378,"AT3G59150"
"1372",1372,"AT2G29650"
"2516",2516,"AT4G03935"
"2770",2770,"AT4G22233"
"2314",2314,"AT3G54450"
"1487",1487,"AT2G36895"
"1015",1015,"AT1G77540"
"1289",1289,"AT2G23200"
"2153",2153,"AT3G29680"
"336",336,"AT1G19340"
"2857",2857,"AT4G27400"
"171",171,"AT1G10040"
"3572",3572,"AT5G41270"
"2442",2442,"AT3G63090"
"3048",3048,"AT4G39630"
"2379",2379,"AT3G59200"
"1089",1089,"AT2G01913"
"807",807,"AT1G64930"
"2343",2343,"AT3G56730"
"3579",3579,"AT5G41590"
"859",859,"AT1G68185"
"315",315,"AT1G17920"
"1259",1259,"AT2G21590"
"3050",3050,"AT4G39740"
"3073",3073,"AT5G01510"
"1085",1085,"AT2G01740"
"2843",2843,"AT4G26490"
"3639",3639,"AT5G45030"
"2249",2249,"AT3G49840"
"1366",1366,"AT2G29480"
"3493",3493,"AT5G27610"
"3374",3374,"AT5G19030"
"1619",1619,"AT2G44578"
"380",380,"AT1G22830"
"2987",2987,"AT4G35440"
"72",72,"AT1G05087"
"2503",2503,"AT4G03010"
"2200",2200,"AT3G47110"
"1862",1862,"AT3G10820"
"3222",3222,"AT5G08400"
"850",850,"AT1G67810"
"2583",2583,"AT4G11920"
"3928",3928,"AT5G64950"
"1780",1780,"AT3G06110"
"2184",2184,"AT3G46200"
"911",911,"AT1G71130"
"3637",3637,"AT5G44870"
"739",739,"AT1G61500"
"2112",2112,"AT3G27050"
"2012",2012,"AT3G20200"
"2916",2916,"AT4G30940"
"3886",3886,"AT5G61590"
"3428",3428,"AT5G23330"
"2158",2158,"AT3G42150"
"3883",3883,"AT5G61540"
"3020",3020,"AT4G38160"
"1988",1988,"AT3G18770"
"2331",2331,"AT3G55720"
"1660",1660,"AT2G47200"
"467",467,"AT1G30475"
"1872",1872,"AT3G11440"
"3696",3696,"AT5G49010"
"2541",2541,"AT4G08230"
"1949",1949,"AT3G16280"
"1278",1278,"AT2G22830"
"3524",3524,"AT5G37890"
"3059",3059,"AT4G40045"
"2885",2885,"AT4G28840"
"1358",1358,"AT2G28830"
"1276",1276,"AT2G22790"
"1502",1502,"AT2G37510"
"297",297,"AT1G17232"
"3464",3464,"AT5G25010"
"1577",1577,"AT2G41950"
"2599",2599,"AT4G13030"
"2514",2514,"AT4G03540"
"3248",3248,"AT5G10400"
"194",194,"AT1G11120"
"2015",2015,"AT3G20270"
"3158",3158,"AT5G05580"
"3569",3569,"AT5G40860"
"3279",3279,"AT5G12300"
"3003",3003,"AT4G36670"
"951",951,"AT1G73440"
"2912",2912,"AT4G30640"
"1339",1339,"AT2G27140"
"343",343,"AT1G19840"
"1504",1504,"AT2G37540"
"1367",1367,"AT2G29500"
