"","X","phyD_FLT_c1.which.mclass....2...1."
"2173",2173,"AT4G11547"
"1011",1011,"AT2G19385"
"2554",2554,"AT4G38280"
"1859",1859,"AT3G47980"
"1975",1975,"AT3G56820"
"1047",1047,"AT2G21440"
"3108",3108,"AT5G48640"
"6",6,"AT1G01350"
"1451",1451,"AT3G04680"
"480",480,"AT1G47820"
"2034",2034,"AT3G61100"
"2321",2321,"AT4G24026"
"3321",3321,"AT5G63910"
"1483",1483,"AT3G06345"
"142",142,"AT1G09100"
"2976",2976,"AT5G37480"
"2788",2788,"AT5G14420"
"2838",2838,"AT5G18280"
"14",14,"AT1G01770"
"3391",3391,"ATMG00080"
"2301",2301,"AT4G22240"
"989",989,"AT2G17840"
"2006",2006,"AT3G59300"
"1948",1948,"AT3G54690"
"2194",2194,"AT4G14020"
"10",10,"AT1G01630"
"1619",1619,"AT3G14400"
"3388",3388,"AT5G67630"
"2783",2783,"AT5G14180"
"3277",3277,"AT5G61210"
"1508",1508,"AT3G07565"
"2388",2388,"AT4G28400"
"1492",1492,"AT3G06860"
"2614",2614,"AT5G03415"
"2892",2892,"AT5G22940"
"1083",1083,"AT2G24490"
"2746",2746,"AT5G11950"
"3366",3366,"AT5G66070"
"2962",2962,"AT5G35100"
"833",833,"AT1G78420"
"1165",1165,"AT2G31510"
"1669",1669,"AT3G17430"
"65",65,"AT1G04960"
"1522",1522,"AT3G09100"
"2692",2692,"AT5G08340"
"2684",2684,"AT5G07910"
"1076",1076,"AT2G24040"
"1450",1450,"AT3G04615"
"618",618,"AT1G61690"
"3272",3272,"AT5G60940"
"1444",1444,"AT3G03890"
"1936",1936,"AT3G53850"
"787",787,"AT1G75080"
"2186",2186,"AT4G13360"
"3266",3266,"AT5G60300"
"392",392,"AT1G29120"
"373",373,"AT1G27930"
"502",502,"AT1G49032"
"295",295,"AT1G21740"
"2826",2826,"AT5G17070"
"684",684,"AT1G68150"
"3253",3253,"AT5G59430"
"2573",2573,"AT4G39640"
"813",813,"AT1G76700"
"1614",1614,"AT3G14050"
"992",992,"AT2G18193"
"1968",1968,"AT3G55850"
"1861",1861,"AT3G48050"
"2254",2254,"AT4G17720"
"1580",1580,"AT3G12500"
"3028",3028,"AT5G42250"
"98",98,"AT1G06620"
"3248",3248,"AT5G58930"
"950",950,"AT2G15695"
"1212",1212,"AT2G35900"
"2891",2891,"AT5G22920"
"3327",3327,"AT5G64220"
"1722",1722,"AT3G21510"
"1251",1251,"AT2G38640"
"2258",2258,"AT4G18230"
"250",250,"AT1G17730"
"2002",2002,"AT3G58810"
"3037",3037,"AT5G42940"
"782",782,"AT1G74260"
"1319",1319,"AT2G42890"
"2162",2162,"AT4G10360"
"2380",2380,"AT4G27950"
"2488",2488,"AT4G34215"
"1090",1090,"AT2G25650"
"1124",1124,"AT2G27590"
"23",23,"AT1G02335"
"3355",3355,"AT5G65760"
"314",314,"AT1G22970"
"1210",1210,"AT2G35780"
"758",758,"AT1G72416"
"3331",3331,"AT5G64340"
"469",469,"AT1G45050"
"2829",2829,"AT5G17530"
"25",25,"AT1G02680"
"2369",2369,"AT4G27585"
"2806",2806,"AT5G15580"
"1581",1581,"AT3G12560"
"2312",2312,"AT4G23050"
"3257",3257,"AT5G59560"
"1666",1666,"AT3G17205"
"2745",2745,"AT5G11920"
"565",565,"AT1G55205"
"713",713,"AT1G69840"
"246",246,"AT1G17490"
"1784",1784,"AT3G27050"
"1583",1583,"AT3G12670"
"2134",2134,"AT4G06701"
"3337",3337,"AT5G64730"
"2700",2700,"AT5G09250"
"2918",2918,"AT5G24670"
"3082",3082,"AT5G47180"
"587",587,"AT1G57610"
"613",613,"AT1G61010"
"2953",2953,"AT5G27950"
"2275",2275,"AT4G19490"
"981",981,"AT2G17520"
"707",707,"AT1G69450"
"1422",1422,"AT3G02820"
"1967",1967,"AT3G55840"
"2359",2359,"AT4G26720"
"2619",2619,"AT5G03700"
"2285",2285,"AT4G20300"
"1352",1352,"AT2G45240"
"47",47,"AT1G04030"
"2951",2951,"AT5G27820"
"3",3,"AT1G01170"
"19",19,"AT1G02150"
"3351",3351,"AT5G65530"
"2070",2070,"AT4G00300"
"2516",2516,"AT4G35905"
"449",449,"AT1G35190"
"1151",1151,"AT2G30060"
"2110",2110,"AT4G03030"
"1759",1759,"AT3G25110"
"2476",2476,"AT4G33565"
"686",686,"AT1G68370"
"2939",2939,"AT5G26622"
"843",843,"AT1G79380"
"2234",2234,"AT4G16444"
"2703",2703,"AT5G09390"
"2192",2192,"AT4G13640"
"479",479,"AT1G47710"
"1752",1752,"AT3G24518"
"791",791,"AT1G75340"
"1629",1629,"AT3G14930"
"2291",2291,"AT4G21090"
"2381",2381,"AT4G28025"
"1145",1145,"AT2G29080"
"1973",1973,"AT3G56740"
"2458",2458,"AT4G32830"
"779",779,"AT1G74020"
"2608",2608,"AT5G03160"
"474",474,"AT1G47310"
"2575",2575,"AT4G39950"
"1306",1306,"AT2G41760"
"2755",2755,"AT5G12330"
"2848",2848,"AT5G19130"
"2744",2744,"AT5G11910"
"532",532,"AT1G52500"
"2228",2228,"AT4G16210"
"3385",3385,"AT5G67270"
"1502",1502,"AT3G07320"
"2215",2215,"AT4G15340"
"3152",3152,"AT5G52380"
"3136",3136,"AT5G51280"
"1459",1459,"AT3G05040"
"3123",3123,"AT5G49950"
"1420",1420,"AT3G02740"
"1348",1348,"AT2G45000"
"1639",1639,"AT3G15290"
"669",669,"AT1G67080"
"3027",3027,"AT5G42220"
"2079",2079,"AT4G01040"
"1312",1312,"AT2G42160"
"2903",2903,"AT5G23710"
"2985",2985,"AT5G38220"
"1432",1432,"AT3G03320"
"1132",1132,"AT2G28330"
"1471",1471,"AT3G05670"
"2982",2982,"AT5G37850"
"48",48,"AT1G04070"
"847",847,"AT1G79730"
"2645",2645,"AT5G05460"
"1911",1911,"AT3G51980"
"870",870,"AT1G80700"
"1518",1518,"AT3G08780"
"1257",1257,"AT2G38860"
"841",841,"AT1G79260"
"2568",2568,"AT4G39270"
"1061",1061,"AT2G22510"
"99",99,"AT1G06630"
"2169",2169,"AT4G10970"
"452",452,"AT1G35430"
"3283",3283,"AT5G61670"
"872",872,"AT1G80890"
"1419",1419,"AT3G02650"
"1546",1546,"AT3G10540"
"61",61,"AT1G04860"
"1448",1448,"AT3G04480"
"1488",1488,"AT3G06550"
"3348",3348,"AT5G65380"
"2799",2799,"AT5G15120"
"2269",2269,"AT4G19003"
"2618",2618,"AT5G03570"
"3383",3383,"AT5G67070"
"1017",1017,"AT2G19570"
"862",862,"AT1G80370"
"2160",2160,"AT4G10300"
"1640",1640,"AT3G15351"
"865",865,"AT1G80480"
"677",677,"AT1G67580"
"196",196,"AT1G13530"
"1719",1719,"AT3G21250"
"3228",3228,"AT5G57685"
"3254",3254,"AT5G59450"
"2633",2633,"AT5G04510"
"1371",1371,"AT2G46680"
"1406",1406,"AT3G01820"
"799",799,"AT1G75980"
"448",448,"AT1G34320"
"3148",3148,"AT5G52170"
"914",914,"AT2G04550"
"1557",1557,"AT3G11100"
"2763",2763,"AT5G13090"
"1717",1717,"AT3G21220"
"2862",2862,"AT5G20070"
"1696",1696,"AT3G19900"
"612",612,"AT1G60960"
"1072",1072,"AT2G23380"
"409",409,"AT1G30300"
"1199",1199,"AT2G34710"
"3122",3122,"AT5G49910"
"2532",2532,"AT4G36890"
"2809",2809,"AT5G15830"
"1086",1086,"AT2G24755"
"363",363,"AT1G27510"
"1075",1075,"AT2G23980"
"1592",1592,"AT3G13040"
"2327",2327,"AT4G24340"
"1180",1180,"AT2G32710"
"60",60,"AT1G04810"
"2776",2776,"AT5G13570"
"1313",1313,"AT2G42230"
"699",699,"AT1G69010"
"1123",1123,"AT2G27580"
"515",515,"AT1G50500"
"2207",2207,"AT4G14910"
"1181",1181,"AT2G32850"
"1815",1815,"AT3G33530"
"1921",1921,"AT3G52470"
"2647",2647,"AT5G05540"
"896",896,"AT2G02740"
"804",804,"AT1G76340"
"2941",2941,"AT5G26742"
"863",863,"AT1G80420"
"1226",1226,"AT2G36850"
"554",554,"AT1G54170"
"668",668,"AT1G67060"
"2566",2566,"AT4G39170"
"55",55,"AT1G04530"
"3114",3114,"AT5G49360"
"2545",2545,"AT4G37660"
"313",313,"AT1G22930"
"689",689,"AT1G68550"
"2368",2368,"AT4G27490"
"2314",2314,"AT4G23410"
"1566",1566,"AT3G11700"
"15",15,"AT1G01920"
"671",671,"AT1G67120"
"3340",3340,"AT5G64880"
"1333",1333,"AT2G43950"
"1204",1204,"AT2G35110"
"2637",2637,"AT5G04930"
"2003",2003,"AT3G58840"
"2810",2810,"AT5G16210"
"2751",2751,"AT5G12110"
"2394",2394,"AT4G28703"
"3177",3177,"AT5G54840"
"1618",1618,"AT3G14350"
"1174",1174,"AT2G32170"
"1135",1135,"AT2G28430"
"2723",2723,"AT5G10650"
"3377",3377,"AT5G66730"
"74",74,"AT1G05220"
"2704",2704,"AT5G09400"
"2236",2236,"AT4G16490"
"494",494,"AT1G48610"
"905",905,"AT2G03390"
"3174",3174,"AT5G54380"
"1526",1526,"AT3G09690"
"125",125,"AT1G08350"
"2725",2725,"AT5G10730"
"1307",1307,"AT2G41790"
"1293",1293,"AT2G40830"
"2995",2995,"AT5G39410"
"3284",3284,"AT5G61840"
"2396",2396,"AT4G28710"
"2589",2589,"AT5G01620"
"1638",1638,"AT3G15210"
"2802",2802,"AT5G15180"
"2634",2634,"AT5G04540"
"3386",3386,"AT5G67480"
"3223",3223,"AT5G57460"
"3038",3038,"AT5G42970"
"788",788,"AT1G75130"
"2556",2556,"AT4G38360"
"255",255,"AT1G18260"
"1176",1176,"AT2G32560"
"3392",3392,"ATMG01360"
"2674",2674,"AT5G06800"
"1253",1253,"AT2G38660"
"2294",2294,"AT4G21410"
"2919",2919,"AT5G24710"
"348",348,"AT1G26440"
"2650",2650,"AT5G05640"
"1879",1879,"AT3G49490"
"2792",2792,"AT5G14680"
"146",146,"AT1G09795"
"1039",1039,"AT2G20940"
"286",286,"AT1G21050"
"3118",3118,"AT5G49650"
"2308",2308,"AT4G22550"
"350",350,"AT1G26690"
"2694",2694,"AT5G08380"
"549",549,"AT1G54060"
"1927",1927,"AT3G52860"
"1530",1530,"AT3G09795"
"3165",3165,"AT5G53530"
"1224",1224,"AT2G36740"
"1323",1323,"AT2G43080"
"2159",2159,"AT4G10280"
"1052",1052,"AT2G22000"
"382",382,"AT1G28310"
