"","phyD_FLT_c1.which.mclass....5...1."
"428","AT4G23220"
"429","AT4G23496"
"430","AT4G23720"
"431","AT4G24000"
"432","AT4G24150"
"433","AT4G24972"
"434","AT4G25010"
"435","AT4G25040"
"436","AT4G25470"
"437","AT4G25490"
"438","AT4G25850"
"439","AT4G26040"
"440","AT4G26150"
"441","AT4G26520"
"442","AT4G26530"
"443","AT4G26701"
"444","AT4G27580"
"445","AT4G27810"
"446","AT4G28560"
"447","AT4G29030"
"448","AT4G31805"
"449","AT4G33320"
"450","AT4G33390"
"451","AT4G33930"
"452","AT4G34470"
"453","AT4G35010"
"454","AT4G36260"
"455","AT4G36570"
"456","AT4G36925"
"457","AT4G37750"
"458","AT4G37860"
"459","AT4G39000"
"460","AT4G39330"
"461","AT4G39510"
"462","AT5G00895"
"463","AT5G02330"
"464","AT5G02900"
"465","AT5G03130"
"466","AT5G03204"
"467","AT5G03515"
"468","AT5G03695"
"469","AT5G03715"
"470","AT5G03790"
"471","AT5G04010"
"472","AT5G04015"
"473","AT5G04120"
"474","AT5G04245"
"475","AT5G04615"
"476","AT5G04690"
"477","AT5G04815"
"478","AT5G05280"
"479","AT5G05295"
"480","AT5G07055"
"481","AT5G07060"
"482","AT5G07165"
"483","AT5G07180"
"484","AT5G07955"
"485","AT5G08000"
"486","AT5G08765"
"487","AT5G08975"
"488","AT5G09020"
"489","AT5G09215"
"490","AT5G09570"
"491","AT5G09610"
"492","AT5G11140"
"493","AT5G11400"
"494","AT5G13930"
"495","AT5G14400"
"496","AT5G15250"
"497","AT5G15360"
"498","AT5G15380"
"499","AT5G15420"
"500","AT5G15500"
"501","AT5G16500"
"502","AT5G16580"
"503","AT5G16740"
"504","AT5G17040"
"505","AT5G17100"
"506","AT5G17320"
"507","AT5G17700"
"508","AT5G17720"
"509","AT5G18030"
"510","AT5G18560"
"511","AT5G20310"
"512","AT5G20790"
"513","AT5G21960"
"514","AT5G22150"
"515","AT5G24110"
"516","AT5G24206"
"517","AT5G24770"
"518","AT5G24950"
"519","AT5G25320"
"520","AT5G26673"
"521","AT5G26930"
"522","AT5G27010"
"523","AT5G28370"
"524","AT5G28660"
"525","AT5G35870"
"526","AT5G36240"
"527","AT5G36970"
"528","AT5G37150"
"529","AT5G37460"
"530","AT5G37640"
"531","AT5G38000"
"532","AT5G38240"
"533","AT5G38430"
"534","AT5G38520"
"535","AT5G39330"
"536","AT5G39750"
"537","AT5G40260"
"538","AT5G41109"
"539","AT5G41310"
"540","AT5G41900"
"541","AT5G42120"
"542","AT5G43490"
"543","AT5G44306"
"544","AT5G44316"
"545","AT5G44495"
"546","AT5G44570"
"547","AT5G44760"
"548","AT5G44850"
"549","AT5G45450"
"550","AT5G45850"
"551","AT5G46130"
"552","AT5G46500"
"553","AT5G46670"
"554","AT5G47260"
"555","AT5G48050"
"556","AT5G50130"
"557","AT5G50580"
"558","AT5G50610"
"559","AT5G51030"
"560","AT5G51480"
"561","AT5G51750"
"562","AT5G52490"
"563","AT5G52930"
"564","AT5G52940"
"565","AT5G53100"
"566","AT5G53600"
"567","AT5G54060"
"568","AT5G54330"
"569","AT5G54450"
"570","AT5G54620"
"571","AT5G54630"
"572","AT5G55340"
"573","AT5G55800"
"574","AT5G56510"
"575","AT5G57380"
"576","AT5G58910"
"577","AT5G59370"
"578","AT5G60130"
"579","AT5G60780"
"580","AT5G61180"
"581","AT5G62230"
"582","AT5G62470"
"583","AT5G62510"
"584","AT5G63450"
"585","AT5G63580"
"586","AT5G63750"
"587","AT5G66150"
"588","ATMG00260"
"589","ATMG00760"
"590","ATMG00910"
