RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G03610,372.2766787,437.0646363,441.7762684,308.2376512,163.0185729,239.2537156,239.2724566,518.7961505,466.7455549,121.799691,110.0358335,107.9705864
AT1G04080,468.7164344,439.536292,290.0554446,386.3282613,554.7709779,575.1233939,496.0352206,252.7641678,410.0815351,436.2918569,440.1706818,591.337713
AT1G04140,429.4615821,552.3468904,527.3000609,487.7574925,452.4885218,766.066215,475.731708,603.3943615,479.2013401,551.3878426,519.0132374,614.8091609
AT1G04170,603.0520746,655.815558,540.7173023,780.0600553,595.8540607,560.3987772,647.4677689,430.9178551,554.6433802,646.5895157,866.3229983,928.7877587
AT1G04183,390.2484841,534.1334824,329.8522344,405.0253606,735.6900429,696.4905553,682.375507,370.1985539,592.25939,543.0606997,603.753131,474.2021761
AT1G04190,355.5241531,404.1332117,429.4795227,467.2798987,400.8618525,407.7299319,506.9623284,256.0187385,415.6090019,412.3534079,642.9957298,761.3676227
AT1G04250,466.7295635,320.4847375,895.5138703,913.6859667,539.5513741,750.5573141,528.686111,892.3151935,727.933461,992.3168571,871.541824,606.0176835
AT1G04340,573.0867107,598.3923049,581.8713696,672.8340127,835.9887194,487.2967095,679.516802,658.9189685,657.3748828,639.6614193,964.0192246,837.351676
AT1G04430,538.8362927,411.0000568,481.1517185,527.3444324,403.2809553,655.9795718,552.8044837,480.6964303,473.9729642,606.1157508,622.4596668,692.3337919
AT1G04440,320.3071953,446.694165,505.0213779,408.9855001,230.6559628,222.0531318,262.5389532,549.6353234,353.8402944,340.2811194,281.7716928,283.0123723
AT1G04510,370.9966109,420.4723233,390.3344931,363.9956327,596.5865693,591.6717001,578.2255248,228.0769478,445.9930137,322.6796441,593.6857737,613.4144986
AT1G04630,626.3276582,429.0731777,654.5596605,728.0389549,596.663353,527.353049,498.0550145,632.6041372,628.3533297,484.2817786,762.8418463,635.3418507
AT1G04680,628.8753632,360.2836565,779.8548836,588.3940265,538.2066292,440.1679167,742.2046379,617.4125625,537.1685482,554.5057042,731.0761724,538.0504333
AT1G05147,401.4790872,743.978581,177.6378136,29.76287333,14.43497501,0,21.71308153,380.3126773,430.5254164,8.648147954,0.691952724,13.15133267
AT1G05205,524.7713218,518.9325918,430.6311407,549.7364603,523.2599989,365.0080336,418.9018522,470.6930485,539.7044491,475.2469247,557.5473493,455.7438905
AT1G05250,21.851753,276.1307473,74.29821366,986.5652018,0,0,32.0542683,504.5020533,232.3674477,287.9441026,116.7948246,51.06450999
AT1G05340,345.6725892,350.6644164,351.7415791,94.51399155,242.6811189,220.3567944,191.7565985,446.8381421,236.8406899,81.48805913,42.31671037,19.58011018
AT1G05575,117.9814051,172.1318985,269.3027267,229.2450947,43.92242,34.34497757,56.6070216,857.2912272,210.7199799,139.0896897,29.11841365,35.96186546
AT1G05720,703.2474574,694.5735016,793.071337,814.4330671,653.5255428,580.6725679,592.9521153,794.5149538,744.7300157,670.8907074,718.21913,679.8008445
AT1G06040,250.1626934,262.1819433,91.68205371,32.59775743,208.605349,232.3346486,104.6454264,941.1195105,1023.471542,78.67600866,28.72189878,21.84555499
AT1G06110,577.4899904,617.5321054,659.3394839,606.3692836,370.0987036,780.636576,548.0690714,769.5087022,613.7316953,740.5685581,404.3526228,371.3888565
