RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G16170,454.9330423,436.1468664,398.108439,411.0699207,428.3835673,699.7969725,481.7756172,603.0009209,721.6808611,551.017302,414.8182191,640.7745741
AT1G16240,634.768332,577.675239,840.4755008,647.5734005,525.577417,663.2140555,771.7369738,950.5280052,1033.074478,535.2316213,630.3166806,688.8006507
AT1G16350,598.8646438,441.5751929,485.8481132,657.8324802,635.214806,486.7181319,554.6391198,399.7526461,403.6245157,559.3317985,473.186852,412.9376727
AT1G16460,493.4442894,506.2471076,439.309051,401.1706427,415.8744909,386.2827614,543.1452784,540.0466496,438.8793185,391.0453408,383.5661535,439.214242
AT1G16470,672.6663022,569.4065932,563.4801065,739.4266839,675.2660198,872.9403465,587.4181714,1146.838271,979.8972018,684.7111022,638.2127815,640.0322777
AT1G16560,826.2343821,833.7037817,666.1824145,944.845579,659.7002309,549.2631182,603.0055717,691.4932707,623.6795456,590.8629439,437.5765025,616.1506023
AT1G16740,554.2205894,513.5738171,512.6689496,511.2677298,793.8079543,862.9198228,554.1400943,882.2561586,827.4198547,615.5714422,752.9686739,502.2715981
AT1G16840,291.2194245,263.8241219,436.7269238,358.3107157,240.0172859,620.9461847,255.7031617,377.4295388,519.2680798,258.3953932,229.9015731,276.9963163
AT1G16880,399.8806799,368.3476377,530.5582169,454.6460218,518.7114146,532.5485362,430.857278,726.5847816,641.785045,487.8500985,505.7783703,508.1378823
AT1G17180,980.3977173,890.6104359,656.3065403,1158.593384,542.6730383,770.1181015,1052.941555,590.7709374,599.9719358,307.4466912,484.4702867,1023.66888
AT1G17190,549.9214451,371.431439,537.3816958,502.7805401,116.3305031,377.2344972,387.9233201,637.3864768,510.5971604,194.6455235,155.0004371,196.074557
AT1G17290,833.3089554,636.2211042,577.4117135,788.8237895,723.8829304,635.4034028,676.5392181,461.5978904,487.7446939,576.9005063,441.2519512,524.467564
AT1G17370,804.3129709,717.5304356,680.5308188,690.8232003,740.7245674,643.6871877,702.1617297,317.7396554,544.4976161,732.8569293,888.7798611,616.1899205
AT1G17470,579.0080453,685.3686579,541.8224346,603.1239423,672.7952472,472.7470512,681.6774252,503.2596575,505.2843728,576.2395137,638.156128,574.2897652
AT1G17890,897.5172266,745.5513226,700.586653,904.4807441,620.0702691,626.9289689,487.6058666,662.267938,670.5984835,648.39067,293.1718228,465.8781818
AT1G18070,598.1459037,567.2926611,524.6794002,565.244953,623.2095401,499.1685911,461.089873,472.352588,536.371714,693.6301056,570.3598038,571.2059555
AT1G18450,710.8566208,544.4808864,542.4909963,657.0630364,627.1824916,354.3501073,812.9501389,398.1780464,524.0877335,604.0171083,717.5924109,613.1832515
AT1G18640,531.6416862,477.577461,563.1461741,541.775861,683.9621317,594.7890503,600.0192298,744.0990113,624.9483551,630.6707198,543.2854496,535.7269218
AT1G18720,386.3591621,327.9266942,504.4465317,378.5431972,219.2114635,771.0539489,282.7504632,516.8353596,617.618912,294.958221,231.9377238,426.3710755
AT1G18740,147.2327116,126.3826817,647.7249484,163.0318673,83.35782975,658.4780862,410.6298603,109.6668577,121.7195505,151.4313172,80.31408009,124.9044596
AT1G18800,490.710984,468.3443379,528.6057554,565.2095728,509.6250379,537.7263136,387.4323,670.3440977,604.5286556,559.9509397,722.2565601,470.655218
AT1G18880,423.0619652,675.7331708,405.6879997,342.918641,315.9240936,218.3396938,428.8982263,487.6391319,632.5119637,591.6831125,532.1392627,1059.193356
AT1G19120,470.4821737,431.7334342,461.0326794,544.9820712,464.1246358,537.9818936,565.5496505,786.9011247,626.0836399,522.4824957,549.2528028,505.4566163
AT1G19130,608.4801985,507.3684959,519.3879379,582.908904,575.0458652,760.8097824,573.3816756,814.7480964,695.5309441,505.0389932,409.197108,511.7349306
AT1G19310,280.4262739,321.7151347,388.474086,302.093851,266.9527275,516.9957773,334.5605191,302.0254361,365.0514426,232.7526333,183.5164802,256.9633029
