RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT3G14230,713.2797206,625.0006174,645.256679,315.7719091,435.0355958,439.5337088,471.1432205,410.4178793,697.2848178,415.6767018,323.2874051,372.2781438
AT3G14260,380.9603252,981.4502065,614.451313,19.81755533,372.1945038,348.3020767,193.931202,452.4226566,588.8327595,1.662040783,91.73665016,350.1477124
AT3G14280,532.319101,1370.346476,858.3897473,44.72184851,485.736583,385.9050042,431.5831579,663.3037934,643.8615518,11.61307765,62.30783209,253.8005691
AT3G14310,687.9074227,752.091523,670.3735804,997.8110602,872.6253299,1155.080092,748.6299889,806.8579127,784.6237128,804.5506863,1192.643775,1021.700344
AT3G14430,751.0898979,1184.188821,994.8636464,719.3514081,765.8964205,795.3192148,649.0622096,947.7774343,655.6555073,914.6587264,907.8035891,826.3179528
AT3G15000,969.1609856,810.1207209,922.0008475,1426.169495,976.1995208,972.1869151,984.2643519,530.395282,713.2909277,1408.770817,1519.030372,1180.242251
AT3G15353,928.2105372,2055.178969,1207.002041,72.25740833,688.3471338,730.3396422,1706.686681,1067.198883,2724.928342,83.33918372,245.233947,1853.714657
AT3G15357,467.2556094,519.3708475,380.0527615,829.2606709,590.132245,422.1716717,342.3305803,350.7485319,352.3939113,1001.051301,1208.278718,793.8233891
AT3G15480,661.6142777,694.2002264,757.6097253,564.0713247,599.3950899,564.2931646,514.6914852,551.8336232,591.1853779,589.7727205,519.3120451,605.2124595
AT3G15580,1004.521826,1739.568263,1192.505258,483.3843441,963.466975,927.6917331,552.3651684,1255.083705,958.9248481,486.1551574,390.8882754,654.2258495
AT3G15660,1251.376914,1301.79496,1218.482195,1116.991695,935.8024957,855.921325,1140.876854,1048.439583,1249.716249,1284.337062,1076.1511,954.7464494
AT3G15730,1252.817276,820.2794653,1108.00173,1017.455246,871.7655395,1242.166125,1271.554991,1106.175813,1176.145343,1041.350282,1179.012655,1211.429747
AT3G15810,976.1562004,558.4721012,933.3116651,643.3072434,478.5782037,364.6968514,341.4014031,1052.983782,749.8406364,653.7107365,559.106614,634.8854622
AT3G16240,1138.260559,880.0819451,999.5925125,403.8011487,334.429164,353.6023254,510.6703133,1314.2549,537.0960917,323.7059553,237.1589685,144.4027
AT3G16310,599.1934052,533.1939618,525.4692919,784.4993231,658.1244216,472.0661816,723.4376962,514.4292726,611.4542994,842.4175154,551.4116031,593.1430187
AT3G16460,752.5061359,693.4190118,711.6665033,980.5445618,510.9783135,750.8798002,416.3287525,1255.720384,534.4283372,795.3983311,776.4129239,895.4929577
AT3G16780,902.5026582,718.4818128,798.15974,1161.712881,853.2181817,707.8687651,800.1028541,699.7028431,559.3979373,1447.314954,1613.718117,1180.712706
AT3G16950,692.2186512,336.4160669,498.408125,827.1781171,666.0542893,522.5280629,823.7070382,511.6312982,536.1360056,991.1752198,1183.719149,616.2253547
AT3G17100,1280.111073,1162.566493,1194.56681,890.071071,1442.494139,1469.947393,970.204212,1240.267884,1035.389101,636.7124962,699.31662,639.4546757
AT3G17160,707.6381397,656.4386531,654.2422117,815.9540325,824.4096041,940.9219461,908.9061222,770.6000467,532.0378099,962.1393753,1108.315737,1203.715258
AT3G17185,473.7976679,1570.329454,1049.450096,376.4677204,763.4587015,545.3594332,431.2737232,1195.350671,541.4889828,289.8094867,302.9479852,423.8557597
AT3G17240,834.4389755,421.6212446,600.0309192,688.1755057,393.283632,650.1798374,516.2097835,653.1985189,523.2418901,601.1431546,813.335298,586.5910662
AT3G17300,845.3712331,1051.586485,866.1255872,1053.461239,962.9154929,569.7885736,842.23118,820.1517973,672.5025085,1256.347146,977.737358,844.521305
AT3G17440,552.9910363,603.5813839,635.3218875,548.2481195,746.1126364,608.7243991,646.5968298,764.9072983,547.1930446,456.3050264,521.6053568,360.4144713
AT3G17465,522.6572469,438.9544313,429.9752764,744.5724198,547.2493058,347.3454761,631.3473215,460.7620627,435.6887305,882.1998132,799.4413975,481.4554906
AT3G17780,1030.173371,921.3429751,1009.109766,683.0912056,519.995914,612.1666143,608.2787329,856.5312022,726.9776091,681.2705759,648.4678992,629.7887449
AT3G17810,759.7467791,352.5088405,604.0997173,416.9049033,305.7297371,345.7838948,229.0957751,849.4322759,557.2687301,232.7316526,199.2795942,175.2175335
AT3G18600,513.1487095,295.582891,417.227827,943.8475242,595.8412596,586.4112502,584.8466561,333.8349394,395.4463819,1077.951947,1058.25078,821.8143655
AT3G18760,578.1246571,647.8348387,634.5543526,737.1855539,652.1467201,399.6572683,548.3730384,618.6897739,410.0574434,949.123869,916.3772742,893.389444
AT3G18820,869.13386,829.4435745,802.4034775,668.2232449,829.6261736,942.3147138,458.0686276,911.0198812,747.4141295,434.08506,636.1813996,549.8762197
AT3G18990,660.0637535,770.0021645,647.4286738,589.1553003,858.1369386,777.4893523,592.0439118,671.8644285,560.9949902,562.3490002,662.0749788,527.6943158
AT3G19030,396.8697156,916.3940265,573.2000299,245.5863594,1181.674739,1372.284817,361.4969351,2771.338987,690.7625525,61.69147427,387.2750859,438.2211393
AT3G19450,689.4318796,604.7157603,660.2386279,539.5630788,597.9288654,682.0871824,377.168311,1222.855724,975.8894897,540.3761621,604.2396673,403.692184
AT3G19910,702.1953143,578.222634,664.0599517,584.5967262,497.7448845,546.1234964,729.0074139,636.1440527,831.3978432,659.5699417,538.9920557,448.3777667
AT3G20060,690.0772091,947.1431044,930.9008635,590.6010746,744.2416703,721.1509261,704.5330328,660.3597352,973.5269016,608.2687907,665.1271912,648.1686983
AT3G20370,1235.177507,530.7170009,1168.635216,995.6314669,332.2764486,193.1200544,514.4884904,1087.644651,718.3701232,1098.672386,1111.663684,785.3265915
AT3G20380,143.0284568,1108.888259,448.6840985,38.00322172,579.6821109,526.6715279,32.94426128,363.4366388,207.4726906,16.65979287,65.38925159,203.8471324
AT3G20510,1308.095199,797.247939,1206.113764,431.6056087,687.3268832,794.2889788,547.9517222,615.0992643,843.3015129,456.1549072,365.5224976,426.918608
AT3G20670,591.6278931,856.8292578,671.8505754,389.3661286,585.3719456,793.3789389,727.5294925,645.778294,403.9822452,561.6767567,572.8873556,780.3441189
AT3G20770,603.3121939,500.7181233,610.145388,521.9154618,615.0278623,634.9799495,779.4228247,671.7528334,817.7204369,525.8715504,680.136681,708.1404853
AT3G21350,546.1684623,788.8112895,615.6294362,496.4720792,674.1788997,493.0514862,572.3871627,477.3652991,619.1048258,478.8325317,452.2128212,376.872353
AT3G21550,449.2263361,840.1520869,528.1769947,44.80099429,112.8827497,499.6214913,0,418.676356,795.5272004,46.53314501,142.2391271,638.8536408
AT3G21770,846.1586723,1275.921636,856.1066663,448.7826281,1042.570698,894.62271,228.1833903,842.8266833,911.5260971,761.6076713,1032.982563,653.432564
AT3G21865,649.5085345,591.1047213,609.6424178,581.338102,556.2113925,571.3203341,604.7768959,585.8893831,493.4864534,633.9711063,675.3549814,551.1166468
AT3G22200,811.0664826,495.5140382,637.353972,323.4563624,605.8642778,570.9650047,361.5412535,590.1576284,633.344538,164.313517,373.0612167,429.3662935
AT3G22240,417.49037,2517.254757,1156.715768,166.1954411,1199.030652,1078.610461,78.00300464,1305.872488,306.9490059,52.88447508,141.0036253,392.6338456
AT3G22290,695.7086937,589.6387748,761.0347067,547.0983456,703.771995,569.7626132,598.6168378,481.3494468,701.7035816,546.7926188,496.5313796,536.6817229
AT3G22320,965.9386146,1103.163077,1053.140841,1060.804824,1156.896347,828.801421,888.5719435,1026.926828,1056.938615,1234.219496,1223.395065,1251.147736
AT3G22380,426.7952186,580.6328938,487.7841774,561.5732671,565.7210158,763.5073665,734.9558219,402.062687,641.7453189,576.7819985,579.2879283,953.2074518
AT3G22600,958.9203457,888.2717471,903.5999206,736.7442757,1076.552492,1375.515227,57.65245724,791.4180359,819.3413035,337.3608056,364.3115446,362.622537
AT3G22620,831.4985002,769.5184121,926.8197066,627.3566431,812.0541984,1091.789332,12.89607414,604.9407392,705.2110145,251.4942016,295.919284,336.7416728
AT3G22630,1088.336361,1109.301607,1167.083301,958.7217634,855.6375941,758.9675088,910.9380238,840.9808922,713.9840055,1171.203719,1102.81059,967.2467754
AT3G22660,668.0147433,398.8504359,648.3982781,915.4088145,504.4269304,505.2698556,635.4163596,400.0266583,464.4417992,894.5156256,1274.962687,729.1744575
AT3G22890,738.1004864,860.7744917,885.4362625,600.2028184,767.0782722,674.2699076,744.9506131,701.3740538,807.5320608,516.2872161,1084.469815,452.8904082
AT3G22960,748.2034357,430.714176,699.4567202,791.7767133,616.0759426,795.157726,811.6757312,532.5900628,618.30161,773.6051889,888.6749131,790.0873967
AT3G23000,616.4240663,1148.414156,859.687794,692.3694455,724.3285176,678.2871001,675.3164918,724.0894223,531.6705021,657.7313088,623.9518936,581.9300809
AT3G23175,2130.377817,1694.973662,2003.004732,963.2901665,943.0785966,288.7599214,117.2696444,1259.833973,550.6743364,193.1334167,198.6418728,271.4181518
AT3G23190,1534.220206,774.9673236,1210.895273,619.9212174,656.3120133,444.3613429,59.67129362,931.8508906,294.0402678,69.85082846,202.291538,251.897048
AT3G23430,539.5056698,1986.725813,880.7828438,161.067652,1112.700639,1305.33277,1041.940186,1028.66847,1546.4133,60.12851917,475.6550553,1285.233111
AT3G23490,675.3820717,885.0799624,670.6077259,504.5710611,721.716856,520.9346842,497.9719352,813.590461,651.1849903,457.0625021,427.5838529,576.5019079
AT3G23620,567.6181347,602.637505,594.0890697,926.767299,618.8521666,599.7955019,664.3669327,485.5764421,465.8958648,1050.407645,1131.647485,790.8051995
AT3G23800,665.1980318,775.8019512,600.0178717,261.2704624,996.6003174,967.7312825,356.7073309,1158.966645,818.7315717,285.1970484,334.0261232,472.9476573
AT3G23820,1121.164789,781.520173,920.3419004,1035.338537,774.1672926,872.4500709,600.5746763,1333.639979,1028.968158,925.0092252,1029.829484,766.5788729
AT3G23940,833.6423273,293.3050844,690.068464,1098.814789,509.6037125,415.8417467,952.1205351,293.0915616,522.083435,1060.534243,1187.437675,663.3691759
AT3G23990,1013.823318,422.5798474,710.8643184,1663.20528,781.8661953,886.8527646,917.4252128,507.7534382,594.0271106,1558.097438,1774.742075,1242.01142
AT3G24080,648.7816531,748.4348281,662.7707654,868.5795718,804.8857201,800.1417345,671.0626682,526.7351442,550.6861662,1214.631468,1161.227969,915.0338228
AT3G24100,884.3500992,1774.773909,1250.387041,683.7777022,1152.35733,993.1947309,705.473475,1062.42588,824.1230682,906.6672614,728.9832818,940.7295531
AT3G24160,1050.196579,569.5970471,956.2256089,727.8462554,588.8819852,801.8831247,625.9116684,781.7125175,712.5597011,678.6060422,728.2243282,865.7326656
AT3G25040,1069.911362,849.8955672,982.9813277,765.298214,848.9209772,756.2136453,671.1551297,817.9253957,928.7073525,946.9542096,774.0572351,828.517274
AT3G25190,1729.801504,727.0654865,1291.15342,94.80251546,608.1049805,815.2828066,1002.308678,555.6545363,1286.145269,17.45557482,321.8629549,696.2372802
AT3G25230,612.6120605,358.8847355,547.6601091,915.9995257,522.998669,559.0072358,661.4815004,394.5387092,438.0904378,916.6946028,1157.734721,744.2626873
AT3G25530,838.5767564,707.710783,741.532518,634.8324472,634.6879248,710.4155801,529.8855352,497.4181977,530.692439,716.3183989,602.4000532,588.5631201
AT3G25860,1047.88851,400.3006534,910.2329962,1099.536323,613.7520006,669.9895532,764.6309984,475.908598,611.5031677,1114.629437,1260.209337,623.0175197
AT3G25910,747.6527179,667.9706866,619.9629046,527.9107522,522.7017292,600.1108788,750.8357409,704.1197235,735.6118062,634.1226248,409.905487,629.0017806
AT3G25930,608.6464002,1632.287676,928.9939149,314.0208316,2042.211483,1735.676923,154.9847167,2095.352635,536.2087669,143.9407154,372.9732148,486.4473561
AT3G26780,675.7461282,334.6625052,457.9202689,844.3182461,649.2498107,537.4180321,525.6559708,507.5199952,576.6234354,819.2809494,885.5277117,472.2846175
AT3G27090,973.1664299,935.3922111,1034.677941,809.3915239,742.1684562,817.4457718,1005.783672,1171.650237,1127.631723,676.8611698,689.8904849,655.5188342
AT3G27360,660.7467392,827.9581721,638.7998488,510.0964013,512.5849838,741.3766837,728.2801212,680.2042918,333.206653,606.4799918,633.8667974,577.2153987
AT3G27380,1173.338488,609.0850805,929.6803842,714.1212962,654.2562908,573.1657104,822.091546,861.5633054,815.5440599,692.8697914,642.7383518,545.1952369
AT3G27740,757.6841373,384.5429295,596.3456318,844.9828448,548.3032509,465.7152312,710.0217202,323.3215809,534.8783304,971.7604187,892.4731819,577.2438812
AT3G27770,1303.703103,1182.559117,1221.287203,731.3742436,1041.449413,840.4098685,878.8205362,1231.875051,1455.936366,793.757384,680.4154686,630.030505
AT3G27890,761.586218,987.2067808,792.5209464,446.7887561,1094.84505,700.2006886,286.300937,901.5704542,551.0256784,274.8266066,402.2898818,444.2519947
AT3G28740,1626.856614,570.5796285,1236.677758,142.5970262,621.2757097,662.0883041,1164.59796,1276.264077,1544.065782,121.6877482,340.6057388,691.5280013
AT3G28860,468.4990658,502.6646464,534.1216269,1032.896151,811.5405798,1210.210749,1085.256787,665.0549973,866.9565215,1001.117246,1123.964585,1051.692404
AT3G29180,648.3344956,678.5372376,528.7234646,541.8053632,717.4229033,647.1735128,573.9542958,812.61688,988.9778286,464.9333304,405.7850101,551.2751158
AT3G29360,1131.342568,486.3675173,909.0817243,757.442299,696.0117587,965.262168,761.9964744,814.5172229,690.8826585,801.0892176,1127.192356,666.4773247
AT3G32980,1067.089236,1223.392608,928.3538329,366.3705405,1164.094767,1247.244071,407.8234949,968.3161151,859.1901066,344.1703348,638.3048913,1160.702312
AT3G43800,655.1458624,552.4024065,632.0065673,221.5397801,527.6775261,482.9488442,148.7741059,605.3117841,402.5419489,184.5685613,256.7757536,178.1630818
AT3G44100,575.827401,659.3704252,611.4269585,287.6783039,438.055022,356.0669761,315.463874,726.1519509,486.1117035,318.9950918,276.3808642,443.2791595
AT3G44310,959.3187168,711.5154649,658.7954774,278.3589029,434.4250811,469.5764726,905.4592408,1200.255382,959.6889102,371.8404568,550.1540865,422.2705055
AT3G44750,768.2000416,870.671189,788.2182421,1264.630593,761.3859622,761.2540266,725.9893493,623.1064025,469.1019916,1572.466509,1780.996604,1305.676614
AT3G45310,1410.895675,754.022691,1164.677001,551.2461821,841.1252617,850.276863,781.4112307,1065.810792,1186.232182,760.0685671,857.3986925,1090.169258
AT3G45600,631.4287221,676.2569305,712.1308189,419.0686323,421.4901724,197.4035078,380.7543207,763.7660733,523.604513,419.2951976,350.9815547,504.3682301
AT3G45930,633.0708098,741.3450059,651.8934282,582.720252,621.2767288,745.5503757,750.7239671,584.5210424,340.3369705,696.1526443,947.436232,920.6129915
AT3G46000,1018.025371,1454.652989,1174.505723,560.6770275,944.3140629,951.0148909,597.8374285,1234.712675,981.838683,635.0101423,645.2558706,773.6975917
AT3G46060,1351.546439,1175.443939,1228.553924,1082.039456,1025.724222,1082.127374,1042.103357,993.7991893,1041.846327,1068.309412,1119.464215,857.064735
AT3G46130,896.1392415,1234.502585,1157.154426,38.44689308,551.3058818,693.0770466,674.1189999,311.3444517,1940.494714,22.07689555,101.4510406,704.5078043
AT3G46280,663.3097361,432.5660189,497.2694428,262.8468816,330.3056024,227.7209139,73.98130548,909.919281,205.0496244,42.52687272,163.0746684,360.6541201
AT3G46320,1006.421936,873.5076822,1009.543505,768.0514814,941.9336708,1019.784836,1146.50284,844.7126519,486.8129368,994.65938,1286.053218,1395.877586
AT3G46900,184.0125571,1994.612203,752.2961364,326.7772721,1297.456708,460.7378856,40.58430701,1340.435056,332.502684,0.829415104,153.7547478,204.6727969
AT3G46940,499.2671084,496.3910089,482.3350867,617.5191189,468.7759894,448.5059573,421.4310829,281.5617052,237.2536312,748.4923133,881.3929203,689.9252259
AT3G47510,380.1974872,2020.224762,962.2286944,20.59647036,211.9195224,213.8158161,149.9654331,207.0577346,574.9338074,2.483253799,36.99774073,74.67164577
AT3G47520,1258.601923,551.6455242,1005.67859,936.118907,848.9880451,808.6828166,810.1177335,717.3627765,678.1911701,1123.073442,1382.146042,913.02471
AT3G47833,1037.926132,1499.358385,1088.137799,836.3125643,981.7383752,820.0180916,619.2275918,1270.286269,721.4675617,975.9093035,886.1651576,904.7614377
AT3G47836,593.1613539,955.5603244,696.333472,644.7785372,760.5743774,685.0563178,432.9719671,708.8612278,444.8359682,751.6912131,710.8543017,814.9635596
AT3G48000,1419.785724,787.9493923,1264.07727,998.4587441,881.4901264,547.5618299,892.146932,791.8938981,1191.824075,1487.766066,1251.114982,983.7398652
AT3G48530,668.5858685,591.5638096,574.1880532,372.5117714,493.6831578,410.570355,589.5224586,642.6199734,818.439165,280.9050138,366.0315824,288.9100684
AT3G48560,700.5695608,371.473543,540.6169828,883.7261131,429.0676677,521.5256875,857.78796,456.1194546,532.4270556,965.7871549,822.0817854,636.4068204
AT3G48680,676.1628391,662.1980548,699.2634161,620.4442103,463.0841533,484.8667597,603.1384713,570.7918769,532.8241432,704.0811578,551.6969275,517.200361
AT3G48750,814.2102676,815.4479593,846.3670014,658.3423589,589.8427922,541.7712331,596.3349293,569.0456422,804.3792065,559.9326299,493.9832444,403.6221567
AT3G48870,378.594199,243.4290028,392.2918711,887.2941394,375.4593449,421.7563375,586.7842013,331.0143162,412.2059967,687.5771831,871.9909913,594.4282202
AT3G48890,840.5851817,922.7622133,794.9544031,508.1121173,742.6111541,614.6435544,460.3933436,777.1880933,648.6526222,548.2900506,504.8228478,590.9017503
AT3G49100,492.4809823,676.2639327,546.0821547,553.0805983,589.1008798,466.2131829,477.418775,585.2409337,399.3796181,729.8553764,704.6021702,547.6966933
AT3G49680,612.3472745,386.5941253,530.2924175,872.0868826,456.41497,385.8534061,696.3874371,397.0464448,577.4011142,901.8902002,945.1689217,600.6164758
AT3G49720,921.2811121,498.3900642,742.8467188,717.5377137,526.6379325,712.5190974,652.8887622,524.8551443,746.7764217,667.0848712,769.6785337,661.4155572
AT3G49780,725.2903737,2050.246923,1183.65796,50.99555126,347.0406095,231.0316882,354.6013533,1741.156949,1130.302766,6.668633151,21.37544819,130.1130793
AT3G49845,931.3565416,809.1117425,947.7989338,504.1532005,595.9319696,471.068898,219.1708724,1223.769792,443.205001,316.7242672,133.3416146,99.66197957
