TAIR,SYMBOL,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_dark.
AT4G36690,ATU2AF65A,-0.2655554,-0.000173806,0.03240649,0.2396091,-0.1730899,-0.07218447,-0.2008879,0.2653816,0.2979619,0.5051646,0.09246553,0.1933709,0.06466752,-0.03968992,0.2258655,0.2501167,0.5156721,0.1293169,0.3948723,-0.2012141,0.06434135
AT4G36930,SPT,-0.6102538,0.01454092,0.3573225,-0.2189907,-0.1112318,-0.1215658,0.1512101,0.6247947,0.9675762,0.3912631,0.499022,0.488688,0.7614639,-0.2442841,0.3659697,-0.2806079,0.3296459,-0.1615011,0.4487527,-0.3541258,0.256128
AT4G37010,CEN2,0.9622436,0.3140667,0.6619188,0.8883086,1.310782,1.471218,3.082469,-0.6481769,-0.3003247,-0.07393494,0.3485385,0.508974,2.120225,0.9790078,0.01676422,1.170862,0.2086182,0.9963273,0.03408374,1.838058,0.8758145
AT4G37540,LBD39,-0.5800141,-0.7062611,-0.8201619,-0.2953977,-0.5620441,0.08460285,-0.4185603,-0.126247,-0.2401478,0.2846165,0.01796996,0.664617,0.1614539,-0.2714071,0.308607,0.1413755,0.7213896,-0.7867081,-0.206694,-0.5545922,0.02542195
AT4G37590,MEL1,-0.3749468,0.1394669,-0.1533257,0.2433726,-0.1171279,-0.3836686,-0.1565067,0.5144137,0.2216211,0.6183194,0.2578189,-0.008721806,0.2184401,-0.3816317,-0.006684856,-0.05268191,0.3222649,-0.2424856,0.1324612,-0.4037012,-0.0287544
AT4G38220,AQI,0.8271556,0.01572999,0.07689586,-0.2208282,0.1358366,0.000195375,0.2225708,-0.8114256,-0.7502598,-1.047984,-0.691319,-0.8269603,-0.6045849,-0.1213419,-0.9484975,-0.08403678,-0.9111924,0.03336688,-0.7937887,0.4589392,-0.3682164
AT4G40060,ATHB-16,0.3184922,-0.213543,0.7660248,0.4414013,0.952655,0.8806707,1.950018,-0.5320351,0.4475326,0.1229092,0.6341628,0.5621785,1.631526,0.3931186,0.07462638,0.5618307,0.2433386,0.4298272,0.111335,1.133956,0.8154635
AT5G02260,ATEXP9,0.1391271,-0.1610161,-0.180492,0.5366022,1.276278,0.7161801,0.3226892,-0.3001431,-0.319619,0.3974751,1.137151,0.577053,0.1835621,-0.4953682,-0.6344952,-0.6238723,-0.7629994,-0.44015,-0.5792771,0.5722137,0.4330866
AT5G03455,ACR2,0.08879208,-0.1306573,0.534658,-0.3102441,0.2983962,-0.03318397,0.4206941,-0.2194493,0.4458659,-0.3990362,0.2096042,-0.1219761,0.331902,0.5377052,0.4489131,0.395429,0.3066369,-0.0288691,-0.1176612,0.4056327,0.3168407
AT5G04470,SIM,0.9041212,-0.2086247,0.7785299,-0.2434482,0.9434215,0.6046114,2.097831,-1.112746,-0.1255913,-1.147569,0.03930032,-0.2995098,1.19371,0.6205298,-0.2835913,0.4925073,-0.4116138,-0.09246754,-0.9965887,1.578209,0.6740878
AT5G05080,ATUBC22,-0.2319551,-0.03920311,0.2433665,-0.1525211,-0.149407,-0.1070622,0.1545822,0.1927519,0.4753215,0.07943397,0.08254808,0.1248928,0.3865373,0.08863225,0.3205873,0.02724149,0.2591965,-0.1113889,0.1205662,-0.1946039,0.03735119
AT5G05950,MEE60,-0.2339293,-0.2112818,0.07979604,-0.5655598,-0.01406351,-0.1966142,0.08736288,0.02264745,0.3137253,-0.3316305,0.2198658,0.03731511,0.3212922,0.4771401,0.7110694,0.09773655,0.3316658,-0.3191528,-0.08522347,-0.05012244,0.1838068
AT5G07220,ATBAG3,0.3826432,0.1332238,0.2965051,0.5982454,0.9495795,1.041302,1.952467,-0.2494194,-0.08613814,0.2156022,0.5669362,0.658659,1.569824,0.1852739,-0.1973693,0.5005636,0.1179203,0.4165186,0.03387534,0.8990157,0.5163725
AT5G07350,AtTudor1,-0.1887518,0.382417,-0.1338934,0.4116079,-0.2577711,0.1171027,-0.6684219,0.5711688,0.05485847,0.6003598,-0.06901926,0.3058545,-0.4796701,-0.1643088,0.02444306,-0.1821573,0.006594559,0.1322197,0.3209715,-0.2354671,-0.04671526
AT5G07460,ATMSRA2,0.4442297,0.6595809,0.1648151,-0.0598009,-0.4474665,0.4589016,1.007621,0.2153512,-0.2794146,-0.5040306,-0.8916962,0.01467188,0.5633918,0.8046492,0.3604195,0.08557009,-0.3586596,1.039321,0.5950908,1.05713,0.6129001
AT5G09978,PEP7,0.4289936,0.1013545,-0.1498461,0.7470233,0.989253,1.520842,3.90067,-0.3276391,-0.5788397,0.3180297,0.5602594,1.091848,3.471677,0.8727402,0.4437466,0.4659564,0.03696282,0.4226631,-0.006330528,1.26737,0.8383767
AT5G09980,PROPEP4,-1.032173,-0.4031629,-0.2619732,-1.498446,-1.246238,-1.191711,-0.9572774,0.6290098,0.7701996,-0.4662737,-0.2140649,-0.1595378,0.07489533,-0.3775312,0.6546415,-0.525409,0.5067637,-0.1466118,0.885561,-0.4524759,0.5796969
AT5G10510,AIL6,-0.6718546,-0.195351,-0.004017835,-0.06053481,0.06353851,-0.1751842,-0.1046373,0.4765036,0.6678367,0.6113198,0.7353931,0.4966704,0.5672172,-0.4784431,0.1934114,-0.5484853,0.1233692,-0.02120149,0.6506531,-0.6108227,0.0610319
AT5G10840,EMP1,-0.01092483,0.1289548,-0.2140767,-0.0733669,0.06678735,0.1108087,-0.3210566,0.1398797,-0.2031519,-0.06244208,0.07771217,0.1217335,-0.3101318,-0.4494098,-0.438485,-0.3839448,-0.37302,-0.08636393,-0.07543911,-0.1019254,-0.09100062
AT5G13180,ANAC083,0.6220888,-0.1392496,0.08495171,-0.02962452,0.1446025,0.3797084,1.156722,-0.7613384,-0.5371371,-0.6517133,-0.4774863,-0.2423804,0.534633,0.4683657,-0.153723,0.5252338,-0.09685498,0.3177691,-0.3043196,0.7283281,0.1062393
AT5G14920,GASA14,-0.9944982,-0.5717059,-0.5528878,-0.3444722,-0.5117082,0.3289335,-0.3339919,0.4227923,0.4416105,0.650026,0.48279,1.323432,0.6605064,-0.3328428,0.6616554,-0.8233735,0.1711247,0.1875142,1.182012,-1.030034,-0.03553541
AT5G15490,UGD3,0.6207677,0.02363931,-0.6904109,-0.885887,-0.3554282,-0.1567908,-0.3709428,-0.5971284,-1.311179,-1.506655,-0.9761959,-0.7775585,-0.9917105,-0.5064316,-1.127199,-0.3028945,-0.9236622,-0.4516479,-1.072416,-0.3389134,-0.9596811
AT5G16370,AAE5,0.9275404,0.1412127,2.028577,1.49924,2.235552,1.400004,2.640811,-0.7863278,1.101037,0.5716998,1.308012,0.4724635,1.71327,0.2505796,-0.6769608,0.799541,-0.1279994,0.7092935,-0.218247,1.525534,0.5979938
AT5G18480,PGSIP6,0.07177988,0.1369154,-0.2673748,0.000513153,-0.1616493,-0.105802,0.004444664,0.06513553,-0.3391547,-0.07126673,-0.2334291,-0.1775819,-0.06733522,-0.04849877,-0.1202787,-0.02746119,-0.09924108,0.06719588,-0.004583999,-0.106462,-0.1782419
AT5G18650,MIEL1,0.6137362,0.1082116,1.254672,0.3192411,1.06237,0.439648,1.344713,-0.5055246,0.6409361,-0.2944952,0.448634,-0.1740883,0.730977,0.2642302,-0.349506,0.5991348,-0.0146014,0.1283082,-0.485428,0.8278739,0.2141377
AT5G20900,JAZ12,0.2595325,0.1409909,0.7097591,0.2830821,0.8713866,0.4138393,1.122096,-0.1185415,0.4502266,0.0235496,0.6118542,0.1543069,0.862564,0.1659522,-0.09358026,0.3082326,0.04870016,0.1605392,-0.09899325,0.8755093,0.6159768
AT5G20960,AAO1,-0.1179481,-0.1652661,0.2324514,1.056014,0.3745243,0.2209648,0.2101306,-0.04731796,0.3503995,1.173962,0.4924724,0.338913,0.3280788,0.4185596,0.5365077,0.5509224,0.6688705,0.3651,0.4830482,0.005422841,0.123371
AT5G22000,RHF2A,0.335999,0.02464882,0.8291852,0.915263,0.9827541,0.7472976,1.687193,-0.3113502,0.4931862,0.579264,0.6467551,0.4112986,1.351194,0.3418938,0.005894816,0.6376968,0.3016978,0.422955,0.08695605,0.7003103,0.3643113
AT5G23220,NIC3,2.670381,1.647521,1.159773,-0.2726162,0.9662082,1.253525,2.327789,-1.02286,-1.510608,-2.942997,-1.704173,-1.416856,-0.3425916,-0.4017338,-3.072115,-0.1252289,-2.79561,1.688415,-0.9819661,2.115738,-0.5546428
AT5G24090,ATCHIA,0.6811553,0.6266214,1.466543,0.6472008,1.294,0.7367675,2.610526,-0.05453389,0.7853872,-0.0339545,0.6128451,0.05561217,1.929371,0.1681985,-0.5129568,0.4413621,-0.2397932,1.068425,0.3872699,1.580089,0.8989339
AT5G25540,CID6,0.2671485,0.1555874,0.2852264,0.01286687,0.2852181,0.09286066,0.6901395,-0.1115611,0.01807787,-0.2542817,0.01806954,-0.1742879,0.422991,0.6639742,0.3968257,0.3296189,0.06247043,0.1326851,-0.1344634,0.4864006,0.2192521
AT5G37510,CI76,0.1711495,0.2177012,0.006966255,0.1150788,-0.07669172,0.01402718,-0.4215524,0.04655173,-0.1641832,-0.05607065,-0.2478412,-0.1571223,-0.5927019,-0.2850996,-0.4562491,-0.09360121,-0.2647507,-0.2481948,-0.4193443,-0.2157864,-0.3869358
AT5G38470,RAD23D,-0.06694754,0.129024,-0.1360399,-0.5334966,-0.4679078,-0.2045035,-0.589639,0.1959715,-0.06909235,-0.4665491,-0.4009603,-0.1375559,-0.5226915,-0.01123466,0.05571288,-0.1339755,-0.06702795,-0.3535541,-0.2866066,-0.1462232,-0.07927566
AT5G38630,ACYB-1,0.03375731,0.0324035,-0.07746004,-0.3237914,0.1356779,0.02821517,0.1659907,-0.001353809,-0.1112173,-0.3575488,0.1019206,-0.005542139,0.1322334,0.05775899,0.02400168,-0.1073394,-0.1410967,-0.02325183,-0.05700914,0.006874906,-0.02688241
