"","WS_FLT_c1.which.mclass....2...1."
"690","AT2G22740"
"691","AT2G22840"
"692","AT2G23000"
"693","AT2G23080"
"694","AT2G23150"
"695","AT2G23290"
"696","AT2G23360"
"697","AT2G23380"
"698","AT2G23940"
"699","AT2G23950"
"700","AT2G24000"
"701","AT2G24130"
"702","AT2G24170"
"703","AT2G24230"
"704","AT2G24290"
"705","AT2G24330"
"706","AT2G24390"
"707","AT2G24520"
"708","AT2G24540"
"709","AT2G24545"
"710","AT2G24630"
"711","AT2G24640"
"712","AT2G24762"
"713","AT2G25010"
"714","AT2G25100"
"715","AT2G25190"
"716","AT2G25250"
"717","AT2G25270"
"718","AT2G25290"
"719","AT2G25560"
"720","AT2G25620"
"721","AT2G25640"
"722","AT2G25650"
"723","AT2G25790"
"724","AT2G26110"
"725","AT2G26210"
"726","AT2G26260"
"727","AT2G26380"
"728","AT2G26440"
"729","AT2G26600"
"730","AT2G26660"
"731","AT2G26740"
"732","AT2G26830"
"733","AT2G27285"
"734","AT2G27360"
"735","AT2G27920"
"736","AT2G27960"
"737","AT2G28270"
"738","AT2G28510"
"739","AT2G28720"
"740","AT2G28810"
"741","AT2G28880"
"742","AT2G28890"
"743","AT2G29050"
"744","AT2G29090"
"745","AT2G29470"
"746","AT2G29485"
"747","AT2G29500"
"748","AT2G29530"
"749","AT2G29720"
"750","AT2G30160"
"751","AT2G30320"
"752","AT2G30460"
"753","AT2G30530"
"754","AT2G30550"
"755","AT2G30720"
"756","AT2G30766"
"757","AT2G30880"
"758","AT2G31010"
"759","AT2G31150"
"760","AT2G31240"
"761","AT2G31270"
"762","AT2G31320"
"763","AT2G31440"
"764","AT2G31450"
"765","AT2G31490"
"766","AT2G31680"
"767","AT2G31955"
"768","AT2G32010"
"769","AT2G32120"
"770","AT2G32150"
"771","AT2G32180"
"772","AT2G32220"
"773","AT2G32295"
"774","AT2G32320"
"775","AT2G32415"
"776","AT2G32530"
"777","AT2G32710"
"778","AT2G32760"
"779","AT2G32860"
"780","AT2G33290"
"781","AT2G33490"
"782","AT2G33790"
"783","AT2G33850"
"784","AT2G34260"
"785","AT2G34330"
"786","AT2G34410"
"787","AT2G34610"
"788","AT2G34730"
"789","AT2G35190"
"790","AT2G35230"
"791","AT2G35320"
"792","AT2G35520"
"793","AT2G35530"
"794","AT2G35945"
"795","AT2G36130"
"796","AT2G36230"
"797","AT2G36290"
"798","AT2G36300"
"799","AT2G36320"
"800","AT2G36350"
"801","AT2G36430"
"802","AT2G36670"
"803","AT2G36740"
"804","AT2G36900"
"805","AT2G36960"
"806","AT2G36970"
"807","AT2G37020"
"808","AT2G37200"
"809","AT2G37400"
"810","AT2G37420"
"811","AT2G37540"
"812","AT2G37555"
"813","AT2G37740"
"814","AT2G37820"
"815","AT2G37840"
"816","AT2G38130"
"817","AT2G38400"
"818","AT2G38410"
"819","AT2G38460"
"820","AT2G38510"
"821","AT2G38610"
"822","AT2G38920"
"823","AT2G38960"
"824","AT2G39090"
"825","AT2G39220"
"826","AT2G39270"
"827","AT2G39630"
"828","AT2G39681"
"829","AT2G39740"
"830","AT2G39805"
"831","AT2G39840"
"832","AT2G39900"
"833","AT2G40020"
"834","AT2G40316"
"835","AT2G40410"
"836","AT2G40420"
"837","AT2G40480"
"838","AT2G40650"
"839","AT2G40690"
"840","AT2G40900"
"841","AT2G40920"
"842","AT2G41120"
"843","AT2G41350"
"844","AT2G41460"
"845","AT2G41600"
"846","AT2G41760"
"847","AT2G41880"
"848","AT2G41970"
"849","AT2G42190"
"850","AT2G42390"
"851","AT2G42400"
"852","AT2G42450"
"853","AT2G42890"
"854","AT2G42920"
"855","AT2G42975"
"856","AT2G43080"
"857","AT2G43130"
"858","AT2G43180"
"859","AT2G43210"
"860","AT2G43340"
"861","AT2G43350"
"862","AT2G43420"
"863","AT2G43490"
"864","AT2G43640"
"865","AT2G43810"
"866","AT2G43920"
"867","AT2G43980"
"868","AT2G44150"
"869","AT2G44180"
"870","AT2G44200"
"871","AT2G44270"
"872","AT2G44525"
"873","AT2G44660"
"874","AT2G44680"
"875","AT2G44820"
"876","AT2G44940"
"877","AT2G45170"
"878","AT2G45190"
"879","AT2G45200"
"880","AT2G45310"
"881","AT2G45315"
"882","AT2G45330"
"883","AT2G45400"
"884","AT2G45850"
"885","AT2G46030"
"886","AT2G46180"
"887","AT2G46225"
"888","AT2G46240"
"889","AT2G46320"
"890","AT2G46430"
"891","AT2G46450"
"892","AT2G46490"
"893","AT2G46735"
"894","AT2G46860"
"895","AT2G46920"
"896","AT2G46960"
"897","AT2G47180"
"898","AT2G47630"
"899","AT2G47750"
"900","AT2G47760"
"901","AT2G47930"
"902","AT3G01050"
"903","AT3G01300"
"904","AT3G01380"
"905","AT3G01640"
"906","AT3G01650"
"907","AT3G01660"
"908","AT3G01860"
"909","AT3G01890"
"910","AT3G01920"
"911","AT3G01980"
"912","AT3G02065"
"913","AT3G02140"
"914","AT3G02280"
"915","AT3G02320"
"916","AT3G02340"
"917","AT3G02460"
"918","AT3G02510"
"919","AT3G02550"
"920","AT3G02650"
"921","AT3G02950"
"922","AT3G03140"
"923","AT3G03190"
"924","AT3G03305"
"925","AT3G03340"
"926","AT3G03420"
"927","AT3G03490"
"928","AT3G03535"
"929","AT3G03570"
"930","AT3G03640"
"931","AT3G03680"
"932","AT3G03980"
"933","AT3G04230"
"934","AT3G04330"
"935","AT3G04460"
"936","AT3G04770"
"937","AT3G04780"
"938","AT3G04820"
"939","AT3G04890"
"940","AT3G05010"
"941","AT3G05020"
"942","AT3G05030"
"943","AT3G05070"
"944","AT3G05210"
"945","AT3G05290"
"946","AT3G05400"
"947","AT3G05470"
"948","AT3G05710"
"949","AT3G05750"
"950","AT3G05850"
"951","AT3G05940"
"952","AT3G06145"
"953","AT3G06300"
"954","AT3G06440"
"955","AT3G06460"
"956","AT3G06540"
"957","AT3G06570"
"958","AT3G06620"
"959","AT3G06680"
"960","AT3G06700"
"961","AT3G06760"
"962","AT3G06780"
"963","AT3G06820"
"964","AT3G07230"
"965","AT3G07410"
"966","AT3G07510"
"967","AT3G07640"
"968","AT3G07650"
"969","AT3G07740"
"970","AT3G07750"
"971","AT3G07760"
"972","AT3G07800"
"973","AT3G07910"
"974","AT3G07980"
"975","AT3G08600"
"976","AT3G08700"
"977","AT3G08710"
"978","AT3G08720"
"979","AT3G08760"
"980","AT3G08780"
"981","AT3G08890"
"982","AT3G08947"
"983","AT3G09035"
"984","AT3G09150"
"985","AT3G09180"
"986","AT3G09320"
"987","AT3G09450"
"988","AT3G09670"
"989","AT3G09690"
"990","AT3G09720"
"991","AT3G09735"
"992","AT3G09760"
"993","AT3G09830"
"994","AT3G09890"
"995","AT3G09900"
"996","AT3G10220"
"997","AT3G10260"
"998","AT3G10525"
"999","AT3G10540"
"1000","AT3G10550"
"1001","AT3G10640"
"1002","AT3G10700"
"1003","AT3G10730"
"1004","AT3G11090"
"1005","AT3G11330"
"1006","AT3G11397"
"1007","AT3G11550"
"1008","AT3G11760"
"1009","AT3G11770"
"1010","AT3G11810"
"1011","AT3G11880"
"1012","AT3G12150"
"1013","AT3G12210"
"1014","AT3G12300"
"1015","AT3G12370"
"1016","AT3G12380"
"1017","AT3G12680"
"1018","AT3G12700"
"1019","AT3G12750"
"1020","AT3G12915"
"1021","AT3G13350"
"1022","AT3G13440"
"1023","AT3G13450"
"1024","AT3G13620"
"1025","AT3G13800"
"1026","AT3G13940"
"1027","AT3G14075"
"1028","AT3G14090"
"1029","AT3G14362"
"1030","AT3G14410"
"1031","AT3G14640"
"1032","AT3G14830"
"1033","AT3G15020"
"1034","AT3G15180"
"1035","AT3G15355"
"1036","AT3G15550"
"1037","AT3G15570"
"1038","AT3G15590"
"1039","AT3G15710"
"1040","AT3G15830"
"1041","AT3G15900"
"1042","AT3G16200"
"1043","AT3G17360"
"1044","AT3G17700"
"1045","AT3G17780"
"1046","AT3G17880"
"1047","AT3G17920"
"1048","AT3G18090"
"1049","AT3G18160"
"1050","AT3G18240"
"1051","AT3G18380"
"1052","AT3G18430"
"1053","AT3G18440"
"1054","AT3G18524"
"1055","AT3G18940"
