"","phyD_GC_c1.which.mclass....7...1."
"914","AT1G69490"
"915","AT1G69640"
"916","AT1G69740"
"917","AT1G69780"
"918","AT1G69810"
"919","AT1G69840"
"920","AT1G69960"
"921","AT1G69980"
"922","AT1G70060"
"923","AT1G70080"
"924","AT1G70090"
"925","AT1G70180"
"926","AT1G70210"
"927","AT1G70280"
"928","AT1G70340"
"929","AT1G70420"
"930","AT1G70530"
"931","AT1G70570"
"932","AT1G70620"
"933","AT1G70670"
"934","AT1G70850"
"935","AT1G70900"
"936","AT1G70990"
"937","AT1G71020"
"938","AT1G71040"
"939","AT1G71080"
"940","AT1G71200"
"941","AT1G71220"
"942","AT1G71270"
"943","AT1G71350"
"944","AT1G71400"
"945","AT1G71410"
"946","AT1G71430"
"947","AT1G71695"
"948","AT1G71697"
"949","AT1G71740"
"950","AT1G71790"
"951","AT1G71800"
"952","AT1G71820"
"953","AT1G71830"
"954","AT1G71865"
"955","AT1G71900"
"956","AT1G71940"
"957","AT1G72010"
"958","AT1G72040"
"959","AT1G72050"
"960","AT1G72060"
"961","AT1G72070"
"962","AT1G72090"
"963","AT1G72175"
"964","AT1G72310"
"965","AT1G72320"
"966","AT1G72330"
"967","AT1G72340"
"968","AT1G72410"
"969","AT1G72440"
"970","AT1G72480"
"971","AT1G72490"
"972","AT1G72630"
"973","AT1G72790"
"974","AT1G72820"
"975","AT1G72840"
"976","AT1G72850"
"977","AT1G72852"
"978","AT1G73350"
"979","AT1G73380"
"980","AT1G73390"
"981","AT1G73430"
"982","AT1G73500"
"983","AT1G73590"
"984","AT1G73655"
"985","AT1G73660"
"986","AT1G73790"
"987","AT1G73805"
"988","AT1G73820"
"989","AT1G73840"
"990","AT1G73920"
"991","AT1G74090"
"992","AT1G74100"
"993","AT1G74160"
"994","AT1G74210"
"995","AT1G74260"
"996","AT1G74460"
"997","AT1G74510"
"998","AT1G74520"
"999","AT1G74530"
"1000","AT1G74720"
"1001","AT1G74770"
"1002","AT1G74790"
"1003","AT1G74940"
"1004","AT1G75080"
"1005","AT1G75170"
"1006","AT1G75180"
"1007","AT1G75190"
"1008","AT1G75220"
"1009","AT1G75280"
"1010","AT1G75400"
"1011","AT1G75440"
"1012","AT1G75510"
"1013","AT1G75670"
"1014","AT1G75710"
"1015","AT1G75760"
"1016","AT1G75785"
"1017","AT1G75810"
"1018","AT1G75850"
"1019","AT1G75860"
"1020","AT1G75945"
"1021","AT1G75980"
"1022","AT1G75990"
"1023","AT1G76140"
"1024","AT1G76240"
"1025","AT1G76260"
"1026","AT1G76340"
"1027","AT1G76405"
"1028","AT1G76440"
"1029","AT1G76500"
"1030","AT1G76540"
"1031","AT1G76550"
"1032","AT1G76560"
"1033","AT1G76650"
"1034","AT1G76660"
"1035","AT1G76760"
"1036","AT1G76878"
"1037","AT1G76880"
"1038","AT1G76890"
"1039","AT1G76900"
"1040","AT1G76940"
"1041","AT1G76980"
"1042","AT1G77020"
"1043","AT1G77030"
"1044","AT1G77080"
"1045","AT1G77130"
"1046","AT1G77300"
"1047","AT1G77380"
"1048","AT1G77420"
"1049","AT1G77470"
"1050","AT1G77510"
"1051","AT1G77540"
"1052","AT1G77550"
"1053","AT1G77580"
"1054","AT1G77590"
"1055","AT1G77630"
"1056","AT1G77670"
"1057","AT1G77760"
"1058","AT1G77920"
"1059","AT1G78110"
"1060","AT1G78240"
"1061","AT1G78260"
"1062","AT1G78420"
"1063","AT1G78520"
"1064","AT1G78620"
"1065","AT1G78630"
"1066","AT1G78680"
"1067","AT1G78700"
"1068","AT1G78830"
"1069","AT1G78880"
"1070","AT1G78895"
"1071","AT1G78920"
"1072","AT1G79000"
"1073","AT1G79070"
"1074","AT1G79200"
"1075","AT1G79260"
"1076","AT1G79270"
"1077","AT1G79380"
"1078","AT1G79430"
"1079","AT1G79440"
"1080","AT1G79500"
"1081","AT1G79590"
"1082","AT1G79690"
"1083","AT1G79710"
"1084","AT1G79730"
"1085","AT1G79760"
"1086","AT1G79820"
"1087","AT1G79850"
"1088","AT1G79870"
"1089","AT1G79920"
"1090","AT1G79940"
"1091","AT1G79970"
"1092","AT1G79990"
"1093","AT1G80245"
"1094","AT1G80260"
"1095","AT1G80325"
"1096","AT1G80350"
"1097","AT1G80370"
"1098","AT1G80420"
"1099","AT1G80440"
"1100","AT1G80490"
"1101","AT1G80530"
"1102","AT1G80560"
"1103","AT1G80600"
"1104","AT1G80610"
"1105","AT1G80620"
"1106","AT1G80670"
"1107","AT1G80680"
"1108","AT1G80690"
"1109","AT1G80700"
"1110","AT1G80720"
"1111","AT1G80840"
"1112","AT1G80910"
"1113","AT1G80940"
"1114","AT1G80950"
"1115","AT2G01008"
"1116","AT2G01020"
"1117","AT2G01070"
"1118","AT2G01090"
"1119","AT2G01120"
"1120","AT2G01150"
"1121","AT2G01170"
"1122","AT2G01190"
"1123","AT2G01220"
"1124","AT2G01260"
"1125","AT2G01270"
"1126","AT2G01350"
"1127","AT2G01420"
"1128","AT2G01505"
"1129","AT2G01630"
"1130","AT2G01650"
"1131","AT2G01670"
"1132","AT2G01690"
"1133","AT2G01710"
"1134","AT2G01735"
"1135","AT2G01820"
"1136","AT2G01830"
"1137","AT2G01850"
"1138","AT2G01890"
"1139","AT2G01910"
"1140","AT2G01950"
"1141","AT2G02090"
"1142","AT2G02180"
"1143","AT2G02470"
"1144","AT2G02560"
"1145","AT2G02570"
"1146","AT2G02630"
"1147","AT2G02680"
"1148","AT2G02740"
"1149","AT2G02780"
"1150","AT2G02790"
"1151","AT2G02800"
"1152","AT2G03070"
"1153","AT2G03150"
"1154","AT2G03220"
"1155","AT2G03240"
"1156","AT2G03350"
"1157","AT2G03470"
"1158","AT2G03730"
"1159","AT2G03780"
"1160","AT2G03830"
"1161","AT2G04025"
"1162","AT2G04160"
"1163","AT2G04305"
"1164","AT2G04360"
"1165","AT2G04550"
"1166","AT2G04755"
"1167","AT2G04850"
"1168","AT2G04880"
"1169","AT2G05250"
"1170","AT2G05260"
"1171","AT2G05330"
"1172","AT2G05380"
"1173","AT2G05630"
"1174","AT2G05940"
"1175","AT2G06010"
"1176","AT2G06025"
"1177","AT2G06050"
"1178","AT2G06530"
"1179","AT2G06925"
"1180","AT2G06990"
"1181","AT2G07175"
"1182","AT2G07360"
"1183","AT2G07690"
"1184","AT2G07725"
"1185","AT2G07734"
"1186","AT2G08340"
"1187","AT2G09225"
"1188","AT2G09785"
"1189","AT2G09795"
"1190","AT2G12400"
"1191","AT2G12646"
"1192","AT2G13100"
"1193","AT2G13540"
"1194","AT2G13550"
"1195","AT2G14045"
"1196","AT2G14100"
"1197","AT2G14120"
"1198","AT2G14255"
"1199","AT2G14260"
"1200","AT2G14460"
"1201","AT2G14720"
"1202","AT2G14750"
"1203","AT2G14820"
"1204","AT2G14825"
"1205","AT2G14880"
"1206","AT2G15000"
"1207","AT2G15270"
"1208","AT2G15280"
"1209","AT2G15320"
"1210","AT2G15430"
"1211","AT2G15480"
"1212","AT2G15830"
"1213","AT2G15860"
"1214","AT2G16280"
"1215","AT2G16365"
"1216","AT2G16370"
"1217","AT2G16460"
"1218","AT2G16485"
"1219","AT2G16500"
"1220","AT2G16530"
"1221","AT2G16595"
"1222","AT2G16640"
"1223","AT2G16710"
"1224","AT2G16780"
"1225","AT2G16790"
"1226","AT2G16800"
"1227","AT2G16950"
"1228","AT2G17020"
"1229","AT2G17070"
"1230","AT2G17080"
"1231","AT2G17120"
"1232","AT2G17130"
"1233","AT2G17190"
"1234","AT2G17240"
"1235","AT2G17265"
"1236","AT2G17320"
"1237","AT2G17340"
"1238","AT2G17370"
"1239","AT2G17410"
"1240","AT2G17500"
"1241","AT2G17510"
"1242","AT2G17520"
"1243","AT2G17530"
"1244","AT2G17540"
