"","WS_FLT_c1.which.mclass....3...1."
"428","AT1G74340"
"429","AT1G74458"
"430","AT1G74500"
"431","AT1G74660"
"432","AT1G74690"
"433","AT1G74910"
"434","AT1G74920"
"435","AT1G75270"
"436","AT1G75330"
"437","AT1G75560"
"438","AT1G75660"
"439","AT1G75680"
"440","AT1G75780"
"441","AT1G75800"
"442","AT1G75840"
"443","AT1G76010"
"444","AT1G76030"
"445","AT1G76160"
"446","AT1G76300"
"447","AT1G76400"
"448","AT1G76520"
"449","AT1G76540"
"450","AT1G76670"
"451","AT1G76790"
"452","AT1G76810"
"453","AT1G76860"
"454","AT1G76990"
"455","AT1G77180"
"456","AT1G77350"
"457","AT1G77440"
"458","AT1G77450"
"459","AT1G77610"
"460","AT1G77750"
"461","AT1G77770"
"462","AT1G77885"
"463","AT1G78340"
"464","AT1G78560"
"465","AT1G78570"
"466","AT1G78660"
"467","AT1G78880"
"468","AT1G78890"
"469","AT1G79150"
"470","AT1G79210"
"471","AT1G79230"
"472","AT1G79280"
"473","AT1G79340"
"474","AT1G79390"
"475","AT1G79650"
"476","AT1G79660"
"477","AT1G79830"
"478","AT1G79930"
"479","AT1G79985"
"480","AT1G79990"
"481","AT1G80040"
"482","AT1G80070"
"483","AT1G80230"
"484","AT1G80240"
"485","AT1G80410"
"486","AT1G80460"
"487","AT1G80500"
"488","AT1G80560"
"489","AT1G80670"
"490","AT1G80750"
"491","AT1G80860"
"492","AT1G80930"
"493","AT2G01060"
"494","AT2G01100"
"495","AT2G01450"
"496","AT2G01470"
"497","AT2G01970"
"498","AT2G02160"
"499","AT2G02390"
"500","AT2G03510"
"501","AT2G03640"
"502","AT2G03690"
"503","AT2G03820"
"504","AT2G03870"
"505","AT2G04030"
"506","AT2G04280"
"507","AT2G04410"
"508","AT2G04630"
"509","AT2G05840"
"510","AT2G05920"
"511","AT2G06850"
"512","AT2G07050"
"513","AT2G07340"
"514","AT2G07671"
"515","AT2G07696"
"516","AT2G07698"
"517","AT2G07708"
"518","AT2G07718"
"519","AT2G11890"
"520","AT2G13560"
"521","AT2G14210"
"522","AT2G14835"
"523","AT2G14910"
"524","AT2G15240"
"525","AT2G15490"
"526","AT2G15570"
"527","AT2G15910"
"528","AT2G15970"
"529","AT2G16586"
"530","AT2G16780"
"531","AT2G16850"
"532","AT2G16860"
"533","AT2G16930"
"534","AT2G16940"
"535","AT2G17290"
"536","AT2G17390"
"537","AT2G17440"
"538","AT2G17720"
"539","AT2G17800"
"540","AT2G18030"
"541","AT2G18110"
"542","AT2G18160"
"543","AT2G18390"
"544","AT2G18400"
"545","AT2G18800"
"546","AT2G18960"
"547","AT2G18980"
"548","AT2G19080"
"549","AT2G19520"
"550","AT2G19540"
"551","AT2G19830"
"552","AT2G20060"
"553","AT2G20120"
"554","AT2G20140"
"555","AT2G20230"
"556","AT2G20280"
"557","AT2G20515"
"558","AT2G20530"
"559","AT2G20580"
"560","AT2G20585"
"561","AT2G20630"
"562","AT2G20930"
"563","AT2G20990"
"564","AT2G21050"
"565","AT2G21060"
"566","AT2G21190"
"567","AT2G21250"
"568","AT2G21290"
"569","AT2G21390"
"570","AT2G22080"
"571","AT2G22125"
"572","AT2G22230"
"573","AT2G22425"
"574","AT2G22780"
"575","AT2G23120"
"576","AT2G23600"
"577","AT2G23780"
"578","AT2G23810"
"579","AT2G23940"
"580","AT2G24150"
"581","AT2G24200"
"582","AT2G24260"
"583","AT2G24360"
"584","AT2G24500"
"585","AT2G24570"
"586","AT2G25060"
"587","AT2G25070"
"588","AT2G25110"
"589","AT2G25280"
"590","AT2G25310"
"591","AT2G25450"
"592","AT2G25490"
"593","AT2G25520"
"594","AT2G25610"
"595","AT2G25910"
"596","AT2G25970"
"597","AT2G26060"
"598","AT2G26080"
"599","AT2G26230"
"600","AT2G26300"
"601","AT2G26400"
"602","AT2G26680"
"603","AT2G26730"
"604","AT2G26900"
"605","AT2G27230"
"606","AT2G27330"
"607","AT2G27370"
"608","AT2G27450"
"609","AT2G27600"
"610","AT2G27775"
"611","AT2G27840"
"612","AT2G27960"
"613","AT2G27970"
"614","AT2G28000"
"615","AT2G28290"
"616","AT2G28380"
"617","AT2G28600"
"618","AT2G28740"
"619","AT2G28760"
"620","AT2G28840"
"621","AT2G29390"
"622","AT2G29420"
"623","AT2G29490"
"624","AT2G29540"
"625","AT2G29570"
"626","AT2G29700"
"627","AT2G29995"
"628","AT2G30050"
"629","AT2G30110"
"630","AT2G30200"
"631","AT2G30260"
"632","AT2G30500"
"633","AT2G30520"
"634","AT2G30700"
"635","AT2G30740"
"636","AT2G30766"
"637","AT2G30970"
"638","AT2G30980"
"639","AT2G31081"
"640","AT2G31085"
"641","AT2G31090"
"642","AT2G31410"
"643","AT2G31490"
"644","AT2G31670"
"645","AT2G31810"
"646","AT2G32070"
"647","AT2G32260"
"648","AT2G32300"
"649","AT2G32380"
"650","AT2G32520"
"651","AT2G32700"
"652","AT2G32730"
"653","AT2G32920"
"654","AT2G33120"
"655","AT2G33220"
"656","AT2G33410"
"657","AT2G33590"
"658","AT2G33630"
"659","AT2G33730"
"660","AT2G33740"
"661","AT2G34040"
"662","AT2G34160"
"663","AT2G34300"
"664","AT2G34470"
"665","AT2G34520"
"666","AT2G34585"
"667","AT2G34590"
"668","AT2G34690"
"669","AT2G34750"
"670","AT2G34770"
"671","AT2G35040"
"672","AT2G35240"
"673","AT2G35520"
"674","AT2G35610"
"675","AT2G35630"
"676","AT2G35635"
"677","AT2G35680"
"678","AT2G35790"
"679","AT2G35795"
"680","AT2G36060"
"681","AT2G36120"
"682","AT2G36130"
"683","AT2G36310"
"684","AT2G36400"
"685","AT2G36410"
"686","AT2G36580"
"687","AT2G36930"
"688","AT2G36950"
"689","AT2G37050"
"690","AT2G37080"
"691","AT2G37110"
"692","AT2G37120"
"693","AT2G37130"
"694","AT2G37180"
"695","AT2G37470"
"696","AT2G37480"
"697","AT2G37550"
"698","AT2G37790"
"699","AT2G37870"
"700","AT2G37975"
"701","AT2G38040"
"702","AT2G38120"
"703","AT2G38130"
"704","AT2G38360"
"705","AT2G38400"
"706","AT2G38550"
"707","AT2G38670"
"708","AT2G38700"
"709","AT2G38710"
"710","AT2G38810"
"711","AT2G39020"
"712","AT2G39430"
"713","AT2G39870"
"714","AT2G39900"
"715","AT2G39960"
"716","AT2G39970"
"717","AT2G40113"
"718","AT2G40290"
"719","AT2G40430"
"720","AT2G40600"
"721","AT2G40620"
"722","AT2G40650"
"723","AT2G40660"
"724","AT2G40890"
"725","AT2G40940"
"726","AT2G40960"
"727","AT2G40970"
"728","AT2G41100"
"729","AT2G41160"
"730","AT2G41475"
"731","AT2G41530"
"732","AT2G41600"
"733","AT2G41660"
"734","AT2G41800"
"735","AT2G41900"
"736","AT2G42390"
"737","AT2G42590"
"738","AT2G42810"
"739","AT2G42910"
"740","AT2G43160"
"741","AT2G43350"
"742","AT2G43360"
"743","AT2G43640"
"744","AT2G43650"
"745","AT2G43680"
"746","AT2G43710"
"747","AT2G43750"
"748","AT2G43760"
"749","AT2G43770"
"750","AT2G43780"
"751","AT2G43790"
"752","AT2G43820"
"753","AT2G43940"
"754","AT2G44050"
"755","AT2G44060"
"756","AT2G44065"
"757","AT2G44160"
"758","AT2G44300"
"759","AT2G44350"
"760","AT2G44525"
"761","AT2G44650"
"762","AT2G45050"
"763","AT2G45140"
"764","AT2G45170"
"765","AT2G45200"
"766","AT2G45290"
"767","AT2G45430"
"768","AT2G45520"
"769","AT2G45670"
"770","AT2G45710"
"771","AT2G45820"
"772","AT2G45860"
"773","AT2G45980"
"774","AT2G46000"
"775","AT2G46020"
"776","AT2G46140"
"777","AT2G46370"
"778","AT2G46470"
"779","AT2G46490"
"780","AT2G46540"
"781","AT2G46780"
"782","AT2G46800"
"783","AT2G46900"
"784","AT2G47210"
"785","AT2G47250"
"786","AT2G47320"
