"","X","WS_FLT_c1.which.mclass....1...1."
"1495",1495,"AT2G29190"
"1543",1543,"AT2G32280"
"31",31,"AT1G02890"
"733",733,"AT1G54170"
"432",432,"AT1G23760"
"1662",1662,"AT2G39580"
"1041",1041,"AT1G76460"
"2544",2544,"AT3G54180"
"644",644,"AT1G48240"
"4331",4331,"AT5G63135"
"34",34,"AT1G03040"
"4054",4054,"AT5G48020"
"3857",3857,"AT5G27395"
"2173",2173,"AT3G17840"
"3177",3177,"AT4G30900"
"1002",1002,"AT1G74510"
"2290",2290,"AT3G24255"
"3774",3774,"AT5G22100"
"777",777,"AT1G58180"
"4417",4417,"AT5G66590"
"338",338,"AT1G17720"
"2453",2453,"AT3G48860"
"2177",2177,"AT3G18000"
"2937",2937,"AT4G16180"
"11",11,"AT1G01750"
"3716",3716,"AT5G18620"
"4037",4037,"AT5G47190"
"2439",2439,"AT3G48090"
"808",808,"AT1G61840"
"844",844,"AT1G64440"
"3318",3318,"AT4G37400"
"3133",3133,"AT4G28210"
"4314",4314,"AT5G62530"
"973",973,"AT1G72340"
"1959",1959,"AT3G08510"
"4028",4028,"AT5G46790"
"4360",4360,"AT5G64070"
"4076",4076,"AT5G49400"
"3148",3148,"AT4G28990"
"1862",1862,"AT3G03420"
"65",65,"AT1G04590"
"3105",3105,"AT4G26720"
"4",4,"AT1G01210"
"27",27,"AT1G02520"
"3912",3912,"AT5G38220"
"2853",2853,"AT4G10280"
"3469",3469,"AT5G06160"
"619",619,"AT1G45170"
"1588",1588,"AT2G35110"
"2910",2910,"AT4G14510"
"2426",2426,"AT3G47300"
"4432",4432,"AT5G67330"
"947",947,"AT1G71270"
"4240",4240,"AT5G58575"
"1164",1164,"AT2G02480"
"3083",3083,"AT4G25690"
"3730",3730,"AT5G19290"
"3025",3025,"AT4G22140"
"661",661,"AT1G49470"
"2419",2419,"AT3G46510"
"1092",1092,"AT1G79430"
"2250",2250,"AT3G21680"
"3995",3995,"AT5G44160"
"4070",4070,"AT5G48940"
"4236",4236,"AT5G58440"
"2725",2725,"AT3G63490"
"3396",3396,"AT5G02010"
"3954",3954,"AT5G41680"
"3604",3604,"AT5G13090"
"655",655,"AT1G48900"
"3559",3559,"AT5G10950"
"1805",1805,"AT2G47500"
"3808",3808,"AT5G24090"
"1048",1048,"AT1G76878"
"3793",3793,"AT5G23250"
"4431",4431,"AT5G67300"
"3081",3081,"AT4G25670"
"1841",1841,"AT3G02170"
"2078",2078,"AT3G13235"
"3063",3063,"AT4G24740"
"1646",1646,"AT2G38650"
"2732",2732,"AT4G00231"
"2019",2019,"AT3G10980"
"270",270,"AT1G14060"
"1966",1966,"AT3G08760"
"4393",4393,"AT5G65780"
"2269",2269,"AT3G23100"
"926",926,"AT1G70280"
"2540",2540,"AT3G53970"
"2878",2878,"AT4G12060"
"1817",1817,"AT2G47990"
"1154",1154,"AT2G01710"
"1256",1256,"AT2G16640"
"1984",1984,"AT3G09795"
"1568",1568,"AT2G34070"
"3974",3974,"AT5G42940"
"4234",4234,"AT5G58370"
"67",67,"AT1G04810"
"1174",1174,"AT2G02870"
"3667",3667,"AT5G16300"
"2649",2649,"AT3G59695"
"1206",1206,"AT2G06050"
"4294",4294,"AT5G61450"
"1742",1742,"AT2G44410"
"1166",1166,"AT2G02570"
"3562",3562,"AT5G11150"
"3960",3960,"AT5G42050"
"137",137,"AT1G07810"
"3009",3009,"AT4G20380"
"627",627,"AT1G47290"
"2885",2885,"AT4G12560"
"1211",1211,"AT2G07170"
"1970",1970,"AT3G08943"
"2146",2146,"AT3G16190"
"85",85,"AT1G05380"
"2010",2010,"AT3G10620"
"2066",2066,"AT3G12970"
"2905",2905,"AT4G14342"
"4197",4197,"AT5G56660"
"3151",3151,"AT4G29100"
"3637",3637,"AT5G14530"
"2916",2916,"AT4G15010"
"1412",1412,"AT2G25480"
"1197",1197,"AT2G05230"
"3001",3001,"AT4G19860"
"2279",2279,"AT3G23750"
"1203",1203,"AT2G05830"
"941",941,"AT1G71080"
"273",273,"AT1G14360"
"4097",4097,"AT5G50300"
"73",73,"AT1G04985"
"2565",2565,"AT3G54860"
"3662",3662,"AT5G15880"
"1906",1906,"AT3G05520"
"1956",1956,"AT3G07860"
"1112",1112,"AT1G80270"
"624",624,"AT1G47210"
"2466",2466,"AT3G49750"
"1272",1272,"AT2G17340"
"2167",2167,"AT3G17410"
"4355",4355,"AT5G63905"
"3789",3789,"AT5G22875"
"348",348,"AT1G18500"
"3929",3929,"AT5G40080"
"852",852,"AT1G65220"
"1493",1493,"AT2G29125"
"569",569,"AT1G32990"
"1670",1670,"AT2G39800"
"2045",2045,"AT3G12210"
"3528",3528,"AT5G09410"
"2884",2884,"AT4G12545"
"1513",1513,"AT2G30530"
"506",506,"AT1G28490"
"1498",1498,"AT2G29440"
"2219",2219,"AT3G20260"
"3244",3244,"AT4G34030"
"3838",3838,"AT5G26030"
"83",83,"AT1G05350"
"2094",2094,"AT3G13990"
"1831",1831,"AT3G01560"
"975",975,"AT1G72420"
"1567",1567,"AT2G34050"
"719",719,"AT1G53580"
"3080",3080,"AT4G25660"
"1648",1648,"AT2G38740"
"2533",2533,"AT3G53190"
"2681",2681,"AT3G61270"
"3695",3695,"AT5G17530"
"1251",1251,"AT2G16485"
"1122",1122,"AT1G80610"
"1411",1411,"AT2G25430"
"3817",3817,"AT5G24710"
"1712",1712,"AT2G42240"
"773",773,"AT1G57860"
"933",933,"AT1G70670"
"4157",4157,"AT5G53930"
"77",77,"AT1G05170"
"429",429,"AT1G23260"
"3556",3556,"AT5G10820"
"438",438,"AT1G24160"
"963",963,"AT1G71990"
"3310",3310,"AT4G37080"
"3235",3235,"AT4G33530"
"2190",2190,"AT3G18520"
"20",20,"AT1G02145"
"938",938,"AT1G71020"
"410",410,"AT1G22360"
"3833",3833,"AT5G25640"
"1685",1685,"AT2G40800"
"4299",4299,"AT5G61840"
"2803",2803,"AT4G04620"
"1058",1058,"AT1G77300"
"1760",1760,"AT2G45240"
"3351",3351,"AT4G38760"
"3707",3707,"AT5G18200"
"2265",2265,"AT3G22990"
"1644",1644,"AT2G38610"
"1590",1590,"AT2G35320"
"2584",2584,"AT3G55920"
"2554",2554,"AT3G54366"
"103",103,"AT1G06010"
"2900",2900,"AT4G13660"
"3909",3909,"AT5G37770"
"692",692,"AT1G51950"
"1269",1269,"AT2G17265"
"2748",2748,"AT4G01070"
"2140",2140,"AT3G15950"
"175",175,"AT1G09230"
"2410",2410,"AT3G45300"
"1833",1833,"AT3G01770"
"1813",1813,"AT2G47935"
"3691",3691,"AT5G17210"
"4411",4411,"AT5G66250"
"3360",3360,"AT4G39280"
"3633",3633,"AT5G14250"
"2298",2298,"AT3G24530"
"3738",3738,"AT5G19480"
"4282",4282,"AT5G60960"
"615",615,"AT1G44960"
"3925",3925,"AT5G39590"
"3972",3972,"AT5G42785"
"1106",1106,"AT1G79970"
"3590",3590,"AT5G12290"
"358",358,"AT1G19140"
"4131",4131,"AT5G52710"
"4291",4291,"AT5G61340"
"4321",4321,"AT5G62680"
"3726",3726,"AT5G19130"
"3223",3223,"AT4G33080"
"2738",2738,"AT4G00450"
"488",488,"AT1G27630"
"3780",3780,"AT5G22370"
"2641",2641,"AT3G59210"
"3221",3221,"AT4G32960"
"206",206,"AT1G10720"
"1461",1461,"AT2G27590"
"402",402,"AT1G21880"
"334",334,"AT1G17520"
"3247",3247,"AT4G34135"
"492",492,"AT1G27930"
"983",983,"AT1G72840"
"772",772,"AT1G57765"
"2711",2711,"AT3G62900"
"2154",2154,"AT3G16570"
"2469",2469,"AT3G49850"
"4373",4373,"AT5G64813"
"1863",1863,"AT3G03490"
"3040",3040,"AT4G23010"
"1482",1482,"AT2G28570"
"537",537,"AT1G30590"
"1464",1464,"AT2G27810"
"3242",3242,"AT4G33945"
"3047",3047,"AT4G23810"
"42",42,"AT1G03360"
"3527",3527,"AT5G09400"
"1189",1189,"AT2G04305"
"856",856,"AT1G65650"
"1785",1785,"AT2G46500"
"1522",1522,"AT2G31270"
"4344",4344,"AT5G63550"
"489",489,"AT1G27700"
"336",336,"AT1G17620"
"95",95,"AT1G05830"
"3228",3228,"AT4G33150"
"2294",2294,"AT3G24450"
"3096",3096,"AT4G26400"
"3113",3113,"AT4G27350"
"2203",2203,"AT3G19490"
"1296",1296,"AT2G18710"
"1437",1437,"AT2G26650"
"1458",1458,"AT2G27470"
"356",356,"AT1G18980"
"1423",1423,"AT2G26140"
"3435",3435,"AT5G04420"
"2090",2090,"AT3G13750"
"817",817,"AT1G62570"
"43",43,"AT1G03430"
"874",874,"AT1G67325"
"875",875,"AT1G67480"
"93",93,"AT1G05805"
"1527",1527,"AT2G31440"
"1380",1380,"AT2G22970"
"1284",1284,"AT2G18090"
"1562",1562,"AT2G33800"
"2235",2235,"AT3G21110"
"3539",3539,"AT5G10020"
"1333",1333,"AT2G20390"
"2086",2086,"AT3G13650"
"2261",2261,"AT3G22790"
"2257",2257,"AT3G22530"
"1551",1551,"AT2G32910"
"598",598,"AT1G42440"
"1642",1642,"AT2G38560"
"232",232,"AT1G12040"
"3120",3120,"AT4G27690"
"734",734,"AT1G54250"
"935",935,"AT1G70900"
"4410",4410,"AT5G66230"
"314",314,"AT1G16520"
"3661",3661,"AT5G15830"
"1413",1413,"AT2G25620"
"457",457,"AT1G26100"
"2968",2968,"AT4G17720"
"1952",1952,"AT3G07760"
"109",109,"AT1G06230"
"707",707,"AT1G53050"
"1928",1928,"AT3G06840"
"3842",3842,"AT5G26330"
"1866",1866,"AT3G03570"
"1599",1599,"AT2G36070"
"4382",4382,"AT5G65180"
"2214",2214,"AT3G19860"
"4052",4052,"AT5G47880"
"1491",1491,"AT2G29050"
"426",426,"AT1G23080"
"1963",1963,"AT3G08670"
"1804",1804,"AT2G47485"
"1763",1763,"AT2G45315"
"1388",1388,"AT2G23980"
"123",123,"AT1G06950"
"1042",1042,"AT1G76500"
"1363",1363,"AT2G22250"
"2536",2536,"AT3G53340"
"2798",2798,"AT4G03430"
"4367",4367,"AT5G64460"
"437",437,"AT1G24120"
"2862",2862,"AT4G10790"
"3217",3217,"AT4G32890"
"546",546,"AT1G31300"
"1633",1633,"AT2G38090"
"3028",3028,"AT4G22260"
"3786",3786,"AT5G22780"
"2254",2254,"AT3G22330"
"2125",2125,"AT3G15095"
"1554",1554,"AT2G33310"
"704",704,"AT1G53000"
"3993",3993,"AT5G44090"
"205",205,"AT1G10700"
"4257",4257,"AT5G59480"
"2409",2409,"AT3G45230"
"1315",1315,"AT2G19470"
"1384",1384,"AT2G23320"
"867",867,"AT1G67060"
"3769",3769,"AT5G22010"
"1849",1849,"AT3G02820"
"3024",3024,"AT4G22130"
"177",177,"AT1G09280"
"3109",3109,"AT4G26970"
"3356",3356,"AT4G39150"
"1332",1332,"AT2G20370"
"2622",2622,"AT3G58140"
"1587",1587,"AT2G35050"
"1379",1379,"AT2G22900"
"2809",2809,"AT4G04860"
"955",955,"AT1G71820"
"1466",1466,"AT2G27900"
"524",524,"AT1G29940"
"235",235,"AT1G12160"
"3304",3304,"AT4G36940"
