"","X","WS_FLT_c1.which.mclass....4...1."
"2130",2130,"AT3G25240"
"536",536,"AT1G31200"
"2681",2681,"AT4G13630"
"606",606,"AT1G47578"
"1884",1884,"AT3G07205"
"1516",1516,"AT2G33385"
"2234",2234,"AT3G45000"
"3146",3146,"AT5G03985"
"1658",1658,"AT2G41370"
"204",204,"AT1G09247"
"1421",1421,"AT2G26390"
"1871",1871,"AT3G06270"
"2910",2910,"AT4G29110"
"3677",3677,"AT5G49620"
"3231",3231,"AT5G09685"
"2295",2295,"AT3G48810"
"1990",1990,"AT3G13880"
"2075",2075,"AT3G20460"
"3369",3369,"AT5G19170"
"763",763,"AT1G59940"
"751",751,"AT1G58300"
"3207",3207,"AT5G08305"
"2127",2127,"AT3G25030"
"1420",1420,"AT2G26370"
"1349",1349,"AT2G21590"
"451",451,"AT1G22490"
"2850",2850,"AT4G24670"
"2107",2107,"AT3G23020"
"3173",3173,"AT5G06380"
"1627",1627,"AT2G39435"
"703",703,"AT1G53700"
"287",287,"AT1G12300"
"2789",2789,"AT4G20050"
"2643",2643,"AT4G11130"
"2720",2720,"AT4G15290"
"3769",3769,"AT5G55580"
"3706",3706,"AT5G51270"
"2928",2928,"AT4G30825"
"2580",2580,"AT4G04350"
"3389",3389,"AT5G21950"
"2665",2665,"AT4G12555"
"1633",1633,"AT2G39730"
"2084",2084,"AT3G21180"
"1662",1662,"AT2G41510"
"3270",3270,"AT5G13150"
"2628",2628,"AT4G09920"
"1002",1002,"AT1G73280"
"2427",2427,"AT3G57720"
"946",946,"AT1G70170"
"3658",3658,"AT5G48090"
"233",233,"AT1G09880"
"2808",2808,"AT4G21550"
"576",576,"AT1G35320"
"1499",1499,"AT2G32610"
"3099",3099,"AT5G02120"
"3831",3831,"AT5G59700"
"3064",3064,"AT5G01170"
"1059",1059,"AT1G75600"
"3667",3667,"AT5G48850"
"2011",2011,"AT3G15400"
"1072",1072,"AT1G76130"
"3041",3041,"AT4G39320"
"2222",2222,"AT3G44510"
"1057",1057,"AT1G75490"
"1831",1831,"AT3G04380"
"1294",1294,"AT2G16980"
"3337",3337,"AT5G17320"
"3530",3530,"AT5G40500"
"805",805,"AT1G62620"
"1417",1417,"AT2G26040"
"1282",1282,"AT2G15820"
"267",267,"AT1G11460"
"226",226,"AT1G09680"
"425",425,"AT1G20570"
"2824",2824,"AT4G22680"
"3264",3264,"AT5G11620"
"3172",3172,"AT5G06250"
"9",9,"AT1G01700"
"3523",3523,"AT5G40160"
"3552",3552,"AT5G42010"
"361",361,"AT1G16720"
"2594",2594,"AT4G06534"
"2071",2071,"AT3G20110"
"3323",3323,"AT5G16770"
"2989",2989,"AT4G36105"
"632",632,"AT1G49210"
"2983",2983,"AT4G35540"
"1948",1948,"AT3G10680"
"659",659,"AT1G51340"
"994",994,"AT1G72920"
"1203",1203,"AT2G05760"
"915",915,"AT1G68725"
"1740",1740,"AT2G46950"
"491",491,"AT1G27020"
"272",272,"AT1G11655"
"155",155,"AT1G07290"
"2",2,"AT1G01120"
"1287",1287,"AT2G16385"
"1321",1321,"AT2G18938"
