"","WS_FLT_c1.which.mclass....3...1."
"467","AT1G49010"
"468","AT1G49100"
"469","AT1G49220"
"470","AT1G49250"
"471","AT1G49405"
"472","AT1G49430"
"473","AT1G49530"
"474","AT1G49700"
"475","AT1G49790"
"476","AT1G49900"
"477","AT1G49940"
"478","AT1G49952"
"479","AT1G49990"
"480","AT1G50280"
"481","AT1G50310"
"482","AT1G50390"
"483","AT1G50610"
"484","AT1G50750"
"485","AT1G51000"
"486","AT1G51020"
"487","AT1G51030"
"488","AT1G51055"
"489","AT1G51090"
"490","AT1G51110"
"491","AT1G51460"
"492","AT1G51538"
"493","AT1G51670"
"494","AT1G51840"
"495","AT1G51913"
"496","AT1G51990"
"497","AT1G52110"
"498","AT1G52120"
"499","AT1G52220"
"500","AT1G52230"
"501","AT1G52290"
"502","AT1G52415"
"503","AT1G52560"
"504","AT1G52570"
"505","AT1G52615"
"506","AT1G52650"
"507","AT1G52790"
"508","AT1G52820"
"509","AT1G52870"
"510","AT1G52920"
"511","AT1G53480"
"512","AT1G53541"
"513","AT1G53625"
"514","AT1G53640"
"515","AT1G53790"
"516","AT1G53801"
"517","AT1G54050"
"518","AT1G54095"
"519","AT1G54160"
"520","AT1G54215"
"521","AT1G54260"
"522","AT1G54280"
"523","AT1G54560"
"524","AT1G54590"
"525","AT1G54760"
"526","AT1G54773"
"527","AT1G55175"
"528","AT1G55207"
"529","AT1G55240"
"530","AT1G55480"
"531","AT1G55600"
"532","AT1G55640"
"533","AT1G55670"
"534","AT1G55673"
"535","AT1G55755"
"536","AT1G55800"
"537","AT1G55803"
"538","AT1G55990"
"539","AT1G56150"
"540","AT1G56160"
"541","AT1G56165"
"542","AT1G56240"
"543","AT1G56250"
"544","AT1G57570"
"545","AT1G57670"
"546","AT1G57770"
"547","AT1G58320"
"548","AT1G58602"
"549","AT1G58807"
"550","AT1G58808"
"551","AT1G58848"
"552","AT1G59124"
"553","AT1G59171"
"554","AT1G59218"
"555","AT1G59620"
"556","AT1G59720"
"557","AT1G59725"
"558","AT1G59780"
"559","AT1G59790"
"560","AT1G59850"
"561","AT1G60060"
"562","AT1G60110"
"563","AT1G60350"
"564","AT1G60360"
"565","AT1G60380"
"566","AT1G60830"
"567","AT1G60930"
"568","AT1G61180"
"569","AT1G61224"
"570","AT1G61275"
"571","AT1G61300"
"572","AT1G61310"
"573","AT1G61415"
"574","AT1G61470"
"575","AT1G61600"
"576","AT1G61680"
"577","AT1G61920"
"578","AT1G62190"
"579","AT1G62260"
"580","AT1G62420"
"581","AT1G62530"
"582","AT1G62690"
"583","AT1G62886"
"584","AT1G62915"
"585","AT1G62920"
"586","AT1G62975"
"587","AT1G63070"
"588","AT1G63105"
"589","AT1G63140"
"590","AT1G63230"
"591","AT1G63320"
"592","AT1G63340"
"593","AT1G63370"
"594","AT1G63530"
"595","AT1G63540"
"596","AT1G63630"
"597","AT1G63910"
"598","AT1G63930"
"599","AT1G64010"
"600","AT1G64020"
"601","AT1G64065"
"602","AT1G64150"
"603","AT1G64160"
"604","AT1G64253"
"605","AT1G64260"
"606","AT1G64300"
"607","AT1G64310"
"608","AT1G64380"
"609","AT1G64540"
"610","AT1G64563"
"611","AT1G64590"
"612","AT1G64625"
"613","AT1G65060"
"614","AT1G65140"
"615","AT1G65230"
"616","AT1G65250"
"617","AT1G65346"
"618","AT1G65370"
"619","AT1G65480"
"620","AT1G66000"
"621","AT1G66030"
"622","AT1G66130"
"623","AT1G66170"
"624","AT1G66360"
"625","AT1G66460"
"626","AT1G66600"
"627","AT1G66700"
"628","AT1G66840"
"629","AT1G66930"
"630","AT1G66940"
"631","AT1G67000"
"632","AT1G67025"
"633","AT1G67070"
"634","AT1G67220"
"635","AT1G67270"
"636","AT1G67365"
"637","AT1G67370"
"638","AT1G67460"
"639","AT1G67481"
"640","AT1G67520"
"641","AT1G67540"
"642","AT1G67650"
"643","AT1G67740"
"644","AT1G67760"
"645","AT1G67770"
"646","AT1G67980"
"647","AT1G68010"
"648","AT1G68090"
"649","AT1G68110"
"650","AT1G68180"
"651","AT1G68200"
"652","AT1G68470"
"653","AT1G68530"
"654","AT1G68568"
"655","AT1G68700"
"656","AT1G68800"
"657","AT1G68850"
"658","AT1G68870"
"659","AT1G69160"
"660","AT1G69430"
"661","AT1G69470"
"662","AT1G69485"
"663","AT1G69880"
"664","AT1G69920"
"665","AT1G69990"
"666","AT1G70175"
"667","AT1G70270"
"668","AT1G70390"
"669","AT1G70450"
"670","AT1G70830"
"671","AT1G70860"
"672","AT1G70910"
"673","AT1G71140"
"674","AT1G71250"
"675","AT1G71370"
"676","AT1G71690"
"677","AT1G71870"
"678","AT1G72270"
"679","AT1G72540"
"680","AT1G72620"
"681","AT1G72910"
"682","AT1G72960"
"683","AT1G73040"
"684","AT1G73066"
"685","AT1G73140"
"686","AT1G73220"
"687","AT1G73290"
"688","AT1G73490"
"689","AT1G73610"
"690","AT1G73680"
"691","AT1G73700"
"692","AT1G74035"
"693","AT1G74205"
"694","AT1G74456"
"695","AT1G74810"
"696","AT1G74820"
"697","AT1G74870"
"698","AT1G74880"
"699","AT1G74990"
"700","AT1G75030"
"701","AT1G75240"
"702","AT1G75360"
"703","AT1G76210"
"704","AT1G76230"
"705","AT1G76530"
"706","AT1G76705"
"707","AT1G76870"
"708","AT1G76965"
"709","AT1G77010"
"710","AT1G77160"
"711","AT1G77210"
"712","AT1G77235"
"713","AT1G77270"
"714","AT1G77525"
"715","AT1G77790"
"716","AT1G77860"
"717","AT1G77932"
"718","AT1G77950"
"719","AT1G77980"
"720","AT1G77992"
"721","AT1G78070"
"722","AT1G78160"
"723","AT1G78206"
"724","AT1G78230"
"725","AT1G78390"
"726","AT1G78410"
"727","AT1G78478"
"728","AT1G78500"
"729","AT1G78720"
"730","AT1G78820"
"731","AT1G78840"
"732","AT1G79100"
"733","AT1G79103"
"734","AT1G79130"
"735","AT1G79250"
"736","AT1G79780"
"737","AT1G79860"
"738","AT1G79915"
"739","AT1G80340"
"740","AT1G80525"
"741","AT1G80580"
"742","AT1G80625"
"743","AT1G80745"
"744","AT2G01310"
"745","AT2G01360"
"746","AT2G01500"
"747","AT2G01520"
"748","AT2G01580"
"749","AT2G01610"
"750","AT2G01755"
"751","AT2G01810"
"752","AT2G01905"
"753","AT2G01960"
"754","AT2G01990"
"755","AT2G02020"
"756","AT2G02060"
"757","AT2G02240"
"758","AT2G02490"
"759","AT2G02640"
"760","AT2G02690"
"761","AT2G02720"
"762","AT2G02741"
"763","AT2G02850"
"764","AT2G02950"
"765","AT2G03010"
"766","AT2G03020"
"767","AT2G03210"
"768","AT2G03230"
"769","AT2G03290"
"770","AT2G03310"
"771","AT2G03360"
"772","AT2G03410"
"773","AT2G03420"
"774","AT2G03460"
"775","AT2G03630"
"776","AT2G03710"
"777","AT2G03770"
"778","AT2G03840"
"779","AT2G03895"
"780","AT2G03980"
"781","AT2G04005"
"782","AT2G04020"
"783","AT2G04039"
"784","AT2G04065"
"785","AT2G04137"
"786","AT2G04220"
"787","AT2G04285"
"788","AT2G04375"
"789","AT2G04395"
"790","AT2G04455"
"791","AT2G04495"
"792","AT2G04515"
"793","AT2G04535"
"794","AT2G04545"
"795","AT2G04555"
"796","AT2G04725"
"797","AT2G04800"
"798","AT2G04840"
"799","AT2G04860"
"800","AT2G04955"
"801","AT2G05070"
"802","AT2G05100"
"803","AT2G05145"
"804","AT2G05155"
"805","AT2G05245"
"806","AT2G05270"
"807","AT2G05310"
"808","AT2G05365"
"809","AT2G05518"
"810","AT2G05520"
"811","AT2G05585"
"812","AT2G05620"
"813","AT2G05642"
"814","AT2G05675"
"815","AT2G05765"
"816","AT2G05895"
"817","AT2G05945"
"818","AT2G06365"
"819","AT2G06835"
"820","AT2G07000"
"821","AT2G07015"
"822","AT2G07435"
"823","AT2G07485"
"824","AT2G07495"
"825","AT2G07595"
"826","AT2G07629"
"827","AT2G07637"
"828","AT2G07644"
"829","AT2G07656"
"830","AT2G07659"
"831","AT2G07669"
"832","AT2G07673"
"833","AT2G07676"
"834","AT2G07681"
"835","AT2G07689"
"836","AT2G07692"
"837","AT2G07724"
"838","AT2G07732"
"839","AT2G07738"
"840","AT2G07772"
"841","AT2G07774"
"842","AT2G07775"
"843","AT2G07795"
"844","AT2G07805"
"845","AT2G07806"
"846","AT2G07827"
"847","AT2G07875"
"848","AT2G07950"
"849","AT2G08020"
"850","AT2G08275"
"851","AT2G08315"
"852","AT2G08320"
"853","AT2G08330"
