TAIR,SYMBOL,Log2fc_.Ws_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Ws_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Ws_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_dark.
AT3G48750,CDC2,0.4674137,0.3337979,0.7637808,-0.1336159,0.296367,0.2089662,-0.2584475,0.08808744,-0.3793263,0.4827812,0.01536752,0.5682266,0.1008129,0.3507952,-0.1166185,0.2430608,-0.2243529,0.2551053,-0.2123084,0.4502456,-0.01716814
AT3G48890,ATMAPR3,0.4564839,0.440391,0.637249,-0.01609285,0.1807651,0.4595731,0.003089207,0.3288042,-0.1276797,0.3950499,-0.06143396,0.6597935,0.2033096,0.1549458,-0.3015381,0.6561513,0.1996674,0.4074212,-0.04906266,0.4079293,-0.0485546
AT3G48990,AAE3,0.04078725,0.204272,0.5402827,0.1634848,0.4994954,-0.7092079,-0.7499952,-0.2143663,-0.2551535,-0.277161,-0.3179482,0.1821974,0.1414101,-0.904392,-0.9451792,0.2266711,0.1858839,-0.8524522,-0.8932394,-0.2878441,-0.3286314
AT3G49680,ATBCAT-3,-0.1657426,-0.1266068,-0.6773332,0.03913573,-0.5115906,-0.1224908,0.04325179,-0.2174426,-0.05170002,0.03611146,0.201854,0.1845431,0.3502857,0.01688025,0.1826228,0.06805616,0.2337987,0.4424762,0.6082188,-0.3291717,-0.1634291
AT3G49780,ATPSK3,2.65433,0.2954263,4.64557,-2.358904,1.991239,0.537508,-2.116822,-0.06888798,-2.723218,2.035318,-0.6190124,3.135637,0.4813064,-0.989053,-3.643383,1.62717,-1.02716,-0.4107603,-3.065091,3.211334,0.5570039
AT3G49845,WIH3,0.7748751,0.5108514,2.288735,-0.2640237,1.51386,1.425853,0.6509776,1.169649,0.3947743,0.8498173,0.07494223,2.394927,1.620052,1.793265,1.01839,2.137963,1.363088,1.35779,0.5829151,1.069572,0.2946971
AT3G49870,ARLA1C,0.4828672,0.1951542,0.7082903,-0.2877129,0.2254232,0.4333667,-0.04950051,0.3917399,-0.09112725,0.1903612,-0.2925059,0.476479,-0.00638816,0.0144569,-0.4684103,0.300027,-0.1828402,0.002572764,-0.4802944,0.6032911,0.120424
AT3G49940,LBD38,0.3622279,0.3784367,1.038363,0.01620883,0.6761356,0.4942266,0.1319988,0.4219671,0.0597392,-0.009453637,-0.3716815,1.045882,0.6836542,0.3308222,-0.03140569,0.7191772,0.3569493,-0.2322242,-0.594452,0.6374697,0.2752418
AT3G50360,ATCEN2,0.2776673,0.2118596,0.1638751,-0.06580772,-0.1137922,0.5632394,0.285572,0.4370176,0.1593503,0.314904,0.03723664,0.393546,0.1158787,0.4962722,0.2186049,0.4389065,0.1612392,0.6374555,0.3597882,0.4797758,0.2021084
AT3G50670,U1-70K,-0.5240218,-0.2662886,-0.6665635,0.2577333,-0.1425417,-0.3070363,0.2169856,-0.270222,0.2537998,-0.01276821,0.5112536,-0.5196049,0.004416891,-0.1238893,0.4001325,-0.3984498,0.125572,-0.150228,0.3737938,-0.3566849,0.167337
AT3G51160,GMD2,0.6854983,0.7055603,0.7692355,0.02006207,0.08373722,-0.03810097,-0.7235992,0.2301709,-0.4553273,0.4518774,-0.2336209,1.188955,0.5034571,0.5530302,-0.132468,0.8458307,0.1603324,1.05991,0.3744121,0.5925759,-0.09292237
AT3G51840,ACX4,0.5462531,0.02824427,0.8109262,-0.5180089,0.264673,-0.09149839,-0.6377515,0.3187965,-0.2274567,0.1338095,-0.4124436,0.4687387,-0.07751441,-0.5113585,-1.057612,0.2276268,-0.3186264,-0.3415997,-0.8878529,0.7338596,0.1876065
AT3G51880,AtHMGB1,0.444351,0.2909777,0.3215326,-0.1533733,-0.1228184,0.2322533,-0.2120977,0.2907893,-0.1535617,-0.2083063,-0.6526573,0.3954919,-0.04885909,0.15423,-0.290121,0.1034704,-0.3408806,0.03228517,-0.4120658,0.5796774,0.1353264
AT3G51920,ATCML9,0.7834848,0.3365946,1.900908,-0.4468903,1.117423,0.6239962,-0.1594887,0.2444652,-0.5390197,0.3533885,-0.4300964,0.977533,0.1940481,0.0867482,-0.6967366,0.252048,-0.5314368,-0.2280677,-1.011553,0.5910867,-0.1923981
AT3G52140,FMT,-1.017028,-0.4890057,-1.237052,0.528022,-0.2200238,-0.5005183,0.5165094,-0.8894861,0.1275416,-0.02335965,0.9936681,-0.9568226,0.06020508,-0.4237273,0.5933004,-0.8478504,0.1691773,-0.4267348,0.5902929,-0.7156525,0.3013753
AT3G52880,ATMDAR1,0.500424,0.2668023,0.6375067,-0.2336217,0.1370827,-0.1121188,-0.6125427,-0.07302912,-0.5734531,-0.1292843,-0.6297083,0.400342,-0.1000819,-0.3115812,-0.8120052,0.1389967,-0.3614273,-0.1285707,-0.6289946,0.142823,-0.357601
AT3G52940,ELL1,0.02881865,0.276353,-0.2093648,0.2475344,-0.2381835,0.6797782,0.6509596,0.4890648,0.4602461,0.2899202,0.2611015,0.5992996,0.570481,0.8619257,0.8331071,0.5611061,0.5322874,0.8503373,0.8215187,0.2273798,0.1985612
AT3G53460,CP29,0.2561088,0.4807284,0.3409337,0.2246196,0.08482493,0.06340603,-0.1927028,0.05173109,-0.2043777,0.6044273,0.3483185,0.1435702,-0.1125386,0.1299965,-0.1261123,0.3641176,0.1080088,0.2466482,-0.009460606,0.344626,0.08851717
AT3G53480,ABCG37,0.3991297,0.3440154,0.5386952,-0.05511435,0.1395654,-0.3515754,-0.7507051,-0.08222941,-0.4813592,0.5280473,0.1289176,0.3260572,-0.07307253,-0.3474723,-0.7466021,-0.2938558,-0.6929855,-0.08262034,-0.4817501,0.2988818,-0.100248
AT3G53500,At-RS2Z,-0.05579557,-0.01236773,-0.1558138,0.04342784,-0.1000182,-0.05998921,-0.004193635,-0.1409176,-0.08512206,0.09660154,0.1523971,-0.1426319,-0.08683631,0.06351527,0.1193108,-0.2063164,-0.1505209,0.03605247,0.09184804,0.07381665,0.1296122
AT3G53520,ATUXS1,0.3942448,0.09597115,0.02766713,-0.2982736,-0.3665777,0.07975411,-0.3144907,0.2887204,-0.1055244,0.1566068,-0.237638,0.3666909,-0.02755393,0.1679485,-0.2262963,0.4395736,0.04532881,0.2805926,-0.1136522,0.4084742,0.01422943
AT3G53610,ATRAB8,0.448022,0.3178757,0.5255003,-0.1301464,0.07747826,0.341394,-0.106628,0.1815801,-0.266442,-0.1533977,-0.6014197,0.4041382,-0.0438838,0.2329337,-0.2150883,0.1100241,-0.3379979,0.1495285,-0.2984935,0.4652326,0.01721052
AT3G53620,AtPPa4,0.2819736,0.32936,0.3842263,0.0473864,0.1022527,0.9084576,0.626484,0.9508893,0.6689157,0.02613301,-0.2558406,0.1363282,-0.1456454,0.7136038,0.4316302,0.4291604,0.1471868,0.3238848,0.04191125,0.454516,0.1725424
AT3G53750,ACT3,-0.3515087,-0.06734811,-0.04420535,0.2841606,0.3073033,0.2997586,0.6512673,0.3461242,0.6976329,0.1457723,0.497281,0.02436158,0.3758703,0.5700363,0.921545,0.3896633,0.741172,0.5856682,0.9371769,0.3378175,0.6893262
AT3G54110,ATPUMP1,0.3816765,0.1665923,0.1411706,-0.2150842,-0.2405059,0.005401916,-0.3762746,-0.008171178,-0.3898477,0.110036,-0.2716405,0.3684867,-0.01318985,0.08126203,-0.3004145,0.3013348,-0.08034174,0.4616544,0.0799778,0.3862441,0.00456758
AT3G54480,SKIP5,-0.07300243,0.05692033,0.02567134,0.1299228,0.09867378,0.2267497,0.2997521,0.1261933,0.1991957,-0.07521021,-0.002207776,-0.004749722,0.06825271,-0.04417694,0.02882549,-0.1706343,-0.09763191,-0.1122128,-0.03921037,-0.08067449,-0.007672058
AT3G54590,ATHRGP1,-0.4356289,2.666569,3.38529,3.102197,3.820918,0.5439376,0.9795664,0.5565597,0.9921886,1.000288,1.435917,2.955497,3.391126,0.4773856,0.9130144,0.6875422,1.123171,0.7746124,1.210241,1.949703,2.385332
AT3G54620,ATBZIP25,0.3126781,0.06923704,0.8475773,-0.2434411,0.5348992,-0.09417717,-0.4068553,0.1831327,-0.1295454,0.2310042,-0.08167391,0.4801233,0.1674452,-0.560023,-0.8727011,0.1816096,-0.1310685,-0.1993255,-0.5120037,0.2493158,-0.06336235
AT3G54640,TRP3,0.07146989,-0.07949008,-0.3550983,-0.15096,-0.4265682,0.4127105,0.3412406,-0.04183287,-0.1133028,0.1981794,0.1267095,0.3302704,0.2588005,0.1532621,0.08179226,0.4366954,0.3652255,0.4413504,0.3698805,0.2370842,0.1656143
AT3G54670,ATSMC1,-0.3698675,-0.3605759,-0.3892479,0.009291595,-0.01938036,-0.4092517,-0.03938418,-0.285527,0.08434053,-0.3016548,0.06821274,-0.4225001,-0.05263259,-0.1592413,0.2106262,-0.5398417,-0.1699742,-0.4575739,-0.08770643,-0.1387064,0.2311611
AT3G54770,ARP1,0.3781454,0.1068098,0.6910649,-0.2713357,0.3129195,0.4506565,0.07251101,0.1244488,-0.2536967,0.1521919,-0.2259535,0.3375989,-0.04054652,0.6505657,0.2724203,0.7035357,0.3253902,0.506001,0.1278555,0.01633438,-0.3618111
AT3G54810,BME3,0.2419482,0.2340935,0.373267,-0.007854666,0.1313189,-0.7443683,-0.9863165,-0.6074745,-0.8494227,-0.125271,-0.3672192,-0.1352558,-0.377204,-0.290806,-0.5327542,-0.5135968,-0.755545,-0.3079635,-0.5499117,-0.4214027,-0.6633509
AT3G54920,PMR6,0.1365798,0.07669394,0.2712744,-0.05988582,0.1346947,-0.5423282,-0.678908,-0.5465128,-0.6830925,-0.2231488,-0.3597286,-0.6864368,-0.8230165,-0.0809197,-0.2174995,-0.6112354,-0.7478152,-0.1699814,-0.3065612,0.1953597,0.05877992
AT3G54960,ATPDI1,0.2543285,0.433117,-0.46355,0.1787885,-0.7178785,-0.4574832,-0.7118117,-0.4409534,-0.6952819,0.4457248,0.1913963,0.4000348,0.1457063,0.1200435,-0.134285,0.1244889,-0.1298396,0.9093035,0.6549749,-0.09658331,-0.3509118
AT3G55360,ATTSC13,0.02616914,0.1514605,-0.1192359,0.1252914,-0.1454051,0.2215353,0.1953661,0.005589316,-0.02057982,0.3961679,0.3699988,0.1947771,0.1686079,0.3651503,0.3389811,0.1410943,0.1149252,0.4348347,0.4086655,0.04891205,0.02274292
AT3G55380,UBC14,0.06211812,0.2331624,0.1044045,0.1710443,0.04228642,0.1819593,0.1198412,0.03378928,-0.02832884,-0.06281971,-0.1249378,0.1678681,0.10575,0.4417323,0.3796141,-0.0438787,-0.1059968,0.1850563,0.1229381,-0.03233702,-0.09445513
AT3G55460,At-SCL30,0.2660697,0.2832627,0.01704167,0.01719302,-0.2490281,0.3515462,0.08547646,0.05270284,-0.2133669,0.17099,-0.09507973,0.08140296,-0.1846668,0.1370365,-0.1290333,-0.0277492,-0.2938189,0.2588436,-0.007226082,0.2996472,0.03357752
AT3G55620,eIF6A,-0.0460347,0.1515087,-0.4874318,0.1975434,-0.4413971,0.5060938,0.5521286,0.2674785,0.3135132,0.08328855,0.1293233,0.3067398,0.3527745,0.4931537,0.5391884,0.5222037,0.5682384,0.3481799,0.3942146,-0.0371018,0.008932898
AT3G56090,ATFER3,1.098554,0.9971048,0.565853,-0.1014492,-0.532701,0.8561813,-0.2423727,1.170102,0.07154793,0.2479548,-0.8505991,1.373951,0.275397,1.430498,0.3319443,0.8376594,-0.2608946,1.588531,0.4899772,0.5642257,-0.5343283
AT3G56190,ALPHA-SNAP2,0.4349725,0.08886585,0.2827685,-0.3461066,-0.152204,-0.1464567,-0.5814292,0.1301502,-0.3048223,-0.008469102,-0.4434416,0.2994793,-0.1354932,-0.1515547,-0.5865271,0.07063344,-0.364339,0.145257,-0.2897155,0.2667243,-0.1682482
AT3G56960,PIP5K4,-1.006686,0.1683385,-0.421173,1.175024,0.5855126,2.470429,3.477115,0.6655173,1.672203,2.9109,3.917586,0.2771092,1.283795,0.869304,1.87599,1.484144,2.490829,0.6166368,1.623322,0.9278525,1.934538
