TAIR,SYMBOL,Log2fc_.Ws_GC_Alight.v.Ws_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_GC_dark.v.Ws_FLT_dark.
AT3G61070,PEX11E,0.9754251,-0.08380526,-1.05923,0.03479451,-0.9406306,-0.249471,-1.224896,0.499035,-0.4763901,-0.3477486,-1.323174,0.07969275,-0.8957323,-0.08757506,-1.063,0.1555734,-0.8198517,-0.2966531,-1.272078,0.7718431,-0.203582
AT3G61130,GAUT1,-0.3484466,-0.007085702,0.3413609,-0.1240863,0.2243603,0.02561993,0.3740665,-0.2226047,0.1258419,0.1616201,0.5100667,-0.1455927,0.2028539,0.01594823,0.3643948,-0.2369625,0.1114841,-0.09387774,0.2545689,-0.2247631,0.1236835
AT3G61140,AtCSN1,-0.693778,-0.1010192,0.5927588,-0.01948289,0.6742951,-0.007222112,0.6865559,0.142061,0.835839,0.07672028,0.7704983,0.02293058,0.7167086,0.4368199,1.130598,-0.3094087,0.3843694,0.1230254,0.8168034,-0.3095297,0.3842483
AT3G61440,ARATH;BSAS3;1,0.7110821,-0.03079173,-0.7418738,0.05997731,-0.6511048,-0.06947797,-0.78056,0.3476043,-0.3634778,-0.1301025,-0.8411846,0.5375541,-0.1735279,0.09448442,-0.6165976,0.1647665,-0.5463156,-0.1390104,-0.8500925,0.03184071,-0.6792414
AT3G61600,ATPOB1,0.4868366,-0.07624049,-0.5630771,0.1412575,-0.3455791,-0.1315383,-0.6183749,-0.04078165,-0.5276183,0.0312284,-0.4556082,0.225438,-0.2613986,-0.1499642,-0.6368008,0.2644963,-0.2223403,0.3250075,-0.1618291,0.4131881,-0.0736485
AT3G61620,RRP41,-0.3964807,0.4167116,0.8131923,0.02810034,0.4245811,0.05479478,0.4512755,0.1052826,0.5017633,0.1803817,0.5768625,0.06617442,0.4626552,0.1849926,0.5814734,-0.2481839,0.1482968,-0.2230875,0.1733932,-0.1020215,0.2944592
AT3G61640,AGP20,-0.2717005,0.6801842,0.9518848,-0.3453624,-0.07366185,-0.06751141,0.2041891,-0.2926559,-0.02095536,0.3360039,0.6077044,-0.2188752,0.05282539,-0.04161438,0.2300862,-0.06528795,0.2064126,-0.5623555,-0.290655,-0.3559099,-0.0842094
AT3G61860,At-RS31,-0.2911706,0.03748445,0.3286551,-0.1703075,0.1208632,-0.1107263,0.1804443,0.1011048,0.3922755,-0.06057765,0.230593,-0.06491911,0.2262515,-0.05928827,0.2318824,-0.1513718,0.1397988,-0.2755357,0.0156349,-0.1114262,0.1797445
AT3G62030,CYP20-3,-0.2230579,0.8222191,1.045277,0.6288827,0.8519406,-0.1171357,0.1059221,0.4495955,0.6726533,0.7607286,0.9837864,0.6162989,0.8393568,0.5760813,0.7991392,0.6282448,0.8513027,-0.1381485,0.08490934,0.3670408,0.5900987
AT3G62420,ATBZIP53,0.2871941,-0.09686707,-0.3840612,0.05435191,-0.2328422,0.1762757,-0.1109184,0.03432174,-0.2528724,-0.198167,-0.4853611,-0.3591131,-0.6463073,-0.349812,-0.6370062,-0.2108864,-0.4980806,-0.1511437,-0.4383378,-0.3056069,-0.592801
