"","X","phyD_FLT_c1.which.mclass....6...1."
"2705",2705,"AT3G60390"
"312",312,"AT1G16080"
"308",308,"AT1G15890"
"2689",2689,"AT3G59410"
"2278",2278,"AT3G21351"
"2432",2432,"AT3G45420"
"4541",4541,"ATMG01320"
"549",549,"AT1G30540"
"3838",3838,"AT5G20450"
"2199",2199,"AT3G17690"
"2100",2100,"AT3G12345"
"1046",1046,"AT1G71110"
"3539",3539,"AT5G03885"
"3132",3132,"AT4G22780"
"691",691,"AT1G49880"
"3078",3078,"AT4G19900"
"234",234,"AT1G11940"
"1283",1283,"AT2G05180"
"2498",2498,"AT3G49000"
"3267",3267,"AT4G29730"
"4251",4251,"AT5G52570"
"2422",2422,"AT3G44798"
"3295",3295,"AT4G31210"
"114",114,"AT1G06225"
"3199",3199,"AT4G26270"
"3756",3756,"AT5G16690"
"52",52,"AT1G03550"
"2646",2646,"AT3G56640"
"3234",3234,"AT4G27970"
"826",826,"AT1G58410"
"2448",2448,"AT3G46668"
"122",122,"AT1G06500"
"1289",1289,"AT2G05632"
"3369",3369,"AT4G35510"
"2046",2046,"AT3G09032"
"3753",3753,"AT5G16520"
"4086",4086,"AT5G43420"
"2492",2492,"AT3G48690"
"1244",1244,"AT2G02070"
"938",938,"AT1G65481"
"3459",3459,"AT4G39630"
"3273",3273,"AT4G29910"
"1540",1540,"AT2G29590"
"3128",3128,"AT4G22580"
"477",477,"AT1G25470"
"233",233,"AT1G11900"
"3580",3580,"AT5G05870"
"60",60,"AT1G03905"
"1430",1430,"AT2G22240"
"501",501,"AT1G27360"
"262",262,"AT1G13635"
"3571",3571,"AT5G05435"
"4300",4300,"AT5G55090"
"2082",2082,"AT3G10930"
"4334",4334,"AT5G57420"
"1636",1636,"AT2G34380"
"1514",1514,"AT2G27480"
"3352",3352,"AT4G34500"
"2358",2358,"AT3G27120"
"615",615,"AT1G35460"
"2531",2531,"AT3G50630"
"174",174,"AT1G09060"
"2996",2996,"AT4G15110"
"4141",4141,"AT5G46510"
"1893",1893,"AT2G47860"
"1763",1763,"AT2G41330"
"589",589,"AT1G32870"
"4450",4450,"AT5G64320"
"1922",1922,"AT3G02130"
"991",991,"AT1G68160"
"806",806,"AT1G56240"
"404",404,"AT1G20650"
"3522",3522,"AT5G03100"
"3380",3380,"AT4G36010"
"1700",1700,"AT2G37560"
"3683",3683,"AT5G11260"
"3978",3978,"AT5G37360"
"503",503,"AT1G27410"
"3252",3252,"AT4G28890"
"3230",3230,"AT4G27845"
"146",146,"AT1G07893"
"3357",3357,"AT4G34800"
"3005",3005,"AT4G15450"
"4306",4306,"AT5G55640"
"373",373,"AT1G18560"
"3050",3050,"AT4G18130"
"1961",1961,"AT3G04070"
"571",571,"AT1G31580"
"541",541,"AT1G29960"
"1257",1257,"AT2G03050"
"3013",3013,"AT4G16000"
"2101",2101,"AT3G12380"
"3642",3642,"AT5G08550"
"3090",3090,"AT4G20720"
"2878",2878,"AT4G08700"
"965",965,"AT1G67310"
"2525",2525,"AT3G50280"
"3323",3323,"AT4G32700"
"2419",2419,"AT3G44550"
"1431",1431,"AT2G22260"
"2300",2300,"AT3G23530"
"2721",2721,"AT3G61320"
"1256",1256,"AT2G02955"
"4537",4537,"ATMG00990"
"400",400,"AT1G20480"
"433",433,"AT1G22403"
"2320",2320,"AT3G24460"
"3619",3619,"AT5G07240"
"1418",1418,"AT2G21370"
"3511",3511,"AT5G02565"
"922",922,"AT1G64630"
"1907",1907,"AT3G01475"
"520",520,"AT1G28685"
"561",561,"AT1G31175"
"3084",3084,"AT4G20130"
"2936",2936,"AT4G12610"
"2108",2108,"AT3G12750"
"4395",4395,"AT5G60810"
"3349",3349,"AT4G34310"
"4061",4061,"AT5G42270"
"247",247,"AT1G12770"
"942",942,"AT1G65950"
"1684",1684,"AT2G37090"
"4299",4299,"AT5G55050"
"4353",4353,"AT5G58160"
"2229",2229,"AT3G18770"
"3366",3366,"AT4G35380"
"4322",4322,"AT5G56930"
"4062",4062,"AT5G42330"
"4514",4514,"ATCG00360"
"2024",2024,"AT3G07670"
"552",552,"AT1G30610"
"1924",1924,"AT3G02242"
"4522",4522,"ATCG01100"
"4333",4333,"AT5G57250"
"2928",2928,"AT4G12020"
"3130",3130,"AT4G22640"
"331",331,"AT1G16825"
"4476",4476,"AT5G65470"
"1821",1821,"AT2G43720"
"3009",3009,"AT4G15840"
"1813",1813,"AT2G43250"
"3673",3673,"AT5G10370"
"906",906,"AT1G63610"
"590",590,"AT1G32900"
"3021",3021,"AT4G16470"
"1406",1406,"AT2G20590"
"3551",3551,"AT5G04490"
"2586",2586,"AT3G53810"
"4098",4098,"AT5G44040"
"1456",1456,"AT2G23620"
"116",116,"AT1G06270"
"8",8,"AT1G01320"
"2019",2019,"AT3G07400"
"667",667,"AT1G48540"
"2831",2831,"AT4G03330"
"3231",3231,"AT4G27852"
"2749",2749,"AT3G63070"
"2064",2064,"AT3G10180"
"197",197,"AT1G10280"
"4528",4528,"ATMG00290"
"3882",3882,"AT5G23690"
"3952",3952,"AT5G28460"
"19",19,"AT1G01930"
"1863",1863,"AT2G46060"
"3206",3206,"AT4G26590"
"4184",4184,"AT5G48990"
"2795",2795,"AT4G01670"
"2715",2715,"AT3G60740"
"3057",3057,"AT4G18470"
"13",13,"AT1G01690"
"2257",2257,"AT3G20270"
"643",643,"AT1G45163"
"3881",3881,"AT5G23680"
"1841",1841,"AT2G44760"
"2103",2103,"AT3G12520"
"3331",3331,"AT4G33145"
"4183",4183,"AT5G48960"
"3646",3646,"AT5G08740"
"4035",4035,"AT5G41025"
"1511",1511,"AT2G27360"
"4360",4360,"AT5G58580"
"1669",1669,"AT2G35760"
"2241",2241,"AT3G19300"
"1162",1162,"AT1G77500"
"1625",1625,"AT2G33735"
"2330",2330,"AT3G24870"
"91",91,"AT1G05140"
"2124",2124,"AT3G13674"
"3759",3759,"AT5G16820"
"3748",3748,"AT5G16040"
"1503",1503,"AT2G26370"
"2025",2025,"AT3G07700"
"863",863,"AT1G61310"
"1634",1634,"AT2G34200"
"2018",2018,"AT3G07360"
"4236",4236,"AT5G51600"
"1100",1100,"AT1G73740"
"4443",4443,"AT5G63800"
"3790",3790,"AT5G18260"
"548",548,"AT1G30475"
"522",522,"AT1G29030"
"4342",4342,"AT5G57740"
"413",413,"AT1G21010"
"4074",4074,"AT5G42880"
"957",957,"AT1G66820"
"132",132,"AT1G07130"
"3599",3599,"AT5G06620"
"1137",1137,"AT1G76065"
"2258",2258,"AT3G20280"
"1388",1388,"AT2G19870"
"2754",2754,"AT3G63290"
"2605",2605,"AT3G54710"
"3155",3155,"AT4G23930"
"2212",2212,"AT3G18260"
"625",625,"AT1G42470"
"137",137,"AT1G07380"
"195",195,"AT1G10240"
"1330",1330,"AT2G15730"
"1697",1697,"AT2G37460"
"2712",2712,"AT3G60670"
"2861",2861,"AT4G05210"
"2412",2412,"AT3G44120"
"1752",1752,"AT2G40810"
"3165",3165,"AT4G24480"
"350",350,"AT1G17650"
"2806",2806,"AT4G01995"
"267",267,"AT1G13800"
"1096",1096,"AT1G73650"
"1849",1849,"AT2G45320"
"3031",3031,"AT4G16920"
"3338",3338,"AT4G33770"
"3489",3489,"AT5G01780"
"1528",1528,"AT2G28690"
"1576",1576,"AT2G31150"
"32",32,"AT1G02440"
"4472",4472,"AT5G65280"
"441",441,"AT1G22890"
"1698",1698,"AT2G37520"
"1064",1064,"AT1G72130"
"4491",4491,"AT5G66480"
"658",658,"AT1G48070"
"3971",3971,"AT5G35970"
"34",34,"AT1G02640"
"3326",3326,"AT4G32790"
"3941",3941,"AT5G27240"
"2221",2221,"AT3G18620"
"3247",3247,"AT4G28590"
"4479",4479,"AT5G65687"
"2340",2340,"AT3G25700"
"3857",3857,"AT5G22220"
"794",794,"AT1G55475"
"1002",1002,"AT1G68862"
"346",346,"AT1G17450"
"2507",2507,"AT3G49380"
"2225",2225,"AT3G18680"
"3001",3001,"AT4G15270"
"11",11,"AT1G01450"
"3797",3797,"AT5G18590"
"3086",3086,"AT4G20340"
"2493",2493,"AT3G48730"
"825",825,"AT1G58400"
"862",862,"AT1G61280"
"3390",3390,"AT4G36515"
"4462",4462,"AT5G64620"
"1380",1380,"AT2G19490"
"995",995,"AT1G68400"
"2002",2002,"AT3G06470"
"4511",4511,"ATCG00150"
"3321",3321,"AT4G32670"
"3687",3687,"AT5G11350"
"3217",3217,"AT4G27100"
"1903",1903,"AT3G01330"
"66",66,"AT1G04130"
"3173",3173,"AT4G25180"
"4",4,"AT1G01080"
"27",27,"AT1G02270"
"3997",3997,"AT5G38850"
"2916",2916,"AT4G11530"
"3546",3546,"AT5G04270"
"632",632,"AT1G43770"
"1622",1622,"AT2G33560"
"2974",2974,"AT4G14365"
"2480",2480,"AT3G48150"
"3490",3490,"AT5G01830"
"967",967,"AT1G67410"
"2622",2622,"AT3G55660"
"1189",1189,"AT1G78690"
"3151",3151,"AT4G23680"
"3812",3812,"AT5G19151"
"3092",3092,"AT4G20760"
"675",675,"AT1G48960"
"4523",4523,"ATCG01230"
"1116",1116,"AT1G74370"
"2299",2299,"AT3G23400"
"3233",3233,"AT4G27940"
"3362",3362,"AT4G35110"
"1616",1616,"AT2G33360"
"2786",2786,"AT4G01220"
"3471",3471,"AT5G01095"
"4039",4039,"AT5G41150"
"4161",4161,"AT5G47970"
"4373",4373,"AT5G59470"
"3638",3638,"AT5G08335"
"4407",4407,"AT5G61640"
"4355",4355,"AT5G58320"
"1071",1071,"AT1G72530"
"3877",3877,"AT5G23400"
"752",752,"AT1G53490"
"4494",4494,"AT5G66790"
"1882",1882,"AT2G46980"
"4048",4048,"AT5G41580"
"3131",3131,"AT4G22770"
"1682",1682,"AT2G36960"
"4352",4352,"AT5G58150"
"4259",4259,"AT5G53010"
"276",276,"AT1G14130"
"4271",4271,"AT5G53920"
"4125",4125,"AT5G45300"
"2319",2319,"AT3G24420"
"947",947,"AT1G66190"
"2596",2596,"AT3G54130"
"2942",2942,"AT4G12910"
"1857",1857,"AT2G45740"
"1180",1180,"AT1G78190"
"1284",1284,"AT2G05185"
"2028",2028,"AT3G07930"
"1603",1603,"AT2G32415"
"2083",2083,"AT3G10960"
"3999",3999,"AT5G38970"
"68",68,"AT1G04240"
"1200",1200,"AT1G79410"
"3749",3749,"AT5G16200"
"2708",2708,"AT3G60510"
"1232",1232,"AT2G01200"
"2152",2152,"AT3G15110"
