"","X","phyD_FLT_c1.which.mclass....9...1."
"2829",2829,"AT5G47730"
"3006",3006,"AT5G61510"
"128",128,"AT1G08780"
"3049",3049,"AT5G64070"
"1116",1116,"AT2G37200"
"2026",2026,"AT4G16265"
"544",544,"AT1G56170"
"195",195,"AT1G14290"
"715",715,"AT1G74020"
"1708",1708,"AT3G51440"
"112",112,"AT1G08230"
"2619",2619,"AT5G19740"
"697",697,"AT1G72480"
"608",608,"AT1G64790"
"1537",1537,"AT3G20870"
"2543",2543,"AT5G14170"
"1766",1766,"AT3G55560"
"2016",2016,"AT4G15770"
"2176",2176,"AT4G28480"
"372",372,"AT1G29330"
"1450",1450,"AT3G14080"
"1370",1370,"AT3G08780"
"2925",2925,"AT5G55130"
"2660",2660,"AT5G23590"
"1685",1685,"AT3G49080"
"1304",1304,"AT3G04500"
"451",451,"AT1G45976"
"1790",1790,"AT3G57490"
"2916",2916,"AT5G54380"
"1776",1776,"AT3G56930"
"3008",3008,"AT5G61770"
"604",604,"AT1G64110"
"2542",2542,"AT5G14105"
"219",219,"AT1G15390"
"2848",2848,"AT5G49100"
"291",291,"AT1G22065"
"2056",2056,"AT4G18700"
"2120",2120,"AT4G25230"
"185",185,"AT1G13450"
"2582",2582,"AT5G17650"
"78",78,"AT1G05890"
"2454",2454,"AT5G08120"
"2960",2960,"AT5G57685"
"1517",1517,"AT3G19120"
"2621",2621,"AT5G19820"
"634",634,"AT1G67105"
"1214",1214,"AT2G45290"
"1880",1880,"AT4G00090"
"3059",3059,"AT5G64810"
"2764",2764,"AT5G41190"
"1863",1863,"AT3G62810"
"3032",3032,"AT5G63195"
"2201",2201,"AT4G30200"
"508",508,"AT1G52730"
"870",870,"AT2G07725"
"48",48,"AT1G04120"
"728",728,"AT1G75190"
"472",472,"AT1G48650"
"123",123,"AT1G08620"
"2012",2012,"AT4G15520"
"469",469,"AT1G48610"
"1511",1511,"AT3G18290"
"814",814,"AT1G80950"
"626",626,"AT1G66150"
"1892",1892,"AT4G00740"
"1639",1639,"AT3G42170"
"2249",2249,"AT4G32850"
"2824",2824,"AT5G47560"
"3094",3094,"AT5G66410"
"111",111,"AT1G08210"
"1069",1069,"AT2G32280"
"2059",2059,"AT4G19003"
"2728",2728,"AT5G35980"
"2421",2421,"AT5G05450"
"3074",3074,"AT5G65640"
"1209",1209,"AT2G45160"
"1793",1793,"AT3G57890"
"2867",2867,"AT5G50300"
"1083",1083,"AT2G33990"
"2448",2448,"AT5G07010"
"2679",2679,"AT5G25360"
"538",538,"AT1G55690"
"2441",2441,"AT5G06450"
"2602",2602,"AT5G18970"
"124",124,"AT1G08640"
"1603",1603,"AT3G27030"
"1786",1786,"AT3G57340"
"2955",2955,"AT5G57370"
"592",592,"AT1G63050"
"2416",2416,"AT5G05000"
"333",333,"AT1G26340"
"1747",1747,"AT3G54320"
"292",292,"AT1G22140"
"650",650,"AT1G68580"
"1301",1301,"AT3G04350"
"2604",2604,"AT5G19010"
"2838",2838,"AT5G48150"
"707",707,"AT1G73180"
"1087",1087,"AT2G34630"
"922",922,"AT2G19080"
"1851",1851,"AT3G62040"
"820",820,"AT2G01190"
"2938",2938,"AT5G56280"
"669",669,"AT1G70300"
"34",34,"AT1G03060"
"658",658,"AT1G69252"
"283",283,"AT1G21560"
"966",966,"AT2G22490"
"1649",1649,"AT3G45090"
"2859",2859,"AT5G49710"
"2219",2219,"AT4G31120"
"1814",1814,"AT3G59500"
"2759",2759,"AT5G40950"
"2877",2877,"AT5G51220"
"2675",2675,"AT5G24980"
"1227",1227,"AT2G45830"
"488",488,"AT1G49950"
"2114",2114,"AT4G24805"
"1548",1548,"AT3G21680"
"766",766,"AT1G77750"
"779",779,"AT1G78880"
"2054",2054,"AT4G18593"
"1317",1317,"AT3G05230"
"3004",3004,"AT5G61440"
"1287",1287,"AT3G03310"
"256",256,"AT1G19310"
"423",423,"AT1G33990"
"178",178,"AT1G12820"
"1340",1340,"AT3G07010"
"1178",1178,"AT2G42390"
"2736",2736,"AT5G37720"
"2488",2488,"AT5G10820"
"217",217,"AT1G15280"
"2853",2853,"AT5G49550"
"2832",2832,"AT5G47820"
"2351",2351,"AT4G38550"
"280",280,"AT1G21080"
"2405",2405,"AT5G04170"
"1437",1437,"AT3G13230"
"1939",1939,"AT4G05160"
"1374",1374,"AT3G09320"
"601",601,"AT1G63780"
"2795",2795,"AT5G44710"
"2419",2419,"AT5G05140"
"69",69,"AT1G05340"
"454",454,"AT1G47270"
"1921",1921,"AT4G03020"
"1687",1687,"AT3G49220"
"1122",1122,"AT2G37760"
"1097",1097,"AT2G35470"
"362",362,"AT1G28420"
"2799",2799,"AT5G45360"
"2869",2869,"AT5G50370"
"1767",1767,"AT3G56090"
"1524",1524,"AT3G19540"
"167",167,"AT1G12160"
"3085",3085,"AT5G65960"
"2432",2432,"AT5G06060"
"1027",1027,"AT2G28390"
"788",788,"AT1G79500"
"73",73,"AT1G05500"
"1017",1017,"AT2G27600"
"1167",1167,"AT2G41250"
"1797",1797,"AT3G58170"
"208",208,"AT1G14810"
"205",205,"AT1G14710"
"2891",2891,"AT5G52210"
"1513",1513,"AT3G18520"
"3045",3045,"AT5G63890"
"1950",1950,"AT4G08310"
"365",365,"AT1G28680"
"2547",2547,"AT5G14530"
"1459",1459,"AT3G14595"
"3091",3091,"AT5G66250"
"3078",3078,"AT5G65770"
"2348",2348,"AT4G38500"
"2078",2078,"AT4G21560"
"458",458,"AT1G47840"
"2042",2042,"AT4G17330"
"156",156,"AT1G11000"
"851",851,"AT2G04240"
"1656",1656,"AT3G46940"
"2166",2166,"AT4G27870"
"1118",1118,"AT2G37380"
"1605",1605,"AT3G27080"
"2184",2184,"AT4G29010"
"76",76,"AT1G05840"
"2119",2119,"AT4G25130"
"2846",2846,"AT5G48940"
"2873",2873,"AT5G50665"
"1753",1753,"AT3G54770"
"2141",2141,"AT4G26300"
"547",547,"AT1G56290"
"1621",1621,"AT3G28690"
"81",81,"AT1G06130"
"853",853,"AT2G04755"
"2229",2229,"AT4G31530"
"1354",1354,"AT3G07630"
"2483",2483,"AT5G10480"
"2703",2703,"AT5G27410"
"3011",3011,"AT5G61880"
"823",823,"AT2G01350"
"620",620,"AT1G65440"
"2287",2287,"AT4G34412"
"2163",2163,"AT4G27720"
"1018",1018,"AT2G27775"
"2067",2067,"AT4G20210"
"315",315,"AT1G24267"
"154",154,"AT1G10890"
"2365",2365,"AT4G39950"
"40",40,"AT1G03280"
"945",945,"AT2G20890"
"331",331,"AT1G25682"
"173",173,"AT1G12640"
"2358",2358,"AT4G39280"
"910",910,"AT2G17990"
"1375",1375,"AT3G09455"
"1610",1610,"AT3G27310"
"1080",1080,"AT2G33510"
"999",999,"AT2G26700"
"2211",2211,"AT4G30850"
"1556",1556,"AT3G22780"
"406",406,"AT1G32130"
"1669",1669,"AT3G47800"
"115",115,"AT1G08370"
"1975",1975,"AT4G11547"
"2730",2730,"AT5G37055"
"1248",1248,"AT2G47390"
"1162",1162,"AT2G40820"
"388",388,"AT1G30890"
"2261",2261,"AT4G33260"
"1267",1267,"AT3G01950"
"653",653,"AT1G68810"
"531",531,"AT1G55210"
"266",266,"AT1G20110"
"2319",2319,"AT4G36640"
"2225",2225,"AT4G31430"
"1119",1119,"AT2G37550"
"2425",2425,"AT5G05640"
"2618",2618,"AT5G19680"
"2765",2765,"AT5G41260"
"2140",2140,"AT4G26210"
"2125",2125,"AT4G25500"
"96",96,"AT1G06900"
"2208",2208,"AT4G30580"
"1977",1977,"AT4G11830"
"2929",2929,"AT5G55310"
"245",245,"AT1G17745"
"2005",2005,"AT4G14465"
"1289",1289,"AT3G03330"
"376",376,"AT1G29640"
"356",356,"AT1G28200"
"826",826,"AT2G01630"
"1980",1980,"AT4G12230"
"1380",1380,"AT3G09850"
"2392",2392,"AT5G03080"
"2030",2030,"AT4G16380"
"1890",1890,"AT4G00660"
"2932",2932,"AT5G55790"
"1658",1658,"AT3G47200"
"3040",3040,"AT5G63650"
"1588",1588,"AT3G25860"
"940",940,"AT2G20670"
"1509",1509,"AT3G18165"
"1785",1785,"AT3G57320"
"824",824,"AT2G01570"
"2755",2755,"AT5G40650"
"262",262,"AT1G19835"
"284",284,"AT1G21690"
"1521",1521,"AT3G19420"
"2373",2373,"AT5G01340"
"930",930,"AT2G19600"
"2301",2301,"AT4G35335"
"2946",2946,"AT5G56680"
"1249",1249,"AT2G47440"
"341",341,"AT1G26920"
"368",368,"AT1G29050"
"2020",2020,"AT4G15930"
"1923",1923,"AT4G03110"
"1381",1381,"AT3G09890"
"2865",2865,"AT5G50175"
"2193",2193,"AT4G29520"
"3077",3077,"AT5G65760"
"162",162,"AT1G11750"
"616",616,"AT1G65260"
"2986",2986,"AT5G59770"
"1810",1810,"AT3G59020"
"1179",1179,"AT2G42490"
"1458",1458,"AT3G14440"
"2890",2890,"AT5G52200"
"414",414,"AT1G33050"
"2656",2656,"AT5G23360"
"2733",2733,"AT5G37370"
"1323",1323,"AT3G05990"
"3053",3053,"AT5G64300"
"1257",1257,"AT3G01050"
"787",787,"AT1G79440"
"2187",2187,"AT4G29210"
"1913",1913,"AT4G02440"
"2044",2044,"AT4G17486"
"2845",2845,"AT5G48920"
"1794",1794,"AT3G58030"
"1189",1189,"AT2G43360"
"1965",1965,"AT4G10140"
"1184",1184,"AT2G43070"
"2397",2397,"AT5G03500"
"591",591,"AT1G62820"
"385",385,"AT1G30550"
"1971",1971,"AT4G10810"
"917",917,"AT2G18670"
"2316",2316,"AT4G36360"
"2830",2830,"AT5G47750"
"1792",1792,"AT3G57860"
"949",949,"AT2G21240"
"2791",2791,"AT5G43960"
"5",5,"AT1G01170"
"1316",1316,"AT3G05220"
"435",435,"AT1G35780"
"1845",1845,"AT3G61620"
"2105",2105,"AT4G24400"
"1791",1791,"AT3G57560"
"1345",1345,"AT3G07160"
"2975",2975,"AT5G58787"
"1247",1247,"AT2G47250"
"2528",2528,"AT5G13260"
"2573",2573,"AT5G16910"
"13",13,"AT1G01640"
"1212",1212,"AT2G45245"
"2086",2086,"AT4G22235"
"897",897,"AT2G17120"
"2990",2990,"AT5G60210"
"2961",2961,"AT5G57700"
"1988",1988,"AT4G13200"
"3111",3111,"ATCG00480"
"1467",1467,"AT3G15290"
"418",418,"AT1G33520"
"2523",2523,"AT5G13070"
"1197",1197,"AT2G44360"
"1367",1367,"AT3G08710"
"2164",2164,"AT4G27750"
"1353",1353,"AT3G07590"
"2369",2369,"AT5G01040"
"2933",2933,"AT5G55910"
"981",981,"AT2G24790"
"2789",2789,"AT5G43850"
"1084",1084,"AT2G34020"
"1455",1455,"AT3G14390"
"754",754,"AT1G76880"
"1055",1055,"AT2G31140"
"1512",1512,"AT3G18490"
"59",59,"AT1G04940"
"1378",1378,"AT3G09770"
"2439",2439,"AT5G06370"
"2431",2431,"AT5G05980"
"975",975,"AT2G24100"
"3106",3106,"AT5G67480"
"560",560,"AT1G59940"
"1059",1059,"AT2G31440"
"1308",1308,"AT3G04610"
"2787",2787,"AT5G43560"
"713",713,"AT1G73840"
"2724",2724,"AT5G35560"
"2455",2455,"AT5G08190"
"355",355,"AT1G28190"
"338",338,"AT1G26680"
"455",455,"AT1G47290"
"267",267,"AT1G20190"
"2558",2558,"AT5G15750"
"2775",2775,"AT5G42250"
"85",85,"AT1G06290"
"2329",2329,"AT4G37250"
"736",736,"AT1G75710"
"1461",1461,"AT3G14660"
"898",898,"AT2G17130"
"1781",1781,"AT3G57090"
"2953",2953,"AT5G57270"
"2040",2040,"AT4G17100"
"1430",1430,"AT3G12970"
"404",404,"AT1G32100"
"89",89,"AT1G06540"
"126",126,"AT1G08700"
"859",859,"AT2G05830"
"1096",1096,"AT2G35190"
"1752",1752,"AT3G54690"
"1848",1848,"AT3G61850"
"1558",1558,"AT3G22950"
"1132",1132,"AT2G38360"
"2043",2043,"AT4G17420"
"226",226,"AT1G15960"
"1811",1811,"AT3G59360"
"172",172,"AT1G12580"
"2880",2880,"AT5G51430"
"1193",1193,"AT2G43950"
"1955",1955,"AT4G08810"
"3072",3072,"AT5G65620"
"2250",2250,"AT4G32870"
"985",985,"AT2G25790"
"1016",1016,"AT2G27550"
"21",21,"AT1G02080"
"483",483,"AT1G49590"
"2709",2709,"AT5G27730"
"1094",1094,"AT2G35010"
"685",685,"AT1G71865"
"1675",1675,"AT3G48410"
"3115",3115,"ATCG01010"
"2610",2610,"AT5G19340"
"22",22,"AT1G02090"
"2976",2976,"AT5G58920"
"2537",2537,"AT5G13980"
"1429",1429,"AT3G12950"
"2089",2089,"AT4G22305"
"659",659,"AT1G69340"
"1506",1506,"AT3G18040"
"2481",2481,"AT5G10330"
"3050",3050,"AT5G64180"
"645",645,"AT1G68100"
"223",223,"AT1G15860"
"1612",1612,"AT3G27350"
"2600",2600,"AT5G18900"
"3110",3110,"ATCG00470"
"8",8,"AT1G01300"
"2440",2440,"AT5G06395"
"1982",1982,"AT4G12560"
"1601",1601,"AT3G26935"
"530",530,"AT1G55205"
"554",554,"AT1G58100"
"2177",2177,"AT4G28510"
"2055",2055,"AT4G18670"
"886",886,"AT2G16365"
"639",639,"AT1G67590"
"1285",1285,"AT3G02935"
"2948",2948,"AT5G56890"
"2131",2131,"AT4G25730"
"2768",2768,"AT5G41940"
"2063",2063,"AT4G19670"
"1221",1221,"AT2G45540"
"43",43,"AT1G03590"
"2034",2034,"AT4G16660"
"3",3,"AT1G01110"
"18",18,"AT1G01940"
"682",682,"AT1G71790"
"1869",1869,"AT3G63120"
"2272",2272,"AT4G33890"
"405",405,"AT1G32127"
"1039",1039,"AT2G29125"
"1904",1904,"AT4G01870"
"2716",2716,"AT5G28080"
"2235",2235,"AT4G31910"
"619",619,"AT1G65295"
"1678",1678,"AT3G48710"
"761",761,"AT1G77510"
"2935",2935,"AT5G56020"
"2625",2625,"AT5G20350"
"1978",1978,"AT4G11850"
"432",432,"AT1G35620"
"1581",1581,"AT3G25500"
"714",714,"AT1G73920"
"1470",1470,"AT3G15395"
"2771",2771,"AT5G41990"
"2149",2149,"AT4G26690"
"1033",1033,"AT2G28740"
"1780",1780,"AT3G57080"
"2217",2217,"AT4G31040"
"703",703,"AT1G72840"
"2352",2352,"AT4G38570"
"427",427,"AT1G34320"
"2323",2323,"AT4G36890"
"2943",2943,"AT5G56630"
"2993",2993,"AT5G60540"
"3080",3080,"AT5G65810"
"2474",2474,"AT5G09620"
"480",480,"AT1G49400"
"2009",2009,"AT4G15093"
"1201",1201,"AT2G44525"
"1355",1355,"AT3G07650"
"1997",1997,"AT4G14110"
"1073",1073,"AT2G32710"
"2516",2516,"AT5G12390"
"1315",1315,"AT3G05165"
"176",176,"AT1G12780"
"1280",1280,"AT3G02640"
"1215",1215,"AT2G45300"
"1477",1477,"AT3G15970"
"603",603,"AT1G64060"
"1654",1654,"AT3G46500"
"1873",1873,"AT3G63390"
"1182",1182,"AT2G42880"
"751",751,"AT1G76590"
"817",817,"AT2G01020"
"1291",1291,"AT3G03420"
"1020",1020,"AT2G27970"
"1325",1325,"AT3G06060"
"281",281,"AT1G21380"
"44",44,"AT1G03610"
"763",763,"AT1G77610"
"2383",2383,"AT5G02040"
"1722",1722,"AT3G52430"
"783",783,"AT1G79180"
"1368",1368,"AT3G08730"
"2591",2591,"AT5G18230"
"757",757,"AT1G77080"
"2313",2313,"AT4G36180"
"955",955,"AT2G22000"
"2598",2598,"AT5G18850"
"1953",1953,"AT4G08685"
"407",407,"AT1G32370"
"1872",1872,"AT3G63260"
"786",786,"AT1G79380"
"1278",1278,"AT3G02570"
"1392",1392,"AT3G10500"
"55",55,"AT1G04590"
"2952",2952,"AT5G57110"
"2849",2849,"AT5G49280"
"1883",1883,"AT4G00200"
"3096",3096,"AT5G66540"
"2826",2826,"AT5G47630"
"2357",2357,"AT4G38890"
"1889",1889,"AT4G00620"
"915",915,"AT2G18510"
"775",775,"AT1G78570"
"1944",1944,"AT4G07410"
"1476",1476,"AT3G15820"
"2857",2857,"AT5G49645"
"3099",3099,"AT5G66930"
"177",177,"AT1G12810"
"1547",1547,"AT3G21610"
"2922",2922,"AT5G54980"
"1660",1660,"AT3G47220"
"2636",2636,"AT5G21160"
"1233",1233,"AT2G46225"
"1265",1265,"AT3G01820"
"719",719,"AT1G74380"
"3113",3113,"ATCG00800"
"1594",1594,"AT3G26512"
"822",822,"AT2G01270"
"1400",1400,"AT3G11330"
"749",749,"AT1G76550"
"1544",1544,"AT3G21465"
"225",225,"AT1G15920"
"1525",1525,"AT3G19630"
"551",551,"AT1G57765"
"964",964,"AT2G22430"
"2701",2701,"AT5G27395"
"1078",1078,"AT2G33390"
"1320",1320,"AT3G05500"
"2277",2277,"AT4G34030"
"1861",1861,"AT3G62660"
"976",976,"AT2G24180"
"327",327,"AT1G25380"
"2870",2870,"AT5G50430"
"1431",1431,"AT3G13040"
"2092",2092,"AT4G23410"
"1061",1061,"AT2G31710"
"54",54,"AT1G04537"
"1350",1350,"AT3G07460"
"1180",1180,"AT2G42710"
"628",628,"AT1G66260"
"1010",1010,"AT2G27190"
"463",463,"AT1G48210"
"1983",1983,"AT4G12730"
"2739",2739,"AT5G38200"
"1631",1631,"AT3G29575"
"1726",1726,"AT3G52760"
"2378",2378,"AT5G01710"
"805",805,"AT1G80560"
"722",722,"AT1G74720"
"908",908,"AT2G17790"
"776",776,"AT1G78630"
"1101",1101,"AT2G35880"
"497",497,"AT1G50670"
"600",600,"AT1G63700"
"2304",2304,"AT4G35410"
"50",50,"AT1G04260"
"276",276,"AT1G20970"
"2285",2285,"AT4G34270"
"2485",2485,"AT5G10695"
"2529",2529,"AT5G13280"
"2126",2126,"AT4G25660"
"3021",3021,"AT5G62440"
"1406",1406,"AT3G11810"
"2651",2651,"AT5G22950"
"602",602,"AT1G63800"
"263",263,"AT1G19880"
"2640",2640,"AT5G22300"
"1081",1081,"AT2G33840"
"2367",2367,"AT4G40042"
"1798",1798,"AT3G58180"
"679",679,"AT1G71692"
"1128",1128,"AT2G38080"
"2518",2518,"AT5G12860"
"2376",2376,"AT5G01610"
"1452",1452,"AT3G14180"
"1053",1053,"AT2G31060"
"1019",1019,"AT2G27830"
"2796",2796,"AT5G44720"
"1636",1636,"AT3G41762"
"66",66,"AT1G05170"
"1857",1857,"AT3G62450"
"2006",2006,"AT4G14510"
"443",443,"AT1G43860"
"812",812,"AT1G80790"
"1759",1759,"AT3G55020"
"1369",1369,"AT3G08760"
"2967",2967,"AT5G58090"
"1541",1541,"AT3G21215"
"1172",1172,"AT2G41710"
"1160",1160,"AT2G40660"
"2360",2360,"AT4G39460"
"2560",2560,"AT5G15880"
"2148",2148,"AT4G26620"
"2322",2322,"AT4G36730"
"1469",1469,"AT3G15380"
"615",615,"AT1G65040"
"2361",2361,"AT4G39690"
"393",393,"AT1G31340"
"1754",1754,"AT3G54826"
"326",326,"AT1G25350"
"2586",2586,"AT5G17900"
"2291",2291,"AT4G34920"
"228",228,"AT1G16040"
"1054",1054,"AT2G31085"
"1967",1967,"AT4G10330"
"617",617,"AT1G65270"
"1123",1123,"AT2G37790"
"2550",2550,"AT5G14750"
"1746",1746,"AT3G54300"
"311",311,"AT1G23800"
"811",811,"AT1G80700"
"1683",1683,"AT3G48880"
"2052",2052,"AT4G18140"
"131",131,"AT1G09070"
"931",931,"AT2G19640"
"2852",2852,"AT5G49480"
"213",213,"AT1G15020"
"2519",2519,"AT5G12940"
"313",313,"AT1G24170"
"2914",2914,"AT5G54110"
"3014",3014,"AT5G62000"
"1725",1725,"AT3G52640"
"2956",2956,"AT5G57410"
"1571",1571,"AT3G24120"
"2595",2595,"AT5G18500"
"1185",1185,"AT2G43080"
"1933",1933,"AT4G04780"
"942",942,"AT2G20810"
"342",342,"AT1G26930"
"2706",2706,"AT5G27540"
"2060",2060,"AT4G19150"
"1936",1936,"AT4G04910"
"27",27,"AT1G02520"
"2240",2240,"AT4G32400"
"3015",3015,"AT5G62050"
"2971",2971,"AT5G58490"
"1134",1134,"AT2G38550"
"2428",2428,"AT5G05750"
"1175",1175,"AT2G41945"
"310",310,"AT1G23780"
"2344",2344,"AT4G38350"
"61",61,"AT1G04960"
"2047",2047,"AT4G17890"
"2631",2631,"AT5G20660"
"1963",1963,"AT4G10080"
"1974",1974,"AT4G11380"
"1396",1396,"AT3G10940"
"2443",2443,"AT5G06665"
"911",911,"AT2G18050"
"924",924,"AT2G19270"
"2589",2589,"AT5G18150"
"902",902,"AT2G17290"
"2175",2175,"AT4G28450"
"2684",2684,"AT5G25830"
"518",518,"AT1G54120"
"2328",2328,"AT4G37120"
"553",553,"AT1G58080"
"2552",2552,"AT5G15080"
"2627",2627,"AT5G20550"
"2511",2511,"AT5G12190"
"873",873,"AT2G12646"
"3109",3109,"ATCG00340"
"988",988,"AT2G26060"
"1413",1413,"AT3G12110"
"2237",2237,"AT4G32140"
"843",843,"AT2G03510"
"1318",1318,"AT3G05290"
"1428",1428,"AT3G12780"
"1426",1426,"AT3G12710"
"980",980,"AT2G24755"
"378",378,"AT1G29790"
"1037",1037,"AT2G28890"
"146",146,"AT1G10430"
"1969",1969,"AT4G10610"
"2834",2834,"AT5G47870"
"590",590,"AT1G62810"
"1310",1310,"AT3G04810"
"198",198,"AT1G14380"
"1125",1125,"AT2G37940"
"891",891,"AT2G16640"
"288",288,"AT1G21880"
"1871",1871,"AT3G63200"
"3118",3118,"ATMG00660"
"2833",2833,"AT5G47840"
"446",446,"AT1G44810"
"2931",2931,"AT5G55610"
"1940",1940,"AT4G05390"
"3076",3076,"AT5G65720"
"1007",1007,"AT2G27100"
"1463",1463,"AT3G15010"
"2804",2804,"AT5G45480"
"883",883,"AT2G15480"
"938",938,"AT2G20390"
"268",268,"AT1G20460"
"1235",1235,"AT2G46270"
"1135",1135,"AT2G38560"
"1109",1109,"AT2G36460"
"2300",2300,"AT4G35300"
"2937",2937,"AT5G56150"
"655",655,"AT1G68990"
"857",857,"AT2G05590"
"1593",1593,"AT3G26370"
"1758",1758,"AT3G55005"
"614",614,"AT1G65030"
"275",275,"AT1G20950"
"2814",2814,"AT5G46750"
"2700",2700,"AT5G27380"
"343",343,"AT1G27030"
"1025",1025,"AT2G28330"
"1900",1900,"AT4G01395"
"537",537,"AT1G55680"
"1414",1414,"AT3G12130"
"1333",1333,"AT3G06590"
"2623",2623,"AT5G20000"
"441",441,"AT1G43580"
"2746",2746,"AT5G39600"
"129",129,"AT1G08820"
"431",431,"AT1G35320"
"2714",2714,"AT5G27920"
"2712",2712,"AT5G27840"
"867",867,"AT2G07050"
"543",543,"AT1G55890"
"2209",2209,"AT4G30750"
"1158",1158,"AT2G40620"
"2913",2913,"AT5G54080"
"2908",2908,"AT5G53550"
"1945",1945,"AT4G07855"
"2099",2099,"AT4G23910"
"833",833,"AT2G02040"
"1640",1640,"AT3G43430"
"992",992,"AT2G26230"
"862",862,"AT2G06025"
"1756",1756,"AT3G54860"
"597",597,"AT1G63470"
"916",916,"AT2G18630"
"328",328,"AT1G25420"
"147",147,"AT1G10500"
"2962",2962,"AT5G57815"
"2751",2751,"AT5G40080"
"666",666,"AT1G69980"
"2851",2851,"AT5G49400"
"606",606,"AT1G64280"
"2670",2670,"AT5G24710"
"1840",1840,"AT3G61240"
"117",117,"AT1G08450"
"2241",2241,"AT4G32420"
"925",925,"AT2G19340"
"953",953,"AT2G21560"
