"","phyD_FLT_c1.which.mclass....7...1."
"453","AT1G64561"
"454","AT1G64590"
"455","AT1G64820"
"456","AT1G64930"
"457","AT1G65110"
"458","AT1G65130"
"459","AT1G65150"
"460","AT1G65230"
"461","AT1G65310"
"462","AT1G65483"
"463","AT1G65484"
"464","AT1G65486"
"465","AT1G66040"
"466","AT1G66060"
"467","AT1G66130"
"468","AT1G66540"
"469","AT1G66650"
"470","AT1G66725"
"471","AT1G66780"
"472","AT1G66970"
"473","AT1G67025"
"474","AT1G67265"
"475","AT1G67270"
"476","AT1G67370"
"477","AT1G67520"
"478","AT1G67650"
"479","AT1G67740"
"480","AT1G67760"
"481","AT1G68010"
"482","AT1G68350"
"483","AT1G68390"
"484","AT1G68460"
"485","AT1G68470"
"486","AT1G68540"
"487","AT1G68585"
"488","AT1G68700"
"489","AT1G68723"
"490","AT1G68725"
"491","AT1G68740"
"492","AT1G68890"
"493","AT1G69085"
"494","AT1G69150"
"495","AT1G69160"
"496","AT1G69310"
"497","AT1G69350"
"498","AT1G69430"
"499","AT1G69630"
"500","AT1G69880"
"501","AT1G70185"
"502","AT1G70260"
"503","AT1G70430"
"504","AT1G70440"
"505","AT1G70450"
"506","AT1G70475"
"507","AT1G70760"
"508","AT1G70800"
"509","AT1G70880"
"510","AT1G70920"
"511","AT1G70985"
"512","AT1G71050"
"513","AT1G71490"
"514","AT1G71920"
"515","AT1G72100"
"516","AT1G72110"
"517","AT1G72540"
"518","AT1G72590"
"519","AT1G72610"
"520","AT1G72660"
"521","AT1G73040"
"522","AT1G73110"
"523","AT1G73140"
"524","AT1G73290"
"525","AT1G73360"
"526","AT1G73550"
"527","AT1G74400"
"528","AT1G74453"
"529","AT1G74580"
"530","AT1G74890"
"531","AT1G75166"
"532","AT1G75260"
"533","AT1G75550"
"534","AT1G75600"
"535","AT1G75620"
"536","AT1G75690"
"537","AT1G75700"
"538","AT1G75920"
"539","AT1G75960"
"540","AT1G76062"
"541","AT1G76210"
"542","AT1G76640"
"543","AT1G76705"
"544","AT1G76800"
"545","AT1G76870"
"546","AT1G77010"
"547","AT1G77138"
"548","AT1G77270"
"549","AT1G77405"
"550","AT1G77410"
"551","AT1G77525"
"552","AT1G77730"
"553","AT1G77860"
"554","AT1G77932"
"555","AT1G77992"
"556","AT1G78206"
"557","AT1G78320"
"558","AT1G78410"
"559","AT1G78460"
"560","AT1G78470"
"561","AT1G78750"
"562","AT1G78940"
"563","AT1G78950"
"564","AT1G78990"
"565","AT1G79103"
"566","AT1G79130"
"567","AT1G79330"
"568","AT1G79360"
"569","AT1G79780"
"570","AT1G79910"
"571","AT1G79915"
"572","AT1G80340"
"573","AT1G80555"
"574","AT1G80960"
"575","AT2G01023"
"576","AT2G01280"
"577","AT2G01320"
"578","AT2G01610"
"579","AT2G01755"
"580","AT2G01770"
"581","AT2G01810"
"582","AT2G01870"
"583","AT2G01960"
"584","AT2G01990"
"585","AT2G02000"
"586","AT2G02240"
"587","AT2G02300"
"588","AT2G02340"
"589","AT2G02700"
"590","AT2G02720"
"591","AT2G02990"
"592","AT2G03010"
"593","AT2G03110"
"594","AT2G03360"
"595","AT2G03420"
"596","AT2G03530"
"597","AT2G03630"
"598","AT2G03710"
"599","AT2G03770"
"600","AT2G03895"
"601","AT2G03980"
"602","AT2G03995"
"603","AT2G04039"
"604","AT2G04050"
"605","AT2G04065"
"606","AT2G04137"
