"","col_c1.which.mclass....9...1."
"699","AT1G70070"
"700","AT1G70080"
"701","AT1G70140"
"702","AT1G70170"
"703","AT1G70335"
"704","AT1G70360"
"705","AT1G70460"
"706","AT1G70470"
"707","AT1G70500"
"708","AT1G70505"
"709","AT1G70518"
"710","AT1G70610"
"711","AT1G70630"
"712","AT1G70650"
"713","AT1G70700"
"714","AT1G70880"
"715","AT1G71015"
"716","AT1G71050"
"717","AT1G71060"
"718","AT1G71240"
"719","AT1G71360"
"720","AT1G71380"
"721","AT1G71460"
"722","AT1G71500"
"723","AT1G71720"
"724","AT1G71810"
"725","AT1G71870"
"726","AT1G71930"
"727","AT1G72120"
"728","AT1G72125"
"729","AT1G72180"
"730","AT1G72220"
"731","AT1G72240"
"732","AT1G72275"
"733","AT1G72280"
"734","AT1G72450"
"735","AT1G72500"
"736","AT1G72530"
"737","AT1G72600"
"738","AT1G72640"
"739","AT1G72870"
"740","AT1G72890"
"741","AT1G72970"
"742","AT1G73020"
"743","AT1G73090"
"744","AT1G73130"
"745","AT1G73210"
"746","AT1G73220"
"747","AT1G73280"
"748","AT1G73310"
"749","AT1G73320"
"750","AT1G73370"
"751","AT1G73400"
"752","AT1G73410"
"753","AT1G73580"
"754","AT1G73630"
"755","AT1G73640"
"756","AT1G73690"
"757","AT1G73710"
"758","AT1G73750"
"759","AT1G73860"
"760","AT1G73885"
"761","AT1G73910"
"762","AT1G74055"
"763","AT1G74120"
"764","AT1G74150"
"765","AT1G74170"
"766","AT1G74180"
"767","AT1G74300"
"768","AT1G74310"
"769","AT1G74390"
"770","AT1G74460"
"771","AT1G74470"
"772","AT1G74490"
"773","AT1G74550"
"774","AT1G74600"
"775","AT1G74710"
"776","AT1G74750"
"777","AT1G74830"
"778","AT1G74860"
"779","AT1G74900"
"780","AT1G75000"
"781","AT1G75010"
"782","AT1G75030"
"783","AT1G75060"
"784","AT1G75110"
"785","AT1G75250"
"786","AT1G75300"
"787","AT1G75490"
"788","AT1G75700"
"789","AT1G75717"
"790","AT1G75720"
"791","AT1G75820"
"792","AT1G75960"
"793","AT1G76110"
"794","AT1G76130"
"795","AT1G76220"
"796","AT1G76470"
"797","AT1G76740"
"798","AT1G76780"
"799","AT1G77122"
"800","AT1G77145"
"801","AT1G77170"
"802","AT1G77200"
"803","AT1G77240"
"804","AT1G77280"
"805","AT1G77360"
"806","AT1G77390"
"807","AT1G77400"
"808","AT1G77460"
"809","AT1G77490"
"810","AT1G77530"
"811","AT1G77570"
"812","AT1G77600"
"813","AT1G77700"
"814","AT1G77765"
"815","AT1G77850"
"816","AT1G77880"
"817","AT1G78070"
"818","AT1G78090"
"819","AT1G78140"
"820","AT1G78180"
"821","AT1G78360"
"822","AT1G78430"
"823","AT1G78510"
"824","AT1G78540"
"825","AT1G78865"
"826","AT1G78915"
"827","AT1G78930"
"828","AT1G78955"
"829","AT1G78960"
"830","AT1G79110"
"831","AT1G79220"
"832","AT1G79310"
"833","AT1G79330"
"834","AT1G79420"
"835","AT1G79480"
"836","AT1G79490"
"837","AT1G79510"
"838","AT1G79640"
"839","AT1G79840"
"840","AT1G80030"
"841","AT1G80060"
"842","AT1G80110"
"843","AT1G80120"
"844","AT1G80165"
"845","AT1G80200"
"846","AT1G80315"
"847","AT1G80820"
"848","AT1G80880"
"849","AT1G80900"
"850","AT1G80970"
"851","AT2G01275"
"852","AT2G01290"
"853","AT2G01330"
"854","AT2G01510"
"855","AT2G01620"
"856","AT2G01740"
"857","AT2G01860"
"858","AT2G01880"
"859","AT2G01900"
"860","AT2G01905"
"861","AT2G02020"
"862","AT2G02080"
"863","AT2G02120"
"864","AT2G02150"
"865","AT2G02250"
"866","AT2G02350"
"867","AT2G02410"
"868","AT2G02620"
"869","AT2G02635"
"870","AT2G02690"
"871","AT2G02750"
"872","AT2G02950"
"873","AT2G03200"
"874","AT2G03260"
"875","AT2G03280"
"876","AT2G03330"
"877","AT2G03450"
"878","AT2G03600"
"879","AT2G03720"
"880","AT2G03925"
"881","AT2G04040"
"882","AT2G04205"
"883","AT2G04230"
"884","AT2G04450"
"885","AT2G04530"
"886","AT2G04560"
"887","AT2G04620"
"888","AT2G04680"
"889","AT2G04795"
"890","AT2G04805"
"891","AT2G04842"
"892","AT2G05185"
"893","AT2G05215"
"894","AT2G05540"
"895","AT2G05620"
"896","AT2G05760"
"897","AT2G05910"
"898","AT2G06200"
"899","AT2G06305"
"900","AT2G06465"
"901","AT2G07325"
"902","AT2G07585"
"903","AT2G07633"
"904","AT2G07638"
"905","AT2G07655"
