"","WS_FLT_c1.which.mclass....3...1."
"552","AT1G23140"
"553","AT1G23160"
"554","AT1G23170"
"555","AT1G23180"
"556","AT1G23230"
"557","AT1G23330"
"558","AT1G23340"
"559","AT1G23380"
"560","AT1G23390"
"561","AT1G23530"
"562","AT1G23710"
"563","AT1G23790"
"564","AT1G23880"
"565","AT1G23890"
"566","AT1G23900"
"567","AT1G23970"
"568","AT1G23980"
"569","AT1G24030"
"570","AT1G24040"
"571","AT1G24095"
"572","AT1G24100"
"573","AT1G24130"
"574","AT1G24150"
"575","AT1G24240"
"576","AT1G24265"
"577","AT1G24280"
"578","AT1G24290"
"579","AT1G24300"
"580","AT1G24320"
"581","AT1G24340"
"582","AT1G24490"
"583","AT1G24600"
"584","AT1G24620"
"585","AT1G24706"
"586","AT1G24793"
"587","AT1G25145"
"588","AT1G25290"
"589","AT1G25375"
"590","AT1G25450"
"591","AT1G25460"
"592","AT1G25470"
"593","AT1G25480"
"594","AT1G25540"
"595","AT1G25560"
"596","AT1G25570"
"597","AT1G26090"
"598","AT1G26120"
"599","AT1G26160"
"600","AT1G26170"
"601","AT1G26190"
"602","AT1G26208"
"603","AT1G26218"
"604","AT1G26260"
"605","AT1G26370"
"606","AT1G26520"
"607","AT1G26620"
"608","AT1G26700"
"609","AT1G26730"
"610","AT1G26760"
"611","AT1G26800"
"612","AT1G26870"
"613","AT1G26900"
"614","AT1G27020"
"615","AT1G27060"
"616","AT1G27070"
"617","AT1G27100"
"618","AT1G27140"
"619","AT1G27200"
"620","AT1G27210"
"621","AT1G27360"
"622","AT1G27370"
"623","AT1G27380"
"624","AT1G27420"
"625","AT1G27430"
"626","AT1G27460"
"627","AT1G27500"
"628","AT1G27510"
"629","AT1G27520"
"630","AT1G27540"
"631","AT1G27595"
"632","AT1G27620"
"633","AT1G27660"
"634","AT1G27680"
"635","AT1G27690"
"636","AT1G27730"
"637","AT1G27740"
"638","AT1G27750"
"639","AT1G27752"
"640","AT1G27840"
"641","AT1G27850"
"642","AT1G27900"
"643","AT1G27920"
"644","AT1G27921"
"645","AT1G27950"
"646","AT1G27960"
"647","AT1G27980"
"648","AT1G28050"
"649","AT1G28070"
"650","AT1G28090"
"651","AT1G28210"
"652","AT1G28240"
"653","AT1G28260"
"654","AT1G28320"
"655","AT1G28380"
"656","AT1G28390"
"657","AT1G28410"
"658","AT1G28440"
"659","AT1G28470"
"660","AT1G28520"
"661","AT1G28560"
"662","AT1G28685"
"663","AT1G28715"
"664","AT1G28760"
"665","AT1G29030"
"666","AT1G29160"
"667","AT1G29170"
"668","AT1G29195"
"669","AT1G29220"
"670","AT1G29270"
"671","AT1G29290"
"672","AT1G29300"
"673","AT1G29340"
"674","AT1G29357"
"675","AT1G29380"
"676","AT1G29400"
"677","AT1G29465"
"678","AT1G29530"
"679","AT1G29550"
"680","AT1G29630"
"681","AT1G29640"
"682","AT1G29690"
"683","AT1G29710"
"684","AT1G29760"
"685","AT1G29800"
"686","AT1G29840"
"687","AT1G29930"
"688","AT1G29960"
"689","AT1G30090"
"690","AT1G30200"
"691","AT1G30240"
"692","AT1G30260"
"693","AT1G30320"
"694","AT1G30420"
"695","AT1G30450"
"696","AT1G30460"
"697","AT1G30470"
"698","AT1G30475"
"699","AT1G30490"
"700","AT1G30540"
"701","AT1G30545"
"702","AT1G30600"
"703","AT1G30640"
"704","AT1G30680"
"705","AT1G30720"
"706","AT1G30730"
"707","AT1G30755"
"708","AT1G30810"
"709","AT1G30840"
"710","AT1G30845"
"711","AT1G30960"
"712","AT1G31010"
"713","AT1G31070"
"714","AT1G31120"
"715","AT1G31175"
"716","AT1G31220"
"717","AT1G31230"
"718","AT1G31320"
"719","AT1G31330"
"720","AT1G31335"
"721","AT1G31350"
"722","AT1G31360"
"723","AT1G31410"
"724","AT1G31440"
"725","AT1G31460"
"726","AT1G31470"
"727","AT1G31480"
"728","AT1G31500"
"729","AT1G31540"
"730","AT1G31600"
"731","AT1G31650"
"732","AT1G31710"
"733","AT1G31720"
"734","AT1G31810"
"735","AT1G31814"
"736","AT1G31835"
"737","AT1G31870"
"738","AT1G31880"
"739","AT1G31885"
"740","AT1G31930"
"741","AT1G32070"
"742","AT1G32150"
"743","AT1G32160"
"744","AT1G32200"
"745","AT1G32330"
