"","WS_GC_c1.which.mclass....2...1."
"445","AT1G20520"
"446","AT1G20860"
"447","AT1G20923"
"448","AT1G20925"
"449","AT1G20990"
"450","AT1G21120"
"451","AT1G21250"
"452","AT1G21320"
"453","AT1G21500"
"454","AT1G21510"
"455","AT1G21528"
"456","AT1G21550"
"457","AT1G21860"
"458","AT1G22000"
"459","AT1G22080"
"460","AT1G22110"
"461","AT1G22250"
"462","AT1G22290"
"463","AT1G22430"
"464","AT1G22480"
"465","AT1G22650"
"466","AT1G22670"
"467","AT1G22680"
"468","AT1G22890"
"469","AT1G22900"
"470","AT1G23070"
"471","AT1G23110"
"472","AT1G23201"
"473","AT1G23510"
"474","AT1G23520"
"475","AT1G23540"
"476","AT1G23730"
"477","AT1G23935"
"478","AT1G23950"
"479","AT1G23960"
"480","AT1G23965"
"481","AT1G23995"
"482","AT1G24000"
"483","AT1G24020"
"484","AT1G24260"
"485","AT1G24270"
"486","AT1G24420"
"487","AT1G24430"
"488","AT1G24470"
"489","AT1G24480"
"490","AT1G24485"
"491","AT1G24545"
"492","AT1G24570"
"493","AT1G24577"
"494","AT1G24800"
"495","AT1G24807"
"496","AT1G24851"
"497","AT1G24880"
"498","AT1G24881"
"499","AT1G24996"
"500","AT1G25054"
"501","AT1G25055"
"502","AT1G25098"
"503","AT1G25141"
"504","AT1G25150"
"505","AT1G25175"
"506","AT1G25180"
"507","AT1G25210"
"508","AT1G25211"
"509","AT1G25240"
"510","AT1G25330"
"511","AT1G25440"
"512","AT1G26230"
"513","AT1G26233"
"514","AT1G26360"
"515","AT1G26410"
"516","AT1G26420"
"517","AT1G26510"
"518","AT1G26710"
"519","AT1G26762"
"520","AT1G27080"
"521","AT1G27180"
"522","AT1G27610"
"523","AT1G27710"
"524","AT1G27820"
"525","AT1G27890"
"526","AT1G28040"
"527","AT1G28170"
"528","AT1G28230"
"529","AT1G28265"
"530","AT1G28270"
"531","AT1G28327"
"532","AT1G28370"
"533","AT1G28450"
"534","AT1G28600"
"535","AT1G28610"
"536","AT1G29000"
"537","AT1G29071"
"538","AT1G29100"
"539","AT1G29230"
"540","AT1G29395"
"541","AT1G29500"
"542","AT1G29600"
"543","AT1G29670"
"544","AT1G29680"
"545","AT1G29775"
"546","AT1G29780"
"547","AT1G29860"
"548","AT1G30135"
"549","AT1G30220"
"550","AT1G30455"
"551","AT1G30560"
"552","AT1G30740"
"553","AT1G30780"
"554","AT1G30800"
"555","AT1G30850"
"556","AT1G30860"
"557","AT1G30920"
"558","AT1G30950"
"559","AT1G31173"
"560","AT1G31243"
"561","AT1G31258"
"562","AT1G31290"
"563","AT1G31485"
"564","AT1G31580"
"565","AT1G31750"
"566","AT1G31772"
"567","AT1G31820"
"568","AT1G31920"
"569","AT1G31960"
"570","AT1G31990"
"571","AT1G32060"
"572","AT1G32120"
"573","AT1G32172"
"574","AT1G32350"
"575","AT1G32385"
"576","AT1G32470"
"577","AT1G32540"
"578","AT1G32560"
"579","AT1G32570"
"580","AT1G32585"
"581","AT1G32710"
"582","AT1G32713"
"583","AT1G32850"
"584","AT1G32950"
"585","AT1G32960"
"586","AT1G33090"
"587","AT1G33100"
"588","AT1G33102"
"589","AT1G33320"
"590","AT1G33430"
"591","AT1G33600"
"592","AT1G33840"
"593","AT1G33870"
"594","AT1G33890"
"595","AT1G34047"
"596","AT1G34050"
"597","AT1G34060"
"598","AT1G34140"
"599","AT1G34315"
"600","AT1G34420"
"601","AT1G34490"
"602","AT1G34500"
"603","AT1G34510"
"604","AT1G34520"
"605","AT1G34540"
"606","AT1G34670"
"607","AT1G34844"
"608","AT1G35140"
"609","AT1G35180"
"610","AT1G35250"
"611","AT1G35310"
"612","AT1G35330"
"613","AT1G35515"
"614","AT1G35560"
"615","AT1G35617"
"616","AT1G35625"
"617","AT1G35730"
"618","AT1G35830"
"619","AT1G36580"
"620","AT1G42550"
"621","AT1G43140"
"622","AT1G43800"
"623","AT1G44010"
"624","AT1G44030"
"625","AT1G44130"
"626","AT1G44414"
"627","AT1G44542"
"628","AT1G44575"
"629","AT1G44740"
"630","AT1G44890"
"631","AT1G45010"
"632","AT1G45163"
"633","AT1G45165"
"634","AT1G45201"
"635","AT1G45248"
"636","AT1G45474"
"637","AT1G45545"
"638","AT1G45616"
"639","AT1G46480"
"640","AT1G46984"
"641","AT1G47130"
"642","AT1G47280"
"643","AT1G47350"
"644","AT1G47610"
"645","AT1G47655"
"646","AT1G47690"
"647","AT1G47700"
"648","AT1G47760"
"649","AT1G47790"
"650","AT1G47890"
"651","AT1G47920"
"652","AT1G47990"
"653","AT1G48020"
"654","AT1G48060"
"655","AT1G48100"
"656","AT1G48195"
"657","AT1G48260"
"658","AT1G48325"
"659","AT1G48400"
"660","AT1G48405"
"661","AT1G48470"
"662","AT1G48698"
"663","AT1G48700"
"664","AT1G48720"
"665","AT1G49000"
"666","AT1G49100"
"667","AT1G49130"
"668","AT1G49150"
"669","AT1G49225"
"670","AT1G49250"
"671","AT1G49330"
"672","AT1G49430"
"673","AT1G49450"
"674","AT1G49530"
"675","AT1G49750"
"676","AT1G49790"
"677","AT1G49900"
"678","AT1G49920"
"679","AT1G49938"
"680","AT1G49940"
"681","AT1G49952"
"682","AT1G49990"
"683","AT1G50190"
"684","AT1G50520"
"685","AT1G50610"
"686","AT1G50732"
"687","AT1G50750"
"688","AT1G50830"
"689","AT1G51000"
"690","AT1G51010"
"691","AT1G51020"
"692","AT1G51090"
"693","AT1G51270"
"694","AT1G51460"
"695","AT1G51500"
"696","AT1G51620"
"697","AT1G51670"
"698","AT1G51820"
"699","AT1G51840"
"700","AT1G51870"
"701","AT1G51880"
"702","AT1G51890"
"703","AT1G51913"
"704","AT1G51920"
"705","AT1G51960"
"706","AT1G51990"
"707","AT1G52100"
"708","AT1G52110"
"709","AT1G52120"
"710","AT1G52270"
"711","AT1G52347"
"712","AT1G52440"
"713","AT1G52560"
"714","AT1G52580"
"715","AT1G52615"
"716","AT1G52618"
"717","AT1G52690"
"718","AT1G52790"
"719","AT1G52800"
"720","AT1G52820"
"721","AT1G52830"
"722","AT1G52855"
"723","AT1G52857"
"724","AT1G53100"
"725","AT1G53270"
"726","AT1G53480"
"727","AT1G53540"
"728","AT1G53541"
"729","AT1G53610"
"730","AT1G53620"
"731","AT1G53625"
"732","AT1G53640"
"733","AT1G53900"
"734","AT1G53935"
"735","AT1G53950"
"736","AT1G53970"
"737","AT1G53980"
"738","AT1G54050"
"739","AT1G54070"
"740","AT1G54095"
"741","AT1G54215"
"742","AT1G54260"
"743","AT1G54280"
"744","AT1G54470"
"745","AT1G54560"
"746","AT1G54590"
"747","AT1G54760"
"748","AT1G54773"
"749","AT1G54820"
"750","AT1G54930"
"751","AT1G54940"
"752","AT1G54970"
"753","AT1G55175"
"754","AT1G55207"
"755","AT1G55230"
"756","AT1G55290"
"757","AT1G55440"
"758","AT1G55525"
"759","AT1G55550"
"760","AT1G55640"
"761","AT1G55700"
"762","AT1G55770"
"763","AT1G55775"
"764","AT1G55800"
"765","AT1G55803"
"766","AT1G55940"
"767","AT1G55945"
"768","AT1G55990"
"769","AT1G56060"
"770","AT1G56150"
"771","AT1G56160"
"772","AT1G56240"
"773","AT1G56242"
"774","AT1G56250"
"775","AT1G56270"
"776","AT1G56320"
"777","AT1G56510"
"778","AT1G56540"
"779","AT1G56555"
"780","AT1G56710"
"781","AT1G57560"
"782","AT1G57570"
"783","AT1G57770"
"784","AT1G57980"
"785","AT1G58150"
"786","AT1G58215"
"787","AT1G58270"
"788","AT1G58300"
"789","AT1G58320"
"790","AT1G58400"
"791","AT1G58590"
"792","AT1G58602"
"793","AT1G58684"
"794","AT1G58807"
"795","AT1G58808"
"796","AT1G58848"
"797","AT1G59124"
"798","AT1G59171"
"799","AT1G59218"
"800","AT1G59359"
"801","AT1G59720"
"802","AT1G59725"
