"","X","WS_GC_c1.which.mclass....2...1."
"2864",2864,"AT4G24150"
"1377",1377,"AT2G21510"
"2373",2373,"AT3G56660"
"2957",2957,"AT4G31715"
"3760",3760,"AT5G54035"
"3138",3138,"AT5G03525"
"570",570,"AT1G31990"
"3099",3099,"AT5G01795"
"1572",1572,"AT2G38255"
"3315",3315,"AT5G11440"
"912",912,"AT1G66960"
"3302",3302,"AT5G10220"
"3417",3417,"AT5G22200"
"2682",2682,"AT4G11070"
"1603",1603,"AT2G41170"
"1809",1809,"AT3G04960"
"2666",2666,"AT4G09925"
"1432",1432,"AT2G26160"
"2377",2377,"AT3G56920"
"1757",1757,"AT3G03195"
"235",235,"AT1G08090"
"1710",1710,"AT3G01530"
"3381",3381,"AT5G17860"
"1974",1974,"AT3G13405"
"3926",3926,"ATMG00150"
"2210",2210,"AT3G44550"
"2504",2504,"AT4G01970"
"3424",3424,"AT5G22530"
"1004",1004,"AT1G75160"
"1093",1093,"AT2G03230"
"1726",1726,"AT3G02035"
"1364",1364,"AT2G20520"
"3930",3930,"ATMG00260"
"375",375,"AT1G14455"
"58",58,"AT1G04403"
"1021",1021,"AT1G77120"
"3189",3189,"AT5G05995"
"3730",3730,"AT5G51480"
"3754",3754,"AT5G53830"
"1831",1831,"AT3G05995"
"3654",3654,"AT5G45570"
"1013",1013,"AT1G76230"
"3096",3096,"AT5G01580"
"1279",1279,"AT2G09775"
"119",119,"AT1G05510"
"2616",2616,"AT4G07975"
"545",545,"AT1G29775"
"2508",2508,"AT4G02170"
"1052",1052,"AT1G79400"
"1712",1712,"AT3G01620"
"1865",1865,"AT3G08100"
"74",74,"AT1G04625"
"1747",1747,"AT3G02825"
"1795",1795,"AT3G04275"
"2525",2525,"AT4G03685"
"2697",2697,"AT4G12310"
"2738",2738,"AT4G14785"
"3160",3160,"AT5G04185"
"2534",2534,"AT4G04015"
"1227",1227,"AT2G08700"
"1040",1040,"AT1G78470"
"2607",2607,"AT4G07190"
"1980",1980,"AT3G13680"
"1045",1045,"AT1G78840"
"818",818,"AT1G61080"
"3778",3778,"AT5G55010"
"2076",2076,"AT3G22250"
"64",64,"AT1G04497"
"3441",3441,"AT5G23950"
"3181",3181,"AT5G05300"
"1656",1656,"AT2G45800"
"1699",1699,"AT3G01240"
"966",966,"AT1G71300"
"541",541,"AT1G29500"
"2141",2141,"AT3G26480"
"1104",1104,"AT2G04065"
"1881",1881,"AT3G08485"
"1006",1006,"AT1G75240"
"2075",2075,"AT3G22090"
"302",302,"AT1G09500"
"2050",2050,"AT3G20140"
"740",740,"AT1G54095"
"1296",1296,"AT2G11891"
"494",494,"AT1G24800"
"3793",3793,"AT5G56300"
"1775",1775,"AT3G03670"
"3062",3062,"AT4G39925"
"2503",2503,"AT4G01890"
"1313",1313,"AT2G15080"
"439",439,"AT1G20020"
"1300",1300,"AT2G13570"
"1926",1926,"AT3G09775"
"2815",2815,"AT4G20190"
"1428",1428,"AT2G25820"
"72",72,"AT1G04583"
"1817",1817,"AT3G05265"
"1588",1588,"AT2G39640"
"846",846,"AT1G62886"
"1359",1359,"AT2G19900"
"623",623,"AT1G44010"
"2671",2671,"AT4G10150"
"3471",3471,"AT5G25920"
"2197",2197,"AT3G42850"
"2325",2325,"AT3G52130"
"3205",3205,"AT5G06500"
"1085",1085,"AT2G02490"
"3445",3445,"AT5G24140"
"1224",1224,"AT2G08675"
"1046",1046,"AT1G78990"
"1485",1485,"AT2G30750"
"670",670,"AT1G49250"
"809",809,"AT1G60505"
"3107",3107,"AT5G02305"
"67",67,"AT1G04523"
"3548",3548,"AT5G38980"
"3083",3083,"AT5G01050"
"379",379,"AT1G14640"
"835",835,"AT1G62190"
"2869",2869,"AT4G24413"
"2804",2804,"AT4G19530"
"1898",1898,"AT3G09055"
"18",18,"AT1G02700"
"813",813,"AT1G60760"
"355",355,"AT1G12013"
"1616",1616,"AT2G42440"
"1460",1460,"AT2G28680"
"3197",3197,"AT5G06235"
"2429",2429,"AT3G60780"
"3808",3808,"AT5G57540"
"3687",3687,"AT5G47670"
"2903",2903,"AT4G26701"
"3212",3212,"AT5G06760"
"1962",1962,"AT3G12660"
"1424",1424,"AT2G25410"
"3733",3733,"AT5G51915"
"2238",2238,"AT3G46190"
"2212",2212,"AT3G44695"
"3672",3672,"AT5G46490"
"3677",3677,"AT5G46650"
"2713",2713,"AT4G13095"
"599",599,"AT1G34315"
"1099",1099,"AT2G03460"
"2379",2379,"AT3G57210"
"1853",1853,"AT3G07605"
"151",151,"AT1G06135"
"2086",2086,"AT3G22860"
"1587",1587,"AT2G39540"
"1570",1570,"AT2G38110"
"3195",3195,"AT5G06155"
"2183",2183,"AT3G29173"
"2909",2909,"AT4G27300"
"3144",3144,"AT5G03720"
"1989",1989,"AT3G14250"
"3570",3570,"AT5G40155"
"3199",3199,"AT5G06255"
"532",532,"AT1G28370"
"2376",2376,"AT3G56790"
"442",442,"AT1G20150"
"958",958,"AT1G70640"
"3106",3106,"AT5G02295"
"310",310,"AT1G09603"
"3256",3256,"AT5G08445"
"2667",2667,"AT4G09940"
"837",837,"AT1G62262"
"1523",1523,"AT2G33780"
"2788",2788,"AT4G18250"
"2368",2368,"AT3G56350"
"422",422,"AT1G18530"
"1100",1100,"AT2G03720"
"2284",2284,"AT3G48840"
"3625",3625,"AT5G44140"
"178",178,"AT1G06607"
"1264",1264,"AT2G09525"
"3582",3582,"AT5G41090"
"289",289,"AT1G09267"
"2808",2808,"AT4G19770"
"426",426,"AT1G18960"
"3711",3711,"AT5G49860"
"668",668,"AT1G49150"
"2344",2344,"AT3G53820"
"3678",3678,"AT5G46770"
"2134",2134,"AT3G26200"
"1489",1489,"AT2G30945"
"1611",1611,"AT2G42005"
"2628",2628,"AT4G08415"
"1281",1281,"AT2G09885"
"3565",3565,"AT5G39720"
"1265",1265,"AT2G09540"
"2802",2802,"AT4G19395"
"3394",3394,"AT5G19360"
"36",36,"AT1G04023"
