"","WS_GC_c1.which.mclass....3...1."
"387","AT1G09920"
"388","AT1G09927"
"389","AT1G09932"
"390","AT1G09960"
"391","AT1G09980"
"392","AT1G09995"
"393","AT1G10020"
"394","AT1G10040"
"395","AT1G10070"
"396","AT1G10130"
"397","AT1G10150"
"398","AT1G10155"
"399","AT1G10170"
"400","AT1G10180"
"401","AT1G10210"
"402","AT1G10230"
"403","AT1G10240"
"404","AT1G10270"
"405","AT1G10280"
"406","AT1G10300"
"407","AT1G10310"
"408","AT1G10320"
"409","AT1G10350"
"410","AT1G10370"
"411","AT1G10390"
"412","AT1G10400"
"413","AT1G10410"
"414","AT1G10430"
"415","AT1G10450"
"416","AT1G10470"
"417","AT1G10510"
"418","AT1G10522"
"419","AT1G10530"
"420","AT1G10570"
"421","AT1G10610"
"422","AT1G10650"
"423","AT1G10660"
"424","AT1G10690"
"425","AT1G10700"
"426","AT1G10720"
"427","AT1G10730"
"428","AT1G10740"
"429","AT1G10750"
"430","AT1G10760"
"431","AT1G10780"
"432","AT1G10820"
"433","AT1G10830"
"434","AT1G10850"
"435","AT1G10870"
"436","AT1G10890"
"437","AT1G10900"
"438","AT1G10910"
"439","AT1G10930"
"440","AT1G10940"
"441","AT1G10970"
"442","AT1G10990"
"443","AT1G11020"
"444","AT1G11050"
"445","AT1G11060"
"446","AT1G11090"
"447","AT1G11120"
"448","AT1G11130"
"449","AT1G11180"
"450","AT1G11185"
"451","AT1G11190"
"452","AT1G11200"
"453","AT1G11220"
"454","AT1G11380"
"455","AT1G11390"
"456","AT1G11420"
"457","AT1G11440"
"458","AT1G11530"
"459","AT1G11570"
"460","AT1G11592"
"461","AT1G11630"
"462","AT1G11660"
"463","AT1G11710"
"464","AT1G11720"
"465","AT1G11740"
"466","AT1G11755"
"467","AT1G11760"
"468","AT1G11780"
"469","AT1G11790"
"470","AT1G11800"
"471","AT1G11820"
"472","AT1G11870"
"473","AT1G11905"
"474","AT1G11930"
"475","AT1G11940"
"476","AT1G11950"
"477","AT1G12010"
"478","AT1G12050"
"479","AT1G12110"
"480","AT1G12140"
"481","AT1G12160"
"482","AT1G12210"
"483","AT1G12240"
"484","AT1G12244"
"485","AT1G12260"
"486","AT1G12350"
"487","AT1G12370"
"488","AT1G12380"
"489","AT1G12390"
"490","AT1G12400"
"491","AT1G12410"
"492","AT1G12420"
"493","AT1G12430"
"494","AT1G12450"
"495","AT1G12460"
"496","AT1G12470"
"497","AT1G12500"
"498","AT1G12520"
"499","AT1G12530"
"500","AT1G12600"
"501","AT1G12640"
"502","AT1G12680"
"503","AT1G12730"
"504","AT1G12740"
"505","AT1G12750"
"506","AT1G12760"
"507","AT1G12770"
"508","AT1G12790"
"509","AT1G12800"
"510","AT1G12820"
"511","AT1G12845"
"512","AT1G12880"
"513","AT1G12930"
"514","AT1G12970"
"515","AT1G12990"
"516","AT1G13000"
"517","AT1G13020"
"518","AT1G13030"
"519","AT1G13080"
"520","AT1G13110"
"521","AT1G13120"
"522","AT1G13170"
"523","AT1G13180"
"524","AT1G13190"
"525","AT1G13195"
"526","AT1G13210"
"527","AT1G13270"
"528","AT1G13300"
"529","AT1G13350"
"530","AT1G13390"
"531","AT1G13410"
"532","AT1G13450"
"533","AT1G13460"
"534","AT1G13530"
"535","AT1G13540"
"536","AT1G13570"
"537","AT1G13580"
"538","AT1G13600"
"539","AT1G13635"
"540","AT1G13640"
"541","AT1G13700"
"542","AT1G13740"
"543","AT1G13750"
"544","AT1G13770"
"545","AT1G13810"
"546","AT1G13860"
"547","AT1G13870"
"548","AT1G13880"
"549","AT1G13900"
"550","AT1G13910"
"551","AT1G13920"
"552","AT1G13930"
"553","AT1G13940"
"554","AT1G13950"
"555","AT1G13960"
"556","AT1G13970"
"557","AT1G13990"
"558","AT1G14020"
"559","AT1G14040"
"560","AT1G14080"
"561","AT1G14130"
"562","AT1G14140"
"563","AT1G14170"
"564","AT1G14180"
"565","AT1G14200"
"566","AT1G14220"
"567","AT1G14230"
"568","AT1G14240"
"569","AT1G14310"
"570","AT1G14330"
"571","AT1G14340"
"572","AT1G14350"
"573","AT1G14360"
"574","AT1G14370"
"575","AT1G14380"
"576","AT1G14390"
"577","AT1G14460"
"578","AT1G14530"
"579","AT1G14560"
"580","AT1G14580"
"581","AT1G14590"
"582","AT1G14690"
"583","AT1G14720"
"584","AT1G14730"
"585","AT1G14770"
"586","AT1G14820"
"587","AT1G14840"
"588","AT1G14850"
"589","AT1G14910"
"590","AT1G14920"
"591","AT1G14970"
"592","AT1G14990"
"593","AT1G15000"
"594","AT1G15002"
"595","AT1G15010"
"596","AT1G15020"
"597","AT1G15030"
"598","AT1G15060"
"599","AT1G15080"
"600","AT1G15110"
"601","AT1G15130"
