"","phyD_FLT_c1.which.mclass....3...1."
"481","AT1G28540"
"482","AT1G28680"
"483","AT1G28960"
"484","AT1G29040"
"485","AT1G29060"
"486","AT1G29120"
"487","AT1G29220"
"488","AT1G29320"
"489","AT1G29357"
"490","AT1G29520"
"491","AT1G29535"
"492","AT1G29640"
"493","AT1G29760"
"494","AT1G29785"
"495","AT1G29810"
"496","AT1G29820"
"497","AT1G29890"
"498","AT1G29940"
"499","AT1G29980"
"500","AT1G30000"
"501","AT1G30070"
"502","AT1G30090"
"503","AT1G30200"
"504","AT1G30260"
"505","AT1G30300"
"506","AT1G30320"
"507","AT1G30330"
"508","AT1G30470"
"509","AT1G30480"
"510","AT1G30700"
"511","AT1G30755"
"512","AT1G30825"
"513","AT1G30840"
"514","AT1G30900"
"515","AT1G30910"
"516","AT1G31050"
"517","AT1G31120"
"518","AT1G31170"
"519","AT1G31340"
"520","AT1G31440"
"521","AT1G31500"
"522","AT1G31600"
"523","AT1G31730"
"524","AT1G31830"
"525","AT1G31885"
"526","AT1G31930"
"527","AT1G31935"
"528","AT1G31940"
"529","AT1G32070"
"530","AT1G32090"
"531","AT1G32127"
"532","AT1G32260"
"533","AT1G32310"
"534","AT1G32380"
"535","AT1G32410"
"536","AT1G32440"
"537","AT1G32490"
"538","AT1G32500"
"539","AT1G32750"
"540","AT1G32810"
"541","AT1G32930"
"542","AT1G32990"
"543","AT1G33060"
"544","AT1G33270"
"545","AT1G33360"
"546","AT1G33410"
"547","AT1G33415"
"548","AT1G33490"
"549","AT1G33700"
"550","AT1G33750"
"551","AT1G33780"
"552","AT1G33810"
"553","AT1G33970"
"554","AT1G33980"
"555","AT1G34020"
"556","AT1G34130"
"557","AT1G34150"
"558","AT1G34200"
"559","AT1G34220"
"560","AT1G34320"
"561","AT1G34550"
"562","AT1G34750"
"563","AT1G34770"
"564","AT1G35190"
"565","AT1G35220"
"566","AT1G35320"
"567","AT1G35430"
"568","AT1G35670"
"569","AT1G36160"
"570","AT1G36370"
"571","AT1G36380"
"572","AT1G36940"
"573","AT1G42440"
"574","AT1G43160"
"575","AT1G43560"
"576","AT1G43690"
"577","AT1G43850"
"578","AT1G43900"
"579","AT1G44000"
"580","AT1G44050"
"581","AT1G44100"
"582","AT1G44750"
"583","AT1G44820"
"584","AT1G44835"
"585","AT1G44900"
"586","AT1G44910"
"587","AT1G44960"
"588","AT1G45050"
"589","AT1G45170"
