"","X","WS_GC_c1.which.mclass....5...1."
"4103",4103,"AT4G40045"
"3595",3595,"AT4G17486"
"5097",5097,"AT5G55510"
"47",47,"AT1G03040"
"107",107,"AT1G05350"
"3357",3357,"AT4G02340"
"4552",4552,"AT5G20490"
"1116",1116,"AT1G68990"
"2619",2619,"AT3G16200"
"3392",3392,"AT4G04210"
"4874",4874,"AT5G45000"
"2727",2727,"AT3G20920"
"2418",2418,"AT3G09320"
"2268",2268,"AT3G03050"
"3066",3066,"AT3G53630"
"4411",4411,"AT5G14550"
"139",139,"AT1G06230"
"4100",4100,"AT4G39950"
"3653",3653,"AT4G20860"
"3038",3038,"AT3G52240"
"760",760,"AT1G43910"
"5068",5068,"AT5G54100"
"3425",3425,"AT4G07820"
"4071",4071,"AT4G38660"
"4334",4334,"AT5G11710"
"4014",4014,"AT4G36780"
"4105",4105,"AT4G40060"
"5363",5363,"AT5G65960"
"4882",4882,"AT5G45390"
"3092",3092,"AT3G54500"
"1175",1175,"AT1G71790"
"1194",1194,"AT1G72310"
"487",487,"AT1G20770"
"3718",3718,"AT4G24590"
"2590",2590,"AT3G15070"
"395",395,"AT1G16010"
"2097",2097,"AT2G43770"
"3883",3883,"AT4G31600"
"1600",1600,"AT2G19560"
"1209",1209,"AT1G72820"
"1105",1105,"AT1G68490"
"2840",2840,"AT3G26690"
"74",74,"AT1G04120"
"3354",3354,"AT4G02120"
"278",278,"AT1G11260"
"4777",4777,"AT5G40530"
"2308",2308,"AT3G04680"
"2465",2465,"AT3G10940"
"3158",3158,"AT3G57280"
"4863",4863,"AT5G44350"
"3771",3771,"AT4G26780"
"4562",4562,"AT5G21170"
"3880",3880,"AT4G31550"
"4850",4850,"AT5G43810"
"178",178,"AT1G07810"
"4570",4570,"AT5G22120"
"2373",2373,"AT3G07315"
"700",700,"AT1G32440"
"2066",2066,"AT2G41960"
"5314",5314,"AT5G64180"
"1061",1061,"AT1G65440"
"3036",3036,"AT3G52220"
"3913",3913,"AT4G32860"
"33",33,"AT1G02280"
"3544",3544,"AT4G15180"
"3537",3537,"AT4G14950"
"4200",4200,"AT5G05450"
"2280",2280,"AT3G03500"
"633",633,"AT1G28350"
"3053",3053,"AT3G52860"
"2633",2633,"AT3G16840"
"1422",1422,"AT2G02370"
"748",748,"AT1G42430"
"3613",3613,"AT4G18580"
"979",979,"AT1G60730"
"1098",1098,"AT1G68130"
"2696",2696,"AT3G19580"
"1206",1206,"AT1G72740"
