"","X","WS_GC_c1.which.mclass....1...1."
"2792",2792,"AT4G09170"
"3212",3212,"AT4G37030"
"2236",2236,"AT3G22565"
"3439",3439,"AT5G09635"
"2239",2239,"AT3G22810"
"118",118,"AT1G05370"
"1740",1740,"AT2G40710"
"3782",3782,"AT5G43730"
"376",376,"AT1G15830"
"1644",1644,"AT2G34920"
"1164",1164,"AT1G78180"
"1898",1898,"AT3G02730"
"2929",2929,"AT4G17380"
"2112",2112,"AT3G14160"
"3959",3959,"AT5G55740"
"1011",1011,"AT1G69430"
"2439",2439,"AT3G48580"
"3406",3406,"AT5G07640"
"224",224,"AT1G08753"
"3651",3651,"AT5G26010"
"4065",4065,"AT5G63690"
"2781",2781,"AT4G08450"
"3376",3376,"AT5G05995"
"2471",2471,"AT3G50840"
"2616",2616,"AT3G61220"
"2101",2101,"AT3G13432"
"3339",3339,"AT5G03668"
"1498",1498,"AT2G24395"
"1700",1700,"AT2G37980"
"908",908,"AT1G64170"
"2179",2179,"AT3G18930"
"2031",2031,"AT3G09050"
"2299",2299,"AT3G26540"
"117",117,"AT1G05333"
"3190",3190,"AT4G35783"
"4126",4126,"AT5G67230"
"3849",3849,"AT5G47440"
"3792",3792,"AT5G44550"
"175",175,"AT1G07160"
"2551",2551,"AT3G56730"
"1519",1519,"AT2G26420"
"2758",2758,"AT4G06835"
"741",741,"AT1G53060"
"265",265,"AT1G09867"
"974",974,"AT1G68010"
"2326",2326,"AT3G28420"
"153",153,"AT1G06320"
"3567",3567,"AT5G18930"
"950",950,"AT1G66590"
"828",828,"AT1G60270"
"2093",2093,"AT3G13020"
"3464",3464,"AT5G11440"
"2406",2406,"AT3G46760"
"2748",2748,"AT4G06195"
"2965",2965,"AT4G19630"
"507",507,"AT1G25155"
"1976",1976,"AT3G06605"
"1868",1868,"AT3G01570"
"3988",3988,"AT5G57670"
"3627",3627,"AT5G24275"
"4132",4132,"ATCG00065"
"1778",1778,"AT2G42900"
"616",616,"AT1G35255"
"2442",2442,"AT3G48830"
"3977",3977,"AT5G57240"
"2422",2422,"AT3G47660"
"119",119,"AT1G05385"
"824",824,"AT1G60030"
"3469",3469,"AT5G12235"
"299",299,"AT1G11303"
"3887",3887,"AT5G49780"
"398",398,"AT1G17100"
"2806",2806,"AT4G10465"
"2894",2894,"AT4G15417"
"252",252,"AT1G09617"
"3525",3525,"AT5G16350"
"106",106,"AT1G05163"
"3352",3352,"AT5G04330"
"2754",2754,"AT4G06536"
"2072",2072,"AT3G11110"
"3581",3581,"AT5G19840"
"866",866,"AT1G62515"
"1659",1659,"AT2G35660"
"2568",2568,"AT3G57730"
"872",872,"AT1G62710"
"3777",3777,"AT5G43530"
"2547",2547,"AT3G56550"
"1502",1502,"AT2G24700"
"3009",3009,"AT4G22640"
"695",695,"AT1G51100"
"1190",1190,"AT1G80110"
"66",66,"AT1G04123"
"996",996,"AT1G68640"
"645",645,"AT1G45249"
"168",168,"AT1G06983"
"2753",2753,"AT4G06534"
"642",642,"AT1G45229"
"2068",2068,"AT3G10880"
"1114",1114,"AT1G75100"
"857",857,"AT1G61860"
"2589",2589,"AT3G59450"
"2243",2243,"AT3G22910"
"3078",3078,"AT4G26770"
"3865",3865,"AT5G48170"
"704",704,"AT1G51480"
"152",152,"AT1G06283"
"1464",1464,"AT2G22088"
"2819",2819,"AT4G11300"
"3736",3736,"AT5G40720"
"3316",3316,"AT5G02690"
"2407",2407,"AT3G46800"
"1656",1656,"AT2G35600"
"2456",2456,"AT3G49830"
"3929",3929,"AT5G52890"
"1484",1484,"AT2G23430"
"3355",3355,"AT5G04390"
"3671",3671,"AT5G27440"
"737",737,"AT1G52870"
"3346",3346,"AT5G04050"
"4040",4040,"AT5G61550"
"170",170,"AT1G07010"
"2198",2198,"AT3G20200"
"2449",2449,"AT3G49510"
"3018",3018,"AT4G23070"
"812",812,"AT1G59510"
"3314",3314,"AT5G02650"
"457",457,"AT1G21460"
"2397",2397,"AT3G46260"
"400",400,"AT1G17230"
"891",891,"AT1G63320"
"1785",1785,"AT2G43570"
"3575",3575,"AT5G19490"
"3896",3896,"AT5G50610"
"970",970,"AT1G67760"
"1492",1492,"AT2G23987"
"1266",1266,"AT2G05380"
"2542",2542,"AT3G56080"
"1126",1126,"AT1G75690"
"3546",3546,"AT5G17800"
"918",918,"AT1G64563"
"47",47,"AT1G03495"
"903",903,"AT1G63750"
"389",389,"AT1G16515"
"1327",1327,"AT2G08730"
"2266",2266,"AT3G24515"
"4170",4170,"ATMG00840"
"3050",3050,"AT4G25410"
"2494",2494,"AT3G52530"
"3793",3793,"AT5G44562"
"2545",2545,"AT3G56300"
"3679",3679,"AT5G28910"
"1687",1687,"AT2G37025"
"670",670,"AT1G49220"
"2908",2908,"AT4G16220"
"2129",2129,"AT3G15500"
"1053",1053,"AT1G71810"
"1071",1071,"AT1G73090"
"2826",2826,"AT4G11845"
"1812",1812,"AT2G45150"
"1667",1667,"AT2G35950"
"1771",1771,"AT2G42380"
"352",352,"AT1G14550"
"582",582,"AT1G31670"
"245",245,"AT1G09487"
"1845",1845,"AT2G47810"
"1622",1622,"AT2G34180"
"3768",3768,"AT5G42840"
"3426",3426,"AT5G09030"
"4018",4018,"AT5G59860"
"1773",1773,"AT2G42530"
"3902",3902,"AT5G51210"
"3239",3239,"AT4G38410"
"385",385,"AT1G16480"
"3315",3315,"AT5G02670"
"1981",1981,"AT3G06830"
"2672",2672,"AT4G00850"
"1894",1894,"AT3G02493"
"4038",4038,"AT5G61490"
"3854",3854,"AT5G47610"
"3335",3335,"AT5G03585"
"94",94,"AT1G04873"
"626",626,"AT1G36992"
"2650",2650,"AT3G62930"
"2327",2327,"AT3G28500"
"1548",1548,"AT2G28700"
"1513",1513,"AT2G25590"
"500",500,"AT1G24405"
"3863",3863,"AT5G48070"
"2276",2276,"AT3G25510"
"2438",2438,"AT3G48475"
"2103",2103,"AT3G13590"
"230",230,"AT1G09167"
"4159",4159,"ATCG01300"
"3357",3357,"AT5G04615"
"1419",1419,"AT2G19190"
"1088",1088,"AT1G74010"
"101",101,"AT1G05087"
"1404",1404,"AT2G18060"
"1612",1612,"AT2G33000"
"2483",2483,"AT3G51480"
"287",287,"AT1G10920"
"282",282,"AT1G10610"
"2468",2468,"AT3G50750"
"2091",2091,"AT3G12890"
"2232",2232,"AT3G22420"
"2696",2696,"AT4G02630"
"504",504,"AT1G24575"
"3522",3522,"AT5G16235"
"2018",2018,"AT3G08675"
"1927",1927,"AT3G04370"
"960",960,"AT1G67035"
"3248",3248,"AT4G39364"
"2874",2874,"AT4G14548"
"634",634,"AT1G43770"
"2825",2825,"AT4G11720"
"215",215,"AT1G08380"
"1178",1178,"AT1G79103"
"2292",2292,"AT3G26240"
"2998",2998,"AT4G21902"
"1547",1547,"AT2G28690"
"2222",2222,"AT3G21781"
"3023",3023,"AT4G23496"
"105",105,"AT1G05153"
"2935",2935,"AT4G17750"
"3445",3445,"AT5G09976"
"3947",3947,"AT5G54530"
"2428",2428,"AT3G47965"
"2966",2966,"AT4G19830"
"758",758,"AT1G53790"
"2246",2246,"AT3G23020"
"112",112,"AT1G05273"
"1182",1182,"AT1G79360"
"3090",3090,"AT4G27580"
"1877",1877,"AT3G01830"
"3442",3442,"AT5G09765"
"3747",3747,"AT5G41763"
"2286",2286,"AT3G26115"
"1141",1141,"AT1G76730"
"860",860,"AT1G62150"
"3172",3172,"AT4G34332"
"3001",3001,"AT4G22217"
"1413",1413,"AT2G18917"
"2868",2868,"AT4G14358"
"437",437,"AT1G19720"
"214",214,"AT1G08317"
"3283",3283,"AT5G01542"
"55",55,"AT1G03820"
"1311",1311,"AT2G07850"
"460",460,"AT1G21590"
"241",241,"AT1G09421"
"3274",3274,"AT5G01330"
"1263",1263,"AT2G05215"
"1909",1909,"AT3G03470"
"4085",4085,"AT5G64905"
"1500",1500,"AT2G24680"
"1388",1388,"AT2G16870"
"3073",3073,"AT4G26488"
"2162",2162,"AT3G17712"
"564",564,"AT1G30050"
"2320",2320,"AT3G28270"
"159",159,"AT1G06483"
"2746",2746,"AT4G05945"
"3795",3795,"AT5G44568"
"1735",1735,"AT2G40390"
"1616",1616,"AT2G33250"
"539",539,"AT1G28360"
"3145",3145,"AT4G32295"
"1762",1762,"AT2G41905"
"909",909,"AT1G64180"
"739",739,"AT1G52905"
"370",370,"AT1G15460"
"3228",3228,"AT4G37895"
"3097",3097,"AT4G28330"
"1558",1558,"AT2G29460"
"3375",3375,"AT5G05850"
"3645",3645,"AT5G25530"
"461",461,"AT1G21651"
"2980",2980,"AT4G20770"
"2959",2959,"AT4G19220"
"134",134,"AT1G05820"
"3076",3076,"AT4G26560"
"3992",3992,"AT5G57880"
"889",889,"AT1G63230"
"342",342,"AT1G14150"
"2794",2794,"AT4G09420"
"1796",1796,"AT2G44210"
"523",523,"AT1G26770"
"496",496,"AT1G24068"
"1151",1151,"AT1G77360"
"2760",2760,"AT4G06980"
"1925",1925,"AT3G04220"
"3336",3336,"AT5G03615"
"2830",2830,"AT4G12170"
"2636",2636,"AT3G61970"
"884",884,"AT1G63020"
"2313",2313,"AT3G27690"
"3044",3044,"AT4G25160"
"2215",2215,"AT3G21055"
"3840",3840,"AT5G47070"
"2106",2106,"AT3G13784"
"2492",2492,"AT3G52440"
"3799",3799,"AT5G44660"
"566",566,"AT1G30210"
"366",366,"AT1G15175"
"396",396,"AT1G17030"
"2125",2125,"AT3G15250"
"3962",3962,"AT5G55930"
"1298",1298,"AT2G07739"
"3215",3215,"AT4G37240"
"844",844,"AT1G61360"
"1746",1746,"AT2G41090"
"476",476,"AT1G22590"
"514",514,"AT1G26210"
"2824",2824,"AT4G11700"
"2688",2688,"AT4G01670"
"1930",1930,"AT3G04485"
"1509",1509,"AT2G25200"
"3066",3066,"AT4G25980"
"3718",3718,"AT5G39530"
"226",226,"AT1G08973"
"862",862,"AT1G62320"
"1542",1542,"AT2G28440"
"2532",2532,"AT3G55515"
"1650",1650,"AT2G35290"
"2040",2040,"AT3G09280"
"3081",3081,"AT4G27030"
"579",579,"AT1G31310"
"3769",3769,"AT5G42900"
"3091",3091,"AT4G27590"
"1853",1853,"AT3G01060"
"505",505,"AT1G24735"
"1761",1761,"AT2G41810"
"1102",1102,"AT1G74540"
"3064",3064,"AT4G25910"
"2679",2679,"AT4G01080"
"2864",2864,"AT4G13992"
"303",303,"AT1G11490"
"2514",2514,"AT3G54060"
"1666",1666,"AT2G35850"
"3806",3806,"AT5G44910"
"4005",4005,"AT5G59200"
"3361",3361,"AT5G04950"
"829",829,"AT1G60360"
"540",540,"AT1G28480"
"2764",2764,"AT4G07070"
"1286",1286,"AT2G07633"
"3249",3249,"AT4G39366"
"2366",2366,"AT3G44690"
"3750",3750,"AT5G41860"
"1332",1332,"AT2G08915"
"4011",4011,"AT5G59580"
"7",7,"AT1G01380"
"1847",1847,"AT2G47920"
"611",611,"AT1G34480"
"2590",2590,"AT3G59530"
"2956",2956,"AT4G19130"
"4141",4141,"ATCG00430"
"1888",1888,"AT3G02380"
"180",180,"AT1G07407"
"1752",1752,"AT2G41240"
"3551",3551,"AT5G18270"
"3614",3614,"AT5G23230"
"18",18,"AT1G02030"
"1704",1704,"AT2G38195"
"2932",2932,"AT4G17550"
"1260",1260,"AT2G04860"
"2556",2556,"AT3G57110"
"3888",3888,"AT5G49850"
"2795",2795,"AT4G09432"
"12",12,"AT1G01715"
"2064",2064,"AT3G10680"
"588",588,"AT1G31880"
"3548",3548,"AT5G18090"
"1684",1684,"AT2G36970"
"1923",1923,"AT3G04115"
"3045",3045,"AT4G25220"
"1903",1903,"AT3G03215"
"3333",3333,"AT5G03545"
"3689",3689,"AT5G36960"
"1381",1381,"AT2G16245"
"3503",3503,"AT5G14870"
"1526",1526,"AT2G26910"
"2048",2048,"AT3G09680"
"1062",1062,"AT1G72280"
"1486",1486,"AT2G23550"
"2130",2130,"AT3G15520"
"83",83,"AT1G04513"
"1942",1942,"AT3G05075"
"3436",3436,"AT5G09580"
"3920",3920,"AT5G52260"
"1374",1374,"AT2G15318"
"1851",1851,"AT3G01005"
"789",789,"AT1G56120"
"1493",1493,"AT2G24030"
"1844",1844,"AT2G47670"
"2472",2472,"AT3G50980"
"1006",1006,"AT1G69150"
"4087",4087,"AT5G64980"
"3463",3463,"AT5G11250"
"501",501,"AT1G24420"
"477",477,"AT1G22650"
"3991",3991,"AT5G57820"
"377",377,"AT1G15900"
"3611",3611,"AT5G23060"
"875",875,"AT1G62840"
"120",120,"AT1G05397"
"3289",3289,"AT5G01675"
"1039",1039,"AT1G70860"
"2063",2063,"AT3G10600"
"1269",1269,"AT2G05510"
"2516",2516,"AT3G54160"
"2380",2380,"AT3G45260"
"2882",2882,"AT4G14970"
"2021",2021,"AT3G08820"
"4189",4189,"ATMG01330"
"125",125,"AT1G05530"
"179",179,"AT1G07400"
"1215",1215,"AT2G02020"
"1550",1550,"AT2G28880"
"2477",2477,"AT3G51300"
"2613",2613,"AT3G61150"
"2203",2203,"AT3G20470"
"1600",1600,"AT2G32640"
"2890",2890,"AT4G15270"
"320",320,"AT1G12480"
"2562",2562,"AT3G57430"
"243",243,"AT1G09463"
"1001",1001,"AT1G68862"
"1688",1688,"AT2G37070"
"4115",4115,"AT5G66610"
"3048",3048,"AT4G25300"
"3186",3186,"AT4G35520"
"1395",1395,"AT2G17470"
"1439",1439,"AT2G20540"
"29",29,"AT1G02490"
"684",684,"AT1G50310"
"403",403,"AT1G17250"
"3669",3669,"AT5G27290"
"971",971,"AT1G67790"
"2373",2373,"AT3G44880"
"601",601,"AT1G33560"
"3625",3625,"AT5G24180"
"31",31,"AT1G02575"
"3036",3036,"AT4G24580"
"3597",3597,"AT5G21050"
"2027",2027,"AT3G08975"
"2963",2963,"AT4G19560"
"935",935,"AT1G65310"
"2136",2136,"AT3G15750"
"3520",3520,"AT5G16023"
"725",725,"AT1G52450"
"915",915,"AT1G64380"
"316",316,"AT1G12280"
"2288",2288,"AT3G26125"
"4056",4056,"AT5G62840"
"2738",2738,"AT4G05395"
"10",10,"AT1G01660"
"3465",3465,"AT5G11470"
"4095",4095,"AT5G65340"
"2275",2275,"AT3G25490"
"753",753,"AT1G53625"
"787",787,"AT1G55970"
"3093",3093,"AT4G28080"
"2921",2921,"AT4G16890"
"1259",1259,"AT2G04805"
"907",907,"AT1G64110"
"1826",1826,"AT2G46420"
"2526",2526,"AT3G54930"
"3030",3030,"AT4G24110"
"3363",3363,"AT5G05130"
"2934",2934,"AT4G17695"
"1736",1736,"AT2G40450"
"60",60,"AT1G04007"
"4163",4163,"ATMG00310"
"4",4,"AT1G01200"
"25",25,"AT1G02380"
"3649",3649,"AT5G25880"
"2660",2660,"AT3G63480"
"3234",3234,"AT4G38140"
"577",577,"AT1G31240"
"4167",4167,"ATMG00630"
"2712",2712,"AT4G03620"
"2261",2261,"AT3G24310"
"3183",3183,"AT4G35290"
"882",882,"AT1G62950"
"2391",2391,"AT3G45760"
"1084",1084,"AT1G73750"
"2873",2873,"AT4G14540"
"3476",3476,"AT5G13200"
"3980",3980,"AT5G57345"
"4025",4025,"AT5G60310"
"2254",2254,"AT3G23410"
"1018",1018,"AT1G69572"
"2096",2096,"AT3G13090"
"2948",2948,"AT4G18830"
"3065",3065,"AT4G25940"
"1474",1474,"AT2G22980"
"2539",2539,"AT3G55940"
"4102",4102,"AT5G65820"
"1003",1003,"AT1G68890"
"3358",3358,"AT5G04680"
"610",610,"AT1G34460"
"4161",4161,"ATMG00110"
"1682",1682,"AT2G36660"
"3715",3715,"AT5G39090"
"976",976,"AT1G68050"
"3534",3534,"AT5G17040"
"685",685,"AT1G50390"
"2870",2870,"AT4G14370"
"1715",1715,"AT2G38830"
"1936",1936,"AT3G04835"
"2854",2854,"AT4G13600"
"1533",1533,"AT2G27535"
"3938",3938,"AT5G53880"
"1880",1880,"AT3G02095"
"4177",4177,"ATMG00920"
"1831",1831,"AT2G46660"
"1737",1737,"AT2G40460"
"2113",2113,"AT3G14225"
"863",863,"AT1G62350"
"3740",3740,"AT5G41320"
"2681",2681,"AT4G01200"
"1692",1692,"AT2G37320"
"1075",1075,"AT1G73220"
"1170",1170,"AT1G78780"
"1848",1848,"AT2G48075"
"1461",1461,"AT2G21860"
"4076",4076,"AT5G64550"
"4112",4112,"AT5G66520"
"62",62,"AT1G04047"
"1093",1093,"AT1G74310"
"4171",4171,"ATMG00850"
"2467",2467,"AT3G50685"
"1123",1123,"AT1G75550"
"1960",1960,"AT3G05620"
"3922",3922,"AT5G52320"
"1085",1085,"AT1G73780"
"3585",3585,"AT5G19940"
"1369",1369,"AT2G14760"
"128",128,"AT1G05600"
"2801",2801,"AT4G09970"
"584",584,"AT1G31790"
"4125",4125,"AT5G67180"
"1127",1127,"AT1G75700"
"1834",1834,"AT2G47015"
"1997",1997,"AT3G07785"
"79",79,"AT1G04425"
"1871",1871,"AT3G01630"
"3713",3713,"AT5G39000"
"2704",2704,"AT4G03280"
"2889",2889,"AT4G15258"
"2933",2933,"AT4G17600"
"3385",3385,"AT5G06585"
"2714",2714,"AT4G03675"
"1315",1315,"AT2G08425"
"3989",3989,"AT5G57790"
"2793",2793,"AT4G09375"
"2121",2121,"AT3G14730"
"1119",1119,"AT1G75290"
"876",876,"AT1G62870"
"254",254,"AT1G09650"
"2224",2224,"AT3G22060"
"68",68,"AT1G04160"
"2387",2387,"AT3G45530"
"3408",3408,"AT5G07780"
"1774",1774,"AT2G42640"
"1820",1820,"AT2G46050"
"1035",1035,"AT1G70650"
"580",580,"AT1G31430"
"2295",2295,"AT3G26380"
"1183",1183,"AT1G79420"
"2016",2016,"AT3G08645"
"1079",1079,"AT1G73550"
"2223",2223,"AT3G21890"
"324",324,"AT1G12890"
"2197",2197,"AT3G20160"
"793",793,"AT1G56500"
"1389",1389,"AT2G16970"
"529",529,"AT1G27565"
"1554",1554,"AT2G29130"
"1902",1902,"AT3G03200"
"3282",3282,"AT5G01540"
"2682",2682,"AT4G01230"
"1407",1407,"AT2G18270"
"471",471,"AT1G22370"
"1394",1394,"AT2G17430"
"3717",3717,"AT5G39420"
"3964",3964,"AT5G56270"
"1531",1531,"AT2G27390"
"77",77,"AT1G04350"
"1948",1948,"AT3G05245"
"1703",1703,"AT2G38110"
"3622",3622,"AT5G23950"
"1457",1457,"AT2G21780"
"4088",4088,"AT5G64990"
"3752",3752,"AT5G41890"
"1532",1532,"AT2G27402"
"2356",2356,"AT3G43850"
"2493",2493,"AT3G52520"
"3699",3699,"AT5G38070"
"1163",1163,"AT1G78172"
"1043",1043,"AT1G70985"
"1312",1312,"AT2G08330"
"1121",1121,"AT1G75360"
"1592",1592,"AT2G32200"
"719",719,"AT1G52315"
"867",867,"AT1G62530"
"3332",3332,"AT5G03495"
"72",72,"AT1G04240"
"399",399,"AT1G17200"
"3306",3306,"AT5G02360"
"407",407,"AT1G17480"
"896",896,"AT1G63520"
"3077",3077,"AT4G26680"
"3007",3007,"AT4G22470"
"2035",2035,"AT3G09135"
"19",19,"AT1G02180"
"4003",4003,"AT5G58770"
"381",381,"AT1G16130"
"1734",1734,"AT2G40340"
"1566",1566,"AT2G30570"
"3429",3429,"AT5G09315"
"2605",2605,"AT3G60490"
"983",983,"AT1G68290"
"1635",1635,"AT2G34420"
"3115",3115,"AT4G29420"
"3900",3900,"AT5G50950"
"2105",2105,"AT3G13770"
"1527",1527,"AT2G27035"
"1478",1478,"AT2G23110"
"2402",2402,"AT3G46616"
"3648",3648,"AT5G25840"
"96",96,"AT1G04880"
"2695",2695,"AT4G02482"
"2911",2911,"AT4G16410"
"4096",4096,"AT5G65350"
"1179",1179,"AT1G79120"
"2553",2553,"AT3G56825"
"1988",1988,"AT3G07205"
"162",162,"AT1G06643"
"4083",4083,"AT5G64890"
"3496",3496,"AT5G14470"
"1685",1685,"AT2G36980"
"3466",3466,"AT5G11610"
"2343",2343,"AT3G29680"
"3122",3122,"AT4G29930"
"3813",3813,"AT5G45260"
"2135",2135,"AT3G15700"
"895",895,"AT1G63400"
"3434",3434,"AT5G09505"
"3673",3673,"AT5G27690"
"4048",4048,"AT5G61950"
"475",475,"AT1G22570"
"1028",1028,"AT1G70430"
"3334",3334,"AT5G03550"
"332",332,"AT1G13448"
"1534",1534,"AT2G27610"
"3492",3492,"AT5G14130"
"899",899,"AT1G63580"
"3709",3709,"AT5G38770"
"2993",2993,"AT4G21745"
"2543",2543,"AT3G56260"
"453",453,"AT1G21130"
"1181",1181,"AT1G79330"
"2453",2453,"AT3G49740"
"2991",2991,"AT4G21500"
"191",191,"AT1G07720"
"1357",1357,"AT2G11270"
"373",373,"AT1G15770"
"310",310,"AT1G11915"
"3015",3015,"AT4G23000"
"3961",3961,"AT5G55840"
"913",913,"AT1G64320"
"717",717,"AT1G52240"
"2517",2517,"AT3G54340"
"2000",2000,"AT3G07825"
"3870",3870,"AT5G48670"
"1599",1599,"AT2G32630"
"1730",1730,"AT2G40100"
"2822",2822,"AT4G11440"
"1376",1376,"AT2G15630"
"499",499,"AT1G24330"
"1359",1359,"AT2G13600"
"3999",3999,"AT5G58610"
"2829",2829,"AT4G11990"
"39",39,"AT1G03070"
"3837",3837,"AT5G46720"
"1103",1103,"AT1G74545"
"795",795,"AT1G56670"
"1657",1657,"AT2G35637"
"1412",1412,"AT2G18780"
"1719",1719,"AT2G39400"
"454",454,"AT1G21210"
"312",312,"AT1G12060"
"88",88,"AT1G04600"
"2995",2995,"AT4G21760"
"3933",3933,"AT5G53050"
"3600",3600,"AT5G22270"
"3537",3537,"AT5G17165"
"2044",2044,"AT3G09495"
"1203",1203,"AT2G01390"
"1334",1334,"AT2G09055"
"1353",1353,"AT2G09970"
"331",331,"AT1G13370"
"1321",1321,"AT2G08570"
"3187",3187,"AT4G35590"
"1939",1939,"AT3G04975"
"759",759,"AT1G53801"
"40",40,"AT1G03100"
"811",811,"AT1G59312"
"3963",3963,"AT5G56160"
"86",86,"AT1G04570"
"1417",1417,"AT2G18970"
"1280",1280,"AT2G06835"
"1191",1191,"AT1G80165"
"1449",1449,"AT2G21330"
"2074",2074,"AT3G11240"
"3842",3842,"AT5G47170"
"1237",1237,"AT2G03710"
"1935",1935,"AT3G04825"
"2097",2097,"AT3G13100"
"4037",4037,"AT5G61455"
"1438",1438,"AT2G20510"
"555",555,"AT1G29590"
"1523",1523,"AT2G26560"
"3872",3872,"AT5G48740"
"2893",2893,"AT4G15360"
"681",681,"AT1G50180"
"3481",3481,"AT5G13270"
"1926",1926,"AT3G04330"
"291",291,"AT1G11160"
"1655",1655,"AT2G35550"
"3789",3789,"AT5G44390"
"424",424,"AT1G18940"
"2752",2752,"AT4G06410"
"1810",1810,"AT2G45040"
"3891",3891,"AT5G50260"
"656",656,"AT1G48267"
"1788",1788,"AT2G43700"
"2856",2856,"AT4G13670"
"3409",3409,"AT5G07800"
"1483",1483,"AT2G23410"
"2155",2155,"AT3G17280"
"2053",2053,"AT3G09855"
"1300",1300,"AT2G07771"
"1382",1382,"AT2G16250"
"395",395,"AT1G17020"
"3521",3521,"AT5G16030"
"1673",1673,"AT2G36030"
"3428",3428,"AT5G09285"
"1287",1287,"AT2G07644"
"114",114,"AT1G05287"
"966",966,"AT1G67460"
"1264",1264,"AT2G05255"
"2350",2350,"AT3G32047"
"4149",4149,"ATCG00890"
"906",906,"AT1G64100"
"405",405,"AT1G17380"
"2652",2652,"AT3G63060"
"2982",2982,"AT4G21120"
"506",506,"AT1G24909"
"3917",3917,"AT5G52100"
"4015",4015,"AT5G59700"
"3511",3511,"AT5G15620"
"2089",2089,"AT3G12820"
"1969",1969,"AT3G06220"
"1440",1440,"AT2G20550"
"652",652,"AT1G47790"
"1873",1873,"AT3G01680"
"190",190,"AT1G07690"
"638",638,"AT1G44542"
"3883",3883,"AT5G49520"
"1219",1219,"AT2G02310"
"1282",1282,"AT2G07495"
"804",804,"AT1G58037"
"3268",3268,"AT5G01155"
"1713",1713,"AT2G38530"
"3547",3547,"AT5G17960"
"164",164,"AT1G06687"
"2880",2880,"AT4G14870"
"3109",3109,"AT4G29110"
"1234",1234,"AT2G03530"
"2429",2429,"AT3G48020"
"1470",1470,"AT2G22600"
"1277",1277,"AT2G06025"
"2602",2602,"AT3G60286"
"885",885,"AT1G63070"
"1358",1358,"AT2G12190"
"485",485,"AT1G23210"
"217",217,"AT1G08393"
"3060",3060,"AT4G25830"
"363",363,"AT1G15050"
"987",987,"AT1G68390"
"627",627,"AT1G37150"
