"","WS_GC_c1.which.mclass....5...1."
"454","AT1G18980"
"455","AT1G19020"
"456","AT1G19110"
"457","AT1G19140"
"458","AT1G19240"
"459","AT1G19300"
"460","AT1G19310"
"461","AT1G19400"
"462","AT1G19430"
"463","AT1G19440"
"464","AT1G19450"
"465","AT1G19520"
"466","AT1G19580"
"467","AT1G19600"
"468","AT1G19660"
"469","AT1G19680"
"470","AT1G19730"
"471","AT1G19800"
"472","AT1G19850"
"473","AT1G19880"
"474","AT1G19968"
"475","AT1G19990"
"476","AT1G20110"
"477","AT1G20140"
"478","AT1G20225"
"479","AT1G20340"
"480","AT1G20370"
"481","AT1G20410"
"482","AT1G20460"
"483","AT1G20540"
"484","AT1G20560"
"485","AT1G20575"
"486","AT1G20610"
"487","AT1G20770"
"488","AT1G20823"
"489","AT1G20900"
"490","AT1G20920"
"491","AT1G20930"
"492","AT1G20970"
"493","AT1G20980"
"494","AT1G21110"
"495","AT1G21380"
"496","AT1G21450"
"497","AT1G21560"
"498","AT1G21660"
"499","AT1G21680"
"500","AT1G21690"
"501","AT1G21700"
"502","AT1G21710"
"503","AT1G21730"
"504","AT1G21740"
"505","AT1G21760"
"506","AT1G21830"
"507","AT1G21840"
"508","AT1G21880"
"509","AT1G21920"
"510","AT1G21980"
"511","AT1G22060"
"512","AT1G22070"
"513","AT1G22140"
"514","AT1G22170"
"515","AT1G22200"
"516","AT1G22230"
"517","AT1G22280"
"518","AT1G22330"
"519","AT1G22360"
"520","AT1G22440"
"521","AT1G22470"
"522","AT1G22500"
"523","AT1G22610"
"524","AT1G22620"
"525","AT1G22640"
"526","AT1G22710"
"527","AT1G22730"
"528","AT1G22740"
"529","AT1G22750"
"530","AT1G22790"
"531","AT1G22800"
"532","AT1G22882"
"533","AT1G22885"
"534","AT1G22910"
"535","AT1G22920"
"536","AT1G22930"
"537","AT1G22970"
"538","AT1G23000"
"539","AT1G23030"
"540","AT1G23040"
"541","AT1G23080"
"542","AT1G23100"
"543","AT1G23150"
"544","AT1G23160"
"545","AT1G23260"
"546","AT1G23310"
"547","AT1G23480"
"548","AT1G23710"
"549","AT1G23750"
"550","AT1G23760"
"551","AT1G23780"
"552","AT1G23800"
"553","AT1G23850"
"554","AT1G23870"
"555","AT1G24120"
"556","AT1G24160"
"557","AT1G24170"
"558","AT1G24190"
"559","AT1G24267"
"560","AT1G24280"
"561","AT1G24310"
"562","AT1G24340"
"563","AT1G24350"
"564","AT1G24440"
"565","AT1G24450"
"566","AT1G24460"
"567","AT1G24610"
"568","AT1G24625"
"569","AT1G24764"
"570","AT1G25220"
"571","AT1G25280"
"572","AT1G25380"
"573","AT1G25420"
"574","AT1G25500"
"575","AT1G25510"
"576","AT1G25520"
"577","AT1G25560"
"578","AT1G25580"
"579","AT1G25682"
"580","AT1G26100"
"581","AT1G26180"
"582","AT1G26270"
"583","AT1G26300"
"584","AT1G26340"
"585","AT1G26440"
"586","AT1G26450"
"587","AT1G26470"
"588","AT1G26530"
"589","AT1G26580"
"590","AT1G26640"
"591","AT1G26650"
"592","AT1G26660"
"593","AT1G26665"
"594","AT1G26690"
"595","AT1G26820"
"596","AT1G26830"
"597","AT1G26840"
"598","AT1G26910"
"599","AT1G26930"
"600","AT1G26940"
"601","AT1G26960"
"602","AT1G27000"
"603","AT1G27020"
"604","AT1G27050"
"605","AT1G27100"
"606","AT1G27130"
"607","AT1G27150"
"608","AT1G27190"
"609","AT1G27300"
"610","AT1G27320"
"611","AT1G27340"
"612","AT1G27385"
"613","AT1G27390"
"614","AT1G27440"
"615","AT1G27470"
