"","col_FLT_c1.which.mclass....9...1."
"390","AT1G78020"
"391","AT1G78120"
"392","AT1G78140"
"393","AT1G78200"
"394","AT1G78210"
"395","AT1G78430"
"396","AT1G78510"
"397","AT1G78580"
"398","AT1G78810"
"399","AT1G79490"
"400","AT1G79600"
"401","AT1G79620"
"402","AT1G79760"
"403","AT1G79840"
"404","AT1G80030"
"405","AT1G80120"
"406","AT1G80630"
"407","AT1G80640"
"408","AT2G01130"
"409","AT2G01290"
"410","AT2G02080"
"411","AT2G02500"
"412","AT2G02590"
"413","AT2G02620"
"414","AT2G02635"
"415","AT2G03050"
"416","AT2G03060"
"417","AT2G03280"
"418","AT2G03450"
"419","AT2G03480"
"420","AT2G03667"
"421","AT2G04235"
"422","AT2G04270"
"423","AT2G04350"
"424","AT2G04620"
"425","AT2G04660"
"426","AT2G04842"
"427","AT2G04852"
"428","AT2G05120"
"429","AT2G05160"
"430","AT2G06005"
"431","AT2G06040"
"432","AT2G06465"
"433","AT2G07325"
"434","AT2G07627"
"435","AT2G07641"
"436","AT2G07665"
"437","AT2G07687"
"438","AT2G07707"
"439","AT2G07715"
"440","AT2G07773"
"441","AT2G08750"
"442","AT2G09640"
"443","AT2G09660"
"444","AT2G12462"
"445","AT2G13290"
"446","AT2G14520"
"447","AT2G14620"
"448","AT2G14660"
"449","AT2G15300"
"450","AT2G15440"
"451","AT2G15730"
"452","AT2G15820"
"453","AT2G16230"
"454","AT2G16270"
"455","AT2G16385"
"456","AT2G16390"
"457","AT2G16400"
"458","AT2G16750"
"459","AT2G16980"
"460","AT2G16990"
"461","AT2G17150"
"462","AT2G17300"
"463","AT2G17820"
"464","AT2G17970"
"465","AT2G18450"
"466","AT2G18620"
"467","AT2G18760"
"468","AT2G18890"
"469","AT2G18915"
"470","AT2G18940"
"471","AT2G19120"
"472","AT2G19280"
"473","AT2G19380"
"474","AT2G19530"
"475","AT2G19660"
"476","AT2G19930"
"477","AT2G20020"
"478","AT2G20100"
"479","AT2G20110"
"480","AT2G20210"
"481","AT2G20290"
"482","AT2G20440"
"483","AT2G20495"
"484","AT2G20520"
"485","AT2G20635"
"486","AT2G20680"
