"","col_FLT_c1.which.mclass....9...1."
"535","AT1G44810"
"536","AT1G44835"
"537","AT1G44900"
"538","AT1G45015"
"539","AT1G45050"
"540","AT1G45976"
"541","AT1G46554"
"542","AT1G46768"
"543","AT1G47210"
"544","AT1G47310"
"545","AT1G47380"
"546","AT1G47500"
"547","AT1G47530"
"548","AT1G47550"
"549","AT1G47570"
"550","AT1G47710"
"551","AT1G47840"
"552","AT1G47960"
"553","AT1G47970"
"554","AT1G48110"
"555","AT1G48170"
"556","AT1G48230"
"557","AT1G48330"
"558","AT1G48380"
"559","AT1G48420"
"560","AT1G48450"
"561","AT1G48610"
"562","AT1G48635"
"563","AT1G48860"
"564","AT1G48900"
"565","AT1G48950"
"566","AT1G48970"
"567","AT1G49030"
"568","AT1G49032"
"569","AT1G49050"
"570","AT1G49470"
"571","AT1G49590"
"572","AT1G49720"
"573","AT1G49820"
"574","AT1G49850"
"575","AT1G49950"
"576","AT1G49970"
"577","AT1G50110"
"578","AT1G50320"
"579","AT1G50380"
"580","AT1G50420"
"581","AT1G50500"
"582","AT1G50510"
"583","AT1G50560"
"584","AT1G50570"
"585","AT1G50600"
"586","AT1G50630"
"587","AT1G50710"
"588","AT1G50940"
"589","AT1G51570"
"590","AT1G51590"
"591","AT1G51630"
"592","AT1G51710"
"593","AT1G51760"
"594","AT1G52150"
"595","AT1G52340"
"596","AT1G52347"
"597","AT1G52370"
"598","AT1G52420"
"599","AT1G52730"
"600","AT1G52750"
"601","AT1G52905"
"602","AT1G53040"
"603","AT1G53050"
"604","AT1G53170"
"605","AT1G53180"
"606","AT1G53280"
"607","AT1G53290"
"608","AT1G53300"
"609","AT1G53380"
"610","AT1G53400"
"611","AT1G53500"
"612","AT1G53635"
"613","AT1G53645"
"614","AT1G53680"
"615","AT1G53710"
"616","AT1G53720"
"617","AT1G53780"
"618","AT1G53880"
"619","AT1G53920"
"620","AT1G54060"
"621","AT1G54115"
"622","AT1G54140"
"623","AT1G54170"
"624","AT1G54210"
"625","AT1G54250"
"626","AT1G54370"
"627","AT1G54390"
"628","AT1G54490"
"629","AT1G54610"
"630","AT1G54770"
"631","AT1G54830"
"632","AT1G54990"
"633","AT1G55000"
"634","AT1G55080"
"635","AT1G55190"
"636","AT1G55205"
"637","AT1G55210"
"638","AT1G55340"
"639","AT1G55500"
"640","AT1G55530"
"641","AT1G55680"
"642","AT1G55690"
"643","AT1G55730"
"644","AT1G55805"
"645","AT1G55860"
"646","AT1G55880"
"647","AT1G55900"
"648","AT1G56190"
"649","AT1G56290"
"650","AT1G56320"
"651","AT1G56430"
"652","AT1G56460"
"653","AT1G56590"
"654","AT1G57540"
"655","AT1G57765"
"656","AT1G58030"
"657","AT1G58070"
"658","AT1G58080"
"659","AT1G58100"
"660","AT1G58110"
"661","AT1G58230"
"662","AT1G58270"
"663","AT1G58280"
"664","AT1G58360"
"665","AT1G58440"
"666","AT1G59590"
"667","AT1G59600"
"668","AT1G59650"
"669","AT1G59710"
"670","AT1G59760"
"671","AT1G59830"
"672","AT1G60170"
"673","AT1G60200"
"674","AT1G60420"
"675","AT1G60640"
"676","AT1G60660"
"677","AT1G60740"
"678","AT1G60810"
"679","AT1G60850"
"680","AT1G60860"
"681","AT1G60900"
"682","AT1G60960"
"683","AT1G61010"
"684","AT1G61040"
"685","AT1G61150"
"686","AT1G61590"
"687","AT1G61670"
"688","AT1G61690"
"689","AT1G61730"
"690","AT1G61740"
"691","AT1G61750"
"692","AT1G61840"
"693","AT1G61870"
"694","AT1G61900"
"695","AT1G61990"
"696","AT1G62020"
"697","AT1G62040"
"698","AT1G62300"
"699","AT1G62330"
"700","AT1G62422"
"701","AT1G62430"
"702","AT1G62440"
"703","AT1G62510"
"704","AT1G62570"
"705","AT1G62770"
"706","AT1G62810"
"707","AT1G62820"
"708","AT1G62980"
"709","AT1G63050"
"710","AT1G63090"
"711","AT1G63120"
"712","AT1G63420"
"713","AT1G63470"
"714","AT1G63500"
"715","AT1G63640"
"716","AT1G63700"
"717","AT1G63720"
"718","AT1G63800"
"719","AT1G63850"
"720","AT1G63900"
"721","AT1G63970"
"722","AT1G64060"
"723","AT1G64200"
"724","AT1G64280"
"725","AT1G64350"
"726","AT1G64385"
"727","AT1G64460"
"728","AT1G64790"
"729","AT1G64950"
"730","AT1G64990"
"731","AT1G65020"
"732","AT1G65030"
"733","AT1G65032"
"734","AT1G65260"
"735","AT1G65280"
"736","AT1G65295"
"737","AT1G65370"
"738","AT1G65430"
"739","AT1G65520"
"740","AT1G65580"
"741","AT1G65650"
"742","AT1G65660"
"743","AT1G65690"
"744","AT1G65700"
"745","AT1G65840"
"746","AT1G65985"
"747","AT1G66070"
"748","AT1G66150"
"749","AT1G66250"
"750","AT1G66530"
"751","AT1G66590"
"752","AT1G66670"
"753","AT1G66760"
"754","AT1G67030"
"755","AT1G67060"
"756","AT1G67080"
"757","AT1G67105"
"758","AT1G67140"
"759","AT1G67280"
"760","AT1G67325"
"761","AT1G67340"
"762","AT1G67620"
"763","AT1G67920"
"764","AT1G68060"
"765","AT1G68070"
"766","AT1G68100"
"767","AT1G68130"
"768","AT1G68150"
"769","AT1G68220"
"770","AT1G68230"
"771","AT1G68370"
"772","AT1G68410"
"773","AT1G68440"
"774","AT1G68450"
"775","AT1G68580"
"776","AT1G68660"
"777","AT1G68670"
"778","AT1G68710"
"779","AT1G68720"
"780","AT1G68760"
"781","AT1G68810"
"782","AT1G68820"
"783","AT1G68825"
"784","AT1G68990"
"785","AT1G69030"
"786","AT1G69070"
"787","AT1G69220"
"788","AT1G69250"
"789","AT1G69252"
"790","AT1G69330"
"791","AT1G69340"
"792","AT1G69390"
"793","AT1G69420"
"794","AT1G69450"
"795","AT1G69490"
"796","AT1G69520"
"797","AT1G69530"
"798","AT1G69740"
"799","AT1G69780"
"800","AT1G69810"
"801","AT1G69890"
"802","AT1G69930"
"803","AT1G69960"
"804","AT1G69980"
"805","AT1G70060"
"806","AT1G70180"
"807","AT1G70210"
"808","AT1G70280"
"809","AT1G70320"
"810","AT1G70330"
"811","AT1G70340"
"812","AT1G70370"
"813","AT1G70420"
"814","AT1G70530"
"815","AT1G70570"
"816","AT1G70620"
"817","AT1G70670"
"818","AT1G70690"
"819","AT1G70730"
"820","AT1G70810"
"821","AT1G70940"
"822","AT1G71020"
"823","AT1G71080"
"824","AT1G71190"
"825","AT1G71220"
"826","AT1G71270"
"827","AT1G71350"
"828","AT1G71410"
"829","AT1G71692"
"830","AT1G71695"
"831","AT1G71697"
"832","AT1G71740"
"833","AT1G71800"
"834","AT1G71820"
"835","AT1G71830"
"836","AT1G71865"
"837","AT1G71880"
"838","AT1G71900"
"839","AT1G71940"
"840","AT1G71980"
"841","AT1G72050"
"842","AT1G72090"
"843","AT1G72160"
"844","AT1G72175"
"845","AT1G72310"
"846","AT1G72320"
"847","AT1G72340"
"848","AT1G72410"
"849","AT1G72430"
"850","AT1G72440"
"851","AT1G72470"
"852","AT1G72480"
"853","AT1G72490"
"854","AT1G72630"
"855","AT1G72700"
"856","AT1G72770"
"857","AT1G72790"
"858","AT1G72820"
"859","AT1G72840"
"860","AT1G72852"
"861","AT1G72920"
"862","AT1G72930"
"863","AT1G72940"
"864","AT1G73250"
"865","AT1G73430"
"866","AT1G73590"
"867","AT1G73805"
"868","AT1G73820"
"869","AT1G73920"
"870","AT1G74020"
"871","AT1G74090"
"872","AT1G74160"
"873","AT1G74210"
"874","AT1G74260"
"875","AT1G74380"
"876","AT1G74450"
"877","AT1G74950"
"878","AT1G74960"
"879","AT1G74970"
"880","AT1G75080"
"881","AT1G75130"
"882","AT1G75170"
"883","AT1G75190"
"884","AT1G75280"
"885","AT1G75340"
"886","AT1G75400"
"887","AT1G75410"
"888","AT1G75510"
"889","AT1G75580"
"890","AT1G75670"
"891","AT1G75710"
"892","AT1G75760"
"893","AT1G75850"
"894","AT1G75860"
"895","AT1G75980"
"896","AT1G75990"
"897","AT1G76140"
"898","AT1G76240"
"899","AT1G76260"
"900","AT1G76310"
"901","AT1G76340"
"902","AT1G76405"
"903","AT1G76460"
"904","AT1G76500"
"905","AT1G76550"
"906","AT1G76560"
"907","AT1G76640"
"908","AT1G76650"
"909","AT1G76660"
"910","AT1G76760"
"911","AT1G76850"
"912","AT1G76880"
"913","AT1G76900"
"914","AT1G76920"
"915","AT1G76940"
"916","AT1G76980"
"917","AT1G77080"
"918","AT1G77120"
"919","AT1G77130"
"920","AT1G77300"
"921","AT1G77380"
"922","AT1G77420"
"923","AT1G77470"
"924","AT1G77510"
"925","AT1G77550"
"926","AT1G77580"
"927","AT1G77590"
"928","AT1G77640"
"929","AT1G77670"
"930","AT1G77750"
"931","AT1G77920"
"932","AT1G78100"
"933","AT1G78240"
"934","AT1G78260"
"935","AT1G78420"
"936","AT1G78560"
"937","AT1G78620"
"938","AT1G78630"
"939","AT1G78680"
"940","AT1G78830"
"941","AT1G78895"
"942","AT1G78920"
"943","AT1G79000"
"944","AT1G79070"
"945","AT1G79180"
"946","AT1G79200"
"947","AT1G79260"
"948","AT1G79270"
"949","AT1G79380"
"950","AT1G79430"
"951","AT1G79450"
"952","AT1G79500"
"953","AT1G79590"
"954","AT1G79690"
"955","AT1G79730"
"956","AT1G79820"
"957","AT1G79850"
"958","AT1G79870"
"959","AT1G79880"
"960","AT1G79920"
"961","AT1G79970"
"962","AT1G79990"
"963","AT1G80050"
"964","AT1G80270"
"965","AT1G80280"
"966","AT1G80350"
"967","AT1G80370"
"968","AT1G80480"
"969","AT1G80490"
"970","AT1G80560"
"971","AT1G80600"
"972","AT1G80610"
"973","AT1G80620"
"974","AT1G80680"
"975","AT1G80690"
"976","AT1G80700"
"977","AT1G80720"
"978","AT1G80890"
"979","AT1G80910"
"980","AT1G80940"
"981","AT1G80950"
"982","AT2G01070"
"983","AT2G01090"
"984","AT2G01170"
"985","AT2G01180"
"986","AT2G01190"
"987","AT2G01220"
"988","AT2G01270"
"989","AT2G01505"
"990","AT2G01540"
"991","AT2G01630"
"992","AT2G01650"
"993","AT2G01690"
"994","AT2G01710"
"995","AT2G01735"
"996","AT2G01830"
"997","AT2G01850"
"998","AT2G01910"
"999","AT2G02090"
"1000","AT2G02180"
"1001","AT2G02560"
"1002","AT2G02570"
"1003","AT2G02610"
"1004","AT2G02680"
"1005","AT2G02780"
"1006","AT2G02790"
"1007","AT2G02800"
"1008","AT2G02820"
"1009","AT2G02850"
"1010","AT2G02930"
"1011","AT2G03150"
"1012","AT2G03220"
"1013","AT2G03350"
"1014","AT2G03470"
"1015","AT2G04025"
"1016","AT2G04360"
"1017","AT2G04550"
"1018","AT2G04880"
"1019","AT2G05230"
"1020","AT2G05250"
"1021","AT2G05330"
"1022","AT2G05380"
"1023","AT2G05520"
"1024","AT2G05830"
"1025","AT2G06010"
"1026","AT2G06025"
"1027","AT2G06050"
"1028","AT2G06925"
"1029","AT2G06990"
"1030","AT2G07175"
"1031","AT2G07360"
"1032","AT2G07671"
"1033","AT2G07690"
"1034","AT2G07696"
"1035","AT2G07725"
"1036","AT2G08780"
"1037","AT2G09785"
"1038","AT2G09795"
"1039","AT2G12400"
"1040","AT2G12646"
"1041","AT2G13540"
"1042","AT2G14045"
"1043","AT2G14120"
"1044","AT2G14255"
"1045","AT2G14260"
"1046","AT2G14740"
"1047","AT2G14750"
"1048","AT2G14820"
"1049","AT2G14825"
"1050","AT2G15000"
"1051","AT2G15270"
"1052","AT2G15292"
"1053","AT2G15430"
"1054","AT2G15620"
"1055","AT2G15830"
"1056","AT2G15860"
"1057","AT2G15880"
"1058","AT2G16280"
"1059","AT2G16460"
"1060","AT2G16485"
"1061","AT2G16500"
"1062","AT2G16530"
"1063","AT2G16595"
"1064","AT2G16640"
"1065","AT2G16700"
"1066","AT2G16780"
"1067","AT2G16790"
"1068","AT2G16800"
"1069","AT2G16900"
"1070","AT2G16950"
"1071","AT2G17070"
"1072","AT2G17120"
"1073","AT2G17130"
"1074","AT2G17190"
"1075","AT2G17240"
"1076","AT2G17250"
"1077","AT2G17265"
"1078","AT2G17280"
"1079","AT2G17290"
"1080","AT2G17340"
"1081","AT2G17370"
"1082","AT2G17410"
"1083","AT2G17510"
"1084","AT2G17520"
"1085","AT2G17530"
"1086","AT2G17540"
"1087","AT2G17630"
"1088","AT2G17640"
"1089","AT2G17705"
"1090","AT2G17790"
"1091","AT2G17800"
"1092","AT2G17980"
"1093","AT2G17990"
"1094","AT2G18090"
"1095","AT2G18170"
"1096","AT2G18193"
"1097","AT2G18196"
"1098","AT2G18210"
"1099","AT2G18220"
"1100","AT2G18230"
"1101","AT2G18250"
"1102","AT2G18380"
"1103","AT2G18510"
"1104","AT2G18630"
"1105","AT2G18670"
"1106","AT2G18700"
"1107","AT2G18710"
"1108","AT2G18730"
"1109","AT2G18735"
"1110","AT2G18800"
"1111","AT2G18840"
"1112","AT2G18900"
"1113","AT2G18910"
"1114","AT2G18990"
"1115","AT2G19080"
"1116","AT2G19180"
"1117","AT2G19340"
"1118","AT2G19350"
"1119","AT2G19385"
