"","X","col_FLT_c1.which.mclass....5...1."
"2854",2854,"AT5G02630"
"1932",1932,"AT3G25560"
"1788",1788,"AT3G13420"
"1258",1258,"AT2G25220"
"522",522,"AT1G44350"
"1876",1876,"AT3G20420"
"2623",2623,"AT4G26680"
"1820",1820,"AT3G15620"
"164",164,"AT1G09000"
"1199",1199,"AT2G21550"
"1329",1329,"AT2G31830"
"1296",1296,"AT2G29180"
"1343",1343,"AT2G32410"
"1586",1586,"AT2G47180"
"1462",1462,"AT2G39220"
"289",289,"AT1G16250"
"3633",3633,"AT5G67150"
"9",9,"AT1G01660"
"2702",2702,"AT4G33180"
"1022",1022,"AT2G01275"
"3211",3211,"AT5G38150"
"2091",2091,"AT3G50280"
"953",953,"AT1G75960"
"176",176,"AT1G09440"
"1605",1605,"AT3G01545"
"1157",1157,"AT2G18450"
"1846",1846,"AT3G17920"
"3460",3460,"AT5G54520"
"1077",1077,"AT2G05185"
"1804",1804,"AT3G14540"
"2276",2276,"AT4G01020"
"1824",1824,"AT3G15990"
"1068",1068,"AT2G04620"
"1531",1531,"AT2G43445"
"2611",2611,"AT4G25760"
"407",407,"AT1G25360"
"2782",2782,"AT4G38050"
"1520",1520,"AT2G42870"
"619",619,"AT1G54110"
"2468",2468,"AT4G15740"
"2960",2960,"AT5G09800"
"251",251,"AT1G13740"
"687",687,"AT1G60190"
"1767",1767,"AT3G11840"
"2719",2719,"AT4G34580"
"1039",1039,"AT2G02400"
"3249",3249,"AT5G40840"
"61",61,"AT1G04295"
"1173",1173,"AT2G19440"
"3110",3110,"AT5G22750"
"1573",1573,"AT2G46430"
"1649",1649,"AT3G03770"
"1645",1645,"AT3G03640"
"2453",2453,"AT4G14940"
"1768",1768,"AT3G11850"
"2339",2339,"AT4G04960"
"1284",1284,"AT2G28260"
"1435",1435,"AT2G37710"
"2830",2830,"AT5G01770"
"1854",1854,"AT3G18310"
"1013",1013,"AT1G80200"
"1285",1285,"AT2G28305"
"937",937,"AT1G74550"
"2556",2556,"AT4G21865"
"1769",1769,"AT3G11950"
"3432",3432,"AT5G52790"
"2633",2633,"AT4G27460"
"2393",2393,"AT4G11130"
"3320",3320,"AT5G45200"
"567",567,"AT1G50000"
"2997",2997,"AT5G13140"
"1944",1944,"AT3G26050"
"489",489,"AT1G32870"
"2446",2446,"AT4G14620"
"553",553,"AT1G49110"
"3399",3399,"AT5G50570"
"1383",1383,"AT2G34980"
"2038",2038,"AT3G47560"
"2869",2869,"AT5G03550"
"1512",1512,"AT2G42380"
"186",186,"AT1G09783"
"3346",3346,"AT5G47240"
"1707",1707,"AT3G07375"
"2654",2654,"AT4G28790"
"3574",3574,"AT5G62370"
"2946",2946,"AT5G08720"
"2092",2092,"AT3G50290"
"1815",1815,"AT3G15440"
"1892",1892,"AT3G21600"
"3581",3581,"AT5G63060"
"696",696,"AT1G60870"
"685",685,"AT1G60130"
"2924",2924,"AT5G07020"
"1939",1939,"AT3G25820"
"1295",1295,"AT2G29065"
"1230",1230,"AT2G23670"
"411",411,"AT1G26190"
"2599",2599,"AT4G24910"
"1920",1920,"AT3G24480"
"2892",2892,"AT5G05270"
"1483",1483,"AT2G41000"
"3643",3643,"AT5G67460"
"262",262,"AT1G14530"
"2542",2542,"AT4G21300"
"2409",2409,"AT4G12120"
"2479",2479,"AT4G16400"
"1086",1086,"AT2G07325"
"1210",1210,"AT2G22240"
"2668",2668,"AT4G30110"
"2351",2351,"AT4G06598"
"3089",3089,"AT5G19870"
"2429",2429,"AT4G13890"
"1489",1489,"AT2G41190"
"1899",1899,"AT3G22830"
"1514",1514,"AT2G42430"
"2980",2980,"AT5G11300"
"2394",2394,"AT4G11140"
"913",913,"AT1G73400"
"2212",2212,"AT3G60070"
"3566",3566,"AT5G61865"
"288",288,"AT1G16160"
"212",212,"AT1G11450"
"3358",3358,"AT5G48220"
"524",524,"AT1G44830"
"1366",1366,"AT2G33980"
"2823",2823,"AT5G01445"
"3515",3515,"AT5G58570"
"2791",2791,"AT4G38940"
"965",965,"AT1G77280"
"2614",2614,"AT4G25845"
"1832",1832,"AT3G16750"
"976",976,"AT1G77850"
"2769",2769,"AT4G37380"
"2024",2024,"AT3G46660"
"962",962,"AT1G77170"
"1668",1668,"AT3G04980"
"1178",1178,"AT2G20020"
"3039",3039,"AT5G16715"
"3214",3214,"AT5G38340"
"733",733,"AT1G62350"
"1290",1290,"AT2G28830"
"1167",1167,"AT2G18940"
"3453",3453,"AT5G54050"
"206",206,"AT1G11100"
"387",387,"AT1G22985"
"2571",2571,"AT4G22770"
"2971",2971,"AT5G10620"
"3618",3618,"AT5G66130"
"8",8,"AT1G01570"
"3207",3207,"AT5G38040"
"3236",3236,"AT5G40010"
"329",329,"AT1G18265"
"2361",2361,"AT4G08510"
"1885",1885,"AT3G20930"
"3025",3025,"AT5G15280"
"2721",2721,"AT4G34610"
"575",575,"AT1G50930"
"2715",2715,"AT4G34090"
"1773",1773,"AT3G12510"
