"","X","col_FLT_c1.which.mclass....6...1."
"2767",2767,"AT4G13360"
"711",711,"AT1G55150"
"4252",4252,"AT5G65495"
"3756",3756,"AT5G37130"
"1646",1646,"AT2G42160"
"1996",1996,"AT3G13222"
"2251",2251,"AT3G27325"
"1253",1253,"AT2G18770"
"1220",1220,"AT2G17340"
"242",242,"AT1G13530"
"2852",2852,"AT4G17830"
"3040",3040,"AT4G30210"
"3467",3467,"AT5G12330"
"415",415,"AT1G23800"
"1300",1300,"AT2G21270"
"1668",1668,"AT2G43950"
"1616",1616,"AT2G40475"
"729",729,"AT1G56230"
"990",990,"AT1G74940"
"1533",1533,"AT2G35920"
"504",504,"AT1G29790"
"946",946,"AT1G72010"
"2536",2536,"AT3G59890"
"3260",3260,"AT5G01710"
"1502",1502,"AT2G33990"
"3368",3368,"AT5G06830"
"2149",2149,"AT3G20550"
"775",775,"AT1G61670"
"3147",3147,"AT4G34960"
"663",663,"AT1G51590"
"2901",2901,"AT4G21510"
"1808",1808,"AT3G03780"
"1793",1793,"AT3G03180"
"1122",1122,"AT2G01830"
"3061",3061,"AT4G31100"
"3922",3922,"AT5G48175"
"1055",1055,"AT1G78620"
"688",688,"AT1G53645"
"2877",2877,"AT4G19540"
"3310",3310,"AT5G04440"
"2304",2304,"AT3G44720"
"3543",3543,"AT5G16620"
"2307",2307,"AT3G45100"
"122",122,"AT1G06850"
"4217",4217,"AT5G63910"
"3897",3897,"AT5G47010"
"387",387,"AT1G22070"
"1694",1694,"AT2G45160"
"1199",1199,"AT2G16460"
"1956",1956,"AT3G11650"
"3018",3018,"AT4G28510"
"2176",2176,"AT3G22415"
"4079",4079,"AT5G57270"
"1042",1042,"AT1G77510"
"2513",2513,"AT3G58560"
"3509",3509,"AT5G14530"
"231",231,"AT1G12990"
"3762",3762,"AT5G37720"
"4189",4189,"AT5G63000"
"2866",2866,"AT4G18905"
"3479",3479,"AT5G13110"
"2546",2546,"AT3G60440"
"2696",2696,"AT4G05460"
"2165",2165,"AT3G21240"
"3440",3440,"AT5G11450"
"1543",1543,"AT2G36470"
"1751",1751,"AT2G48160"
"935",935,"AT1G71695"
"2246",2246,"AT3G27070"
"2093",2093,"AT3G17770"
"2369",2369,"AT3G49990"
"121",121,"AT1G06720"
"3288",3288,"AT5G03230"
"2454",2454,"AT3G54690"
"3967",3967,"AT5G50565"
"3908",3908,"AT5G47620"
"180",180,"AT1G09870"
"2629",2629,"AT4G01280"
"1565",1565,"AT2G38280"
"2843",2843,"AT4G17140"
"763",763,"AT1G60640"
"273",273,"AT1G15140"
"1004",1004,"AT1G75670"
"2397",2397,"AT3G51330"
"157",157,"AT1G08620"
"3676",3676,"AT5G25060"
"979",979,"AT1G73805"
"853",853,"AT1G67140"
"2158",2158,"AT3G20920"
"3571",3571,"AT5G18420"
"2480",2480,"AT3G56170"
"2832",2832,"AT4G16480"
"3056",3056,"AT4G30990"
"523",523,"AT1G31170"
"2037",2037,"AT3G15010"
"1925",1925,"AT3G10300"
"4111",4111,"AT5G58575"
"3738",3738,"AT5G35160"
"2368",2368,"AT3G49860"
"1832",1832,"AT3G05040"
"635",635,"AT1G49032"
"2517",2517,"AT3G58660"
"4100",4100,"AT5G58130"
"2497",2497,"AT3G57300"
"123",123,"AT1G06930"
"849",849,"AT1G67060"
"3576",3576,"AT5G18830"
"309",309,"AT1G17210"
"4007",4007,"AT5G53090"
"410",410,"AT1G23310"
"2893",2893,"AT4G20835"
"2984",2984,"AT4G27020"
"260",260,"AT1G14410"
"3634",3634,"AT5G22570"
"109",109,"AT1G06130"
"3456",3456,"AT5G11960"
"2839",2839,"AT4G17050"
"2136",2136,"AT3G19790"
"3691",3691,"AT5G25780"
"892",892,"AT1G69390"
"1710",1710,"AT2G45695"
"2648",2648,"AT4G02150"
"899",899,"AT1G69770"
"3894",3894,"AT5G46790"
"2626",2626,"AT4G01120"
"1549",1549,"AT2G36895"
"3102",3102,"AT4G33060"
"716",716,"AT1G55490"
"1227",1227,"AT2G17570"
"68",68,"AT1G04780"
"1026",1026,"AT1G76760"
"665",665,"AT1G51710"
"173",173,"AT1G09290"
"2838",2838,"AT4G17040"
"662",662,"AT1G51570"
"2132",2132,"AT3G19630"
"1148",1148,"AT2G04025"
"883",883,"AT1G68990"
"4273",4273,"AT5G66080"
"2313",2313,"AT3G46180"
"3174",3174,"AT4G36360"
"3986",3986,"AT5G51780"
"726",726,"AT1G55900"
"4165",4165,"AT5G61770"
"1510",1510,"AT2G34570"
"2907",2907,"AT4G22140"
"3853",3853,"AT5G43760"
"3419",3419,"AT5G10070"
"2482",2482,"AT3G56720"
"1707",1707,"AT2G45510"
"2533",2533,"AT3G59770"
"4052",4052,"AT5G55990"
"1530",1530,"AT2G35880"
"3460",3460,"AT5G12080"
"3786",3786,"AT5G40200"
"760",760,"AT1G60170"
"3451",3451,"AT5G11890"
"3678",3678,"AT5G25080"
"175",175,"AT1G09645"
"2267",2267,"AT3G28480"
"2525",2525,"AT3G59210"
"3113",3113,"AT4G33520"
"837",837,"AT1G65690"
"3418",3418,"AT5G10060"
"471",471,"AT1G27700"
"2472",2472,"AT3G55560"
"413",413,"AT1G23760"
"919",919,"AT1G70570"
"1841",1841,"AT3G05290"
"3687",3687,"AT5G25510"
"4018",4018,"AT5G53760"
"1001",1001,"AT1G75400"
"1539",1539,"AT2G36307"
"1306",1306,"AT2G21470"
"2622",2622,"AT4G00910"
"1161",1161,"AT2G06025"
"3657",3657,"AT5G23630"
"947",947,"AT1G72090"
"4281",4281,"AT5G66320"
"932",932,"AT1G71400"
"402",402,"AT1G23030"
"1369",1369,"AT2G26110"
"2337",2337,"AT3G47930"
"4053",4053,"AT5G56000"
"3146",3146,"AT4G34920"
"2572",2572,"AT3G62280"
"3913",3913,"AT5G47760"
"2625",2625,"AT4G01070"
"3795",3795,"AT5G40630"
"1740",1740,"AT2G47790"
"692",692,"AT1G53780"
"3000",3000,"AT4G27750"
"2196",2196,"AT3G23780"
"1086",1086,"AT1G80290"
"1105",1105,"AT1G80950"
"2915",2915,"AT4G22340"
"1869",1869,"AT3G06778"
"1720",1720,"AT2G46410"
"1827",1827,"AT3G04770"
"363",363,"AT1G20620"
"600",600,"AT1G45332"
"252",252,"AT1G14060"
"1903",1903,"AT3G08760"
"1673",1673,"AT2G44140"
"3887",3887,"AT5G46180"
"3535",3535,"AT5G16300"
"308",308,"AT1G17147"
"1829",1829,"AT3G04930"
"4026",4026,"AT5G54380"
"3341",3341,"AT5G05800"
"398",398,"AT1G22910"
"3420",3420,"AT5G10170"
"2043",2043,"AT3G15190"
"2757",2757,"AT4G12760"
"1954",1954,"AT3G11540"
"855",855,"AT1G67320"
"3976",3976,"AT5G51300"
"3441",3441,"AT5G11480"
"97",97,"AT1G05785"
"646",646,"AT1G49950"
"2734",2734,"AT4G10330"
"2401",2401,"AT3G51460"
"1598",1598,"AT2G39630"
"1561",1561,"AT2G37790"
"516",516,"AT1G30650"
"4108",4108,"AT5G58470"
"2349",2349,"AT3G48670"
"2516",2516,"AT3G58640"
"2170",2170,"AT3G21550"
"237",237,"AT1G13220"
"5",5,"AT1G01360"
"3464",3464,"AT5G12200"
"1464",1464,"AT2G31400"
"1123",1123,"AT2G01850"
"104",104,"AT1G05940"
"1449",1449,"AT2G30550"
"1664",1664,"AT2G43540"
"2562",2562,"AT3G61680"
"296",296,"AT1G16270"
"4312",4312,"ATCG00860"
"2547",2547,"AT3G60480"
"4161",4161,"AT5G61500"
"2303",2303,"AT3G44600"
"2782",2782,"AT4G14342"
"520",520,"AT1G30910"
"3635",3635,"AT5G22640"
"2083",2083,"AT3G17000"
"1989",1989,"AT3G12980"
"4231",4231,"AT5G64420"
"3352",3352,"AT5G06265"
"2966",2966,"AT4G26000"
"654",654,"AT1G50500"
"4054",4054,"AT5G56020"
"222",222,"AT1G12530"
"1215",1215,"AT2G17250"
"2365",2365,"AT3G49630"
"3094",3094,"AT4G32830"
"1597",1597,"AT2G39580"
"2294",2294,"AT3G43440"
"3120",3120,"AT4G33670"
"108",108,"AT1G06070"
"3029",3029,"AT4G29490"
"3556",3556,"AT5G17530"
"49",49,"AT1G03730"
"2506",2506,"AT3G58130"
"3062",3062,"AT4G31110"
"782",782,"AT1G61990"
"2318",2318,"AT3G46590"
"116",116,"AT1G06530"
"4241",4241,"AT5G64760"
"3189",3189,"AT4G36980"
"1937",1937,"AT3G10810"
"3553",3553,"AT5G17160"
"3868",3868,"AT5G44560"
"2359",2359,"AT3G49250"
"1178",1178,"AT2G14120"
"888",888,"AT1G69250"
"3274",3274,"AT5G02420"
"3098",3098,"AT4G32890"
"1458",1458,"AT2G31060"
"2961",2961,"AT4G25690"
"452",452,"AT1G26690"
"221",221,"AT1G12520"
"3389",3389,"AT5G08535"
"57",57,"AT1G04210"
"1354",1354,"AT2G24990"
"475",475,"AT1G28100"
"248",248,"AT1G13960"
"3380",3380,"AT5G08080"
"1304",1304,"AT2G21410"
"1971",1971,"AT3G12300"
"2309",2309,"AT3G45700"
"4124",4124,"AT5G59410"
"1432",1432,"AT2G29560"
"3172",3172,"AT4G36195"
"2232",2232,"AT3G26370"
"582",582,"AT1G43560"
"2395",2395,"AT3G51280"
"164",164,"AT1G08845"
"2835",2835,"AT4G16630"
"3918",3918,"AT5G47880"
"1791",1791,"AT3G03120"
"4234",4234,"AT5G64460"
"4311",4311,"ATCG00800"
"3247",3247,"AT5G01030"
"1819",1819,"AT3G04350"
"938",938,"AT1G71800"
"4169",4169,"AT5G62000"
"382",382,"AT1G21740"
"3333",3333,"AT5G05620"
"3198",3198,"AT4G37409"
"1608",1608,"AT2G39940"
"3485",3485,"AT5G13370"
"3764",3764,"AT5G37850"
"476",476,"AT1G28110"
"3077",3077,"AT4G31910"
"4157",4157,"AT5G61340"
"138",138,"AT1G07970"
"3176",3176,"AT4G36390"
"4170",4170,"AT5G62050"
"918",918,"AT1G70530"
"353",353,"AT1G19880"
"2885",2885,"AT4G20270"
"1855",1855,"AT3G06240"
"540",540,"AT1G32310"
"512",512,"AT1G30300"
"1189",1189,"AT2G15270"
"2850",2850,"AT4G17620"
"1987",1987,"AT3G12970"
"3445",3445,"AT5G11730"
"2923",2923,"AT4G23050"
"2722",2722,"AT4G09620"
"913",913,"AT1G70330"
"2389",2389,"AT3G51000"
"3143",3143,"AT4G34860"
"2288",2288,"AT3G33520"
"3964",3964,"AT5G50370"
"2175",2175,"AT3G22310"
"2573",2573,"AT3G62310"
"1188",1188,"AT2G15230"
"585",585,"AT1G43700"
"378",378,"AT1G21660"
"409",409,"AT1G23220"
"2194",2194,"AT3G23660"
"3423",3423,"AT5G10300"
"1341",1341,"AT2G24060"
"3320",3320,"AT5G04970"
"872",872,"AT1G68450"
"1803",1803,"AT3G03570"
"491",491,"AT1G29025"
"531",531,"AT1G31760"
"2917",2917,"AT4G22530"
"2777",2777,"AT4G14020"
"1994",1994,"AT3G13120"
"1559",1559,"AT2G37620"
"3167",3167,"AT4G35930"
"3840",3840,"AT5G43020"
"233",233,"AT1G13110"
"890",890,"AT1G69330"
"1593",1593,"AT2G39420"
"2615",2615,"AT4G00450"
"1705",1705,"AT2G45400"
"2108",2108,"AT3G18380"
"3182",3182,"AT4G36680"
"598",598,"AT1G45050"
"3893",3893,"AT5G46760"
"3193",3193,"AT4G37210"
"1914",1914,"AT3G09720"
"522",522,"AT1G31160"
"3944",3944,"AT5G49550"
"1138",1138,"AT2G02820"
"3165",3165,"AT4G35860"
"2768",2768,"AT4G13390"
"2959",2959,"AT4G25360"
"313",313,"AT1G17430"
"2598",2598,"AT3G63240"
"1721",1721,"AT2G46500"
"2845",2845,"AT4G17230"
"1714",1714,"AT2G45990"
"3472",3472,"AT5G12860"
"856",856,"AT1G67325"
"558",558,"AT1G33810"
"2856",2856,"AT4G18360"
"1329",1329,"AT2G22880"
"3357",3357,"AT5G06340"
"2444",2444,"AT3G54170"
"2597",2597,"AT3G63200"
"1376",1376,"AT2G26460"
"4135",4135,"AT5G60020"
"7",7,"AT1G01580"
"1908",1908,"AT3G09090"
"631",631,"AT1G48860"
"2676",2676,"AT4G03430"
"3054",3054,"AT4G30900"
"3874",3874,"AT5G45190"
"1951",1951,"AT3G11420"
"186",186,"AT1G10130"
"1810",1810,"AT3G03860"
"3669",3669,"AT5G24590"
"3735",3735,"AT5G33290"
"18",18,"AT1G02145"
"1760",1760,"AT3G01400"
"3030",3030,"AT4G29520"
"1302",1302,"AT2G21340"
"2641",2641,"AT4G01870"
"2565",2565,"AT3G61980"
"2889",2889,"AT4G20360"
"4309",4309,"ATCG00500"
"4114",4114,"AT5G58800"
"608",608,"AT1G47530"
"3667",3667,"AT5G24500"
"4060",4060,"AT5G56240"
"3921",3921,"AT5G48150"
"4221",4221,"AT5G64020"
"1967",1967,"AT3G12140"
"3920",3920,"AT5G48030"
"3812",3812,"AT5G41760"
"1427",1427,"AT2G29200"
"3620",3620,"AT5G21105"
"1577",1577,"AT2G38740"
"2117",2117,"AT3G18960"
"1098",1098,"AT1G80680"
"1536",1536,"AT2G36240"
"2201",2201,"AT3G24020"
"86",86,"AT1G05270"
"2007",2007,"AT3G13610"
"3551",3551,"AT5G17060"
"3540",3540,"AT5G16550"
"1420",1420,"AT2G28720"
"1913",1913,"AT3G09700"
"816",816,"AT1G64385"
"4184",4184,"AT5G62720"
"1906",1906,"AT3G09000"
"2555",2555,"AT3G61050"
"1039",1039,"AT1G77380"
"2886",2886,"AT4G20280"
"3579",3579,"AT5G18970"
"517",517,"AT1G30690"
"493",493,"AT1G29050"
"4251",4251,"AT5G65380"
"390",390,"AT1G22400"
"3732",3732,"AT5G30495"
"904",904,"AT1G69980"
"124",124,"AT1G06950"
"3399",3399,"AT5G09290"
"1074",1074,"AT1G79710"
"2133",2133,"AT3G19640"
"1311",1311,"AT2G21970"
"2600",2600,"AT3G63390"
"2460",2460,"AT3G54910"
"2979",2979,"AT4G26640"
"2089",2089,"AT3G17430"
"590",590,"AT1G44170"
"129",129,"AT1G07250"
"185",185,"AT1G10070"
"1256",1256,"AT2G18900"
"1602",1602,"AT2G39705"
"2560",2560,"AT3G61460"
"2701",2701,"AT4G07855"
"2278",2278,"AT3G29200"
"1655",1655,"AT2G42880"
"2988",2988,"AT4G27380"
"330",330,"AT1G18480"
"2649",2649,"AT4G02200"
"4048",4048,"AT5G55700"
"1034",1034,"AT1G77030"
"1745",1745,"AT2G47940"
"2862",2862,"AT4G18700"
"3151",3151,"AT4G35220"
"3294",3294,"AT5G03560"
"1442",1442,"AT2G30210"
"1488",1488,"AT2G32910"
"30",30,"AT1G02680"
"707",707,"AT1G54920"
"416",416,"AT1G23850"
"1603",1603,"AT2G39725"
"4167",4167,"AT5G61880"
"4176",4176,"AT5G62460"
"621",621,"AT1G48330"
"3749",3749,"AT5G36160"
"33",33,"AT1G02890"
"3139",3139,"AT4G34430"
"3719",3719,"AT5G27600"
"2096",2096,"AT3G17840"
"3064",3064,"AT4G31360"
"967",967,"AT1G72840"
"2208",2208,"AT3G24518"
"3640",3640,"AT5G22875"
"749",749,"AT1G58360"
"4228",4228,"AT5G64290"
"326",326,"AT1G18160"
"4256",4256,"AT5G65640"
"2100",2100,"AT3G17910"
"4158",4158,"AT5G61380"
"11",11,"AT1G01750"
"3583",3583,"AT5G19130"
"2912",2912,"AT4G22285"
"2352",2352,"AT3G48780"
"779",779,"AT1G61750"
"814",814,"AT1G64280"
"3199",3199,"AT4G37440"
"3021",3021,"AT4G28760"
"3846",3846,"AT5G43430"
"939",939,"AT1G71820"
"1889",1889,"AT3G07555"
"2612",2612,"AT4G00300"
"3134",3134,"AT4G34215"
"4191",4191,"AT5G63050"
"3035",3035,"AT4G29900"
"1796",1796,"AT3G03310"
"62",62,"AT1G04440"
"2994",2994,"AT4G27585"
"4",4,"AT1G01350"
"26",26,"AT1G02410"
"3773",3773,"AT5G38840"
"2751",2751,"AT4G12090"
"3345",3345,"AT5G05965"
"596",596,"AT1G44960"
"1531",1531,"AT2G35900"
"2805",2805,"AT4G15093"
"2339",2339,"AT3G47980"
"3292",3292,"AT5G03530"
"3917",3917,"AT5G47870"
"2473",2473,"AT3G55600"
"4216",4216,"AT5G63905"
"2972",2972,"AT4G26310"
"3596",3596,"AT5G19485"
"2916",2916,"AT4G22360"
"637",637,"AT1G49170"
"2332",2332,"AT3G47670"
"1053",1053,"AT1G78420"
"2169",2169,"AT3G21465"
"3050",3050,"AT4G30620"
"3171",3171,"AT4G36180"
"1525",1525,"AT2G35620"
"2627",2627,"AT4G01140"
"3273",3273,"AT5G02410"
"1038",1038,"AT1G77300"
"3474",3474,"AT5G13030"
"3858",3858,"AT5G44070"
"3431",3431,"AT5G10750"
"3838",3838,"AT5G42950"
"3671",3671,"AT5G24650"
"1010",1010,"AT1G75945"
"3656",3656,"AT5G23610"
"709",709,"AT1G55000"
"2970",2970,"AT4G26160"
"1775",1775,"AT3G02550"
"2003",2003,"AT3G13470"
"2953",2953,"AT4G24940"
"1586",1586,"AT2G39270"
"2633",2633,"AT4G01430"
"1945",1945,"AT3G11230"
"4137",4137,"AT5G60210"
"1894",1894,"AT3G07640"
"1798",1798,"AT3G03330"
"2187",2187,"AT3G23170"
"893",893,"AT1G69420"
"2448",2448,"AT3G54320"
"2774",2774,"AT4G13620"
"4183",4183,"AT5G62680"
"1112",1112,"AT2G01430"
"1211",1211,"AT2G17120"
"1912",1912,"AT3G09690"
"1511",1511,"AT2G34630"
"1964",1964,"AT3G11964"
"3775",3775,"AT5G38890"
"64",64,"AT1G04530"
"1131",1131,"AT2G02610"
"3534",3534,"AT5G16290"
"2553",2553,"AT3G60860"
"1162",1162,"AT2G06210"
"2029",2029,"AT3G14610"
"1679",1679,"AT2G44450"
"4016",4016,"AT5G53550"
"3432",3432,"AT5G10820"
"1417",1417,"AT2G28660"
"132",132,"AT1G07510"
"2899",2899,"AT4G21460"
"604",604,"AT1G47210"
"2780",2780,"AT4G14147"
"1166",1166,"AT2G07360"
"1898",1898,"AT3G08040"
"2067",2067,"AT3G16230"
"82",82,"AT1G05170"
"3978",3978,"AT5G51390"
"1990",1990,"AT3G13040"
"2799",2799,"AT4G14950"
"2990",2990,"AT4G27430"
"3036",3036,"AT4G29950"
"3504",3504,"AT5G14250"
"2809",2809,"AT4G15415"
"1361",1361,"AT2G25650"
"1153",1153,"AT2G04940"
"2891",2891,"AT4G20400"
"2195",2195,"AT3G23750"
"1159",1159,"AT2G05830"
"907",907,"AT1G70150"
"263",263,"AT1G14690"
"2302",2302,"AT3G44430"
"71",71,"AT1G04900"
"2471",2471,"AT3G55510"
"3528",3528,"AT5G15640"
"1836",1836,"AT3G05100"
"1884",1884,"AT3G07340"
"1071",1071,"AT1G79500"
"601",601,"AT1G45976"
"2376",2376,"AT3G50620"
"1225",1225,"AT2G17530"
"2087",2087,"AT3G17365"
"1117",1117,"AT2G01680"
"3650",3650,"AT5G23340"
"4296",4296,"AT5G67240"
"2274",2274,"AT3G29090"
"821",821,"AT1G64950"
"1438",1438,"AT2G30105"
"548",548,"AT1G32928"
"1609",1609,"AT2G40010"
"1969",1969,"AT3G12240"
"3398",3398,"AT5G09270"
"4204",4204,"AT5G63500"
"1457",1457,"AT2G30990"
"487",487,"AT1G28510"
"1443",1443,"AT2G30250"
"2137",2137,"AT3G19950"
"3125",3125,"AT4G33940"
"1585",1585,"AT2G39260"
"80",80,"AT1G05147"
"2017",2017,"AT3G14000"
"1763",1763,"AT3G01590"
"3746",3746,"AT5G35700"
"1509",1509,"AT2G34410"
"4059",4059,"AT5G56220"
"3999",3999,"AT5G52540"
"1587",1587,"AT2G39300"
"2439",2439,"AT3G53650"
"2581",2581,"AT3G62700"
"3558",3558,"AT5G17620"
"1204",1204,"AT2G16700"
"1080",1080,"AT1G79920"
"1359",1359,"AT2G25480"
"4074",4074,"AT5G57040"
"1649",1649,"AT2G42240"
"744",744,"AT1G58100"
"898",898,"AT1G69740"
"4093",4093,"AT5G57850"
"74",74,"AT1G04960"
"4083",4083,"AT5G57410"
"3424",3424,"AT5G10330"
"421",421,"AT1G24170"
"928",928,"AT1G71220"
"3187",3187,"AT4G36920"
"3114",3114,"AT4G33530"
"4045",4045,"AT5G55510"
"20",20,"AT1G02170"
"903",903,"AT1G69960"
"395",395,"AT1G22640"
"3740",3740,"AT5G35330"
"1622",1622,"AT2G40800"
"3552",3552,"AT5G17070"
"2699",2699,"AT4G06746"
"1019",1019,"AT1G76460"
"4202",4202,"AT5G63470"
"3226",3226,"AT4G38570"
"3569",3569,"AT5G18400"
"2180",2180,"AT3G22780"
"1582",1582,"AT2G39000"
"4097",4097,"AT5G58010"
"2488",2488,"AT3G56970"
"2458",2458,"AT3G54860"
"99",99,"AT1G05840"
"2792",2792,"AT4G14570"
"3015",3015,"AT4G28440"
"666",666,"AT1G51760"
"1221",1221,"AT2G17370"
"2645",2645,"AT4G02010"
"2059",2059,"AT3G15940"
"168",168,"AT1G09010"
"2319",2319,"AT3G46740"
"1764",1764,"AT3G01640"
"3783",3783,"AT5G39990"
"3977",3977,"AT5G51340"
"2427",2427,"AT3G52660"
"3234",3234,"AT4G39160"
"3497",3497,"AT5G14020"
"2212",2212,"AT3G24660"
"927",927,"AT1G71080"
"4305",4305,"ATCG00040"
"592",592,"AT1G44810"
"2643",2643,"AT4G01900"
"492",492,"AT1G29040"
"1065",1065,"AT1G79200"
"3455",3455,"AT5G11950"
"344",344,"AT1G19440"
"1589",1589,"AT2G39350"
"2967",2967,"AT4G26060"
"931",931,"AT1G71350"
"3587",3587,"AT5G19240"
"3101",3101,"AT4G32960"
"2635",2635,"AT4G01590"
"470",470,"AT1G27695"
"1224",1224,"AT2G17520"
"2542",2542,"AT3G60140"
"3099",3099,"AT4G32915"
"198",198,"AT1G10600"
"1406",1406,"AT2G27900"
"386",386,"AT1G21980"
"321",321,"AT1G17730"
"3124",3124,"AT4G33920"
"473",473,"AT1G27930"
"3760",3760,"AT5G37380"
"743",743,"AT1G58070"
"2609",2609,"AT4G00200"
"2072",2072,"AT3G16500"
"3642",3642,"AT5G22920"
"1658",1658,"AT2G43080"
"4205",4205,"AT5G63550"
"2925",2925,"AT4G23410"
"1426",1426,"AT2G29125"
"3833",3833,"AT5G42825"
"1408",1408,"AT2G28060"
"3119",3119,"AT4G33625"
"2932",2932,"AT4G23840"
"40",40,"AT1G03280"
"3393",3393,"AT5G08630"
"4298",4298,"AT5G67270"
"824",824,"AT1G65020"
"1718",1718,"AT2G46260"
"4017",4017,"AT5G53620"
"1782",1782,"AT3G02750"
"3549",3549,"AT5G16910"
"323",323,"AT1G17970"
"92",92,"AT1G05520"
"3105",3105,"AT4G33130"
"2206",2206,"AT3G24350"
"2978",2978,"AT4G26620"
"2995",2995,"AT4G27654"
"2119",2119,"AT3G19010"
"1247",1247,"AT2G18510"
"1383",1383,"AT2G26700"
"1403",1403,"AT2G27590"
"343",343,"AT1G19370"
"4068",4068,"AT5G56660"
"3304",3304,"AT5G04260"
"2010",2010,"AT3G13700"
"786",786,"AT1G62330"
"41",41,"AT1G03290"
"841",841,"AT1G65985"
"3502",3502,"AT5G14180"
"90",90,"AT1G05430"
"1469",1469,"AT2G31740"
"1327",1327,"AT2G22720"
"1235",1235,"AT2G17990"
"4225",4225,"AT5G64180"
"2150",2150,"AT3G20590"
"3403",3403,"AT5G09410"
"1282",1282,"AT2G20370"
"2006",2006,"AT3G13560"
"2174",2174,"AT3G22170"
"4021",4021,"AT5G53860"
"1491",1491,"AT2G33310"
"575",575,"AT1G35620"
"1579",1579,"AT2G38870"
"223",223,"AT1G12560"
"4058",4058,"AT5G56190"
"706",706,"AT1G54770"
"4127",4127,"AT5G59510"
"1997",1997,"AT3G13224"
"302",302,"AT1G16916"
"1716",1716,"AT2G46080"
"3609",3609,"AT5G20350"
"440",440,"AT1G25500"
"2854",2854,"AT4G18140"
"1877",1877,"AT3G07140"
"105",105,"AT1G05960"
"680",680,"AT1G53280"
"1854",1854,"AT3G06170"
"2962",2962,"AT4G25710"
"1794",1794,"AT3G03220"
"1538",1538,"AT2G36300"
"2235",2235,"AT3G26560"
"2129",2129,"AT3G19580"
"1348",1348,"AT2G24300"
"1434",1434,"AT2G29690"
"3907",3907,"AT5G47560"
"1888",1888,"AT3G07510"
"1735",1735,"AT2G47390"
"4310",4310,"ATCG00740"
"1335",1335,"AT2G23380"
"119",119,"AT1G06630"
"1002",1002,"AT1G75410"
"3802",3802,"AT5G40970"
"2438",2438,"AT3G53340"
"2690",2690,"AT4G05160"
"3619",3619,"AT5G21070"
"420",420,"AT1G24160"
"3734",3734,"AT5G32470"
"3093",3093,"AT4G32680"
"524",524,"AT1G31300"
"1570",1570,"AT2G38450"
"2910",2910,"AT4G22240"
"823",823,"AT1G65000"
"2167",2167,"AT3G21351"
"2042",2042,"AT3G15120"
"1494",1494,"AT2G33450"
"676",676,"AT1G52905"
"1943",1943,"AT3G11170"
"197",197,"AT1G10580"
"4115",4115,"AT5G58860"
"2316",2316,"AT3G46510"
"1264",1264,"AT2G19430"
"1330",1330,"AT2G22900"
"834",834,"AT1G65580"
"3390",3390,"AT5G08540"
"1777",1777,"AT3G02570"
"2906",2906,"AT4G22130"
"170",170,"AT1G09100"
"3788",3788,"AT5G40250"
"3225",3225,"AT4G38552"
"1280",1280,"AT2G20190"
"2520",2520,"AT3G58810"
"3715",3715,"AT5G27395"
"1325",1325,"AT2G22630"
"2700",2700,"AT4G07410"
"3929",3929,"AT5G48430"
"1409",1409,"AT2G28070"
"4229",4229,"AT5G64300"
"226",226,"AT1G12680"
"3175",3175,"AT4G36380"
"376",376,"AT1G21560"
