"","WS_GC_c1.which.mclass....6...1."
"964","AT1G79410"
"965","AT1G79420"
"966","AT1G79450"
"967","AT1G79510"
"968","AT1G80110"
"969","AT1G80160"
"970","AT1G80165"
"971","AT1G80310"
"972","AT1G80315"
"973","AT1G80320"
"974","AT1G80340"
"975","AT1G80440"
"976","AT1G80450"
"977","AT1G80570"
"978","AT1G80590"
"979","AT1G80820"
"980","AT1G80840"
"981","AT2G01180"
"982","AT2G01275"
"983","AT2G01300"
"984","AT2G01430"
"985","AT2G01540"
"986","AT2G01590"
"987","AT2G01620"
"988","AT2G01670"
"989","AT2G01880"
"990","AT2G01890"
"991","AT2G01900"
"992","AT2G01980"
"993","AT2G02120"
"994","AT2G02250"
"995","AT2G02300"
"996","AT2G02310"
"997","AT2G02360"
"998","AT2G02410"
"999","AT2G02540"
"1000","AT2G02610"
"1001","AT2G02620"
"1002","AT2G02635"
"1003","AT2G02680"
"1004","AT2G02700"
"1005","AT2G02950"
"1006","AT2G03200"
"1007","AT2G03330"
"1008","AT2G03370"
"1009","AT2G03420"
"1010","AT2G03530"
"1011","AT2G03620"
"1012","AT2G03720"
"1013","AT2G03730"
"1014","AT2G03770"
"1015","AT2G03810"
"1016","AT2G03895"
"1017","AT2G04038"
"1018","AT2G04040"
"1019","AT2G04375"
"1020","AT2G04430"
"1021","AT2G04680"
"1022","AT2G04795"
"1023","AT2G05075"
"1024","AT2G05160"
"1025","AT2G05310"
"1026","AT2G05330"
"1027","AT2G05440"
"1028","AT2G05510"
"1029","AT2G05518"
"1030","AT2G05540"
"1031","AT2G05620"
"1032","AT2G05642"
"1033","AT2G05940"
"1034","AT2G06025"
"1035","AT2G06520"
"1036","AT2G07275"
"1037","AT2G07595"
"1038","AT2G07724"
"1039","AT2G07850"
"1040","AT2G08435"
"1041","AT2G08650"
"1042","AT2G08665"
"1043","AT2G08780"
"1044","AT2G08915"
"1045","AT2G09010"
"1046","AT2G09055"
"1047","AT2G09250"
"1048","AT2G09325"
"1049","AT2G09350"
"1050","AT2G09435"
"1051","AT2G09470"
"1052","AT2G09605"
"1053","AT2G09660"
"1054","AT2G11270"
"1055","AT2G13360"
"1056","AT2G13660"
"1057","AT2G13665"
"1058","AT2G13800"
"1059","AT2G14095"
"1060","AT2G14520"
"1061","AT2G14620"
"1062","AT2G14775"
"1063","AT2G14800"
"1064","AT2G15370"
"1065","AT2G15390"
"1066","AT2G15580"
"1067","AT2G15695"
"1068","AT2G15760"
"1069","AT2G15830"
"1070","AT2G15880"
"1071","AT2G15960"
"1072","AT2G16380"
"1073","AT2G16575"
"1074","AT2G16660"
"1075","AT2G16700"
"1076","AT2G16720"
"1077","AT2G16750"
"1078","AT2G16790"
"1079","AT2G16900"
"1080","AT2G16970"
"1081","AT2G16980"
"1082","AT2G17110"
"1083","AT2G17220"
"1084","AT2G17300"
"1085","AT2G17430"
"1086","AT2G17470"
"1087","AT2G17500"
"1088","AT2G17695"
"1089","AT2G17705"
"1090","AT2G17820"
"1091","AT2G17880"
"1092","AT2G17940"
"1093","AT2G18150"
"1094","AT2G18210"
"1095","AT2G18270"
"1096","AT2G18450"
"1097","AT2G18560"
"1098","AT2G18570"
"1099","AT2G18650"
"1100","AT2G18690"
"1101","AT2G18890"
"1102","AT2G18950"
"1103","AT2G18969"
"1104","AT2G19050"
"1105","AT2G19060"
"1106","AT2G19130"
"1107","AT2G19582"
"1108","AT2G19690"
"1109","AT2G19800"
"1110","AT2G20142"
"1111","AT2G20180"
"1112","AT2G20260"
"1113","AT2G20500"
"1114","AT2G20550"
"1115","AT2G20835"
"1116","AT2G20880"
"1117","AT2G20950"
"1118","AT2G20960"
"1119","AT2G21045"
"1120","AT2G21080"
"1121","AT2G21100"
"1122","AT2G21540"
"1123","AT2G21550"
"1124","AT2G21590"
"1125","AT2G21780"
"1126","AT2G21820"
"1127","AT2G21830"
"1128","AT2G21880"
"1129","AT2G21940"
"1130","AT2G21960"
"1131","AT2G22500"
"1132","AT2G22510"
"1133","AT2G22620"
"1134","AT2G22680"
"1135","AT2G22790"
"1136","AT2G22800"
"1137","AT2G22850"
"1138","AT2G22870"
"1139","AT2G22880"
"1140","AT2G22905"
"1141","AT2G22980"
"1142","AT2G22990"
"1143","AT2G23000"
"1144","AT2G23030"
"1145","AT2G23100"
"1146","AT2G23130"
"1147","AT2G23170"
"1148","AT2G23290"
"1149","AT2G23390"
"1150","AT2G23430"
"1151","AT2G23440"
"1152","AT2G23450"
"1153","AT2G23620"
"1154","AT2G23680"
"1155","AT2G23690"
"1156","AT2G23760"
"1157","AT2G23770"
"1158","AT2G23910"
"1159","AT2G24140"
"1160","AT2G24220"
"1161","AT2G24240"
"1162","AT2G24395"
"1163","AT2G24540"
"1164","AT2G24580"
"1165","AT2G24600"
"1166","AT2G24762"
"1167","AT2G24820"
"1168","AT2G24860"
"1169","AT2G25090"
"1170","AT2G25300"
"1171","AT2G25460"
"1172","AT2G25510"
"1173","AT2G25530"
"1174","AT2G25735"
"1175","AT2G26020"
