RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT3G24730,195.7591499,292.3564399,291.2479446,119.6278791,183.1935657,188.6124656,142.7598236,235.0402891,194.0053106,175.9751436,122.0965609,158.6497897
AT3G25070,299.6300219,391.4396304,357.5028449,272.1152056,356.1390815,213.2866836,247.3825532,357.9798278,357.8884405,262.8699523,138.491302,276.4349012
AT3G25110,276.2642331,138.3187049,267.8752506,269.6834734,165.6876606,258.4988481,279.6369925,228.4496849,170.8563167,318.4412587,330.006445,252.0324159
AT3G25120,408.0732646,426.3658726,461.4657953,433.7434289,411.4806718,296.3008255,368.0384663,329.4876871,367.0063612,518.9592021,384.6984963,420.8645162
AT3G25140,632.0698068,388.8302591,453.4964023,532.2013953,402.1385408,469.7939643,595.4844708,530.6108251,574.9649905,570.840364,509.9526,469.342806
AT3G25150,297.0629386,238.5086199,354.9803687,333.8828437,251.9799821,278.2467358,419.8270403,269.2388398,416.9086408,387.0666712,287.5684311,277.6861432
AT3G25470,370.5437431,365.564458,383.3158356,442.0454617,362.5086019,312.8432972,406.6025537,264.1008011,317.8692921,422.9951987,478.7845208,351.3252556
AT3G25500,286.4674057,439.5205475,326.73648,319.6588592,401.231219,523.358491,298.529363,325.0414098,377.7751771,349.2098223,340.5296376,384.3693315
AT3G25540,603.0413525,438.3633008,362.0948763,562.3154141,477.4875475,432.9970149,424.066281,400.8608554,514.6940148,501.5104502,403.3709656,510.2490378
AT3G25545,367.7515364,252.8145146,326.2551458,390.0386382,341.1591668,317.1546907,296.9918659,233.2792816,341.0482089,460.2278751,526.368785,333.875107
AT3G25600,218.483073,201.7624626,247.2986815,94.04927214,209.1598206,189.3531903,7.334361479,268.0142774,69.34716739,32.45434265,61.28985403,80.90676847
AT3G25710,317.5998408,227.7006549,295.9581193,152.9348061,361.5318485,420.6696924,387.7417612,318.7939589,395.6903013,178.3265078,288.4167504,488.6577354
AT3G25780,623.620048,331.2686553,440.2285938,474.5404243,379.5148035,414.0573387,142.5593588,835.3319903,282.4278351,405.1383452,463.6141681,530.7026924
