$RNA_seq	FLT_Light_Rep1	FLT_Light_Rep2	FLT_Light_Rep3	FLT_Dark_Rep1	FLT_Dark_Rep2	FLT_Dark_Rep3	GC_Light_Rep1	GC_Light_Rep2	GC_Light_Rep3	GC_Dark_Rep1	GC_Dark_Rep2	GC_Dark_Rep3
AT5G23420	365.5930495	327.4340417	269.6097539	399.280353	413.6474356	314.1071127	292.2561932	383.6759045	317.5792461	395.0132983	410.0540402	316.3879857
AT5G23590	307.757823	357.1548111	387.6916397	322.1737085	264.8568293	336.0201129	420.3011464	460.3279289	347.1973872	304.9374055	349.9952628	333.9155546
AT5G23610	286.6753815	341.8918347	288.440375	303.0687377	235.6675142	287.4919112	272.1012275	201.4988019	241.4910841	266.4622186	286.3008081	293.701348
AT5G23630	339.5493901	336.891212	322.374572	395.5718318	332.6523999	292.0275381	357.0691801	205.9802605	246.380741	394.5536797	314.6764424	299.4368001
AT5G24410	228.1469265	127.2512768	284.1101436	260.8860714	147.9209923	246.7319079	174.3600361	197.5248778	266.1471509	125.6439495	60.61147817	149.6510321
AT5G24490	330.7932484	297.8221303	358.6075412	309.1833387	194.9761794	345.8085002	350.0313854	307.7844892	299.0777114	149.107842	242.528586	274.5475982
AT5G24520	237.4862686	248.4033195	212.3090574	323.2175355	251.0134845	282.9540928	278.9634215	211.4820157	262.3054657	228.2358435	286.3339154	309.4428097
AT5G24650	308.1783636	230.0392623	260.6160949	290.9286088	268.2882638	266.576917	253.9876486	285.4642626	358.8730555	324.3311931	219.2006589	222.9165109
AT5G24840	318.4636399	246.2048834	237.0811164	305.4991685	366.5166791	370.7965467	338.1946312	344.4319454	254.929233	322.9990292	291.9567711	255.8942607
AT5G24980	180.3303408	262.6068853	225.7286516	176.1453638	268.3454429	403.4549558	201.7869601	450.5251235	376.8649336	251.6581299	236.6779493	252.7824407
AT5G25170	271.9869879	281.3529718	248.2247443	258.5541657	242.2897422	348.1826038	291.8463006	167.430175	243.8574709	246.7982861	345.2287754	303.821792
AT5G25350	326.1911103	337.7437599	455.974526	356.3092961	222.4598092	208.5805547	121.8205962	216.1111099	214.331489	173.0944215	201.9421522	302.5142192
AT5G25360	234.4292318	330.3485018	233.2802515	275.2952266	251.7861228	157.3787937	275.061697	377.4819894	278.6643007	285.727314	286.4275802	249.5500581
AT5G25440	131.3717127	123.6420127	268.9781727	274.4142146	40.35953952	308.2992402	72.51289289	69.56681743	74.72186163	46.56988187	26.81818713	145.3906613
AT5G25760	331.7260059	319.2397502	276.1732278	325.1714064	281.9576514	458.2506112	368.6434361	497.238928	525.4925009	413.3275382	359.6681952	343.1776868
AT5G25820	135.3832759	164.3221069	208.1260792	244.2741819	49.73778821	130.282236	56.23964969	74.34239951	133.5928412	38.02941836	8.931984921	89.81987398
AT5G25830	256.6143306	225.027628	233.9872866	331.6544974	164.7006341	203.1281952	196.2428443	173.5076982	214.8370397	218.655745	232.0043922	208.516216
AT5G25890	282.7729258	395.4262757	276.866484	291.0236734	297.8297065	270.9655686	561.0617436	499.3321191	623.837	308.677678	554.7571486	477.8990248
AT5G25900	557.6502285	475.9702586	355.4789777	510.8701321	408.6883738	393.5815209	532.9709744	271.238472	326.2904383	433.866132	646.3919421	474.8784179
AT5G26030	309.4018568	357.2282984	246.9034739	232.2793231	280.8774607	279.3893091	188.7618871	257.6820183	236.2336408	318.7820694	172.6387747	284.8436203
AT5G26110	391.3478439	406.6397775	345.4313969	381.9214918	483.0480658	376.1161016	407.7916681	230.911986	459.3186074	432.5861763	493.5997678	347.3685298
AT5G26210	234.8421451	220.310356	300.3213391	258.8157107	287.0871122	253.8465734	302.1769892	381.1611643	392.0534237	276.3434417	347.7319308	304.4778737
AT5G26290	161.6521735	137.1771963	165.1178552	132.1847432	119.6842973	164.782923	111.6500172	301.0122354	195.332002	70.5316448	26.73640695	79.46790753
AT5G26340	212.722969	205.4633814	222.7121846	415.0813309	16.8027558	233.5722363	97.70558223	37.5099743	89.09223707	7.281055662	7.146878212	62.97882879
AT5G26600	364.9335259	323.6888591	377.4964348	308.3264707	276.5441519	187.6756639	400.3650553	378.7330367	291.5084262	406.0357426	358.9807382	323.9829343
AT5G26610	220.4646289	169.64494	230.6693852	226.4984897	219.017692	236.8042207	280.1514924	256.7145178	236.2340803	201.2569772	210.9020949	192.2000545
AT5G26680	327.214235	281.0707277	261.0298799	319.4468096	312.0485356	229.565019	310.868724	297.1447229	268.8042679	343.3739015	265.3049378	188.7624216
AT5G26740	267.4253594	271.8258691	333.4418374	238.0153713	270.4886747	283.6506155	306.9929708	391.4379795	458.538062	248.500253	216.0050483	272.0345771
AT5G26800	305.5174661	299.7412995	367.0153146	277.1809687	479.0329998	447.1385796	330.8357504	588.132022	481.5073347	447.6067599	438.1959048	355.748531
AT5G27330	287.567462	196.5531203	284.2566311	220.4842504	278.2576286	279.65053	222.2797296	304.5517689	239.664922	263.7545712	462.7239228	232.2962705
AT5G27380	507.1513933	426.1221177	460.7581964	472.3980615	391.2037629	390.6465404	433.9963814	458.6409574	286.0947468	425.7289922	371.4495598	406.7506553
AT5G27395	278.7934547	183.476411	234.5746391	263.6496819	275.8330801	304.7517954	232.6672545	369.918667	287.5361724	299.1505755	297.2476646	233.1609692
AT5G27400	388.8334352	426.37363	318.1462541	351.8750964	468.6017187	300.9166407	435.0830073	306.6198025	274.8619395	340.3028464	499.411938	366.4180104
AT5G27410	678.9801317	438.9810338	471.4901147	511.4558846	223.5674913	396.0709879	487.3492784	122.0393899	160.8448059	359.5939636	339.7027948	446.7307504
AT5G27490	244.9678468	226.8845242	166.7477199	272.7880759	289.7850385	290.7399759	247.4810931	362.9806556	302.1252173	234.2404593	181.856808	168.231817
AT5G27730	143.1680707	181.443947	278.9448425	149.24215	174.8581479	256.4569217	146.3451925	248.8542112	188.1500404	137.7288437	121.0303068	127.8909335
AT5G27740	458.4660766	419.2133083	320.6409386	384.8690172	491.3887484	490.5303457	383.4001626	569.2717873	435.200205	408.0545887	407.016896	368.5327046
AT5G27820	184.7345555	185.8718433	198.9250638	194.8726045	289.9394288	316.7967581	226.204186	438.3145805	318.8375168	265.8944834	307.2434452	238.2463722
AT5G27840	308.5982937	343.4726365	323.4532548	329.8780549	205.8006533	312.0691018	333.3821857	286.7095039	321.2570316	279.8240714	296.5652586	288.3456237
AT5G27860	301.4213371	296.8331278	347.7261051	259.0987851	298.4085624	409.4506464	361.1849127	350.0285114	328.6124332	335.764584	355.8442846	284.6136871
AT5G27920	217.7583027	178.830694	289.935725	403.8920147	192.8929828	155.3990661	216.103012	353.8189594	391.4250015	198.1931898	141.1614526	278.7618152
AT5G27990	298.8459272	318.3814873	257.7580688	291.1045197	348.3434106	439.9822577	324.0640372	394.0396238	307.7200576	319.9894807	427.6222773	314.2358032
AT5G28770	328.6065071	286.6557192	329.4267726	313.2476843	301.9607915	322.0285208	307.3397972	258.8234275	370.004495	280.8381155	276.9541354	350.0842368
AT5G28840	479.1592512	427.0844103	460.2964594	413.0111644	438.6990437	371.9171925	453.1800376	538.3252383	388.1346914	420.1454865	418.0770608	358.5815397
AT5G30510	315.5126308	250.5159799	276.8972644	313.4605305	248.0600832	253.1525905	332.592782	350.8709845	273.0348526	287.4963623	262.3386809	287.999305
AT5G35160	429.0191771	324.4645201	271.2665136	367.5553201	297.5663464	261.7418961	269.5743932	215.5542615	319.6292692	421.6810915	323.8392086	334.1331236
AT5G35460	297.73563	285.5613649	345.2259983	324.3177301	167.025854	267.3842974	371.9282721	281.1979759	279.6487519	190.6094055	172.6252747	253.2511355
AT5G35670	238.0351037	333.9421109	242.9227112	199.4475947	280.3023085	256.3686823	381.3476549	275.7432609	273.3082913	322.1689444	292.8331894	276.6672394
AT5G35690	284.2084242	237.6302401	313.4092715	290.4766766	172.0635117	276.6320588	258.630657	250.8682319	229.0488922	206.315943	137.5629467	323.1486679
AT5G35735	99.2679319	89.82171956	278.5322476	146.2469186	32.93888309	415.4060216	13.88209617	39.36545413	58.23122957	56.67754581	44.62609139	150.7149176
AT5G35740	188.0443637	213.5951067	169.0368117	175.3599351	291.2636419	271.3927749	214.2184268	377.6137877	479.8898382	366.5309643	87.08094099	202.17566
AT5G35980	270.9074068	306.356054	260.2054374	266.6540531	222.0189696	256.3501757	178.5220045	214.9740103	197.6147277	289.0760235	236.1677787	298.2930665
AT5G36160	323.8768231	279.4598816	246.1466181	507.3213919	303.842723	242.2488762	289.7550213	288.4858742	241.4093635	244.5162799	133.8825407	211.621302
AT5G37310	387.7180619	308.7965824	294.7330431	342.8396875	428.7516333	320.5270806	307.4452225	345.2346031	320.2932435	439.2812047	312.9373922	375.6555254
AT5G37350	272.0586863	226.0166537	227.9874176	280.8871356	292.5809455	266.0162351	268.9625546	208.3183087	197.8318833	232.7968449	303.1027916	287.5655387
AT5G37370	381.9675539	405.8353704	349.1871587	342.9338709	371.2020068	313.0421447	462.3393082	199.1293746	296.3982529	333.4196988	350.2436125	350.8575661
AT5G37480	218.4081999	234.0735571	228.9800598	257.8306092	219.847932	291.2047036	212.8190726	428.3431814	298.0264329	246.5491901	202.8595142	265.0398259
AT5G37540	138.7974349	215.1706577	418.6198201	278.5103186	124.3585138	244.2846708	109.2736235	136.2030358	153.5532723	82.57857565	149.9616434	239.4966191
AT5G37790	220.331997	240.8731112	200.8307604	190.3703281	414.7166986	128.2478876	183.5279714	254.6166757	246.9714961	370.6335787	232.1970774	260.1621558
AT5G38380	229.4338124	261.7487838	274.2021015	258.1353744	265.7861826	194.5599201	196.5299817	324.792606	297.5832098	252.074995	202.8613728	273.7523807
AT5G38530	414.6664116	418.2669967	365.1947135	454.1823068	358.2754229	370.5390584	261.7329591	316.4344002	235.1769609	233.1250837	278.5516095	252.9238184
AT5G38880	347.1563352	232.2970898	240.554691	249.9280001	264.7883701	273.8733156	444.5245704	299.1096626	198.5125474	299.2059885	425.4391615	327.3056701
AT5G39080	239.7444176	245.1070954	198.377672	253.3162717	50.41583191	206.2322519	197.7512801	16.78235482	29.65027477	52.62475897	16.06691762	107.3601415
AT5G39500	293.680258	347.5607095	261.8973843	266.3486631	367.0163484	128.2849314	249.5861103	220.6165397	148.4921333	320.4350558	217.8242528	285.5764831
AT5G39590	243.9168802	325.0895723	333.6172143	273.6321297	137.1252664	169.2549001	149.0486304	264.1455885	246.8450358	178.8859615	121.4238971	327.254073
AT5G39600	309.1618423	309.2406468	267.0338456	324.3987091	500.3305204	445.6987955	400.9764448	673.1451872	546.9405138	470.619519	555.5462297	376.6323444
AT5G39730	324.2645596	296.1552738	291.3354579	295.7712402	285.1199756	238.4342617	271.0619198	535.6015244	507.2247352	327.7142556	119.3418612	313.7074427
AT5G39800	200.7966139	205.5487301	207.8008578	197.6406895	304.0822288	279.8895264	201.7281601	423.2972085	359.5000152	252.9613407	301.8060303	194.9163674
