RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G01770,191.1170777,217.1211415,228.0724201,102.0293889,90.24590947,144.5976692,93.34525819,274.8181552,150.3547339,116.6150793,50.78773011,64.6916012
AT1G01910,387.3297654,370.0346472,399.9869673,406.1363437,236.7178254,240.1331084,347.2480819,254.1654851,312.7279664,375.5178432,429.4994269,419.2614466
AT1G01940,215.8314277,227.0050981,205.4074697,213.2248242,356.7774444,240.8926684,303.8249981,150.6171619,233.9637434,189.7293184,331.0705143,369.0311266
AT1G01960,284.6829145,277.3884736,254.632643,277.0170428,420.9268842,385.6806965,303.6556018,228.3676537,397.214779,242.6085082,290.3092436,296.132995
AT1G01990,249.4006872,228.9973343,273.781974,311.9513747,229.2409031,255.5511499,249.1446618,238.4465465,233.3659002,213.3302374,200.2171457,208.3191116
AT1G02080,318.0670985,279.1058909,214.8939685,310.2491239,423.7442852,303.0723342,268.6224693,299.8474904,290.8837136,226.6249699,247.1394118,212.9256599
AT1G02090,330.512495,351.25582,424.6337114,460.850502,318.4480931,334.2511017,447.0585032,260.7288681,373.1288155,344.532332,429.650646,576.6471601
AT1G02120,303.7179255,271.1273194,291.7507009,335.2328447,274.1058748,366.2123287,233.7209842,350.7801358,248.2925508,201.6852373,176.8530799,150.0860379
AT1G02170,274.9755935,242.1885124,299.2189487,263.959472,191.7935882,187.285984,225.8181628,235.9376719,233.3544045,182.7268668,259.2968694,232.6706542
AT1G02220,187.7047473,224.1378721,218.8383835,194.812782,44.90169038,4.137161475,138.4408844,335.0753598,111.1908057,134.8657488,130.7157314,164.4748905
AT1G02330,257.981278,279.779467,226.8994668,285.6081528,384.6045927,259.999521,298.4607424,180.7262098,234.235905,299.5945609,293.9119594,241.9543129
AT1G02335,247.7076041,220.7638532,213.6021074,184.3568089,41.98576079,269.6792402,229.8407078,357.7035545,374.1390301,317.9759264,234.0151428,383.9388699
AT1G02410,362.213575,264.8992987,252.5196646,319.4889623,147.0030659,320.8026868,260.2136531,232.9629023,369.428585,257.426404,295.2768031,308.5195375
AT1G02560,299.1243688,304.221958,320.5987342,290.1967915,341.3541294,362.1216886,265.1693978,306.2157389,363.5678605,242.0308382,431.020554,353.4193124
AT1G02870,346.0505777,425.0149331,307.0674178,428.6532281,528.3809985,379.119272,428.7504093,305.0025296,436.8593519,351.7247548,451.0728413,344.7506326
AT1G02880,200.1314246,189.7474598,256.4030598,244.8925661,140.8520035,109.2215396,116.5946033,389.2124589,307.9968949,177.2397758,127.7883674,186.6050067
AT1G02890,207.8962882,235.4855977,196.8221385,216.8749802,127.1200195,251.5975908,139.4766155,287.8831107,216.8023925,185.439425,136.4999837,198.5029919
AT1G03040,322.3602567,346.32602,409.1043721,263.2269523,320.2736035,377.5133689,306.0182793,407.2546816,329.9552941,415.3081607,311.8323753,388.1538705
AT1G03060,227.6217256,171.8619572,223.377626,202.8259781,344.6786144,200.973277,202.5561568,247.3283877,192.123195,180.0750987,151.396911,144.3815778
AT1G03110,202.7705141,275.4026049,304.3354585,209.3295807,404.06392,152.0461833,394.9120524,92.86748115,238.4051098,216.171471,482.528028,448.0748124
AT1G03150,259.7255714,330.2506692,328.3808904,350.3070475,463.7010085,244.2037692,212.1280192,296.2169011,312.8274879,205.1353096,337.1851585,379.2347494
AT1G03280,245.532902,246.1421878,260.471296,225.5174082,266.072416,265.4468915,263.320017,230.4185614,312.6966223,252.7281,221.9369487,270.5265581
AT1G03290,283.8591397,284.971414,274.3126878,272.2859878,261.3171742,339.9115961,219.6471847,284.1747075,217.3465828,181.1487554,201.5147408,213.1587625
AT1G03350,219.5500946,191.2067578,231.0828954,275.9690756,184.9620684,225.3479193,186.5954924,213.3381896,208.4119959,240.9725169,208.6407278,244.4947758
AT1G03360,230.3651296,298.1970703,226.9331673,308.7743248,211.369803,237.064678,243.2297855,160.6416155,237.3080326,239.224057,319.0140919,415.3502598
AT1G03380,202.0338872,319.562728,231.1858564,116.1419013,166.1165828,180.5395368,179.5217745,234.6471638,189.5451453,174.8269964,92.57658716,116.259745
AT1G03590,284.7046927,310.6798727,237.2255507,361.3435363,295.6032176,609.4953278,278.544202,233.409583,267.6075411,247.5910758,203.1337038,188.4654945
AT1G03730,170.0792057,249.3782951,304.2565062,210.8183145,320.5203659,122.1842356,163.1003603,347.641793,195.2318647,216.2822221,205.0092946,178.5290798
AT1G03910,301.4948155,337.3776838,318.7047747,384.4492807,391.3390064,429.5758215,350.0869598,298.6576613,296.7269236,355.5466981,314.4935789,373.4905661
AT1G04030,221.8299326,172.1809317,252.4635084,294.0284515,152.4954277,54.78368423,135.5774226,254.7502789,226.4528555,206.5430033,175.2620392,120.6198521
AT1G04120,260.4402123,231.6986373,176.2043521,181.6970699,254.5390481,311.4437534,252.5540489,264.756504,304.9274433,226.3750179,221.3833828,261.4498474
AT1G04260,246.8671789,269.2238726,275.7690175,278.0114743,305.6896268,331.323298,249.0304406,303.7150619,287.3509942,295.7033972,318.2958736,292.1092924
AT1G04300,222.9781733,182.7266891,171.222436,184.768763,160.742181,420.6173512,186.0285109,295.4264248,259.4416155,198.0721089,117.5254588,187.1679434
AT1G04400,213.7924761,253.6942584,236.8151761,147.7713955,152.5618572,174.1003491,127.7624422,295.1241652,170.8767907,177.6287942,107.4071711,86.59855378
AT1G04520,182.4119476,232.3893916,218.8353776,202.9978309,446.4302968,228.591602,246.2701449,188.2450872,228.3856914,234.3476663,286.454704,379.2144592
AT1G04537,248.0152421,257.9728396,250.1380376,316.2037433,314.0789159,208.6315885,223.1787516,277.2615514,257.1530031,283.4735498,275.9552004,217.0463985
AT1G04590,301.987587,334.905203,263.5511875,292.1458186,253.8974603,280.4130254,451.5314365,199.5160465,276.3617264,300.3772549,338.4757869,475.9100879
AT1G04770,199.44664,222.9726161,291.032055,234.4097392,136.6840862,59.01774759,171.8441428,282.3798573,135.1642532,218.1902696,123.0088063,173.6459632
AT1G04780,231.3810697,252.1615715,249.4914045,172.168591,211.066323,332.3525132,224.7024436,296.1403528,231.6163076,214.04496,215.0399134,171.2741256
AT1G04810,264.7131088,295.3594661,170.0674296,206.3404189,108.1056225,344.6837624,211.5905574,274.8057667,187.5122645,344.9303761,235.9335158,365.0893528
AT1G04940,371.567818,337.5636081,432.4344682,306.5081232,488.8650579,331.4648235,368.3502683,328.8209723,382.389861,328.3056975,377.9905333,393.7703488
AT1G04950,265.7064211,175.7997264,232.3417844,233.6260254,357.9581196,268.7296305,321.2704286,214.7324298,254.6492349,246.6769535,258.8683645,197.232767
