"","X","phyD_GC_c1.which.mclass....6...1."
"1430",1430,"AT3G13510"
"408",408,"AT1G43650"
"2459",2459,"AT5G10730"
"1167",1167,"AT2G41490"
"1332",1332,"AT3G06730"
"2934",2934,"AT5G59570"
"1318",1318,"AT3G05580"
"2861",2861,"AT5G53280"
"2671",2671,"AT5G35570"
"956",956,"AT2G25100"
"2425",2425,"AT5G08565"
"1056",1056,"AT2G33320"
"1418",1418,"AT3G12990"
"735",735,"AT1G77030"
"1028",1028,"AT2G30910"
"1473",1473,"AT3G16410"
"58",58,"AT1G05970"
"1343",1343,"AT3G07210"
"2376",2376,"AT5G05230"
"2369",2369,"AT5G04620"
"950",950,"AT2G24440"
"1279",1279,"AT3G02575"
"546",546,"AT1G58220"
"1032",1032,"AT2G31110"
"2885",2885,"AT5G55820"
"1708",1708,"AT3G50630"
"695",695,"AT1G73240"
"1929",1929,"AT4G03140"
"2831",2831,"AT5G50740"
"346",346,"AT1G29690"
"329",329,"AT1G28100"
"2910",2910,"AT5G58190"
"261",261,"AT1G20830"
"2492",2492,"AT5G13650"
"604",604,"AT1G64840"
"83",83,"AT1G07615"
"2269",2269,"AT4G35720"
"717",717,"AT1G75210"
"1423",1423,"AT3G13150"
"875",875,"AT2G16920"
"2881",2881,"AT5G55390"
"1641",1641,"AT3G42800"
"1987",1987,"AT4G10640"
"1393",1393,"AT3G11270"
"393",393,"AT1G34270"
"86",86,"AT1G07728"
"123",123,"AT1G10350"
"837",837,"AT2G06210"
"1068",1068,"AT2G34170"
"2819",2819,"AT5G49970"
"1800",1800,"AT3G57420"
"2689",2689,"AT5G38460"
"1102",1102,"AT2G37160"
"1990",1990,"AT4G10930"
"220",220,"AT1G17580"
"1764",1764,"AT3G54610"
"168",168,"AT1G13770"
"689",689,"AT1G72770"
"1162",1162,"AT2G41060"
"1905",1905,"AT4G01880"
"2097",2097,"AT4G20720"
"2192",2192,"AT4G28990"
"960",960,"AT2G25320"
"990",990,"AT2G27010"
"20",20,"AT1G02810"
"470",470,"AT1G51560"
"2642",2642,"AT5G26670"
"1066",1066,"AT2G34140"
"668",668,"AT1G70950"
"1631",1631,"AT3G29090"
"2784",2784,"AT5G47910"
"2491",2491,"AT5G13610"
"22",22,"AT1G02960"
"2086",2086,"AT4G19400"
"2471",2471,"AT5G12010"
"1392",1392,"AT3G11170"
"2035",2035,"AT4G15090"
"2805",2805,"AT5G49300"
"1466",1466,"AT3G15940"
"2416",2416,"AT5G08020"
"3003",3003,"AT5G65740"
"628",628,"AT1G67510"
"217",217,"AT1G17440"
"1570",1570,"AT3G23660"
"2533",2533,"AT5G16280"
"1878",1878,"AT3G63450"
"2997",2997,"AT5G65460"
"2558",2558,"AT5G18190"
"1930",1930,"AT4G03200"
"1559",1559,"AT3G22220"
"516",516,"AT1G55150"
"539",539,"AT1G56570"
"2120",2120,"AT4G22290"
"2926",2926,"AT5G58870"
"863",863,"AT2G15530"
"622",622,"AT1G66880"
"1251",1251,"AT2G48000"
"1730",1730,"AT3G52210"
"2075",2075,"AT4G18160"
"2303",2303,"AT4G38230"
"2874",2874,"AT5G54910"
"1188",1188,"AT2G42700"
