"","phyD_GC_c1.which.mclass....7...1."
"392","AT2G41800"
"393","AT2G41900"
"394","AT2G42810"
"395","AT2G42910"
"396","AT2G43160"
"397","AT2G43350"
"398","AT2G43360"
"399","AT2G43640"
"400","AT2G43710"
"401","AT2G43750"
"402","AT2G43760"
"403","AT2G43780"
"404","AT2G43790"
"405","AT2G44050"
"406","AT2G44060"
"407","AT2G44065"
"408","AT2G45050"
"409","AT2G45140"
"410","AT2G45200"
"411","AT2G45290"
"412","AT2G45430"
"413","AT2G45710"
"414","AT2G46020"
"415","AT2G46140"
"416","AT2G46540"
"417","AT2G46900"
"418","AT2G47000"
"419","AT2G47320"
"420","AT2G47420"
"421","AT2G47640"
"422","AT2G47650"
"423","AT2G47930"
"424","AT2G47960"
"425","AT2G48100"
"426","AT2G48130"
"427","AT3G01340"
"428","AT3G02220"
"429","AT3G02260"
"430","AT3G02420"
"431","AT3G02520"
"432","AT3G02530"
"433","AT3G02580"
"434","AT3G03250"
"435","AT3G03475"
"436","AT3G03780"
"437","AT3G04090"
"438","AT3G04320"
"439","AT3G04570"
"440","AT3G04780"
"441","AT3G04830"
"442","AT3G05000"
"443","AT3G05500"
"444","AT3G05760"
"445","AT3G05810"
"446","AT3G05840"
"447","AT3G06035"
"448","AT3G06040"
"449","AT3G06050"
"450","AT3G06300"
"451","AT3G06320"
"452","AT3G06350"
"453","AT3G06390"
"454","AT3G06610"
"455","AT3G06650"
"456","AT3G06720"
"457","AT3G07050"
"458","AT3G07430"
"459","AT3G07460"
"460","AT3G07470"
"461","AT3G07568"
"462","AT3G07810"
"463","AT3G07950"
"464","AT3G07990"
"465","AT3G08530"
"466","AT3G08730"
"467","AT3G08930"
"468","AT3G09300"
"469","AT3G10850"
"470","AT3G11130"
"471","AT3G11200"
"472","AT3G11250"
"473","AT3G11550"
"474","AT3G11710"
"475","AT3G11800"
"476","AT3G11830"
"477","AT3G12020"
"478","AT3G12600"
"479","AT3G12760"
"480","AT3G12920"
"481","AT3G13110"
"482","AT3G13230"
"483","AT3G13300"
"484","AT3G13440"
"485","AT3G13570"
"486","AT3G13772"
"487","AT3G13845"
"488","AT3G13870"
"489","AT3G14100"
"490","AT3G14362"
"491","AT3G14430"
"492","AT3G15260"
"493","AT3G15480"
"494","AT3G15820"
"495","AT3G16310"
"496","AT3G16870"
"497","AT3G16950"
"498","AT3G17240"
"499","AT3G17440"
"500","AT3G17780"
"501","AT3G18035"
"502","AT3G18430"
"503","AT3G18600"
"504","AT3G18760"
"505","AT3G18820"
"506","AT3G18990"
"507","AT3G19450"
"508","AT3G19910"
"509","AT3G20060"
"510","AT3G20340"
"511","AT3G20370"
"512","AT3G20770"
"513","AT3G21240"
"514","AT3G21350"
"515","AT3G21865"
"516","AT3G22290"
"517","AT3G22300"
"518","AT3G22380"
"519","AT3G22660"
"520","AT3G22680"
"521","AT3G22850"
"522","AT3G22970"
"523","AT3G23470"
"524","AT3G23620"
"525","AT3G23940"
"526","AT3G23990"
"527","AT3G24020"
"528","AT3G24080"
"529","AT3G24100"
"530","AT3G24160"
"531","AT3G24550"
"532","AT3G25230"
"533","AT3G25530"
"534","AT3G25840"
"535","AT3G25860"
"536","AT3G26030"
"537","AT3G26420"
"538","AT3G26430"
"539","AT3G26470"
"540","AT3G26810"
"541","AT3G27200"
"542","AT3G27740"
"543","AT3G28860"
"544","AT3G29180"
"545","AT3G29360"
"546","AT3G43300"
"547","AT3G44320"
"548","AT3G44330"
"549","AT3G44750"
"550","AT3G45930"
"551","AT3G46280"
"552","AT3G46320"
"553","AT3G46440"
"554","AT3G46600"
"555","AT3G46830"
"556","AT3G46845"
"557","AT3G47210"
"558","AT3G47220"
"559","AT3G47520"
"560","AT3G48030"
"561","AT3G48560"
"562","AT3G48680"
"563","AT3G48750"
"564","AT3G48870"
"565","AT3G48890"
"566","AT3G49601"
"567","AT3G49680"
"568","AT3G49720"
"569","AT3G50070"
"570","AT3G50360"
"571","AT3G50370"
"572","AT3G50670"
"573","AT3G51160"
"574","AT3G51370"
"575","AT3G51600"
"576","AT3G51880"
"577","AT3G51950"
"578","AT3G52140"
"579","AT3G52920"
"580","AT3G52990"
"581","AT3G53110"
"582","AT3G53190"
"583","AT3G53260"
"584","AT3G53460"
"585","AT3G53500"
"586","AT3G53580"
"587","AT3G53610"
"588","AT3G53620"
"589","AT3G53670"
"590","AT3G54080"
"591","AT3G54110"
"592","AT3G54366"
"593","AT3G54400"
"594","AT3G54470"
"595","AT3G54480"
"596","AT3G54670"
"597","AT3G54760"
"598","AT3G54770"
"599","AT3G54810"
"600","AT3G54920"
"601","AT3G55360"
"602","AT3G55380"
"603","AT3G55460"
"604","AT3G55520"
"605","AT3G55620"
"606","AT3G56210"
"607","AT3G56370"
"608","AT3G56480"
"609","AT3G56860"
"610","AT3G56970"
"611","AT3G57050"
"612","AT3G57230"
"613","AT3G57550"
"614","AT3G57610"
"615","AT3G57650"
"616","AT3G57785"
"617","AT3G58120"
"618","AT3G58460"
"619","AT3G58680"
"620","AT3G58730"
"621","AT3G59280"
"622","AT3G59650"
"623","AT3G59760"
"624","AT3G59810"
"625","AT3G59990"
"626","AT3G61070"
"627","AT3G61130"
"628","AT3G61240"
"629","AT3G61620"
"630","AT3G61860"
"631","AT3G62040"
"632","AT3G62420"
"633","AT3G62580"
"634","AT3G62600"
"635","AT3G62830"
"636","AT3G63250"
"637","AT3G63400"
"638","AT3G63460"
"639","AT4G00560"
"640","AT4G00585"
"641","AT4G00710"
"642","AT4G00820"
"643","AT4G00830"
"644","AT4G01320"
"645","AT4G01370"
"646","AT4G01450"
"647","AT4G01750"
"648","AT4G02500"
"649","AT4G02725"
"650","AT4G02840"
"651","AT4G04470"
"652","AT4G07390"
"653","AT4G08460"
"654","AT4G08950"
"655","AT4G08980"
"656","AT4G10380"
"657","AT4G11220"
"658","AT4G11240"
"659","AT4G11260"
"660","AT4G11380"
"661","AT4G11600"
"662","AT4G11820"
"663","AT4G12080"
"664","AT4G12340"
"665","AT4G12730"
"666","AT4G12880"
"667","AT4G13430"
"668","AT4G13580"
"669","AT4G13720"
"670","AT4G13780"
"671","AT4G14120"
"672","AT4G14710"
"673","AT4G14900"
"674","AT4G15770"
"675","AT4G15780"
"676","AT4G16370"
"677","AT4G16500"
"678","AT4G16830"
"679","AT4G17190"
"680","AT4G17215"
"681","AT4G17270"
"682","AT4G17460"
"683","AT4G17510"
"684","AT4G17640"
