TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT3G54300,ATVAMP727,0.5954901,0.04543799,0.4601137,0.2097322,0.512351,0.0502017,0.5186268,0.1095553,0.5315613,-0.5500521,-0.1353764,-0.3857579,-0.08313909,-0.5452884,-0.07686332,-0.4859348,-0.06392878,0.3281534,-0.2673367,0.341275,-0.2542151
AT3G54840,ARA-6,0.1570799,-0.1630906,0.06260292,0.02324327,0.1395161,-0.1712285,0.2602059,-0.1816567,0.2086317,-0.3201705,-0.09447701,-0.1338367,-0.01756381,-0.3283085,0.103126,-0.3387366,0.05155174,0.2348707,0.07779078,0.1864762,0.02939631
AT3G56110,PRA1.B1,0.2715144,0.3720913,0.05077153,0.5552996,-0.13892,-0.08444539,-0.22415,0.2115953,-0.3031615,0.1005769,-0.2207429,0.2837852,-0.4104344,-0.3559598,-0.4956644,-0.05991914,-0.5746759,0.3457903,0.07427588,0.1835425,-0.08797191
AT3G58170,ATBET11,0.455141,0.2373423,0.2873417,0.1358371,0.2870169,-0.000553725,0.4371118,0.2548067,0.2824945,-0.2177987,-0.1677993,-0.3193039,-0.1681241,-0.4556947,-0.01802924,-0.2003343,-0.1726466,0.6793598,0.2242188,0.2522309,-0.2029101
AT3G63460,SEC31B,-0.4272598,-0.2333993,-0.2676835,-0.03736097,-0.3529466,0.2770279,-0.6247414,-0.3949329,-0.7770904,0.1938605,0.1595762,0.3898988,0.07431317,0.7042877,-0.1974816,0.03232686,-0.3498307,-0.4310053,-0.003745493,-0.3321684,0.09509139
AT4G04910,NSF,-0.2239154,0.07999904,0.261558,0.04223116,-0.08428638,-0.04275896,-0.3053104,-0.2950992,-0.4147305,0.3039145,0.4854734,0.2661466,0.139629,0.1811565,-0.08139498,-0.07118379,-0.1908151,-0.3073122,-0.08339682,-0.3921551,-0.1682397
AT4G14455,ATBET12,0.2500698,0.1245112,-0.07568104,0.2320363,-0.1864737,0.1294412,0.04384516,0.1395382,0.04316073,-0.1255586,-0.3257508,-0.01803345,-0.4365435,-0.1206286,-0.2062246,-0.1105316,-0.206909,0.3385381,0.08846833,0.211936,-0.03813381
AT4G15780,ATVAMP724,-0.1060376,0.3035022,-0.4636424,-0.1074146,0.3805036,-0.2624462,0.03020252,-0.1094765,0.1919943,0.4095398,-0.3576048,-0.001376962,0.4865412,-0.1564086,0.1362401,-0.003438905,0.2980319,0.2825847,0.3886223,0.172023,0.2780606
AT4G17730,ATSYP23,0.2852345,0.08101044,-0.1821247,-0.1905282,0.5935658,0.8631008,1.191103,0.4961945,1.327315,-0.2042241,-0.4673592,-0.4757627,0.3083313,0.5778662,0.9058687,0.21096,1.04208,0.3709261,0.08569159,0.5155647,0.2303302
AT4G17890,AGD8,0.3849744,0.2453136,0.6124126,0.6280196,0.4067674,0.1941535,0.4371213,0.28692,0.559182,-0.1396608,0.2274382,0.2430452,0.02179294,-0.190821,0.05214684,-0.09805446,0.1742076,0.1642784,-0.220696,0.1246446,-0.2603298
AT4G20410,GAMMA-SNAP,0.4911978,-0.08229593,0.2954127,0.4611603,0.4168917,0.9212171,1.338903,1.32866,1.271911,-0.5734937,-0.195785,-0.03003749,-0.07430604,0.4300194,0.8477049,0.8374623,0.7807135,0.1422863,-0.3489115,0.1539727,-0.3372251
AT4G21560,VPS28,0.2058671,-0.3731233,-0.2088155,-0.09716492,0.09425302,-0.2412457,0.1414765,-0.0177752,0.8121549,-0.5789904,-0.4146827,-0.3030321,-0.1116141,-0.4471128,-0.0643906,-0.2236423,0.6062877,-0.07349662,-0.2793638,0.008062889,-0.1978043
AT4G24550,AP4M,-0.001560872,-0.1855726,0.04588865,-0.06540375,0.08181577,-0.1850564,0.01095438,-0.1716966,0.03078474,-0.1840117,0.04744952,-0.06384288,0.08337664,-0.1834955,0.01251525,-0.1701357,0.03234561,-0.3488477,-0.3472869,-0.07841507,-0.0768542
AT4G27080,ATPDI7,-0.1016665,0.1118916,0.3472211,0.3333595,-0.1322272,-0.0966273,-0.0569778,-0.1383195,-0.2561224,0.2135581,0.4488876,0.435026,-0.03056064,0.00503922,0.04468873,-0.03665302,-0.1544559,-0.2309575,-0.129291,-0.1803229,-0.07865642
AT4G28540,CKL6,-0.02090473,-0.1529007,-0.1138651,0.04318863,-0.2636483,0.2174171,-0.06098824,0.06215619,0.03306013,-0.131996,-0.09296033,0.06409336,-0.2427435,0.2383218,-0.0400835,0.08306092,0.05396487,-0.2671909,-0.2462862,-0.1586499,-0.1377451
AT5G06140,ATSNX1,0.1221739,0.07309143,-0.05171211,0.1908443,0.2051662,0.03192144,0.1543457,-0.05773926,0.2359517,-0.04908251,-0.173886,0.06867037,0.08299225,-0.0902525,0.03217172,-0.1799132,0.1137777,0.1019371,-0.0202368,0.2439636,0.1217897
AT5G07110,PRA1.B6,0.2902376,0.4534416,0.303119,0.2306464,-0.4093107,-0.832964,-0.5183104,-0.2264641,0.1839574,0.163204,0.01288141,-0.05959121,-0.6995484,-1.123202,-0.808548,-0.5167018,-0.1062803,0.07211239,-0.2181252,-0.1107627,-0.4010004
AT5G08080,ATSYP132,0.4578172,0.3537001,0.4504974,0.3799448,0.2717821,0.2405176,0.3828841,0.2198115,0.4472051,-0.1041172,-0.007319786,-0.07787242,-0.1860351,-0.2172997,-0.07493311,-0.2380057,-0.01061217,0.4582459,0.000428654,0.2506767,-0.2071406
AT5G16830,ATPEP12,0.5891203,-0.3569877,0.102316,-0.5224467,0.2500516,-0.2450679,0.369664,0.2360143,1.084724,-0.946108,-0.4868043,-1.111567,-0.3390687,-0.8341882,-0.2194563,-0.3531061,0.4956036,0.233432,-0.3556884,0.1631438,-0.4259766
AT5G22360,ATVAMP714,0.3713625,-0.1156302,0.08779107,-0.2507896,0.09138206,-0.07658407,0.2534132,0.2324063,0.7342567,-0.4869927,-0.2835714,-0.6221521,-0.2799804,-0.4479466,-0.1179493,-0.1389562,0.3628942,0.1845793,-0.1867832,0.2382489,-0.1331137
AT5G22950,VPS24.1,0.1813548,-0.09051052,-0.05620737,0.1610819,0.2160769,0.3845359,0.5292699,0.4881532,0.5130475,-0.2718654,-0.2375622,-0.02027291,0.03472204,0.203181,0.3479151,0.3067983,0.3316927,0.04566371,-0.1356911,0.2908309,0.109476
AT5G39510,ATVTI11,0.6196447,-0.1118084,0.3552125,0.5468274,0.260824,0.1438706,0.2725806,0.3613892,0.4906552,-0.731453,-0.2644322,-0.07281732,-0.3588207,-0.4757741,-0.347064,-0.2582555,-0.1289895,0.3995945,-0.2200502,0.3922545,-0.2273902
AT5G43320,ckl8,-0.0317318,-0.07357451,-0.07804521,-0.0736571,-0.2249244,0.254645,0.1466806,0.03485913,0.06156951,-0.04184271,-0.04631341,-0.0419253,-0.1931926,0.2863768,0.1784124,0.06659093,0.0933013,-0.07883753,-0.04710573,0.1711929,0.2029247
AT5G44560,VPS2.2,0.1379177,0.4989841,0.3148762,0.5647829,0.5899197,0.5885108,0.6252389,0.5675047,0.3732566,0.3610664,0.1769586,0.4268653,0.4520021,0.4505932,0.4873212,0.4295871,0.235339,0.4740315,0.3361138,0.3801181,0.2422005
AT5G46630,AP2M,0.04625386,-0.1318347,0.0935015,0.09239039,0.1526077,0.6169998,0.8974599,0.6884927,0.6205384,-0.1780886,0.04724764,0.04613653,0.1063539,0.5707459,0.8512061,0.6422389,0.5742846,-0.1909112,-0.2371651,0.03559443,-0.01065942
AT5G46750,AGD9,0.3331546,0.2251421,0.5769103,0.6178763,0.3380782,0.8647464,0.722,0.7919277,0.8426199,-0.1080125,0.2437557,0.2847217,0.004923531,0.5315917,0.3888454,0.4587731,0.5094653,0.1666396,-0.1665151,0.1911411,-0.1420135
AT5G46860,ATSYP22,0.4811991,0.10638,0.1734722,0.3418226,0.2742905,0.07560488,0.3237093,0.2325016,0.3821948,-0.3748191,-0.3077269,-0.1393765,-0.2069086,-0.4055942,-0.1574898,-0.2486975,-0.09900426,0.1388098,-0.3423893,0.3147204,-0.1664787
AT5G54310,AGD5,0.07078269,-0.2660021,-0.1286028,-0.03686028,-0.07698865,-0.2332637,-0.08217275,-0.02593217,0.1462056,-0.3367848,-0.1993855,-0.107643,-0.1477713,-0.3040464,-0.1529554,-0.09671486,0.07542295,-0.2937587,-0.3645414,-0.1735957,-0.2443783
AT5G66030,ATGRIP,-0.07882856,-0.09238114,-0.1347717,-0.01584241,0.3207716,0.001073326,-0.02533258,-0.103704,0.1810763,-0.01355258,-0.0559431,0.06298615,0.3996002,0.07990188,0.05349598,-0.02487546,0.2599048,0.2188151,0.2976437,0.01927501,0.09810357
