TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT4G31910,BAT1,0.5921086,2.039733,1.687815,0.7686063,-0.09138093,2.713175,1.252054,1.132741,0.8712717,1.447624,1.095706,0.1764977,-0.6834895,2.121067,0.6599456,0.540632,0.2791631,1.343219,0.7511106,2.38324,1.791131
AT4G33580,ATBCA5,0.2824758,0.4357811,0.3778031,0.7189014,0.1668895,0.04164952,0.03781912,0.09978348,-0.07784759,0.1533053,0.09532731,0.4364257,-0.1155862,-0.2408262,-0.2446566,-0.1826923,-0.3603234,0.2498316,-0.0326442,0.1517504,-0.1307254
AT4G34490,ATCAP1,0.08385883,0.3419918,0.2763724,0.5909512,0.06060251,-0.09436794,-0.02587562,-0.01732501,-0.1299666,0.2581329,0.1925136,0.5070924,-0.02325632,-0.1782268,-0.1097344,-0.1011838,-0.2138254,-0.2669717,-0.3508305,0.1310943,0.04723545
AT4G35090,CAT2,0.6426962,-0.2476013,0.2106951,-0.5746691,0.5998091,0.05816711,0.8619338,0.1703094,1.513802,-0.8902975,-0.4320012,-1.217365,-0.04288707,-0.5845291,0.2192376,-0.4723868,0.8711059,-0.392137,-1.034833,0.3405538,-0.3021424
AT4G35490,MRPL11,0.09620992,0.2921724,0.1567533,0.2785388,-0.1836669,0.03759094,0.116003,0.435851,0.05486098,0.1959625,0.06054336,0.1823289,-0.2798768,-0.05861898,0.01979312,0.339641,-0.04134894,0.2942166,0.1980066,0.148618,0.05240803
AT4G35630,PSAT1,0.04986137,0.01411871,0.2412396,0.6432726,-0.3349626,0.04194307,0.06631146,0.1649174,-0.2778402,-0.03574266,0.1913782,0.5934112,-0.384824,-0.007918299,0.01645009,0.115056,-0.3277015,-0.3256955,-0.3755568,-0.1805126,-0.230374
AT4G35830,ACO1,-0.6550612,-0.4446468,-0.3106365,-0.149802,-0.5356224,0.05636339,-0.4496889,-0.2697512,-0.7054115,0.2104144,0.3444248,0.5052592,0.1194388,0.7114246,0.2053723,0.38531,-0.05035029,-0.5901188,0.06494242,-0.3573523,0.2977089
AT4G35890,AtLARP1c,-0.2583484,-0.07088329,-0.2932965,-0.1789124,-0.2199189,-0.03841991,-0.2270866,0.05050024,-0.243205,0.1874651,-0.03494804,0.07943597,0.03842951,0.2199285,0.03126178,0.3088487,0.0151434,-0.2746377,-0.01628925,-0.3776873,-0.1193389
AT4G36800,RCE1,0.5753535,0.1533246,0.4603375,0.3407948,0.1358256,-0.02522865,0.09902377,0.06798886,0.3470454,-0.4220289,-0.115016,-0.2345587,-0.4395279,-0.6005822,-0.4763297,-0.5073646,-0.2283081,0.5054247,-0.06992877,0.3457798,-0.2295737
AT4G37870,PCK1,-0.4807335,-1.029118,-0.9857065,-1.025741,-0.06568975,-0.399336,-0.1618127,-0.2259837,-0.272689,-0.5483841,-0.504973,-0.5450072,0.4150437,0.08139744,0.3189207,0.2547498,0.2080445,-1.168445,-0.6877115,-0.7412967,-0.2605633
