"","WS_c1.which.mclass....1...1."
"575","AT2G04190"
"576","AT2G04265"
"577","AT2G04295"
"578","AT2G04375"
"579","AT2G04621"
"580","AT2G04860"
"581","AT2G05070"
"582","AT2G05518"
"583","AT2G05620"
"584","AT2G05635"
"585","AT2G06835"
"586","AT2G07000"
"587","AT2G07275"
"588","AT2G07495"
"589","AT2G07595"
"590","AT2G07629"
"591","AT2G07644"
"592","AT2G07658"
"593","AT2G07659"
"594","AT2G07672"
"595","AT2G07681"
"596","AT2G07689"
"597","AT2G07692"
"598","AT2G07721"
"599","AT2G07724"
"600","AT2G07771"
"601","AT2G07774"
"602","AT2G07798"
"603","AT2G07805"
"604","AT2G07806"
"605","AT2G07845"
"606","AT2G08020"
"607","AT2G08480"
"608","AT2G08485"
"609","AT2G08500"
"610","AT2G08525"
"611","AT2G08570"
"612","AT2G08655"
"613","AT2G08695"
"614","AT2G08730"
"615","AT2G08760"
"616","AT2G08770"
"617","AT2G08820"
"618","AT2G08825"
"619","AT2G08865"
"620","AT2G08915"
"621","AT2G09010"
"622","AT2G09055"
"623","AT2G09090"
"624","AT2G09200"
"625","AT2G09325"
"626","AT2G09370"
"627","AT2G09430"
"628","AT2G09435"
"629","AT2G09505"
"630","AT2G09605"
"631","AT2G09740"
"632","AT2G09895"
"633","AT2G09905"
"634","AT2G10553"
"635","AT2G10930"
"636","AT2G11270"
"637","AT2G11810"
"638","AT2G12190"
"639","AT2G13610"
"640","AT2G14290"
"641","AT2G14510"
"642","AT2G14760"
"643","AT2G14775"
"644","AT2G14800"
"645","AT2G15090"
"646","AT2G15220"
"647","AT2G15318"
"648","AT2G15350"
"649","AT2G15400"
"650","AT2G16245"
"651","AT2G16380"
"652","AT2G16575"
"653","AT2G16630"
"654","AT2G16870"
"655","AT2G16970"
"656","AT2G17040"
"657","AT2G17060"
"658","AT2G17470"
"659","AT2G18150"
"660","AT2G18270"
"661","AT2G18370"
"662","AT2G18500"
"663","AT2G18550"
"664","AT2G18720"
"665","AT2G18917"
"666","AT2G18969"
"667","AT2G19190"
"668","AT2G19210"
"669","AT2G19240"
"670","AT2G19550"
"671","AT2G19610"
"672","AT2G19900"
"673","AT2G19970"
"674","AT2G20030"
"675","AT2G20470"
"676","AT2G20510"
"677","AT2G21080"
"678","AT2G21188"
"679","AT2G21320"
"680","AT2G21330"
"681","AT2G21430"
"682","AT2G21595"
"683","AT2G21820"
"684","AT2G21840"
"685","AT2G21850"
"686","AT2G21860"
"687","AT2G21960"
"688","AT2G22088"
"689","AT2G22200"
"690","AT2G22290"
"691","AT2G22460"
"692","AT2G22510"
"693","AT2G22600"
"694","AT2G22905"
"695","AT2G22920"
"696","AT2G22980"
"697","AT2G23000"
"698","AT2G23060"
"699","AT2G23400"
"700","AT2G23440"
"701","AT2G23445"
"702","AT2G23550"
"703","AT2G24030"
"704","AT2G24195"
"705","AT2G24320"
"706","AT2G24560"
"707","AT2G24820"
"708","AT2G25160"
"709","AT2G25200"
"710","AT2G25410"
"711","AT2G25530"
"712","AT2G25940"
"713","AT2G26040"
"714","AT2G26410"
"715","AT2G26500"
"716","AT2G26515"
"717","AT2G26740"
"718","AT2G27300"
"719","AT2G27313"
"720","AT2G27390"
"721","AT2G27402"
"722","AT2G27535"
"723","AT2G27630"
"724","AT2G28040"
"725","AT2G28170"
"726","AT2G28420"
"727","AT2G28605"
"728","AT2G28700"
"729","AT2G28860"
"730","AT2G29120"
"731","AT2G29410"
"732","AT2G29430"
"733","AT2G29450"
"734","AT2G29460"
"735","AT2G29470"
"736","AT2G29600"
"737","AT2G29620"
"738","AT2G29630"
"739","AT2G29950"
"740","AT2G30570"
"741","AT2G30770"
"742","AT2G30820"
"743","AT2G30984"
"744","AT2G30985"
"745","AT2G31160"
"746","AT2G31180"
"747","AT2G31420"
"748","AT2G31550"
"749","AT2G31560"
"750","AT2G31865"
"751","AT2G31980"
"752","AT2G32200"
"753","AT2G32275"
"754","AT2G32340"
"755","AT2G32487"
"756","AT2G32510"
"757","AT2G32620"
"758","AT2G32660"
"759","AT2G32670"
"760","AT2G32740"
"761","AT2G32750"
"762","AT2G32795"
"763","AT2G32800"
"764","AT2G33000"
"765","AT2G33160"
"766","AT2G33205"
"767","AT2G33760"
"768","AT2G33810"
"769","AT2G33855"
"770","AT2G34224"
"771","AT2G34230"
"772","AT2G34240"
"773","AT2G34320"
"774","AT2G34360"
"775","AT2G34370"
"776","AT2G34430"
"777","AT2G34580"
"778","AT2G34600"
"779","AT2G34810"
"780","AT2G35300"
"781","AT2G35345"
"782","AT2G35380"
"783","AT2G35420"
"784","AT2G35550"
"785","AT2G35637"
"786","AT2G35640"
"787","AT2G35700"
"788","AT2G35733"
"789","AT2G35738"
"790","AT2G35740"
"791","AT2G35770"
"792","AT2G35820"
"793","AT2G35890"
"794","AT2G35950"
"795","AT2G35960"
"796","AT2G35980"
"797","AT2G36020"
"798","AT2G36030"
"799","AT2G36110"
"800","AT2G36210"
"801","AT2G36500"
"802","AT2G36550"
"803","AT2G36630"
"804","AT2G36870"
"805","AT2G37370"
"806","AT2G37610"
"807","AT2G37670"
"808","AT2G37880"
"809","AT2G38060"
"810","AT2G38110"
"811","AT2G38195"
"812","AT2G38240"
"813","AT2G38250"
"814","AT2G38460"
"815","AT2G38465"
"816","AT2G38490"
"817","AT2G38510"
"818","AT2G38530"
"819","AT2G38720"
"820","AT2G39310"
"821","AT2G39510"
"822","AT2G39520"
"823","AT2G39540"
"824","AT2G39980"
"825","AT2G40050"
"826","AT2G40180"
"827","AT2G40340"
"828","AT2G40450"
"829","AT2G40460"
"830","AT2G40610"
"831","AT2G40710"
"832","AT2G40711"
"833","AT2G40790"
"834","AT2G40850"
"835","AT2G41082"
"836","AT2G41090"
"837","AT2G41105"
"838","AT2G41231"
"839","AT2G41312"
"840","AT2G41340"
"841","AT2G41342"
"842","AT2G41370"
"843","AT2G41470"
"844","AT2G41510"
"845","AT2G41690"
"846","AT2G41810"
"847","AT2G42065"
"848","AT2G42140"
"849","AT2G42150"
"850","AT2G42220"
"851","AT2G42340"
"852","AT2G42360"
"853","AT2G42440"
"854","AT2G42510"
"855","AT2G42610"
"856","AT2G42690"
"857","AT2G42850"
"858","AT2G42980"
"859","AT2G43220"
"860","AT2G43530"
"861","AT2G43700"
"862","AT2G43745"
"863","AT2G43870"
"864","AT2G43890"
"865","AT2G43930"
"866","AT2G44210"
"867","AT2G44340"
"868","AT2G44480"
"869","AT2G44700"
"870","AT2G44910"
"871","AT2G45570"
"872","AT2G45630"
"873","AT2G45760"
"874","AT2G45850"
"875","AT2G45900"
"876","AT2G46050"
"877","AT2G46070"
"878","AT2G46300"
"879","AT2G46380"
