"","X","col_GC_c1.which.mclass....6...1."
"2132",2132,"AT3G56220"
"1660",1660,"AT3G09970"
"3258",3258,"AT5G46340"
"1869",1869,"AT3G22425"
"2996",2996,"AT5G16600"
"3178",3178,"AT5G39590"
"2863",2863,"AT5G08415"
"1956",1956,"AT3G29035"
"2606",2606,"AT4G31590"
"2817",2817,"AT5G05270"
"1782",1782,"AT3G16270"
"747",747,"AT1G67060"
"2865",2865,"AT5G08560"
"477",477,"AT1G33490"
"3051",3051,"AT5G20990"
"396",396,"AT1G27210"
"858",858,"AT1G75400"
"2782",2782,"AT5G02820"
"277",277,"AT1G18100"
"1280",1280,"AT2G32900"
"2389",2389,"AT4G14965"
"750",750,"AT1G67120"
"1363",1363,"AT2G38730"
"2496",2496,"AT4G24590"
"3319",3319,"AT5G51140"
"378",378,"AT1G25560"
"2882",2882,"AT5G09850"
"2045",2045,"AT3G50910"
"2494",2494,"AT4G24490"
"159",159,"AT1G09100"
"1131",1131,"AT2G21440"
"3215",3215,"AT5G42860"
"259",259,"AT1G16300"
"2513",2513,"AT4G25710"
"381",381,"AT1G26180"
"761",761,"AT1G68100"
"598",598,"AT1G53280"
"3396",3396,"AT5G56260"
"1666",1666,"AT3G10230"
"1910",1910,"AT3G25290"
"1333",1333,"AT2G36895"
"1441",1441,"AT2G43670"
"2351",2351,"AT4G11547"
"1146",1146,"AT2G22840"
"416",416,"AT1G28120"
"1132",1132,"AT2G21470"
"3577",3577,"AT5G65920"
"2356",2356,"AT4G12543"
"32",32,"AT1G03040"
"2726",2726,"AT4G38060"
"919",919,"AT1G79710"
"662",662,"AT1G58290"
"1380",1380,"AT2G39500"
"1176",1176,"AT2G25650"
"1431",1431,"AT2G42880"
"2856",2856,"AT5G08240"
"2849",2849,"AT5G06910"
"74",74,"AT1G05147"
"2493",2493,"AT4G24400"
"1772",1772,"AT3G15790"
"2391",2391,"AT4G15010"
"2404",2404,"AT4G15830"
"1701",1701,"AT3G12210"
"1001",1001,"AT2G06210"
"1110",1110,"AT2G20330"
"1126",1126,"AT2G21180"
"275",275,"AT1G17730"
"1099",1099,"AT2G19600"
"2651",2651,"AT4G34150"
"1613",1613,"AT3G07180"
"631",631,"AT1G55690"
"33",33,"AT1G03060"
"675",675,"AT1G60850"
"2809",2809,"AT5G04510"
"72",72,"AT1G05000"
"3086",3086,"AT5G24020"
"1064",1064,"AT2G17530"
"990",990,"AT2G04845"
"3521",3521,"AT5G63550"
"1724",1724,"AT3G13350"
"2728",2728,"AT4G38240"
"1028",1028,"AT2G15480"
"1608",1608,"AT3G06860"
"1743",1743,"AT3G14180"
"1739",1739,"AT3G14000"
"1195",1195,"AT2G26660"
"461",461,"AT1G31935"
"1266",1266,"AT2G31740"
"179",179,"AT1G10720"
"2820",2820,"AT5G05470"
"565",565,"AT1G50140"
"720",720,"AT1G64350"
"3161",3161,"AT5G37260"
"242",242,"AT1G15140"
"1374",1374,"AT2G39370"
"1088",1088,"AT2G19110"
"352",352,"AT1G23780"
"2285",2285,"AT4G03110"
"1503",1503,"AT2G47970"
"84",84,"AT1G05380"
"545",545,"AT1G48635"
"1484",1484,"AT2G46920"
"2371",2371,"AT4G13660"
"1436",1436,"AT2G43290"
"1231",1231,"AT2G28720"
"1788",1788,"AT3G16740"
"1704",1704,"AT3G12340"
"1079",1079,"AT2G18630"
"1147",1147,"AT2G22900"
"327",327,"AT1G21830"
"1510",1510,"AT3G01160"
"1388",1388,"AT2G39795"
"1356",1356,"AT2G38450"
"3153",3153,"AT5G35732"
"95",95,"AT1G05840"
"3567",3567,"AT5G65620"
"3549",3549,"AT5G64650"
"1949",1949,"AT3G28345"
"2151",2151,"AT3G58100"
"3224",3224,"AT5G43560"
"336",336,"AT1G22500"
"2199",2199,"AT3G61140"
"2472",2472,"AT4G22214"
"419",419,"AT1G28150"
"3412",3412,"AT5G57280"
"2326",2326,"AT4G08960"
"657",657,"AT1G58100"
"1731",1731,"AT3G13650"
"1632",1632,"AT3G07860"
"1194",1194,"AT2G26650"
"540",540,"AT1G48175"
"1552",1552,"AT3G03490"
"158",158,"AT1G09070"
"528",528,"AT1G47380"
"1849",1849,"AT3G20840"
"1009",1009,"AT2G12400"
"1062",1062,"AT2G17510"
"666",666,"AT1G59760"
"2707",2707,"AT4G37080"
"3407",3407,"AT5G57060"
"2320",2320,"AT4G08580"
"2892",2892,"AT5G10560"
"2385",2385,"AT4G14770"
"3088",3088,"AT5G24170"
"3548",3548,"AT5G64610"
"3107",3107,"AT5G25350"
"1217",1217,"AT2G27900"
"1057",1057,"AT2G17320"
"2154",2154,"AT3G58220"
"3198",3198,"AT5G41770"
"1124",1124,"AT2G21120"
"402",402,"AT1G27510"
"180",180,"AT1G10740"
"2532",2532,"AT4G26850"
"300",300,"AT1G19520"
"817",817,"AT1G71830"
"519",519,"AT1G45050"
"744",744,"AT1G66740"
"472",472,"AT1G32490"
"2259",2259,"AT4G01150"
