"","col_GC_c1.which.mclass....8...1."
"932","AT3G02350"
"933","AT3G02420"
"934","AT3G02540"
"935","AT3G02570"
"936","AT3G02630"
"937","AT3G02640"
"938","AT3G02700"
"939","AT3G02720"
"940","AT3G02760"
"941","AT3G02900"
"942","AT3G02910"
"943","AT3G03150"
"944","AT3G03170"
"945","AT3G03320"
"946","AT3G03380"
"947","AT3G03420"
"948","AT3G03600"
"949","AT3G03860"
"950","AT3G04230"
"951","AT3G04350"
"952","AT3G04470"
"953","AT3G04500"
"954","AT3G04560"
"955","AT3G04600"
"956","AT3G04830"
"957","AT3G04880"
"958","AT3G04940"
"959","AT3G05070"
"960","AT3G05280"
"961","AT3G05290"
"962","AT3G05420"
"963","AT3G05500"
"964","AT3G05760"
"965","AT3G05810"
"966","AT3G05840"
"967","AT3G05920"
"968","AT3G06060"
"969","AT3G06125"
"970","AT3G06310"
"971","AT3G06320"
"972","AT3G06330"
"973","AT3G06350"
"974","AT3G06390"
"975","AT3G06580"
"976","AT3G06590"
"977","AT3G06720"
"978","AT3G06790"
"979","AT3G06850"
"980","AT3G06960"
"981","AT3G07010"
"982","AT3G07050"
"983","AT3G07090"
"984","AT3G07100"
"985","AT3G07160"
"986","AT3G07170"
"987","AT3G07270"
"988","AT3G07350"
"989","AT3G07430"
"990","AT3G07460"
"991","AT3G07470"
"992","AT3G07555"
"993","AT3G07570"
"994","AT3G07590"
"995","AT3G07660"
"996","AT3G07760"
"997","AT3G07770"
"998","AT3G07790"
"999","AT3G07910"
"1000","AT3G07990"
"1001","AT3G08510"
"1002","AT3G08550"
"1003","AT3G08630"
"1004","AT3G08650"
"1005","AT3G08680"
"1006","AT3G08690"
"1007","AT3G08710"
"1008","AT3G08730"
"1009","AT3G08930"
"1010","AT3G08943"
"1011","AT3G09390"
"1012","AT3G09455"
"1013","AT3G09470"
"1014","AT3G09900"
"1015","AT3G09925"
"1016","AT3G09980"
"1017","AT3G10220"
"1018","AT3G10250"
"1019","AT3G10260"
"1020","AT3G10340"
"1021","AT3G10410"
"1022","AT3G10740"
"1023","AT3G10915"
"1024","AT3G11280"
