"","X","col_GC_c1.which.mclass....1...1."
"211",211,"AT1G11710"
"1612",1612,"AT2G47530"
"2712",2712,"AT4G26070"
"823",823,"AT1G68330"
"3684",3684,"AT5G61360"
"2252",2252,"AT3G57750"
"2628",2628,"AT4G21065"
"3548",3548,"AT5G53010"
"1454",1454,"AT2G37890"
"3479",3479,"AT5G48620"
"2810",2810,"AT4G32790"
"1905",1905,"AT3G19615"
"1332",1332,"AT2G30945"
"3483",3483,"AT5G48775"
"3270",3270,"AT5G26160"
"3154",3154,"AT5G17670"
"490",490,"AT1G33390"
"74",74,"AT1G05060"
"1722",1722,"AT3G07060"
"3319",3319,"AT5G38040"
"863",863,"AT1G70470"
"1280",1280,"AT2G27060"
"2870",2870,"AT4G37580"
"3793",3793,"ATCG01230"
"560",560,"AT1G49205"
"2852",2852,"AT4G36150"
"2487",2487,"AT4G12240"
"3203",3203,"AT5G20970"
"66",66,"AT1G04647"
"1004",1004,"AT1G78550"
"491",491,"AT1G33475"
"806",806,"AT1G67510"
"2229",2229,"AT3G55820"
"3023",3023,"AT5G07130"
"2283",2283,"AT3G59700"
"2193",2193,"AT3G53390"
"3503",3503,"AT5G50340"
"447",447,"AT1G29800"
"151",151,"AT1G08400"
"1563",1563,"AT2G44760"
"2868",2868,"AT4G37445"
"2263",2263,"AT3G58690"
"2319",2319,"AT3G61830"
"2458",2458,"AT4G10500"
"407",407,"AT1G27060"
"847",847,"AT1G69670"
"1932",1932,"AT3G22450"
"540",540,"AT1G48280"
"1344",1344,"AT2G31600"
"3240",3240,"AT5G24230"
"3475",3475,"AT5G48370"
"1541",1541,"AT2G43200"
"1021",1021,"AT1G79600"
"1190",1190,"AT2G20560"
"3273",3273,"AT5G26720"
"2545",2545,"AT4G15430"
"3129",3129,"AT5G15870"
"2614",2614,"AT4G19985"
"3689",3689,"AT5G61460"
"3789",3789,"ATCG00905"
"1352",1352,"AT2G32010"
"1993",1993,"AT3G27480"
"3456",3456,"AT5G47440"
"1061",1061,"AT2G03060"
"1391",1391,"AT2G34380"
"1500",1500,"AT2G41040"
"1998",1998,"AT3G27880"
"1150",1150,"AT2G17695"
"1954",1954,"AT3G24460"
"3634",3634,"AT5G57980"
"842",842,"AT1G69310"
"498",498,"AT1G34340"
"1836",1836,"AT3G15510"
"2971",2971,"AT5G03780"
"1381",1381,"AT2G33680"
"1110",1110,"AT2G08435"
"3619",3619,"AT5G57190"
"2544",2544,"AT4G15417"
"3511",3511,"AT5G50930"
"1777",1777,"AT3G10660"
"400",400,"AT1G26530"
"583",583,"AT1G51220"
"658",658,"AT1G56310"
"3158",3158,"AT5G17850"
"527",527,"AT1G45165"
"2679",2679,"AT4G24040"
"383",383,"AT1G24300"
"1665",1665,"AT3G03630"
"1379",1379,"AT2G33580"
"275",275,"AT1G16150"
"1490",1490,"AT2G40230"
"2399",2399,"AT4G03230"
"330",330,"AT1G19290"
"1241",1241,"AT2G24120"
"683",683,"AT1G60505"
"3663",3663,"AT5G60022"
"358",358,"AT1G21890"
"1669",1669,"AT3G03702"
"2762",2762,"AT4G29590"
"2504",2504,"AT4G12980"
"3554",3554,"AT5G53220"
"2725",2725,"AT4G27240"
"2525",2525,"AT4G14548"
"2602",2602,"AT4G19420"
"2270",2270,"AT3G58940"
"2258",2258,"AT3G58270"
"2247",2247,"AT3G57160"
"3742",3742,"AT5G65170"
"1689",1689,"AT3G04860"
"963",963,"AT1G75590"
"416",416,"AT1G27420"
"1192",1192,"AT2G20710"
"2890",2890,"AT4G39190"
"1502",1502,"AT2G41290"
"427",427,"AT1G28380"
"2700",2700,"AT4G25440"
"3021",3021,"AT5G07070"
"1441",1441,"AT2G37430"
"820",820,"AT1G68080"
"2647",2647,"AT4G21910"
"1953",1953,"AT3G24430"
"1867",1867,"AT3G17710"
"1975",1975,"AT3G26070"
"1182",1182,"AT2G20210"
"252",252,"AT1G14280"
"202",202,"AT1G10960"
"1131",1131,"AT2G14660"
"2881",2881,"AT4G38330"
"811",811,"AT1G67710"
"452",452,"AT1G30280"
"1316",1316,"AT2G30010"
"2232",2232,"AT3G56000"
"1309",1309,"AT2G29525"
"305",305,"AT1G18030"
"531",531,"AT1G47056"
"1927",1927,"AT3G21580"
"2026",2026,"AT3G33528"
"3705",3705,"AT5G62380"
"3745",3745,"AT5G65400"
"1744",1744,"AT3G08505"
"1734",1734,"AT3G07700"
"2153",2153,"AT3G50700"
"3324",3324,"AT5G38150"
"1313",1313,"AT2G29680"
"1209",1209,"AT2G21840"
"918",918,"AT1G73300"
"1151",1151,"AT2G17730"
"3309",3309,"AT5G36870"
"1372",1372,"AT2G33290"
"2787",2787,"AT4G31210"
"2246",2246,"AT3G57157"
"2289",2289,"AT3G60070"
"1505",1505,"AT2G41380"
"1532",1532,"AT2G42950"
"1782",1782,"AT3G11430"
"3193",3193,"AT5G20030"
"3111",3111,"AT5G14480"
"1374",1374,"AT2G33385"
"3419",3419,"AT5G44574"
"187",187,"AT1G10050"
"3403",3403,"AT5G43403"
"1414",1414,"AT2G35710"
"1492",1492,"AT2G40370"
"1260",1260,"AT2G25220"
"894",894,"AT1G72190"
"1508",1508,"AT2G41670"
"1535",1535,"AT2G43050"
"3682",3682,"AT5G61280"
"197",197,"AT1G10520"
"26",26,"AT1G02400"
"871",871,"AT1G70700"
"2489",2489,"AT4G12270"
"520",520,"AT1G44160"
"116",116,"AT1G06910"
"2354",2354,"AT4G00690"
"891",891,"AT1G71930"
"1159",1159,"AT2G18465"
"3533",3533,"AT5G51920"
"3513",3513,"AT5G51050"
"1885",1885,"AT3G18670"
"2874",2874,"AT4G37850"
"1439",1439,"AT2G37360"
"3002",3002,"AT5G05940"
"3075",3075,"AT5G10440"
"3612",3612,"AT5G56780"
"836",836,"AT1G68862"
"3526",3526,"AT5G51540"
"1135",1135,"AT2G15400"
"1469",1469,"AT2G38530"
"984",984,"AT1G77460"
"1207",1207,"AT2G21800"
"533",533,"AT1G47340"
"1256",1256,"AT2G24960"
"1627",1627,"AT3G01475"
"2109",2109,"AT3G48470"
"2655",2655,"AT4G22758"
"2961",2961,"AT5G03110"
"2004",2004,"AT3G28100"
"1855",1855,"AT3G16410"
"1306",1306,"AT2G29065"
"542",542,"AT1G48370"
"1946",1946,"AT3G23700"
"2721",2721,"AT4G26795"
"1888",1888,"AT3G18730"
"3802",3802,"ATMG00730"
"1244",1244,"AT2G24250"
"3591",3591,"AT5G55490"
"1345",1345,"AT2G31650"
"1394",1394,"AT2G34650"
"1646",1646,"AT3G02410"
"1517",1517,"AT2G42260"
"300",300,"AT1G17744"
"2532",2532,"AT4G14940"
"10",10,"AT1G01500"
"2804",2804,"AT4G32430"
"3616",3616,"AT5G57050"
"3332",3332,"AT5G39050"
"2170",2170,"AT3G51600"
"989",989,"AT1G77600"
"183",183,"AT1G09900"
"1666",1666,"AT3G03640"
"1200",1200,"AT2G21350"
"1915",1915,"AT3G20720"
"1243",1243,"AT2G24190"
"1118",1118,"AT2G11225"
"1873",1873,"AT3G18090"
"2362",2362,"AT4G00955"
"3739",3739,"AT5G64950"
"1109",1109,"AT2G08000"
"1589",1589,"AT2G46310"
"2710",2710,"AT4G25910"
"422",422,"AT1G27880"
"2888",2888,"AT4G38910"
"1578",1578,"AT2G45740"
"643",643,"AT1G55365"
"2562",2562,"AT4G16620"
"3072",3072,"AT5G10320"
"261",261,"AT1G15010"
"713",713,"AT1G61667"
"1834",1834,"AT3G15356"
"2823",2823,"AT4G33980"
"1079",1079,"AT2G04620"
"3373",3373,"AT5G41360"
"64",64,"AT1G04425"
"1218",1218,"AT2G22730"
"3229",3229,"AT5G23570"
"1632",1632,"AT3G01680"
"1712",1712,"AT3G06480"
"3572",3572,"AT5G54260"
"2547",2547,"AT4G15510"
"1835",1835,"AT3G15390"
"2428",2428,"AT4G05815"
"1333",1333,"AT2G30960"
"1489",1489,"AT2G40150"
"2938",2938,"AT5G02070"
"1925",1925,"AT3G21351"
"1052",1052,"AT2G02150"
"1334",1334,"AT2G31010"
"973",973,"AT1G76740"
"2654",2654,"AT4G22710"
"1837",1837,"AT3G15518"
"1870",1870,"AT3G17920"
"2734",2734,"AT4G27630"
"2484",2484,"AT4G12020"
"3446",3446,"AT5G46390"
"588",588,"AT1G51402"
"3112",3112,"AT5G14510"
"2018",2018,"AT3G29300"
"507",507,"AT1G36940"
"2539",2539,"AT4G15310"
"574",574,"AT1G50360"
"1784",1784,"AT3G11470"
"1436",1436,"AT2G37260"
"2116",2116,"AT3G48800"
"2980",2980,"AT5G04460"
"1570",1570,"AT2G45100"
"193",193,"AT1G10320"
"1346",1346,"AT2G31730"
"1772",1772,"AT3G10320"
"3729",3729,"AT5G64530"
"1254",1254,"AT2G24700"
"3060",3060,"AT5G09420"
"2173",2173,"AT3G51860"
"3500",3500,"AT5G50280"
"1965",1965,"AT3G25480"
"3191",3191,"AT5G19840"
"3541",3541,"AT5G52545"
"711",711,"AT1G61560"
"3037",3037,"AT5G07820"
"2014",2014,"AT3G28850"
"3472",3472,"AT5G48220"
"1278",1278,"AT2G26870"
"3756",3756,"AT5G66450"
"2699",2699,"AT4G25410"
"1995",1995,"AT3G27630"
"3004",3004,"AT5G06220"
"3628",3628,"AT5G57760"
"666",666,"AT1G58160"
"3719",3719,"AT5G63590"
"3680",3680,"AT5G61190"
"2503",2503,"AT4G12910"
"2575",2575,"AT4G17740"
"1128",1128,"AT2G14050"
"1257",1257,"AT2G25000"
"2772",2772,"AT4G30270"
"3734",3734,"AT5G64780"
"3208",3208,"AT5G21910"
"2523",2523,"AT4G14390"
"1546",1546,"AT2G43500"
"1973",1973,"AT3G25970"
"1573",1573,"AT2G45360"
"3096",3096,"AT5G11650"
"3653",3653,"AT5G59400"
"948",948,"AT1G74470"
"2298",2298,"AT3G60510"
"896",896,"AT1G72240"
"299",299,"AT1G17665"
"221",221,"AT1G12380"
"2658",2658,"AT4G22900"
"545",545,"AT1G48540"
"1419",1419,"AT2G36000"
"2933",2933,"AT5G01900"
"150",150,"AT1G08387"
"2900",2900,"AT4G39790"
"3736",3736,"AT5G64890"
"2716",2716,"AT4G26288"
"1903",1903,"AT3G19553"
"1014",1014,"AT1G79220"
"2878",2878,"AT4G38050"
"2103",2103,"AT3G48250"
"1000",1000,"AT1G78140"
"1733",1733,"AT3G07670"
"1224",1224,"AT2G22920"
"3596",3596,"AT5G55760"
"3340",3340,"AT5G39790"
"762",762,"AT1G64810"
"1340",1340,"AT2G31260"
"1213",1213,"AT2G22260"
"253",253,"AT1G14370"
"214",214,"AT1G11915"
"402",402,"AT1G26700"
"2672",2672,"AT4G23670"
"3088",3088,"AT5G11300"
"3001",3001,"AT5G05870"
"8",8,"AT1G01220"
"3333",3333,"AT5G39350"
"220",220,"AT1G12370"
"342",342,"AT1G20470"
"2454",2454,"AT4G10350"
"1959",1959,"AT3G24575"
"3144",3144,"AT5G16990"
"2828",2828,"AT4G34220"
"598",598,"AT1G52080"
"2822",2822,"AT4G33950"
"1843",1843,"AT3G15780"
"623",623,"AT1G53950"
"940",940,"AT1G74120"
"1138",1138,"AT2G15730"
"866",866,"AT1G70518"
"3470",3470,"AT5G48170"
"464",464,"AT1G30810"
"257",257,"AT1G14590"
"147",147,"AT1G08280"
"2",2,"AT1G01040"
"3435",3435,"AT5G45380"
"3700",3700,"AT5G62020"
"12",12,"AT1G01610"
"3568",3568,"AT5G54130"
"960",960,"AT1G75060"
"1812",1812,"AT3G14070"
"1317",1317,"AT2G30040"
"2100",2100,"AT3G48120"
"2312",2312,"AT3G61400"
"3374",3374,"AT5G41380"
"2303",2303,"AT3G60720"
"2722",2722,"AT4G26965"
"3434",3434,"AT5G45340"
"3061",3061,"AT5G09535"
"2326",2326,"AT3G62100"
"2107",2107,"AT3G48440"
"3065",3065,"AT5G09670"
"3489",3489,"AT5G49000"
"1978",1978,"AT3G26120"
"1475",1475,"AT2G39040"
"3396",3396,"AT5G43030"
"685",685,"AT1G60545"
"1757",1757,"AT3G09330"
"1981",1981,"AT3G26300"
"2749",2749,"AT4G28590"
"3726",3726,"AT5G64320"
"760",760,"AT1G64583"
"1375",1375,"AT2G33480"
"2491",2491,"AT4G12300"
"1246",1246,"AT2G24390"
"3635",3635,"AT5G58150"
"1030",1030,"AT1G80570"
"2965",2965,"AT5G03406"
"1174",1174,"AT2G19690"
"783",783,"AT1G66173"
"242",242,"AT1G13800"
"2469",2469,"AT4G11320"
"1326",1326,"AT2G30550"
"191",191,"AT1G10240"
"629",629,"AT1G54400"
"196",196,"AT1G10510"
"774",774,"AT1G65620"
"3424",3424,"AT5G45050"
"1794",1794,"AT3G12230"
"3067",3067,"AT5G09800"
"2241",2241,"AT3G56470"
"1007",1007,"AT1G78865"
"3480",3480,"AT5G48650"
"788",788,"AT1G66520"
"860",860,"AT1G70260"
"3760",3760,"AT5G67140"
"1558",1558,"AT2G44280"
"988",988,"AT1G77570"
"2345",2345,"AT4G00220"
"1008",1008,"AT1G78915"
"3711",3711,"AT5G63130"
"3696",3696,"AT5G61920"
"3148",3148,"AT5G17260"
"2223",2223,"AT3G55390"
"3552",3552,"AT5G53130"
"3762",3762,"AT5G67160"
"2423",2423,"AT4G04740"
"2365",2365,"AT4G01030"
"162",162,"AT1G08990"
"1140",1140,"AT2G15980"
"915",915,"AT1G73210"
"504",504,"AT1G35660"
"2761",2761,"AT4G29560"
"669",669,"AT1G58520"
"2271",2271,"AT3G58990"
"1701",1701,"AT3G05850"
"3740",3740,"AT5G65030"
"887",887,"AT1G71530"
"2137",2137,"AT3G49840"
"926",926,"AT1G73480"
"721",721,"AT1G62150"
"2820",2820,"AT4G33620"
"262",262,"AT1G15175"
"2860",2860,"AT4G36830"
"3016",3016,"AT5G06811"
"1484",1484,"AT2G39880"
"2292",2292,"AT3G60160"
"401",401,"AT1G26620"
"2414",2414,"AT4G04180"
"3473",3473,"AT5G48250"
"360",360,"AT1G22220"
"3617",3617,"AT5G57080"
"3724",3724,"AT5G63770"
"900",900,"AT1G72500"
"492",492,"AT1G33610"
"2233",2233,"AT3G56030"
"3441",3441,"AT5G45700"
"2985",2985,"AT5G04900"
"991",991,"AT1G77640"
"3449",3449,"AT5G46590"
"1791",1791,"AT3G11950"
"3161",3161,"AT5G17980"
"2041",2041,"AT3G44510"
"2964",2964,"AT5G03355"
"3787",3787,"ATCG00770"
"2386",2386,"AT4G02280"
"3185",3185,"AT5G19490"
"3774",3774,"ATCG00020"
"905",905,"AT1G72870"
"357",357,"AT1G21790"
"359",359,"AT1G22030"
"2801",2801,"AT4G32300"
"3221",3221,"AT5G22820"
"1446",1446,"AT2G37560"
"3493",3493,"AT5G49500"
"1363",1363,"AT2G32500"
"613",613,"AT1G53345"
"857",857,"AT1G70100"
"1136",1136,"AT2G15440"
"231",231,"AT1G12790"
"2065",2065,"AT3G46650"
"2728",2728,"AT4G27370"
"2390",2390,"AT4G02485"
"2582",2582,"AT4G18205"
"32",32,"AT1G03100"
"72",72,"AT1G04833"
"2231",2231,"AT3G55980"
"3024",3024,"AT5G07150"
"742",742,"AT1G63245"
"1740",1740,"AT3G08010"
"2253",2253,"AT3G57830"
"1001",1001,"AT1G78430"
"1811",1811,"AT3G14020"
"1605",1605,"AT2G46990"
"1506",1506,"AT2G41550"
"2035",2035,"AT3G43790"
"2928",2928,"AT5G01775"
"93",93,"AT1G05753"
"3477",3477,"AT5G48530"
"2424",2424,"AT4G04960"
"2016",2016,"AT3G29010"
"505",505,"AT1G35710"
"1088",1088,"AT2G05215"
"2272",2272,"AT3G59000"
"3564",3564,"AT5G54020"
"3499",3499,"AT5G50170"
"2661",2661,"AT4G22970"
"3304",3304,"AT5G35926"
"1919",1919,"AT3G20910"
"996",996,"AT1G77890"
"2049",2049,"AT3G44820"
"779",779,"AT1G65910"
"791",791,"AT1G66730"
"323",323,"AT1G18670"
"2463",2463,"AT4G10960"
"1716",1716,"AT3G06830"
"3238",3238,"AT5G24000"
"1389",1389,"AT2G34317"
"2572",2572,"AT4G17540"
"1060",1060,"AT2G03050"
"801",801,"AT1G67210"
"732",732,"AT1G62680"
"1880",1880,"AT3G18390"
"49",49,"AT1G04010"
"2219",2219,"AT3G55250"
"184",184,"AT1G09940"
"3164",3164,"AT5G18240"
"1527",1527,"AT2G42640"
"1631",1631,"AT3G01670"
"2089",2089,"AT3G47675"
"3212",3212,"AT5G22310"
"2494",2494,"AT4G12480"
"3236",3236,"AT5G23930"
"2565",2565,"AT4G16920"
"3714",3714,"AT5G63300"
"118",118,"AT1G06980"
"3020",3020,"AT5G07020"
"1568",1568,"AT2G44980"
"463",463,"AT1G30757"
"1365",1365,"AT2G32930"
"2077",2077,"AT3G47060"
"701",701,"AT1G61280"
"2006",2006,"AT3G28210"
"2585",2585,"AT4G18300"
"22",22,"AT1G02180"
"2341",2341,"AT3G66652"
"2336",2336,"AT3G63440"
"3375",3375,"AT5G41410"
"3527",3527,"AT5G51545"
"418",418,"AT1G27500"
"2015",2015,"AT3G28930"
"1737",1737,"AT3G07960"
"939",939,"AT1G74088"
"493",493,"AT1G33612"
"2383",2383,"AT4G01995"
"646",646,"AT1G55430"
"724",724,"AT1G62250"
"1778",1778,"AT3G10820"
"795",795,"AT1G67035"
"832",832,"AT1G68740"
"1881",1881,"AT3G18400"
"681",681,"AT1G60130"
"459",459,"AT1G30545"
"1467",1467,"AT2G38430"
"3476",3476,"AT5G48470"
"949",949,"AT1G74550"
"2000",2000,"AT3G27940"
"3311",3311,"AT5G37000"
"3245",3245,"AT5G24340"
"1175",1175,"AT2G19710"
"3626",3626,"AT5G57670"
"3539",3539,"AT5G52270"
"3695",3695,"AT5G61865"
"1493",1493,"AT2G40610"
"2568",2568,"AT4G16983"
"245",245,"AT1G13910"
"1066",1066,"AT2G03450"
"363",363,"AT1G22550"
"3803",3803,"ATMG00810"
"2240",2240,"AT3G56450"
"2495",2495,"AT4G12540"
"3109",3109,"AT5G13900"
"177",177,"AT1G09750"
"2384",2384,"AT4G02110"
"2632",2632,"AT4G21190"
"1647",1647,"AT3G02493"
"442",442,"AT1G29700"
"1938",1938,"AT3G22961"
"2774",2774,"AT4G30370"
"186",186,"AT1G10040"
"254",254,"AT1G14480"
"1788",1788,"AT3G11640"
"3397",3397,"AT5G43040"
"1847",1847,"AT3G16010"
"1753",1753,"AT3G09150"
"1682",1682,"AT3G04443"
"2357",2357,"AT4G00760"
"3277",3277,"AT5G26960"
"56",56,"AT1G04180"
"3306",3306,"AT5G35970"
"1567",1567,"AT2G44940"
"3749",3749,"AT5G65690"
"2902",2902,"AT4G39830"
"2945",2945,"AT5G02320"
"3343",3343,"AT5G39840"
"2752",2752,"AT4G28950"
"3276",3276,"AT5G26790"
"1474",1474,"AT2G38780"
"3103",3103,"AT5G13660"
"928",928,"AT1G73630"
"1830",1830,"AT3G15030"
"1743",1743,"AT3G08490"
"2510",2510,"AT4G13400"
"1491",1491,"AT2G40240"
"2461",2461,"AT4G10630"
"1188",1188,"AT2G20495"
"1370",1370,"AT2G33180"
"377",377,"AT1G23880"
"1852",1852,"AT3G16300"
"175",175,"AT1G09610"
"2680",2680,"AT4G24080"
"2649",2649,"AT4G22110"
"3387",3387,"AT5G42270"
"2238",2238,"AT3G56330"
"149",149,"AT1G08380"
"3195",3195,"AT5G20240"
"2643",2643,"AT4G21705"
"747",747,"AT1G63650"
"2800",2800,"AT4G32295"
"394",394,"AT1G25450"
"2330",2330,"AT3G62470"
"1698",1698,"AT3G05740"
"2398",2398,"AT4G03150"
"3301",3301,"AT5G35580"
"2528",2528,"AT4G14640"
"2843",2843,"AT4G35840"
"2136",2136,"AT3G49760"
"143",143,"AT1G07937"
"424",424,"AT1G27960"
"1473",1473,"AT2G38760"
"3605",3605,"AT5G56420"
"2701",2701,"AT4G25515"
"2812",2812,"AT4G32920"
"3331",3331,"AT5G38790"
"3627",3627,"AT5G57710"
"3796",3796,"ATMG00270"
"1659",1659,"AT3G03360"
"992",992,"AT1G77700"
"1861",1861,"AT3G17030"
"1168",1168,"AT2G19120"
"2657",2657,"AT4G22770"
"634",634,"AT1G54790"
"2327",2327,"AT3G62150"
"1592",1592,"AT2G46495"
"976",976,"AT1G77122"
"1921",1921,"AT3G20935"
"2869",2869,"AT4G37480"
"3044",3044,"AT5G08270"
"561",561,"AT1G49230"
"451",451,"AT1G30240"
"161",161,"AT1G08960"
"87",87,"AT1G05557"
"339",339,"AT1G20060"
"2924",2924,"AT5G01645"
"2102",2102,"AT3G48190"
"3284",3284,"AT5G27560"
"2139",2139,"AT3G49930"
"1456",1456,"AT2G37925"
"1556",1556,"AT2G44190"
"1817",1817,"AT3G14185"
"3249",3249,"AT5G24740"
"1878",1878,"AT3G18320"
"3609",3609,"AT5G56620"
"1117",1117,"AT2G09945"
"2571",2571,"AT4G17483"
"216",216,"AT1G11950"
"2358",2358,"AT4G00770"
"1883",1883,"AT3G18450"
"633",633,"AT1G54575"
"1507",1507,"AT2G41640"
"3433",3433,"AT5G45320"
"3454",3454,"AT5G47250"
"978",978,"AT1G77240"
"2903",2903,"AT4G39890"
"1020",1020,"AT1G79570"
"2570",2570,"AT4G17360"
"616",616,"AT1G53440"
"1450",1450,"AT2G37660"
"2689",2689,"AT4G24670"
"3026",3026,"AT5G07200"
"2581",2581,"AT4G18130"
"135",135,"AT1G07740"
"3123",3123,"AT5G15210"
"1038",1038,"AT2G01200"
"3675",3675,"AT5G60810"
"1328",1328,"AT2G30720"
"1442",1442,"AT2G37440"
"3199",3199,"AT5G20510"
"3668",3668,"AT5G60280"
"438",438,"AT1G29195"
"3510",3510,"AT5G50890"
"580",580,"AT1G50970"
"1268",1268,"AT2G26000"
"1233",1233,"AT2G23470"
"923",923,"AT1G73410"
"3567",3567,"AT5G54090"
"1282",1282,"AT2G27430"
"1585",1585,"AT2G46160"
"1152",1152,"AT2G17787"
"1574",1574,"AT2G45480"
"2584",2584,"AT4G18280"
"2296",2296,"AT3G60400"
"3620",3620,"AT5G57210"
"736",736,"AT1G62950"
"1521",1521,"AT2G42330"
"1988",1988,"AT3G27070"
"1536",1536,"AT2G43060"
"1918",1918,"AT3G20890"
"454",454,"AT1G30410"
"152",152,"AT1G08470"
"2002",2002,"AT3G28030"
"1171",1171,"AT2G19440"
"1183",1183,"AT2G20240"
"433",433,"AT1G28670"
"2976",2976,"AT5G04310"
"2588",2588,"AT4G18470"
"2513",2513,"AT4G13870"
"982",982,"AT1G77360"
"332",332,"AT1G19397"
"2522",2522,"AT4G14380"
"1747",1747,"AT3G08785"
"288",288,"AT1G16830"
"859",859,"AT1G70200"
"1223",1223,"AT2G22910"
"273",273,"AT1G15900"
"2282",2282,"AT3G59570"
"638",638,"AT1G55120"
"1137",1137,"AT2G15680"
"3792",3792,"ATCG01100"
"2940",2940,"AT5G02095"
"3544",3544,"AT5G52670"
"785",785,"AT1G66230"
"3614",3614,"AT5G56970"
"3234",3234,"AT5G23800"
"1025",1025,"AT1G80060"
"1162",1162,"AT2G18760"
"140",140,"AT1G07870"
"265",265,"AT1G15490"
"2634",2634,"AT4G21310"
"237",237,"AT1G13448"
"3523",3523,"AT5G51470"
"1393",1393,"AT2G34530"
"3641",3641,"AT5G58580"
"1219",1219,"AT2G22740"
"3571",3571,"AT5G54240"
"1170",1170,"AT2G19380"
"1304",1304,"AT2G28970"
"819",819,"AT1G67970"
"1034",1034,"AT1G80840"
"1455",1455,"AT2G37920"
"2773",2773,"AT4G30320"
"3743",3743,"AT5G65205"
"3576",3576,"AT5G54520"
"41",41,"AT1G03650"
"1082",1082,"AT2G04805"
"2114",2114,"AT3G48610"
"3566",3566,"AT5G54040"
"1364",1364,"AT2G32840"
"1530",1530,"AT2G42760"
