"","WS_c1.which.mclass....4...1."
"1109","AT4G34470"
"1110","AT4G34550"
"1111","AT4G34770"
"1112","AT4G35160"
"1113","AT4G35165"
"1114","AT4G35295"
"1115","AT4G35370"
"1116","AT4G35430"
"1117","AT4G35485"
"1118","AT4G35820"
"1119","AT4G36600"
"1120","AT4G36820"
"1121","AT4G37060"
"1122","AT4G37290"
"1123","AT4G37750"
"1124","AT4G37780"
"1125","AT4G38700"
"1126","AT4G38850"
"1127","AT4G39130"
"1128","AT4G39360"
"1129","AT4G39510"
"1130","AT4G39925"
"1131","AT4G39930"
"1132","AT5G00755"
"1133","AT5G00765"
"1134","AT5G00770"
"1135","AT5G00825"
"1136","AT5G00835"
"1137","AT5G00845"
"1138","AT5G00865"
"1139","AT5G00895"
"1140","AT5G00975"
"1141","AT5G00985"
"1142","AT5G01165"
"1143","AT5G01195"
"1144","AT5G01515"
"1145","AT5G02085"
"1146","AT5G02125"
"1147","AT5G02155"
"1148","AT5G02210"
"1149","AT5G02225"
"1150","AT5G02295"
"1151","AT5G02305"
"1152","AT5G02665"
"1153","AT5G02675"
"1154","AT5G02715"
"1155","AT5G02900"
"1156","AT5G03085"
"1157","AT5G03195"
"1158","AT5G03350"
"1159","AT5G03360"
"1160","AT5G03480"
"1161","AT5G03790"
"1162","AT5G03840"
"1163","AT5G04010"
"1164","AT5G04015"
"1165","AT5G04205"
"1166","AT5G04215"
"1167","AT5G04425"
"1168","AT5G04445"
"1169","AT5G04630"
"1170","AT5G04905"
"1171","AT5G05060"
"1172","AT5G05295"
"1173","AT5G05400"
"1174","AT5G06090"
"1175","AT5G06115"
"1176","AT5G06255"
"1177","AT5G06295"
"1178","AT5G06465"
"1179","AT5G06475"
"1180","AT5G06615"
"1181","AT5G06755"
"1182","AT5G06845"
"1183","AT5G07055"
"1184","AT5G07415"
"1185","AT5G07445"
"1186","AT5G07455"
"1187","AT5G07725"
"1188","AT5G07745"
"1189","AT5G07825"
"1190","AT5G07895"
"1191","AT5G07955"
"1192","AT5G07985"
"1193","AT5G08000"
"1194","AT5G08030"
"1195","AT5G08250"
"1196","AT5G08275"
"1197","AT5G08830"
"1198","AT5G08875"
"1199","AT5G08975"
"1200","AT5G08990"
"1201","AT5G09000"
"1202","AT5G09020"
"1203","AT5G09090"
"1204","AT5G09120"
"1205","AT5G09305"
"1206","AT5G09320"
"1207","AT5G09325"
"1208","AT5G09415"
"1209","AT5G09711"
"1210","AT5G09930"
"1211","AT5G10336"
"1212","AT5G11290"
"1213","AT5G12043"
