TAIR,SYMBOL,Log2fc_.root_FLT.v.root_GC.,Log2fc_.root_FLT.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_GC.
AT5G20690,PRK6,-3.912510605,-2.477223438,-3.16119864
AT5G21120,EIL2,-4.717251917,-1.021624555,-5.136343924
AT5G24410,PGL4,-9.00255405,0,-8.399302051
AT5G24550,BGLU32,-2.700554622,0,-2.793276752
AT5G24900,CYP714A2,-7.851007248,-3.892330539,-7.391548555
AT5G26930,GATA23,-5.108618612,-1.922889868,-4.688707544
AT5G36110,CYP716A1,-8.316016146,-1.91550069,-8.248351708
AT5G36140,CYP716A2,-9.94901473,-1.006194895,-8.649689374
AT5G36150,ATPEN3,-7.322278277,0,-6.125874708
AT5G36970,NHL25,-2.769660917,-1.006176042,-2.597658704
AT5G37800,ATRSL1,-7.018759149,0,-6.96586613
AT5G38450,CYP735A1,-6.833222137,0,-6.962280402
AT5G38770,AtGDU7,-3.546844458,0,-4.076369648
AT5G39190,ATGER2,-2.251344393,0,-3.4302988
AT5G39720,AIG2L,-4.301629115,0,-5.3361726
AT5G40990,GLIP1,-6.272156092,-4.625907086,-7.121172017
AT5G42580,CYP705A12,-11.01782349,-1.894833308,-10.22742704
AT5G42600,MRN1,-9.82758281,0,-8.668432217
AT5G43580,UPI,-3.895674745,0,-3.961001292
AT5G43840,AT-HSFA6A,-2.778377108,0,-4.883451092
AT5G44460,CML43,-7.671301556,-2.484353373,-7.395526428
AT5G45870,PYL12,-6.238909675,0,-5.407996814
AT5G46360,ATKCO3,-3.83197385,0,-3.632811747
AT5G48100,ATLAC15,-8.333162991,-2.487192083,-8.14347439
AT5G49340,TBL4,-6.925974257,0,-6.836793829
AT5G50300,ATAZG2,-9.65616414,0,-9.380118608
AT5G50590,AtHSD4,-7.862971142,-0.986343741,-6.947268408
AT5G50600,ATHSD1,-3.810728816,0,-5.879708945
AT5G50690,AtHSD7,-7.862971142,-0.986343741,-6.947268408
AT5G50700,HSD1,-5.685299064,0,-3.443670466
AT5G51870,AGL71,-7.193833421,-2.422594951,-7.136250213
AT5G52260,AtMYB19,-7.394144336,0,-6.86492133
AT5G53190,AtSWEET3,-7.503773223,0,-8.328328144
AT5G56080,ATNAS2,-9.240346396,-1.896068803,-9.655267384
AT5G58910,LAC16,-9.238100295,-1.791989151,-9.085474798
AT5G60480,AtHB26,-2.747357214,0,-3.313389002
AT5G60770,ATNRT2.4,-4.824293132,0,-4.224991802
AT5G60810,GLV11,-4.88495102,0,-3.122069797
AT5G63595,ATFLS4,-9.125980959,-1.896841477,-9.452838574
AT5G64210,AOX2,-3.607508299,0,-3.90698472
AT5G65158,PLAT3,-7.955786436,-1.903419322,-8.207636656
AT5G65165,SDH2-3,-5.739148346,0,-5.406816369
AT5G65330,AGL78,-2.407856108,-1.00611795,-3.077209813
ATMG00290,RPS4,-4.180782091,-2.782029676,-3.173414897
ATMG00980,RPSL2,-3.669241925,-1.823290182,-1.454950579
