TAIR,SYMBOL,Log2fc_.Ws_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Ws_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Ws_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_dark.
AT5G52320,CYP96A4,0,-4.784328,-0.994769,-4.774987,-0.9854279,-1.511902,-1.502561,-2.282713,-2.273372,-0.6616474,-0.6523063,-1.943154,-1.933813,-1.693447,-1.684106,0,0,0,0,0,0
AT5G53950,ANAC098,0,0,0,0,0,-3.92756,-3.918933,-2.378909,-2.370282,-4.100603,-4.091976,0,0,0,0,-4.054012,-4.045385,-1.213454,-1.204827,-0.6254754,-0.6168488
AT5G56510,APUM12,0,0,0,0,0,-0.7916958,-0.7818787,-1.758046,-1.748229,0,0,-1.266152,-1.256335,0,0,0,0,-3.461379,-3.451562,-4.099781,-4.089964
AT5G58780,AtcPT5,0,0,-2.854886,0,-2.847619,0,0,0,0,-2.994866,-2.9876,0,0,-2.864486,-2.85722,0,0,0,0,-0.6277588,-0.6204926
AT5G59320,LTP3,0,0,-1.625802,0,-1.621179,0,0,0,0,0,0,-2.632836,-2.628213,-0.6992675,-0.6946448,-4.053452,-4.04883,-1.214422,-1.209799,0,0
AT5G59370,ACT4,0,0,-3.344581,0,-3.335391,-0.8085249,-0.7993355,0,0,-2.957835,-2.948646,0,0,0,0,0,0,0,0,-1.948484,-1.939295
AT5G63560,FACT,0,0,0,0,0,-5.228521,-5.219365,-6.96573,-6.956574,0,0,-6.843289,-6.834132,-7.296999,-7.287842,-8.364459,-8.355303,-7.404913,-7.395757,-2.100349,-2.091192
AT5G63580,ATFLS2,0,-1.169298,0,-1.161022,0,0,0,-3.871561,-3.863285,-3.201116,-3.19284,0,0,0,0,0,0,0,0,0,0
AT5G63750,ARI13,0,-3.135289,0,-3.125941,0,-2.544844,-2.535496,-2.89026,-2.880912,0,0,0,0,0,0,0,0,0,0,0,0
ATMG00040,ORF315,0,0,0,0,0,-2.586425,-2.580083,-4.051138,-4.044796,-3.463888,-3.457546,-2.689526,-2.683184,-2.567648,-2.561306,-4.639374,-4.633032,-2.861763,-2.855421,-2.404673,-2.398331
ATMG00050,ORF131,0,0,-0.9725995,0,-0.9794611,-3.033968,-3.040829,-2.428238,-2.435099,-1.84036,-1.847222,-1.124937,-1.131798,-1.658193,-1.665055,-3.236393,-3.243254,-1.215154,-1.222016,-0.651227,-0.6580885
ATMG00600,ORF106C,0,-2.007866,-3.200124,-2.021708,-3.213966,0,0,-0.5588578,-0.5727,0,0,0,0,-0.6770053,-0.6908475,-2.541485,-2.555327,0,0,0,0
ATMG01110,ORF251,0,-1.942314,-4.587852,-1.937849,-4.583387,-2.954662,-2.950197,0,0,0,0,-1.720039,-1.715574,0,0,-2.553188,-2.548723,0,0,0,0
