TAIR,SYMBOL,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_dark.
AT1G78160,APUM7,0,0,-2.439632,0,-3.043679,-3.607155,0,0,-1.814302,0,-2.418349,-2.981825,0,0,0,0,0,0,0,0,0
AT1G78500,PEN6,0,-2.437151,-2.036545,-3.913051,0,0,0,-1.812171,-1.411565,-3.288071,0,0,0,-3.828854,-3.203874,-0.8291841,-0.2042037,-1.901143,-1.276163,0,0
AT2G03840,TET13,0,-5.108629,0,-3.301884,-4.419226,0,-5.257661,-4.477034,0,-2.670289,-3.787631,0,-4.626066,-1.048589,-0.4169932,0,0,-1.883829,-1.252234,0,0
AT2G05100,LHCB2,0,-4.616583,0,-3.924643,0,-4.2035,-4.171928,-3.929829,0,-3.237888,0,-3.516745,-3.485173,-2.082205,-1.395451,0,0,-6.065971,-5.379217,-3.359622,-2.672868
AT2G15090,KCS8,0,-5.524744,0,0,-5.451715,-1.396135,-2.40911,-4.89889,0,0,-4.825862,-0.770282,-1.783257,0,0,0,0,0,0,0,0
AT2G17470,ALMT6,0,-4.047248,-0.8933345,-4.328615,-4.229852,-5.925906,-4.888277,-3.421171,-0.2672569,-3.702537,-3.603775,-5.299829,-4.2622,-1.056347,-0.4302692,0,0,0,0,0,0
AT2G21490,LEA,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.560458,-1.927129,-3.1126,-2.479271,-3.230484,-2.597155,0,0
AT2G26020,PDF1.2b,0,0,0,-9.319687,-4.646578,-8.420457,-3.830086,0,0,-8.679308,-4.006199,-7.780078,-3.189707,0,0,0,0,0,0,0,0
AT2G29110,ATGLR2.8,0,0,-3.202505,0,0,0,0,0,-2.578308,0,0,0,0,0,0,0,0,-3.084047,-2.45985,0,0
AT2G32770,ATPAP13,0,0,-0.969957,0,0,-1.39608,-1.241768,0,-0.3437567,0,0,-0.7698796,-0.6155674,0,0,-4.330239,-3.704038,-2.996,-2.3698,-2.887214,-2.261014
AT2G33230,YUC7,0,-3.989117,-2.437902,0,0,-2.941249,0,-3.361065,-1.809851,0,0,-2.313197,0,-1.046142,-0.4180907,-3.87342,-3.245368,-1.835945,-1.207894,-1.370439,-0.7423878
AT2G36870,AtXTH32,0,0,-2.987733,0,-4.996664,-2.858752,-5.281138,0,-2.358925,0,-4.367857,-2.229944,-4.65233,0,0,-1.651312,-1.022505,-3.935826,-3.307018,-5.472149,-4.843341
AT2G38195,APD4,0,-3.460657,-1.799536,-5.118353,-5.780515,-6.298432,-4.553754,-2.833946,-1.172825,-4.491642,-5.153804,-5.671721,-3.927043,0,0,0,0,0,0,0,0
