TAIR,SYMBOL,Log2fc_.Ws_GC_Alight.v.Ws_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_GC_dark.v.Ws_FLT_dark.
AT4G26260,MIOX4,0,-1.609085,-1.772079,0,0,-2.510447,-2.673441,0,0,0,0,-6.09881,-6.261804,0,0,0,0,0,0,-1.890908,-2.053902
AT4G26330,ATSBT3.18,0,-1.912059,-2.060046,0,0,-0.4912861,-0.6392728,0,0,0,0,-3.525004,-3.67299,0,0,0,0,0,0,-2.011089,-2.159076
AT4G26466,LRE,0,-2.417289,-2.669502,-0.292716,-0.5449288,-1.497752,-1.749965,0,0,-0.4259214,-0.6781343,0,0,0,0,-0.3731299,-0.6253427,-1.406971,-1.659183,-1.719205,-1.971418
AT4G28110,AtMYB41,0,-0.6556649,-0.8236303,-4.804656,-4.972622,-4.909821,-5.077786,-3.443166,-3.611131,-4.02818,-4.196145,-3.831153,-3.999118,-3.314765,-3.48273,-4.760872,-4.928837,0,0,-2.548869,-2.716834
AT4G28350,LecRK-VII.2,0,-3.862144,-4.013552,-2.942272,-3.093679,-1.880129,-2.031536,-0.9347378,-1.086145,-4.421392,-4.572799,0,0,0,0,-1.153982,-1.30539,-2.429567,-2.580974,0,0
AT4G29658,PRA1.C,0,-3.268267,-3.46176,-0.6613911,-0.8548841,-1.529619,-1.723112,-2.491627,-2.68512,-3.743501,-3.936994,-2.440819,-2.634312,-5.446738,-5.640231,0,0,-2.552939,-2.746432,0,0
AT4G34210,ASK11,0,-3.081162,-3.330726,-2.116967,-2.366531,0,0,-0.8576339,-1.107199,-0.4286208,-0.6781855,0,0,-0.9498523,-1.199417,0,0,-1.410739,-1.660304,-0.6957719,-0.9453365
AT4G36570,ATRL3,0,0,0,0,0,-2.775133,-2.970068,0,0,0,0,0,0,0,0,0,0,-4.785429,-4.980364,-0.7514659,-0.9464014
AT4G38850,ATSAUR15,0,0,0,-3.913511,-4.113261,-2.089952,-2.289701,0,0,0,0,-1.102619,-1.302368,0,0,0,0,0,0,0,0
AT5G03840,TFL-1,0,0,0,-0.3494461,-0.5391847,0,0,-2.246745,-2.436484,0,0,-1.10981,-1.299548,-1.003436,-1.193175,-4.561481,-4.75122,0,0,0,0
AT5G06090,ATGPAT7,0,-1.418458,-1.572096,-3.647265,-3.800903,-1.655113,-1.808751,-5.215336,-5.368973,-2.696074,-2.849711,-5.176126,-5.329763,-3.946813,-4.10045,-5.665075,-5.818712,0,0,-0.7935724,-0.9472096
AT5G07560,ATGRP20,0,0,0,-0.3640095,-0.5376202,0,0,-2.260402,-2.434012,0,0,-2.197486,-2.371097,-1.01777,-1.191381,-2.16162,-2.33523,-2.416906,-2.590517,0,0
AT5G08030,AtGDPD6,0,0,0,0,0,-1.894089,-2.060818,0,0,-1.818097,-1.984825,-1.130349,-1.297077,0,0,-2.530401,-2.69713,0,0,0,0
AT5G09320,VPS9B,0,-1.974903,-2.137488,-2.202639,-2.365224,-0.4850893,-0.6476749,-2.687011,-2.849597,-0.517232,-0.6798175,0,0,-3.086697,-3.249283,-1.705372,-1.867958,-0.7758789,-0.9384644,0,0
AT5G09610,APUM21,0,-2.802356,-2.95491,-0.3829887,-0.5355419,-2.434991,-2.587544,0,0,0,0,0,0,0,0,0,0,-3.7958,-3.948353,0,0
AT5G09930,ABCF2,0,-1.986239,-2.136199,-3.248553,-3.398513,-1.700813,-1.850773,0,0,-0.5300825,-0.6800424,-1.186354,-1.336314,0,0,-0.4489041,-0.5988639,-2.64529,-2.795249,0,0
AT5G13320,AtGH3.12,0,0,0,-4.117323,-4.267197,0,0,0,0,-3.474547,-3.624422,0,0,0,0,0,0,0,0,0,0
AT5G14670,ARFA1B,0,-0.5263721,-0.720949,-0.2984431,-0.49302,-2.60051,-2.795087,-1.079134,-1.273711,-1.647525,-1.842102,0,0,0,0,-2.643182,-2.837759,-3.500789,-3.695366,0,0
AT5G15800,AGL2,0,-0.625433,-0.7867439,-1.68543,-1.846741,-2.303991,-2.465302,-3.249106,-3.410417,-0.5412784,-0.7025893,0,0,-1.051524,-1.212835,0,0,0,0,0,0
AT5G16080,AtCXE17,0,-3.814472,-3.974215,-3.135648,-3.295392,-1.630291,-1.790035,-5.904656,-6.0644,-4.721026,-4.88077,-1.815996,-1.97574,-3.962948,-4.122692,-3.839414,-3.999158,0,0,0,0
AT5G16500,LIP1,0,0,0,0,0,0,0,-4.060488,-4.208091,0,0,0,0,-1.040804,-1.188408,-2.126704,-2.274307,-1.857973,-2.005576,0,0
AT5G17860,CAX7,0,-2.317224,-2.469064,-3.72536,-3.877201,0,0,-1.717024,-1.868865,-2.278255,-2.430096,-7.317579,-7.46942,0,0,-3.057722,-3.209563,0,0,0,0
AT5G18890,NSH4,0,-2.712226,-2.869608,-0.3786429,-0.5360242,-2.955072,-3.112453,-2.445484,-2.602865,0,0,-2.702337,-2.859718,0,0,0,0,-2.323088,-2.48047,0,0
AT5G22380,anac090,0,0,0,0,0,-1.063118,-1.247449,-0.9164217,-1.100752,-2.026186,-2.210517,-2.192756,-2.377086,0,0,-2.09487,-2.2792,-1.670567,-1.854897,-1.794248,-1.978579
AT5G23000,ATMYB37,0,-2.658603,-2.821907,-3.567944,-3.731248,0,0,-3.450132,-3.613436,-3.582609,-3.745913,-2.222957,-2.386261,0,0,-4.578693,-4.741997,0,0,0,0
AT5G23010,IMS3,0,-5.733313,-5.887555,-4.720528,-4.87477,-4.711699,-4.865941,-6.382975,-6.537217,-6.201281,-6.355523,-4.834083,-4.988325,-4.493228,-4.647471,-2.439145,-2.593387,0,0,-2.579555,-2.733797
AT5G23190,CYP86B1,0,-0.6139138,-0.7624026,-4.879675,-5.028163,-4.250116,-4.398604,-6.204195,-6.352684,-4.679237,-4.827726,-4.782726,-4.931215,-5.534387,-5.682876,-7.84333,-7.991819,0,0,-1.798159,-1.946648
AT5G23240,DJC76,0,-3.94951,-4.105783,-3.832863,-3.989135,-4.461673,-4.617946,-3.312172,-3.468445,-5.951974,-6.108247,-5.221097,-5.37737,-5.69742,-5.853693,-3.446987,-3.603259,-4.124933,-4.281205,-2.197013,-2.353286
AT5G24540,BGLU31,0,-0.6037231,-0.7587605,-0.3850607,-0.5400982,-0.4957413,-0.6507788,0,0,-0.5291981,-0.6842355,0,0,0,0,0,0,-3.800219,-3.955256,0,0
