TAIR,SYMBOL,Log2fc_.Col.0_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_dark.
AT3G61230,PLIM2c,0,0,-1.295666,0,0,0,-2.871627,-2.431494,-1.142081,-3.413758,-4.934863,0,-1.523824,0,0,0,-3.099785,-2.659652,-1.370239,-3.641916,-5.163021
AT3G61970,NGA2,0,0,0,0,0,-3.531468,0,0,-3.955224,0,-4.192718,0,0,0,0,-3.759077,0,0,-4.182834,0,-4.420327
AT4G01520,anac067,0,0,0,0,0,0,0,-1.851783,-3.714188,-3.232872,-3.791996,0,0,0,0,0,0,-2.079951,-3.942357,-3.461041,-4.020165
AT4G01970,AtSTS,0,-0.8772542,0,-2.105798,0,0,-4.153308,-1.169355,0,0,-1.879783,-1.104661,0,-2.333205,0,0,-4.380715,-1.396761,0,0,-2.10719
AT4G04030,ATOFP9,0,0,0,0,0,-1.35474,0,0,0,0,-5.936923,0,0,0,0,-1.582899,0,0,0,0,-6.165082
AT4G04570,CRK40,0,0,-4.2593,-4.885074,-2.274334,0,-3.150155,0,-2.960211,-3.095745,-1.210829,0,-4.486554,-5.112327,-2.501588,0,-3.377409,0,-3.187465,-3.322998,-1.438082
AT4G08870,ARGAH2,0,-2.440263,0,-0.8551363,-3.989496,0,0,-5.148012,-4.148843,-3.962109,-1.136993,-2.667868,0,-1.08274,-4.2171,0,0,-5.375616,-4.376447,-4.189713,-1.364597
AT4G11320,AtCP2,0,-6.639605,-2.416988,-2.478669,-8.837205,-7.008542,-4.190026,0,-2.821779,0,-2.643091,-6.867075,-2.644458,-2.706138,-9.064674,-7.236011,-4.417496,0,-3.049248,0,-2.87056
AT4G11470,CRK31,0,0,-4.479115,-1.642039,-1.446434,-3.991969,-3.09613,0,0,0,0,0,-4.706734,-1.869658,-1.674053,-4.219588,-3.323749,0,0,0,0
AT4G12320,CYP706A6,0,-2.692813,0,0,0,0,-2.92164,-4.020549,-3.77233,0,-3.321707,-2.920395,0,0,0,0,-3.149223,-4.248132,-3.999913,0,-3.549289
