"","col_GC_c1.which.mclass....1...1."
"616","AT1G60110"
"617","AT1G60270"
"618","AT1G60380"
"619","AT1G60630"
"620","AT1G60720"
"621","AT1G60760"
"622","AT1G60830"
"623","AT1G60970"
"624","AT1G60980"
"625","AT1G61080"
"626","AT1G61230"
"627","AT1G61255"
"628","AT1G61290"
"629","AT1G61300"
"630","AT1G61480"
"631","AT1G61562"
"632","AT1G61600"
"633","AT1G61720"
"634","AT1G61810"
"635","AT1G61920"
"636","AT1G61950"
"637","AT1G62000"
"638","AT1G62035"
"639","AT1G62190"
"640","AT1G62240"
"641","AT1G62262"
"642","AT1G62333"
"643","AT1G62490"
"644","AT1G62580"
"645","AT1G62690"
"646","AT1G62760"
"647","AT1G62900"
"648","AT1G62915"
"649","AT1G62920"
"650","AT1G63105"
"651","AT1G63350"
"652","AT1G63370"
"653","AT1G63522"
"654","AT1G63530"
"655","AT1G63550"
"656","AT1G63580"
"657","AT1G63880"
"658","AT1G63930"
"659","AT1G64020"
"660","AT1G64130"
"661","AT1G64210"
"662","AT1G64235"
"663","AT1G64253"
"664","AT1G64310"
"665","AT1G64355"
"666","AT1G64380"
"667","AT1G64405"
"668","AT1G64480"
"669","AT1G64500"
"670","AT1G64584"
"671","AT1G64618"
"672","AT1G64625"
"673","AT1G64670"
"674","AT1G64820"
"675","AT1G64930"
"676","AT1G65060"
"677","AT1G65130"
"678","AT1G65150"
"679","AT1G65190"
"680","AT1G65230"
"681","AT1G65240"
"682","AT1G65483"
"683","AT1G65484"
"684","AT1G65800"
"685","AT1G65860"
"686","AT1G66030"
"687","AT1G66060"
"688","AT1G66090"
"689","AT1G66460"
"690","AT1G66540"
"691","AT1G66650"
"692","AT1G66720"
"693","AT1G66780"
"694","AT1G66940"
"695","AT1G67025"
"696","AT1G67070"
"697","AT1G67195"
"698","AT1G67265"
"699","AT1G67270"
"700","AT1G67370"
"701","AT1G67460"
"702","AT1G67520"
"703","AT1G67540"
"704","AT1G67650"
"705","AT1G67670"
"706","AT1G67740"
"707","AT1G67770"
"708","AT1G67856"
"709","AT1G68010"
"710","AT1G68170"
"711","AT1G68530"
"712","AT1G68600"
"713","AT1G68700"
"714","AT1G69085"
"715","AT1G69150"
"716","AT1G69160"
"717","AT1G69480"
"718","AT1G69540"
"719","AT1G69630"
"720","AT1G70175"
"721","AT1G70270"
"722","AT1G70440"
"723","AT1G70450"
"724","AT1G70581"
"725","AT1G70760"
"726","AT1G70830"
"727","AT1G70910"
"728","AT1G71300"
"729","AT1G71390"
"730","AT1G71690"
"731","AT1G71910"
"732","AT1G72030"
"733","AT1G72590"
"734","AT1G72645"
"735","AT1G72760"
"736","AT1G72910"
"737","AT1G72960"
"738","AT1G73040"
"739","AT1G73190"
"740","AT1G73560"
"741","AT1G73610"
"742","AT1G73687"
"743","AT1G73810"
"744","AT1G74000"
"745","AT1G74430"
"746","AT1G74453"
"747","AT1G74670"
"748","AT1G74810"
"749","AT1G74870"
"750","AT1G74880"
"751","AT1G74890"
"752","AT1G75160"
"753","AT1G75166"
"754","AT1G75240"
"755","AT1G75430"
"756","AT1G75490"
"757","AT1G75830"
"758","AT1G75920"
"759","AT1G76062"
"760","AT1G76100"
"761","AT1G76190"
"762","AT1G76230"
"763","AT1G76430"
"764","AT1G76465"
"765","AT1G76480"
"766","AT1G76530"
"767","AT1G76620"
"768","AT1G76705"
"769","AT1G76892"
"770","AT1G76952"
"771","AT1G77010"
"772","AT1G77090"
"773","AT1G77270"
"774","AT1G77520"
"775","AT1G77525"
"776","AT1G77790"
"777","AT1G77860"
"778","AT1G77932"
"779","AT1G77992"
"780","AT1G78030"
"781","AT1G78230"
"782","AT1G78320"
"783","AT1G78390"
"784","AT1G78410"
"785","AT1G78460"
"786","AT1G78470"
"787","AT1G78478"
"788","AT1G78500"
"789","AT1G78530"
"790","AT1G78710"
"791","AT1G78720"
"792","AT1G78780"
"793","AT1G78815"
"794","AT1G78820"
"795","AT1G78840"
"796","AT1G79250"
"797","AT1G79320"
"798","AT1G79400"
"799","AT1G79860"
"800","AT1G79910"
"801","AT1G80330"
"802","AT1G80470"
"803","AT1G80525"
"804","AT1G80555"
"805","AT1G80625"
"806","AT2G01023"
"807","AT2G01280"
"808","AT2G01300"
"809","AT2G01310"
"810","AT2G01500"
"811","AT2G01610"
"812","AT2G01770"
"813","AT2G01960"
"814","AT2G01990"
"815","AT2G02060"
"816","AT2G02061"
"817","AT2G02147"
"818","AT2G02240"
"819","AT2G02580"
"820","AT2G02720"
"821","AT2G02741"
"822","AT2G02990"
"823","AT2G03230"
"824","AT2G03250"
"825","AT2G03310"
"826","AT2G03360"
"827","AT2G03370"
"828","AT2G03410"
"829","AT2G03710"
"830","AT2G03821"
"831","AT2G03840"
"832","AT2G03855"
"833","AT2G04038"
"834","AT2G04039"
"835","AT2G04050"
"836","AT2G04065"
"837","AT2G04090"
"838","AT2G04125"
"839","AT2G04137"
"840","AT2G04255"
"841","AT2G04265"
"842","AT2G04295"
"843","AT2G04375"
"844","AT2G04395"
"845","AT2G04405"
"846","AT2G04435"
"847","AT2G04455"
"848","AT2G04515"
"849","AT2G04545"
"850","AT2G04555"
"851","AT2G04725"
"852","AT2G05070"
"853","AT2G05095"
"854","AT2G05100"
"855","AT2G05270"
"856","AT2G05518"
"857","AT2G05520"
"858","AT2G05665"
"859","AT2G05675"
"860","AT2G05765"
"861","AT2G05995"
"862","AT2G06085"
"863","AT2G06225"
"864","AT2G06345"
"865","AT2G06405"
"866","AT2G06615"
"867","AT2G06765"
"868","AT2G06865"
"869","AT2G07000"
"870","AT2G07015"
"871","AT2G07045"
"872","AT2G07435"
"873","AT2G07595"
"874","AT2G07621"
"875","AT2G07625"
"876","AT2G07628"
"877","AT2G07648"
"878","AT2G07659"
"879","AT2G07661"
"880","AT2G07691"
"881","AT2G07705"
"882","AT2G07721"
