"","X","phyD_GC_c1.which.mclass....2...1."
"5454",5454,"AT5G65990"
"2035",2035,"AT2G36840"
"672",672,"AT1G30960"
"5195",5195,"AT5G54130"
"5400",5400,"AT5G63540"
"5310",5310,"AT5G59590"
"2829",2829,"AT3G24890"
"309",309,"AT1G12770"
"6",6,"AT1G01225"
"4517",4517,"AT5G13960"
"1908",1908,"AT2G31010"
"1464",1464,"AT1G80640"
"136",136,"AT1G06240"
"1890",1890,"AT2G30170"
"2170",2170,"AT2G42290"
"3342",3342,"AT3G61570"
"386",386,"AT1G16390"
"380",380,"AT1G16160"
"3322",3322,"AT3G60650"
"2815",2815,"AT3G24310"
"3005",3005,"AT3G47460"
"3630",3630,"AT4G13750"
"678",678,"AT1G31230"
"4743",4743,"AT5G25050"
"2718",2718,"AT3G18770"
"2596",2596,"AT3G13674"
"1292",1292,"AT1G72870"
"4375",4375,"AT5G06640"
"3871",3871,"AT4G23880"
"5441",5441,"AT5G65280"
"3805",3805,"AT4G20880"
"290",290,"AT1G11950"
"1587",1587,"AT2G13800"
"3088",3088,"AT3G50340"
"4040",4040,"AT4G31770"
"2085",2085,"AT2G38600"
"2995",2995,"AT3G47010"
"4075",4075,"AT4G33490"
"5356",5356,"AT5G61650"
"3956",3956,"AT4G27700"
"4645",4645,"AT5G20270"
"64",64,"AT1G03920"
"3273",3273,"AT3G58570"
"4000",4000,"AT4G29850"
"1022",1022,"AT1G60700"
"3028",3028,"AT3G48340"
"151",151,"AT1G06710"
"1594",1594,"AT2G14660"
"4168",4168,"AT4G37700"
"2532",2532,"AT3G10390"
"4644",4644,"AT5G20240"
"5056",5056,"AT5G48470"
"3084",3084,"AT3G50230"
"1540",1540,"AT2G04852"
"1161",1161,"AT1G67310"
"4281",4281,"AT5G02490"
"4050",4050,"AT4G32272"
"1906",1906,"AT2G30945"
"3872",3872,"AT4G23890"
"590",590,"AT1G26730"
"288",288,"AT1G11900"
"4432",4432,"AT5G08855"
"74",74,"AT1G04180"
"1770",1770,"AT2G23760"
"621",621,"AT1G28050"
"325",325,"AT1G13420"
"4421",4421,"AT5G08520"
"1706",1706,"AT2G20835"
"2579",2579,"AT3G12955"
"3021",3021,"AT3G48080"
"2026",2026,"AT2G36355"
"1874",1874,"AT2G29590"
"4151",4151,"AT4G37220"
"2921",2921,"AT3G42180"
"762",762,"AT1G45110"
"3135",3135,"AT3G52070"
"215",215,"AT1G09023"
"3711",3711,"AT4G16610"
"5130",5130,"AT5G51260"
"2345",2345,"AT3G02210"
"2184",2184,"AT2G42760"
"729",729,"AT1G34470"
"4252",4252,"AT5G01670"
"5506",5506,"ATCG00770"
"1228",1228,"AT1G69680"
"5443",5443,"AT5G65400"
"5424",5424,"AT5G64572"
"4365",4365,"AT5G06380"
"4189",4189,"AT4G38690"
"2107",2107,"AT2G39650"
"5526",5526,"ATMG00516"
"4931",4931,"AT5G42270"
"624",624,"AT1G28320"
"4032",4032,"AT4G31250"
"4004",4004,"AT4G30000"
"181",181,"AT1G07737"
"4163",4163,"AT4G37490"
"3726",3726,"AT4G17370"
"1203",1203,"AT1G68690"
"462",462,"AT1G19270"
"3782",3782,"AT4G19865"
"5274",5274,"AT5G57960"
"708",708,"AT1G33080"
"671",671,"AT1G30845"
"1559",1559,"AT2G07515"
"3737",3737,"AT4G17760"
"2606",2606,"AT3G14020"
"4518",4518,"AT5G14100"
"3833",3833,"AT4G21910"
"3571",3571,"AT4G11211"
"1197",1197,"AT1G68450"
"3133",3133,"AT3G51990"
"5511",5511,"ATCG01000"
"3002",3002,"AT3G47390"
"1776",1776,"AT2G24070"
"2854",2854,"AT3G26085"
"3377",3377,"AT3G63445"
"5144",5144,"AT5G51660"
"767",767,"AT1G45180"
