"","phyD_GC_c1.which.mclass....2...1."
"403","AT1G17020"
"404","AT1G17040"
"405","AT1G17050"
"406","AT1G17070"
"407","AT1G17140"
"408","AT1G17220"
"409","AT1G17270"
"410","AT1G17330"
"411","AT1G17400"
"412","AT1G17450"
"413","AT1G17460"
"414","AT1G17580"
"415","AT1G17590"
"416","AT1G17640"
"417","AT1G17650"
"418","AT1G17665"
"419","AT1G17744"
"420","AT1G17750"
"421","AT1G17790"
"422","AT1G17820"
"423","AT1G17840"
"424","AT1G17850"
"425","AT1G17940"
"426","AT1G17950"
"427","AT1G18030"
"428","AT1G18060"
"429","AT1G18090"
"430","AT1G18100"
"431","AT1G18170"
"432","AT1G18180"
"433","AT1G18190"
"434","AT1G18200"
"435","AT1G18265"
"436","AT1G18280"
"437","AT1G18290"
"438","AT1G18320"
"439","AT1G18335"
"440","AT1G18360"
"441","AT1G18370"
"442","AT1G18382"
"443","AT1G18415"
"444","AT1G18440"
"445","AT1G18460"
"446","AT1G18550"
"447","AT1G18560"
"448","AT1G18570"
"449","AT1G18590"
"450","AT1G18610"
"451","AT1G18620"
"452","AT1G18650"
"453","AT1G18670"
"454","AT1G18690"
"455","AT1G18773"
"456","AT1G19010"
"457","AT1G19100"
"458","AT1G19115"
"459","AT1G19220"
"460","AT1G19230"
"461","AT1G19250"
"462","AT1G19270"
"463","AT1G19290"
"464","AT1G19340"
"465","AT1G19396"
"466","AT1G19397"
"467","AT1G19480"
"468","AT1G19490"
"469","AT1G19690"
"470","AT1G19700"
"471","AT1G19780"
"472","AT1G19840"
"473","AT1G19950"
"474","AT1G19970"
"475","AT1G19980"
"476","AT1G20030"
"477","AT1G20060"
"478","AT1G20065"
"479","AT1G20270"
"480","AT1G20300"
"481","AT1G20480"
"482","AT1G20530"
"483","AT1G20550"
"484","AT1G20640"
"485","AT1G20650"
"486","AT1G20690"
"487","AT1G20691"
"488","AT1G20700"
"489","AT1G20720"
"490","AT1G20780"
"491","AT1G20810"
"492","AT1G20816"
"493","AT1G20830"
"494","AT1G20910"
"495","AT1G20930"
"496","AT1G21010"
"497","AT1G21060"
"498","AT1G21110"
"499","AT1G21120"
"500","AT1G21140"
"501","AT1G21170"
"502","AT1G21200"
"503","AT1G21270"
"504","AT1G21280"
"505","AT1G21340"
"506","AT1G21350"
"507","AT1G21390"
"508","AT1G21410"
"509","AT1G21590"
"510","AT1G21640"
"511","AT1G21650"
"512","AT1G21651"
"513","AT1G21670"
"514","AT1G21790"
"515","AT1G21910"
"516","AT1G22030"
"517","AT1G22180"
"518","AT1G22220"
"519","AT1G22275"
"520","AT1G22310"
"521","AT1G22403"
"522","AT1G22460"
"523","AT1G22540"
"524","AT1G22550"
"525","AT1G22660"
"526","AT1G22700"
"527","AT1G22730"
"528","AT1G22860"
"529","AT1G22870"
"530","AT1G22890"
"531","AT1G22940"
"532","AT1G22960"
"533","AT1G22980"
"534","AT1G22985"
"535","AT1G22990"
"536","AT1G23010"
"537","AT1G23060"
"538","AT1G23140"
"539","AT1G23150"
"540","AT1G23170"
"541","AT1G23180"
"542","AT1G23230"
"543","AT1G23330"
"544","AT1G23340"
"545","AT1G23360"
"546","AT1G23460"
"547","AT1G23530"
"548","AT1G23550"
"549","AT1G23560"
"550","AT1G23830"
"551","AT1G23880"
"552","AT1G23935"
"553","AT1G23970"
"554","AT1G23980"
"555","AT1G24030"
"556","AT1G24040"
"557","AT1G24265"
"558","AT1G24290"
"559","AT1G24300"
"560","AT1G24320"
"561","AT1G24490"
"562","AT1G24530"
"563","AT1G24600"
"564","AT1G24620"
"565","AT1G24800"
"566","AT1G25180"
"567","AT1G25250"
"568","AT1G25290"
"569","AT1G25320"
"570","AT1G25375"
"571","AT1G25390"
"572","AT1G25400"
"573","AT1G25450"
"574","AT1G25460"
"575","AT1G25480"
"576","AT1G25540"
"577","AT1G25570"
"578","AT1G26130"
"579","AT1G26150"
"580","AT1G26190"
"581","AT1G26208"
"582","AT1G26218"
"583","AT1G26330"
"584","AT1G26370"
"585","AT1G26520"
"586","AT1G26530"
"587","AT1G26620"
"588","AT1G26680"
"589","AT1G26700"
"590","AT1G26730"
"591","AT1G26760"
"592","AT1G26810"
"593","AT1G26870"
"594","AT1G26900"
"595","AT1G27020"
"596","AT1G27060"
"597","AT1G27070"
"598","AT1G27110"
"599","AT1G27120"
"600","AT1G27170"
"601","AT1G27180"
"602","AT1G27200"
"603","AT1G27360"
"604","AT1G27370"
"605","AT1G27380"
"606","AT1G27420"
"607","AT1G27430"
"608","AT1G27460"
"609","AT1G27500"
"610","AT1G27620"
"611","AT1G27680"
"612","AT1G27690"
"613","AT1G27740"
"614","AT1G27752"
"615","AT1G27880"
"616","AT1G27910"
"617","AT1G27920"
"618","AT1G27950"
"619","AT1G27960"
"620","AT1G27980"
"621","AT1G28050"
"622","AT1G28080"
"623","AT1G28210"
"624","AT1G28320"
"625","AT1G28380"
"626","AT1G28390"
"627","AT1G28470"
"628","AT1G28480"
"629","AT1G28530"
"630","AT1G28550"
"631","AT1G28560"
"632","AT1G28670"
"633","AT1G28710"
"634","AT1G28760"
"635","AT1G28765"
"636","AT1G29170"
"637","AT1G29195"
"638","AT1G29240"
"639","AT1G29270"
"640","AT1G29290"
"641","AT1G29300"
"642","AT1G29380"
"643","AT1G29410"
"644","AT1G29530"
"645","AT1G29550"
"646","AT1G29690"
"647","AT1G29700"
"648","AT1G29710"
"649","AT1G29730"
"650","AT1G29740"
"651","AT1G29750"
"652","AT1G29800"
"653","AT1G29840"
"654","AT1G29910"
"655","AT1G29960"
"656","AT1G30010"
"657","AT1G30040"
"658","AT1G30240"
"659","AT1G30290"
"660","AT1G30370"
"661","AT1G30410"
"662","AT1G30420"
"663","AT1G30475"
"664","AT1G30540"
"665","AT1G30545"
"666","AT1G30570"
"667","AT1G30610"
"668","AT1G30680"
"669","AT1G30757"
"670","AT1G30810"
"671","AT1G30845"
"672","AT1G30960"
"673","AT1G31010"
"674","AT1G31150"
"675","AT1G31175"
"676","AT1G31190"
"677","AT1G31220"
"678","AT1G31230"
"679","AT1G31280"
"680","AT1G31320"
