"","X","phyD_GC_c1.which.mclass....7...1."
"1955",1955,"AT3G44880"
"326",326,"AT1G15510"
"727",727,"AT1G63240"
"1456",1456,"AT2G42370"
"2915",2915,"AT5G15300"
"3177",3177,"AT5G45840"
"791",791,"AT1G68120"
"1217",1217,"AT2G23670"
"1033",1033,"AT2G04215"
"2073",2073,"AT3G55700"
"918",918,"AT1G76110"
"2891",2891,"AT5G13630"
"749",749,"AT1G64570"
"3427",3427,"ATCG00140"
"736",736,"AT1G63880"
"317",317,"AT1G14750"
"1081",1081,"AT2G08345"
"1846",1846,"AT3G22550"
"3202",3202,"AT5G47900"
"2485",2485,"AT4G23493"
"2032",2032,"AT3G51340"
"3090",3090,"AT5G39760"
"3221",3221,"AT5G49110"
"2997",2997,"AT5G24240"
"1374",1374,"AT2G36026"
"546",546,"AT1G44030"
"2369",2369,"AT4G15396"
"3344",3344,"AT5G60350"
"858",858,"AT1G72640"
"872",872,"AT1G73680"
"2301",2301,"AT4G11170"
"1476",1476,"AT2G43870"
"1357",1357,"AT2G34980"
"3364",3364,"AT5G62840"
"287",287,"AT1G13140"
"474",474,"AT1G29770"
"199",199,"AT1G09247"
"1502",1502,"AT2G46420"
"1320",1320,"AT2G32487"
"3066",3066,"AT5G38140"
"2788",2788,"AT5G06165"
"243",243,"AT1G10370"
"3400",3400,"AT5G66335"
"3175",3175,"AT5G45730"
"2635",2635,"AT4G35660"
"314",314,"AT1G14680"
"2696",2696,"AT5G01110"
"1611",1611,"AT3G05245"
"2173",2173,"AT4G00240"
"1541",1541,"AT3G01900"
"674",674,"AT1G59720"
"3134",3134,"AT5G42780"
"2712",2712,"AT5G01730"
"77",77,"AT1G04733"
"509",509,"AT1G33260"
"2155",2155,"AT3G62500"
"3402",3402,"AT5G66500"
"1259",1259,"AT2G27535"
"1230",1230,"AT2G25090"
"407",407,"AT1G21695"
"3140",3140,"AT5G43530"
"1850",1850,"AT3G22840"
"1982",1982,"AT3G46880"
"1709",1709,"AT3G10986"
"187",187,"AT1G08543"
"4",4,"AT1G01200"
"2728",2728,"AT5G02570"
"1153",1153,"AT2G17040"
"884",884,"AT1G74350"
"82",82,"AT1G04840"
"1141",1141,"AT2G15350"
"1310",1310,"AT2G31910"
"2017",2017,"AT3G50030"
"233",233,"AT1G09963"
"229",229,"AT1G09867"
"2004",2004,"AT3G48600"
"1698",1698,"AT3G10040"
"1812",1812,"AT3G19550"
"2189",2189,"AT4G01230"
"409",409,"AT1G22370"
"2860",2860,"AT5G10680"
"1638",1638,"AT3G06962"
"1565",1565,"AT3G02945"
"779",779,"AT1G67025"
"2636",2636,"AT4G35680"
"2333",2333,"AT4G13555"
"514",514,"AT1G33500"
"2292",2292,"AT4G09970"
"175",175,"AT1G08070"
"3347",3347,"AT5G60650"
"1859",1859,"AT3G23360"
"2432",2432,"AT4G20040"
"1255",1255,"AT2G27060"
"1803",1803,"AT3G19020"
"2452",2452,"AT4G21550"
"85",85,"AT1G04917"
"2380",2380,"AT4G16160"
"2794",2794,"AT5G06510"
"39",39,"AT1G03495"
"1969",1969,"AT3G46110"
"2405",2405,"AT4G18050"
"615",615,"AT1G52880"
"1821",1821,"AT3G20470"
"91",91,"AT1G05267"
"958",958,"AT1G78815"
"2505",2505,"AT4G24970"
"1521",1521,"AT2G48080"
"2790",2790,"AT5G06250"
"3037",3037,"AT5G28320"
"1852",1852,"AT3G22910"
"925",925,"AT1G76620"
"697",697,"AT1G61415"
"3436",3436,"ATCG00840"
"3139",3139,"AT5G43450"
"1145",1145,"AT2G15760"
"2324",2324,"AT4G13110"
"354",354,"AT1G17240"
"173",173,"AT1G08003"
"2659",2659,"AT4G37760"
"45",45,"AT1G03710"
"1062",1062,"AT2G07672"
"372",372,"AT1G18835"
"195",195,"AT1G08980"
"2651",2651,"AT4G37150"
"1023",1023,"AT2G03821"
"1546",1546,"AT3G02215"
"1811",1811,"AT3G19500"
"1215",1215,"AT2G23410"
"1123",1123,"AT2G13900"
"2487",2487,"AT4G23670"
"1750",1750,"AT3G14730"
"456",456,"AT1G27640"
"1878",1878,"AT3G25030"
"129",129,"AT1G06265"
"2222",2222,"AT4G03905"
"3071",3071,"AT5G38450"
"1404",1404,"AT2G38460"
"1307",1307,"AT2G31790"
"437",437,"AT1G25370"
"2544",2544,"AT4G27370"
"1425",1425,"AT2G40520"
"735",735,"AT1G63860"
"598",598,"AT1G51520"
"299",299,"AT1G14030"
"2610",2610,"AT4G33560"
"3125",3125,"AT5G42325"
"3428",3428,"ATCG00150"
"2729",2729,"AT5G02650"
"2947",2947,"AT5G18660"
"3231",3231,"AT5G49780"
"2409",2409,"AT4G18250"
"2392",2392,"AT4G16955"
"108",108,"AT1G05820"
"2486",2486,"AT4G23610"
"2225",2225,"AT4G04025"
"719",719,"AT1G62780"
"276",276,"AT1G12330"
"2258",2258,"AT4G06775"
"1452",1452,"AT2G42140"
"423",423,"AT1G23985"
"401",401,"AT1G21320"
"930",930,"AT1G76800"
"2230",2230,"AT4G04450"
"1555",1555,"AT3G02480"
"2695",2695,"AT5G01070"
"2286",2286,"AT4G09435"
"2129",2129,"AT3G60286"
"714",714,"AT1G62500"
"1868",1868,"AT3G24540"
"2458",2458,"AT4G21865"
"1789",1789,"AT3G18070"
"1059",1059,"AT2G07638"
"1701",1701,"AT3G10527"
"2012",2012,"AT3G49510"
"929",929,"AT1G76770"
"457",457,"AT1G27720"
"295",295,"AT1G13630"
"320",320,"AT1G15160"
"3307",3307,"AT5G57240"
"2674",2674,"AT4G39320"
"1048",1048,"AT2G05420"
"2594",2594,"AT4G31850"
"681",681,"AT1G60110"
"1408",1408,"AT2G38760"
"384",384,"AT1G19650"
"3302",3302,"AT5G57010"
"2278",2278,"AT4G08868"
"2168",2168,"AT3G63540"
"1557",1557,"AT3G02510"
"3223",3223,"AT5G49170"
"2473",2473,"AT4G22790"
"2998",2998,"AT5G24280"
"182",182,"AT1G08317"
"695",695,"AT1G61400"
"1243",1243,"AT2G26410"
"2041",2041,"AT3G51960"
"1330",1330,"AT2G32800"
"1645",1645,"AT3G07273"
"2483",2483,"AT4G23250"
"467",467,"AT1G29200"
"3241",3241,"AT5G50670"
"2491",2491,"AT4G24040"
"1493",1493,"AT2G45420"
"3171",3171,"AT5G45460"
"1419",1419,"AT2G40020"
"888",888,"AT1G74400"
"2468",2468,"AT4G22470"
"2158",2158,"AT3G62890"
"2307",2307,"AT4G11550"
"244",244,"AT1G10417"
"2025",2025,"AT3G50820"
"1342",1342,"AT2G33760"
"2217",2217,"AT4G03460"
"1336",1336,"AT2G33130"
"2706",2706,"AT5G01535"
"668",668,"AT1G58223"
"435",435,"AT1G24851"
"3076",3076,"AT5G38865"
"1035",1035,"AT2G04560"
"3323",3323,"AT5G58680"
"1904",1904,"AT3G26932"
"2023",2023,"AT3G50610"
"1072",1072,"AT2G07798"
"3135",3135,"AT5G42840"
"6",6,"AT1G01340"
"1486",1486,"AT2G44700"
"491",491,"AT1G31258"
"2084",2084,"AT3G56620"
"2378",2378,"AT4G16015"
"2022",2022,"AT3G50420"
"1519",1519,"AT2G47920"
"145",145,"AT1G07120"
"1409",1409,"AT2G39040"
"2855",2855,"AT5G10370"
"2906",2906,"AT5G14760"
"14",14,"AT1G01740"
"1370",1370,"AT2G35935"
"2357",2357,"AT4G14850"
"1013",1013,"AT2G03360"
"2055",2055,"AT3G53720"
"1996",1996,"AT3G48187"
"2247",2247,"AT4G05760"
"10",10,"AT1G01600"
"1658",1658,"AT3G07885"
"473",473,"AT1G29660"
"2851",2851,"AT5G10100"
"1353",1353,"AT2G34600"
"1545",1545,"AT3G02160"
"2447",2447,"AT4G21300"
"3300",3300,"AT5G56600"
"2678",2678,"AT4G39366"
"2963",2963,"AT5G20220"
"1109",1109,"AT2G09465"
"2813",2813,"AT5G07660"
"1225",1225,"AT2G24310"
"3033",3033,"AT5G27300"
"853",853,"AT1G71920"
"1193",1193,"AT2G21280"
"1710",1710,"AT3G11010"
"67",67,"AT1G04477"
"1559",1559,"AT3G02590"
"2758",2758,"AT5G03800"
"2749",2749,"AT5G03350"
"1102",1102,"AT2G09190"
"1485",1485,"AT2G44480"
"633",633,"AT1G54160"
"1198",1198,"AT2G21710"
"1480",1480,"AT2G44230"
"3292",3292,"AT5G55560"
"807",807,"AT1G68930"
"2240",2240,"AT4G05100"
"2778",2778,"AT5G05490"
"3375",3375,"AT5G64380"
"383",383,"AT1G19610"
"515",515,"AT1G33615"
"303",303,"AT1G14270"
"2895",2895,"AT5G13880"
"701",701,"AT1G61550"
"3291",3291,"AT5G55470"
"3146",3146,"AT5G43860"
"833",833,"AT1G70581"
"3404",3404,"AT5G66620"
"1017",1017,"AT2G03530"
"2016",2016,"AT3G49900"
"1907",1907,"AT3G27415"
"2310",2310,"AT4G11845"
"3301",3301,"AT5G56970"
"3055",3055,"AT5G37410"
"100",100,"AT1G05530"
"3319",3319,"AT5G58310"
"3267",3267,"AT5G52800"
"1242",1242,"AT2G26380"
"1984",1984,"AT3G47030"
"2093",2093,"AT3G57200"
"1765",1765,"AT3G16020"
"1282",1282,"AT2G29430"
"3365",3365,"AT5G62990"
"256",256,"AT1G11303"
"2052",2052,"AT3G53530"
"3320",3320,"AT5G58330"
"801",801,"AT1G68585"
"3246",3246,"AT5G51105"
"2216",2216,"AT4G03440"
"2440",2440,"AT4G20420"
"2550",2550,"AT4G27820"
"1117",1117,"AT2G09945"
"1152",1152,"AT2G17036"
"23",23,"AT1G02400"
"547",547,"AT1G44130"
"322",322,"AT1G15180"
"1240",1240,"AT2G25940"
"777",777,"AT1G66840"
"1898",1898,"AT3G26445"
"481",481,"AT1G30282"
"2900",2900,"AT5G14370"
"25",25,"AT1G02450"
"3384",3384,"AT5G64980"
"2876",2876,"AT5G11610"
"1621",1621,"AT3G05550"
"3204",3204,"AT5G47990"
"747",747,"AT1G64455"
"1707",1707,"AT3G10820"
"2814",2814,"AT5G07720"
"579",579,"AT1G49650"
"731",731,"AT1G63520"
"252",252,"AT1G11160"
"1828",1828,"AT3G20900"
"1623",1623,"AT3G05630"
"2188",2188,"AT4G01200"
"3408",3408,"AT5G66670"
"3383",3383,"AT5G64950"
"3262",3262,"AT5G52570"
"1817",1817,"AT3G20200"
"3240",3240,"AT5G50640"
"628",628,"AT1G53700"
"2470",2470,"AT4G22640"
"3145",3145,"AT5G43820"
"1005",1005,"AT2G02750"
"725",725,"AT1G63080"
"1458",1458,"AT2G42530"
"3082",3082,"AT5G39260"
"2419",2419,"AT4G18840"
"2685",2685,"AT4G39952"
"2342",2342,"AT4G13880"
"1386",1386,"AT2G37280"
"48",48,"AT1G03940"
"2945",2945,"AT5G18475"
"3",3,"AT1G01190"
"20",20,"AT1G02050"
"775",775,"AT1G66780"
"2122",2122,"AT3G59530"
"2580",2580,"AT4G30120"
"460",460,"AT1G28370"
"1180",1180,"AT2G19550"
"2163",2163,"AT3G63160"
"1804",1804,"AT3G19040"
"2538",2538,"AT4G26795"
"704",704,"AT1G61720"
"2946",2946,"AT5G18570"
"865",865,"AT1G73140"
"2290",2290,"AT4G09845"
"2771",2771,"AT5G04610"
"2989",2989,"AT5G23240"
"3004",3004,"AT5G24655"
"1797",1797,"AT3G18715"
"811",811,"AT1G69280"
"1671",1671,"AT3G08895"
"2349",2349,"AT4G14358"
"2442",2442,"AT4G21120"
"1174",1174,"AT2G19120"
"3009",3009,"AT5G25020"
"2521",2521,"AT4G25700"
"799",799,"AT1G68460"
"3343",3343,"AT5G60310"
"486",486,"AT1G30530"
"2641",2641,"AT4G36105"
"1339",1339,"AT2G33260"
"2825",2825,"AT5G08480"
"2919",2919,"AT5G15850"
"2908",2908,"AT5G14820"
"3205",3205,"AT5G48000"
"2285",2285,"AT4G09432"
"3462",3462,"ATMG01370"
"3287",3287,"AT5G54790"
"2271",2271,"AT4G08250"
"1220",1220,"AT2G23945"
"3020",3020,"AT5G26038"
"1496",1496,"AT2G45760"
"200",200,"AT1G09297"
"1457",1457,"AT2G42440"
"1382",1382,"AT2G36990"
"1681",1681,"AT3G09240"
"686",686,"AT1G60600"
"1882",1882,"AT3G25590"
"2132",2132,"AT3G60540"
"1346",1346,"AT2G34185"
"855",855,"AT1G72125"
"3069",3069,"AT5G38350"
"1469",1469,"AT2G43310"
"1161",1161,"AT2G17972"
"1509",1509,"AT2G46995"
"3053",3053,"AT5G37050"
"50",50,"AT1G03990"
"869",869,"AT1G73570"
"2714",2714,"AT5G01935"
"1960",1960,"AT3G45330"
"892",892,"AT1G74545"
"3346",3346,"AT5G60510"
"1289",1289,"AT2G30230"
"862",862,"AT1G73010"
"2634",2634,"AT4G35640"
"1088",1088,"AT2G08500"
"102",102,"AT1G05577"
"3013",3013,"AT5G25310"
"464",464,"AT1G29071"
"2133",2133,"AT3G60580"
"3362",3362,"AT5G62573"
"3227",3227,"AT5G49390"
"1586",1586,"AT3G04110"
"63",63,"AT1G04397"
"3005",3005,"AT5G24780"
"1526",1526,"AT3G01065"
"3333",3333,"AT5G59750"
"3143",3143,"AT5G43690"
"2327",2327,"AT4G13250"
"2686",2686,"AT4G39970"
"2153",2153,"AT3G62000"
"1043",1043,"AT2G05215"
"3162",3162,"AT5G44680"
"3277",3277,"AT5G53880"
"1682",1682,"AT3G09280"
"3025",3025,"AT5G26700"
"3122",3122,"AT5G42070"
"201",201,"AT1G09310"
"1764",1764,"AT3G15930"
"3266",3266,"AT5G52780"
"1893",1893,"AT3G26125"
"2702",2702,"AT5G01380"
"1406",1406,"AT2G38720"
"3188",3188,"AT5G46600"
"820",820,"AT1G69900"
"2878",2878,"AT5G11930"
"1819",1819,"AT3G20420"
"938",938,"AT1G77405"
"1597",1597,"AT3G04685"
"2834",2834,"AT5G08980"
"1761",1761,"AT3G15750"
"2933",2933,"AT5G17050"
"1740",1740,"AT3G13880"
"2896",2896,"AT5G13920"
"1100",1100,"AT2G09055"
"419",419,"AT1G23740"
"3172",3172,"AT5G45540"
"1506",1506,"AT2G46670"
"2599",2599,"AT4G32500"
"2124",2124,"AT3G59730"
"1114",1114,"AT2G09710"
"3081",3081,"AT5G39160"
"1103",1103,"AT2G09200"
"1634",1634,"AT3G06630"
"2388",2388,"AT4G16835"
"3243",3243,"AT5G50930"
"61",61,"AT1G04247"
"2847",2847,"AT5G09765"
"1347",1347,"AT2G34224"
"718",718,"AT1G62720"
"3163",3163,"AT5G44700"
"3366",3366,"AT5G63060"
"2265",2265,"AT4G07130"
"3337",3337,"AT5G59900"
"1863",1863,"AT3G23790"
"3305",3305,"AT5G57190"
"2717",2717,"AT5G02055"
"920",920,"AT1G76220"
"825",825,"AT1G70260"
"3381",3381,"AT5G64750"
"886",886,"AT1G74385"
"1258",1258,"AT2G27505"
"3268",3268,"AT5G52850"
"685",685,"AT1G60530"
"2820",2820,"AT5G08000"
"57",57,"AT1G04105"
"316",316,"AT1G14700"
"2612",2612,"AT4G33660"
"321",321,"AT1G15165"
"3276",3276,"AT5G53810"
"2431",2431,"AT4G19925"
"2375",2375,"AT4G15810"
"1608",1608,"AT3G05080"
"15",15,"AT1G01810"
"688",688,"AT1G60970"
"301",301,"AT1G14205"
"1369",1369,"AT2G35770"
"1236",1236,"AT2G25297"
"3248",3248,"AT5G51270"
"2057",2057,"AT3G53830"
"776",776,"AT1G66810"
"1291",1291,"AT2G30570"
"3061",3061,"AT5G37750"
"2719",2719,"AT5G02160"
"1661",1661,"AT3G07970"
"1205",1205,"AT2G22200"
"1166",1166,"AT2G18550"
"1895",1895,"AT3G26330"
"1872",1872,"AT3G24630"
"75",75,"AT1G04650"
"2125",2125,"AT3G59880"
"3285",3285,"AT5G54630"
"507",507,"AT1G32940"
"2833",2833,"AT5G08930"
"2013",2013,"AT3G49650"
"1567",1567,"AT3G03095"
"128",128,"AT1G06250"
"2936",2936,"AT5G17360"
"3019",3019,"AT5G25910"
"1328",1328,"AT2G32765"
"2793",2793,"AT5G06490"
"3213",3213,"AT5G48670"
"3269",3269,"AT5G52890"
"3112",3112,"AT5G41663"
"2800",2800,"AT5G06845"
"705",705,"AT1G61810"
"2705",2705,"AT5G01480"
"450",450,"AT1G26610"
"2009",2009,"AT3G49142"
"374",374,"AT1G18960"
"809",809,"AT1G69160"
"2625",2625,"AT4G34930"
"262",262,"AT1G11591"
"1208",1208,"AT2G22482"
"2254",2254,"AT4G06415"
"707",707,"AT1G61930"
"1287",1287,"AT2G29760"
"2356",2356,"AT4G14820"
"2001",2001,"AT3G48480"
"357",357,"AT1G17380"
"3056",3056,"AT5G37490"
"1930",1930,"AT3G29290"
"2353",2353,"AT4G14690"
"150",150,"AT1G07390"
"1067",1067,"AT2G07776"
"293",293,"AT1G13510"
"3021",3021,"AT5G26170"
"2371",2371,"AT4G15500"
"359",359,"AT1G17480"
"2765",2765,"AT5G04205"
"564",564,"AT1G48390"
"1979",1979,"AT3G46735"
"1572",1572,"AT3G03240"
"1802",1802,"AT3G19002"
"1257",1257,"AT2G27390"
"3456",3456,"ATMG01130"
"2218",2218,"AT4G03470"
"3214",3214,"AT5G48740"
"392",392,"AT1G20470"
"1068",1068,"AT2G07777"
"2364",2364,"AT4G15230"
"3096",3096,"AT5G40180"
"31",31,"AT1G02700"
"3118",3118,"AT5G41860"
"867",867,"AT1G73290"
"624",624,"AT1G53340"
"1301",1301,"AT2G31230"
"2978",2978,"AT5G21482"
"1349",1349,"AT2G34350"
"356",356,"AT1G17255"
"3288",3288,"AT5G55350"
"69",69,"AT1G04490"
"2351",2351,"AT4G14540"
"2864",2864,"AT5G11110"
"2255",2255,"AT4G06536"
"2267",2267,"AT4G07400"
"1604",1604,"AT3G04860"
"944",944,"AT1G77992"
"1046",1046,"AT2G05350"
"1061",1061,"AT2G07662"
"259",259,"AT1G11460"
"1036",1036,"AT2G04621"
"2499",2499,"AT4G24450"
"3124",3124,"AT5G42310"
"595",595,"AT1G51340"
"2672",2672,"AT4G39010"
"636",636,"AT1G54780"
"2648",2648,"AT4G36870"
"68",68,"AT1G04487"
"1111",1111,"AT2G09505"
"1003",1003,"AT2G02690"
"933",933,"AT1G77010"
"1135",1135,"AT2G14960"
"1625",1625,"AT3G05770"
"2572",2572,"AT4G29450"
"969",969,"AT1G79420"
"1515",1515,"AT2G47370"
"1643",1643,"AT3G07205"
"1639",1639,"AT3G07040"
"1127",1127,"AT2G14080"
"3014",3014,"AT5G25470"
"2973",2973,"AT5G20940"
"168",168,"AT1G07897"
"2762",2762,"AT5G04000"
"533",533,"AT1G35530"
"679",679,"AT1G60060"
"1508",1508,"AT2G46970"
"228",228,"AT1G09860"
"1295",1295,"AT2G30942"
"1026",1026,"AT2G03855"
"332",332,"AT1G16090"
"2804",2804,"AT5G07105"
"1416",1416,"AT2G39620"
"79",79,"AT1G04767"
"513",513,"AT1G33475"
"1398",1398,"AT2G38070"
"2234",2234,"AT4G04850"
"2984",2984,"AT5G22608"
"1159",1159,"AT2G17780"
"1685",1685,"AT3G09405"
"1605",1605,"AT3G04975"
"1016",1016,"AT2G03420"
"1080",1080,"AT2G08295"
"308",308,"AT1G14470"
"1422",1422,"AT2G40180"
"3093",3093,"AT5G40010"
"1277",1277,"AT2G28880"
"1006",1006,"AT2G02850"
"89",89,"AT1G05087"
"3374",3374,"AT5G64230"
"987",987,"AT2G01422"
"1836",1836,"AT3G21470"
"2844",2844,"AT5G09580"
"2699",2699,"AT5G01280"
"2748",2748,"AT5G03310"
"2071",2071,"AT3G55580"
"2328",2328,"AT4G13320"
"395",395,"AT1G20870"
"1181",1181,"AT2G19610"
"2190",2190,"AT4G01360"
"619",619,"AT1G53100"
"1630",1630,"AT3G06145"
"1536",1536,"AT3G01510"
"1124",1124,"AT2G13965"
"3176",3176,"AT5G45740"
"1461",1461,"AT2G42720"
"148",148,"AT1G07270"
"497",497,"AT1G31790"
"1741",1741,"AT3G13900"
"950",950,"AT1G78470"
"1000",1000,"AT2G02350"
"627",627,"AT1G53625"
"2548",2548,"AT4G27590"
"3017",3017,"AT5G25840"
"2184",2184,"AT4G00975"
"2718",2718,"AT5G02120"
"2244",2244,"AT4G05525"
"2423",2423,"AT4G19090"
"961",961,"AT1G78930"
"3133",3133,"AT5G42760"
"3116",3116,"AT5G41763"
"995",995,"AT2G01905"
"3334",3334,"AT5G59760"
"689",689,"AT1G60980"
"1058",1058,"AT2G07633"
"378",378,"AT1G19190"
"169",169,"AT1G07902"
"2383",2383,"AT4G16250"
"283",283,"AT1G12900"
"769",769,"AT1G66170"
"488",488,"AT1G31040"
"3258",3258,"AT5G52270"
"444",444,"AT1G26255"
"2126",2126,"AT3G59900"
