"","WS_c1.which.mclass....4...1."
"441","AT1G18800"
"442","AT1G18850"
"443","AT1G18890"
"444","AT1G18900"
"445","AT1G18970"
"446","AT1G18975"
"447","AT1G19050"
"448","AT1G19100"
"449","AT1G19120"
"450","AT1G19130"
"451","AT1G19140"
"452","AT1G19170"
"453","AT1G19220"
"454","AT1G19230"
"455","AT1G19270"
"456","AT1G19300"
"457","AT1G19370"
"458","AT1G19380"
"459","AT1G19430"
"460","AT1G19440"
"461","AT1G19530"
"462","AT1G19540"
"463","AT1G19580"
"464","AT1G19680"
"465","AT1G19700"
"466","AT1G19710"
"467","AT1G19850"
"468","AT1G19860"
"469","AT1G19900"
"470","AT1G20070"
"471","AT1G20190"
"472","AT1G20225"
"473","AT1G20270"
"474","AT1G20300"
"475","AT1G20370"
"476","AT1G20380"
"477","AT1G20410"
"478","AT1G20430"
"479","AT1G20540"
"480","AT1G20575"
"481","AT1G20580"
"482","AT1G20610"
"483","AT1G20640"
"484","AT1G20670"
"485","AT1G20770"
"486","AT1G20780"
"487","AT1G20823"
"488","AT1G20910"
"489","AT1G20930"
"490","AT1G21000"
"491","AT1G21050"
"492","AT1G21060"
"493","AT1G21090"
"494","AT1G21100"
"495","AT1G21160"
"496","AT1G21190"
"497","AT1G21370"
"498","AT1G21410"
"499","AT1G21450"
"500","AT1G21480"
"501","AT1G21560"
"502","AT1G21610"
"503","AT1G21650"
"504","AT1G21651"
"505","AT1G21690"
"506","AT1G21700"
"507","AT1G21710"
"508","AT1G21730"
"509","AT1G21740"
"510","AT1G21760"
"511","AT1G21770"
"512","AT1G21780"
"513","AT1G21880"
"514","AT1G21920"
"515","AT1G22020"
"516","AT1G22030"
"517","AT1G22040"
"518","AT1G22065"
"519","AT1G22070"
"520","AT1G22140"
"521","AT1G22170"
"522","AT1G22220"
"523","AT1G22230"
"524","AT1G22270"
"525","AT1G22280"
"526","AT1G22400"
"527","AT1G22520"
"528","AT1G22550"
"529","AT1G22660"
"530","AT1G22730"
"531","AT1G22790"
"532","AT1G22860"
"533","AT1G22870"
"534","AT1G22880"
"535","AT1G22882"
"536","AT1G22910"
"537","AT1G22920"
"538","AT1G22940"
"539","AT1G22950"
"540","AT1G22970"
"541","AT1G23010"
"542","AT1G23020"
"543","AT1G23040"
"544","AT1G23150"
"545","AT1G23160"
"546","AT1G23170"
"547","AT1G23260"
"548","AT1G23280"
"549","AT1G23410"
"550","AT1G23440"
"551","AT1G23480"
"552","AT1G23710"
"553","AT1G23750"
"554","AT1G23760"
"555","AT1G23780"
"556","AT1G23850"
"557","AT1G23860"
"558","AT1G23970"
"559","AT1G24120"
"560","AT1G24150"
"561","AT1G24267"
"562","AT1G24310"
"563","AT1G24350"
"564","AT1G24420"
"565","AT1G24430"
"566","AT1G24490"
"567","AT1G24625"
"568","AT1G25220"
"569","AT1G25230"
"570","AT1G25290"
"571","AT1G25320"
"572","AT1G25380"
"573","AT1G25390"
"574","AT1G25420"
"575","AT1G25510"
"576","AT1G25520"
"577","AT1G25540"
"578","AT1G25580"
"579","AT1G25682"
"580","AT1G26090"
"581","AT1G26120"
"582","AT1G26130"
"583","AT1G26160"
"584","AT1G26170"
"585","AT1G26190"
"586","AT1G26300"
"587","AT1G26370"
"588","AT1G26440"
"589","AT1G26450"
"590","AT1G26470"
"591","AT1G26620"
"592","AT1G26640"
"593","AT1G26650"
"594","AT1G26665"
"595","AT1G26690"
"596","AT1G26740"
"597","AT1G26750"
"598","AT1G26910"
"599","AT1G26920"
"600","AT1G26930"
"601","AT1G26940"
"602","AT1G27070"
"603","AT1G27120"
"604","AT1G27130"
"605","AT1G27140"
"606","AT1G27150"
"607","AT1G27170"
"608","AT1G27200"
"609","AT1G27210"
"610","AT1G27290"
"611","AT1G27300"
"612","AT1G27330"
"613","AT1G27350"
"614","AT1G27370"
"615","AT1G27390"
"616","AT1G27435"
"617","AT1G27440"
"618","AT1G27460"
"619","AT1G27520"
"620","AT1G27600"
"621","AT1G27630"
"622","AT1G27680"
"623","AT1G27690"
"624","AT1G27750"
"625","AT1G27752"
"626","AT1G27840"
"627","AT1G27850"
"628","AT1G27900"
"629","AT1G27910"
"630","AT1G27921"
"631","AT1G27930"
"632","AT1G27960"
"633","AT1G27980"
"634","AT1G28010"
"635","AT1G28050"
"636","AT1G28060"
"637","AT1G28090"
"638","AT1G28100"
"639","AT1G28110"
"640","AT1G28120"
"641","AT1G28200"
"642","AT1G28240"
"643","AT1G28280"
"644","AT1G28410"
"645","AT1G28490"
"646","AT1G28510"
"647","AT1G28520"
"648","AT1G28570"
"649","AT1G28610"
"650","AT1G28685"
"651","AT1G28960"
"652","AT1G29030"
"653","AT1G29040"
"654","AT1G29170"
"655","AT1G29220"
"656","AT1G29260"
"657","AT1G29320"
"658","AT1G29330"
"659","AT1G29520"
"660","AT1G29690"
"661","AT1G29750"
"662","AT1G29760"
"663","AT1G29790"
"664","AT1G29800"
"665","AT1G29820"
"666","AT1G29890"
"667","AT1G29965"
"668","AT1G29970"
"669","AT1G29990"
"670","AT1G30000"
"671","AT1G30070"
"672","AT1G30080"
"673","AT1G30090"
"674","AT1G30110"
"675","AT1G30200"
"676","AT1G30210"
"677","AT1G30240"
"678","AT1G30300"
"679","AT1G30460"
"680","AT1G30480"
"681","AT1G30570"
"682","AT1G30600"
"683","AT1G30620"
"684","AT1G30640"
"685","AT1G30650"
"686","AT1G30700"
"687","AT1G30760"
"688","AT1G30810"
"689","AT1G30840"
"690","AT1G30890"
"691","AT1G30910"
"692","AT1G31070"
"693","AT1G31160"
"694","AT1G31170"
"695","AT1G31280"
"696","AT1G31300"
"697","AT1G31320"
"698","AT1G31340"
"699","AT1G31410"
"700","AT1G31440"
"701","AT1G31470"
"702","AT1G31480"
"703","AT1G31500"
"704","AT1G31550"
"705","AT1G31817"
"706","AT1G31830"
"707","AT1G31860"
"708","AT1G31870"
"709","AT1G31950"
"710","AT1G32090"
"711","AT1G32190"
"712","AT1G32330"
"713","AT1G32340"
"714","AT1G32360"
"715","AT1G32380"
"716","AT1G32410"
"717","AT1G32460"
"718","AT1G32530"
"719","AT1G32580"
"720","AT1G32700"
"721","AT1G32810"
"722","AT1G33060"
"723","AT1G33230"
"724","AT1G33250"
"725","AT1G33265"
