"","X","WS_FLT_c1.which.mclass....4...1."
"922",922,"AT2G03855"
"1794",1794,"AT3G24982"
"2347",2347,"AT4G17565"
"1211",1211,"AT2G25530"
"1740",1740,"AT3G19552"
"2366",2366,"AT4G18390"
"82",82,"AT1G05243"
"2297",2297,"AT4G12480"
"2696",2696,"AT5G06090"
"3107",3107,"AT5G46880"
"1900",1900,"AT3G45160"
"2321",2321,"AT4G14785"
"593",593,"AT1G52100"
"1757",1757,"AT3G21405"
"88",88,"AT1G05327"
"925",925,"AT2G04050"
"2417",2417,"AT4G23680"
"1468",1468,"AT3G02475"
"3080",3080,"AT5G45070"
"2930",2930,"AT5G25920"
"1787",1787,"AT3G24332"
"892",892,"AT2G01770"
"673",673,"AT1G60525"
"2480",2480,"AT4G28620"
"2346",2346,"AT4G17480"
"1104",1104,"AT2G11215"
"2242",2242,"AT4G08795"
"342",342,"AT1G16260"
"167",167,"AT1G07500"
"2565",2565,"AT4G37310"
"43",43,"AT1G04380"
"1025",1025,"AT2G08445"
"359",359,"AT1G18197"
"188",188,"AT1G07987"
"2557",2557,"AT4G36925"
"987",987,"AT2G07652"
"1491",1491,"AT3G03435"
"1746",1746,"AT3G20140"
"1172",1172,"AT2G21510"
"1084",1084,"AT2G09665"
"2399",2399,"AT4G21903"
"1688",1688,"AT3G14250"
"440",440,"AT1G26710"
"1811",1811,"AT3G26237"
"124",124,"AT1G06087"
"2143",2143,"AT4G04225"
"2962",2962,"AT5G36280"
"1354",1354,"AT2G42005"
"1261",1261,"AT2G31590"
"421",421,"AT1G24851"
"2454",2454,"AT4G26466"
"1375",1375,"AT2G43390"
"709",709,"AT1G62915"
"576",576,"AT1G50732"
"289",289,"AT1G10385"
"2517",2517,"AT4G32535"
"2415",2415,"AT4G23560"
"3063",3063,"AT5G44306"
"2632",2632,"AT5G02415"
"2842",2842,"AT5G15970"
"3121",3121,"AT5G48550"
"2323",2323,"AT4G15025"
"2307",2307,"AT4G13450"
"105",105,"AT1G05723"
"2397",2397,"AT4G21490"
"2146",2146,"AT4G04335"
"693",693,"AT1G61720"
"266",266,"AT1G09663"
"3169",3169,"AT5G53600"
"1400",1400,"AT2G45930"
"408",408,"AT1G23965"
"386",386,"AT1G21860"
"897",897,"AT2G02010"
"2150",2150,"AT4G04465"
"1499",1499,"AT3G03635"
"2598",2598,"AT5G00810"
"2204",2204,"AT4G07150"
"2053",2053,"AT3G60700"
"688",688,"AT1G61290"
"1801",1801,"AT3G25573"
"2369",2369,"AT4G18450"
"1725",1725,"AT3G18320"
