"","WS_FLT_c1.which.mclass....4...1."
"500","AT1G33870"
"501","AT1G33890"
"502","AT1G34060"
"503","AT1G34140"
"504","AT1G34490"
"505","AT1G34500"
"506","AT1G34520"
"507","AT1G34540"
"508","AT1G34844"
"509","AT1G35180"
"510","AT1G35250"
"511","AT1G35310"
"512","AT1G35515"
"513","AT1G35560"
"514","AT1G35617"
"515","AT1G35730"
"516","AT1G35830"
"517","AT1G36580"
"518","AT1G42550"
"519","AT1G42970"
"520","AT1G43010"
"521","AT1G43040"
"522","AT1G43140"
"523","AT1G44030"
"524","AT1G44130"
"525","AT1G44318"
"526","AT1G44414"
"527","AT1G44575"
"528","AT1G44740"
"529","AT1G44890"
"530","AT1G45010"
"531","AT1G45163"
"532","AT1G45165"
"533","AT1G45248"
"534","AT1G45545"
"535","AT1G45616"
"536","AT1G46480"
"537","AT1G46984"
"538","AT1G47130"
"539","AT1G47280"
"540","AT1G47350"
"541","AT1G47610"
"542","AT1G47690"
"543","AT1G47700"
"544","AT1G47890"
"545","AT1G47920"
"546","AT1G47990"
"547","AT1G48020"
"548","AT1G48060"
"549","AT1G48180"
"550","AT1G48195"
"551","AT1G48260"
"552","AT1G48267"
"553","AT1G48400"
"554","AT1G48470"
"555","AT1G48700"
"556","AT1G48720"
"557","AT1G49100"
"558","AT1G49130"
"559","AT1G49150"
"560","AT1G49225"
"561","AT1G49250"
"562","AT1G49330"
"563","AT1G49450"
"564","AT1G49530"
"565","AT1G49610"
"566","AT1G49700"
"567","AT1G49750"
"568","AT1G49920"
"569","AT1G49938"
"570","AT1G49990"
"571","AT1G50180"
"572","AT1G50190"
"573","AT1G50390"
"574","AT1G50520"
"575","AT1G50610"
"576","AT1G50732"
"577","AT1G50750"
"578","AT1G50830"
"579","AT1G51000"
"580","AT1G51010"
"581","AT1G51090"
"582","AT1G51110"
"583","AT1G51270"
"584","AT1G51460"
"585","AT1G51538"
"586","AT1G51670"
"587","AT1G51820"
"588","AT1G51870"
"589","AT1G51880"
"590","AT1G51913"
"591","AT1G51920"
"592","AT1G51960"
"593","AT1G52100"
"594","AT1G52120"
"595","AT1G52230"
"596","AT1G52270"
"597","AT1G52347"
"598","AT1G52440"
"599","AT1G52560"
"600","AT1G52570"
"601","AT1G52580"
"602","AT1G52615"
"603","AT1G52618"
"604","AT1G52690"
"605","AT1G52790"
"606","AT1G52800"
"607","AT1G52820"
"608","AT1G52830"
"609","AT1G52855"
"610","AT1G52857"
"611","AT1G52905"
"612","AT1G52920"
"613","AT1G53090"
"614","AT1G53480"
"615","AT1G53540"
"616","AT1G53541"
"617","AT1G53610"
"618","AT1G53620"
"619","AT1G53640"
"620","AT1G53900"
"621","AT1G53935"
"622","AT1G53950"
"623","AT1G53970"
"624","AT1G53980"
"625","AT1G54070"
"626","AT1G54470"
"627","AT1G54590"
"628","AT1G54760"
"629","AT1G54773"
"630","AT1G54820"
"631","AT1G54930"
"632","AT1G55175"
"633","AT1G55207"
"634","AT1G55230"
"635","AT1G55240"
"636","AT1G55525"
"637","AT1G55550"
"638","AT1G55673"
"639","AT1G55700"
"640","AT1G55770"
"641","AT1G55803"
"642","AT1G55940"
"643","AT1G55945"
"644","AT1G56060"
"645","AT1G56150"
"646","AT1G56160"
"647","AT1G56242"
"648","AT1G56250"
"649","AT1G56270"
"650","AT1G56510"
"651","AT1G56555"
"652","AT1G57770"
"653","AT1G57943"
"654","AT1G58150"
"655","AT1G58215"
"656","AT1G58320"
"657","AT1G58400"
"658","AT1G58590"
"659","AT1G58602"
"660","AT1G58684"
"661","AT1G58808"
"662","AT1G58848"
"663","AT1G59171"
"664","AT1G59218"
"665","AT1G59359"
"666","AT1G59730"
"667","AT1G60060"
"668","AT1G60110"
"669","AT1G60270"
"670","AT1G60350"
"671","AT1G60380"
"672","AT1G60505"
"673","AT1G60525"
"674","AT1G60530"
"675","AT1G60720"
"676","AT1G60760"
"677","AT1G60787"
"678","AT1G60830"
"679","AT1G60970"
"680","AT1G60980"
"681","AT1G60986"
"682","AT1G61080"
"683","AT1G61160"
"684","AT1G61180"
"685","AT1G61224"
"686","AT1G61226"
"687","AT1G61255"
"688","AT1G61290"
"689","AT1G61310"
"690","AT1G61480"
"691","AT1G61566"
"692","AT1G61710"
"693","AT1G61720"
"694","AT1G62000"
"695","AT1G62030"
"696","AT1G62035"
"697","AT1G62240"
"698","AT1G62262"
"699","AT1G62333"
"700","AT1G62360"
"701","AT1G62400"
"702","AT1G62421"
"703","AT1G62450"
"704","AT1G62490"
"705","AT1G62580"
"706","AT1G62760"
"707","AT1G62886"
"708","AT1G62900"
"709","AT1G62915"
"710","AT1G62920"
"711","AT1G63070"
"712","AT1G63105"
"713","AT1G63140"
"714","AT1G63320"
"715","AT1G63350"
"716","AT1G63370"
"717","AT1G63522"
"718","AT1G63530"
"719","AT1G63550"
"720","AT1G63860"
"721","AT1G63870"
"722","AT1G63880"
"723","AT1G63910"
"724","AT1G64000"
"725","AT1G64130"
"726","AT1G64150"
"727","AT1G64160"
"728","AT1G64195"
"729","AT1G64210"
"730","AT1G64235"
"731","AT1G64253"
"732","AT1G64405"
"733","AT1G64500"
"734","AT1G64561"
"735","AT1G64584"
"736","AT1G64680"
"737","AT1G64710"
"738","AT1G64795"
"739","AT1G65060"
"740","AT1G65150"
"741","AT1G65190"
"742","AT1G65240"
"743","AT1G65346"
"744","AT1G65480"
"745","AT1G65483"
"746","AT1G65486"
"747","AT1G65490"
"748","AT1G65800"
"749","AT1G65860"
"750","AT1G66000"
"751","AT1G66030"
"752","AT1G66060"
"753","AT1G66090"
"754","AT1G66235"
"755","AT1G66360"
"756","AT1G66460"
"757","AT1G66540"
"758","AT1G66700"
"759","AT1G66720"
"760","AT1G66725"
"761","AT1G66840"
"762","AT1G66870"
"763","AT1G66920"
"764","AT1G66940"
"765","AT1G66970"
"766","AT1G67020"
"767","AT1G67025"
"768","AT1G67100"
"769","AT1G67195"
"770","AT1G67265"
"771","AT1G67270"
"772","AT1G67365"
"773","AT1G67481"
"774","AT1G67540"
"775","AT1G67623"
"776","AT1G67635"
"777","AT1G67670"
"778","AT1G67760"
"779","AT1G67856"
"780","AT1G68010"
"781","AT1G68170"
"782","AT1G68190"
"783","AT1G68240"
"784","AT1G68530"
"785","AT1G68568"
"786","AT1G68600"
"787","AT1G68700"
"788","AT1G68750"
"789","AT1G68800"
"790","AT1G68877"
