"","col_GC_c1.which.mclass....9...1."
"698","AT1G56320"
"699","AT1G56345"
"700","AT1G56420"
"701","AT1G56440"
"702","AT1G56610"
"703","AT1G56612"
"704","AT1G57600"
"705","AT1G57870"
"706","AT1G58210"
"707","AT1G58220"
"708","AT1G58250"
"709","AT1G58360"
"710","AT1G58400"
"711","AT1G58410"
"712","AT1G58470"
"713","AT1G58643"
"714","AT1G59312"
"715","AT1G59540"
"716","AT1G59640"
"717","AT1G59740"
"718","AT1G59780"
"719","AT1G59820"
"720","AT1G59910"
"721","AT1G59970"
"722","AT1G59980"
"723","AT1G59990"
"724","AT1G60220"
"725","AT1G60230"
"726","AT1G60390"
"727","AT1G60430"
"728","AT1G60525"
"729","AT1G60545"
"730","AT1G60550"
"731","AT1G60560"
"732","AT1G60620"
"733","AT1G60670"
"734","AT1G60700"
"735","AT1G60750"
"736","AT1G60787"
"737","AT1G60990"
"738","AT1G61000"
"739","AT1G61030"
"740","AT1G61065"
"741","AT1G61140"
"742","AT1G61180"
"743","AT1G61210"
"744","AT1G61260"
"745","AT1G61280"
"746","AT1G61350"
"747","AT1G61360"
"748","AT1G61450"
"749","AT1G61640"
"750","AT1G61760"
"751","AT1G61850"
"752","AT1G61980"
"753","AT1G62010"
"754","AT1G62050"
"755","AT1G62085"
"756","AT1G62110"
"757","AT1G62120"
"758","AT1G62150"
"759","AT1G62170"
"760","AT1G62305"
"761","AT1G62310"
"762","AT1G62440"
"763","AT1G62520"
"764","AT1G62610"
"765","AT1G62750"
"766","AT1G62830"
"767","AT1G62960"
"768","AT1G63010"
"769","AT1G63160"
"770","AT1G63295"
"771","AT1G63440"
"772","AT1G63480"
"773","AT1G63490"
"774","AT1G63610"
"775","AT1G64050"
"776","AT1G64080"
"777","AT1G64105"
"778","AT1G64110"
"779","AT1G64185"
"780","AT1G64220"
"781","AT1G64570"
"782","AT1G64580"
"783","AT1G64600"
"784","AT1G64630"
"785","AT1G64690"
"786","AT1G64700"
"787","AT1G64760"
"788","AT1G64840"
"789","AT1G64890"
"790","AT1G64900"
"791","AT1G64910"
"792","AT1G64960"
"793","AT1G64970"
"794","AT1G65070"
"795","AT1G65380"
"796","AT1G65420"
"797","AT1G65500"
"798","AT1G65560"
"799","AT1G65570"
"800","AT1G65710"
"801","AT1G65730"
"802","AT1G65950"
"803","AT1G66050"
"804","AT1G66190"
"805","AT1G66230"
"806","AT1G66330"
"807","AT1G66340"
"808","AT1G66470"
"809","AT1G66500"
"810","AT1G66510"
"811","AT1G66660"
"812","AT1G66690"
"813","AT1G66820"
"814","AT1G66830"
"815","AT1G66880"
"816","AT1G66900"
"817","AT1G67150"
"818","AT1G67170"
"819","AT1G67190"
"820","AT1G67210"
"821","AT1G67365"
"822","AT1G67420"
"823","AT1G67490"
"824","AT1G67500"
"825","AT1G67510"
"826","AT1G67530"
"827","AT1G67550"
"828","AT1G67560"
"829","AT1G67570"
"830","AT1G67600"
"831","AT1G67660"
"832","AT1G67690"
"833","AT1G67700"
"834","AT1G67720"
"835","AT1G67792"
"836","AT1G67800"
"837","AT1G67820"
"838","AT1G67840"
"839","AT1G67880"
"840","AT1G67890"
"841","AT1G67900"
"842","AT1G67960"
"843","AT1G68020"
"844","AT1G68080"
"845","AT1G68160"
"846","AT1G68185"
"847","AT1G68330"
"848","AT1G68400"
"849","AT1G68430"
"850","AT1G68640"
"851","AT1G68730"
"852","AT1G68872"
"853","AT1G68910"
"854","AT1G68980"
"855","AT1G69060"
"856","AT1G69080"
"857","AT1G69170"
"858","AT1G69210"
"859","AT1G69260"
"860","AT1G69325"
"861","AT1G69380"
"862","AT1G69400"
"863","AT1G69520"
"864","AT1G69570"
"865","AT1G69572"
"866","AT1G69588"
"867","AT1G69800"
"868","AT1G69930"
"869","AT1G69970"
"870","AT1G70000"
"871","AT1G70080"
"872","AT1G70200"
"873","AT1G70230"
"874","AT1G70500"
"875","AT1G70560"
"876","AT1G70740"
"877","AT1G70750"
"878","AT1G70895"
"879","AT1G71110"
"880","AT1G71180"
"881","AT1G71210"
"882","AT1G71310"
"883","AT1G71380"
"884","AT1G71500"
"885","AT1G71528"
"886","AT1G71530"
"887","AT1G71750"
"888","AT1G71850"
"889","AT1G71960"
"890","AT1G71970"
"891","AT1G71990"
"892","AT1G72010"
"893","AT1G72060"
"894","AT1G72130"
"895","AT1G72190"
"896","AT1G72250"
"897","AT1G72300"
"898","AT1G72330"
"899","AT1G72360"
"900","AT1G72390"
"901","AT1G72416"
"902","AT1G72470"
"903","AT1G72560"
"904","AT1G72670"
"905","AT1G72800"
"906","AT1G72810"
"907","AT1G72900"
"908","AT1G72990"
"909","AT1G73020"
"910","AT1G73080"
"911","AT1G73150"
"912","AT1G73160"
"913","AT1G73170"
"914","AT1G73200"
"915","AT1G73240"
"916","AT1G73320"
"917","AT1G73340"
"918","AT1G73370"
"919","AT1G73450"
"920","AT1G73470"
"921","AT1G73500"
"922","AT1G73530"
"923","AT1G73655"
"924","AT1G73670"
"925","AT1G73690"
"926","AT1G73730"
"927","AT1G73740"
"928","AT1G73760"
"929","AT1G73770"
"930","AT1G73850"
"931","AT1G73875"
"932","AT1G73880"
"933","AT1G73950"
"934","AT1G73960"
"935","AT1G73965"
"936","AT1G73970"
"937","AT1G73990"
"938","AT1G74040"
"939","AT1G74088"
"940","AT1G74120"
"941","AT1G74240"
"942","AT1G74330"
"943","AT1G74410"
"944","AT1G74440"
"945","AT1G74460"
"946","AT1G74680"
"947","AT1G74700"
"948","AT1G74740"
"949","AT1G74750"
"950","AT1G74770"
"951","AT1G74780"
"952","AT1G74800"
"953","AT1G75010"
"954","AT1G75090"
"955","AT1G75150"
"956","AT1G75310"
"957","AT1G75370"
"958","AT1G75390"
"959","AT1G75590"
"960","AT1G75640"
"961","AT1G75730"
"962","AT1G75820"
"963","AT1G76020"
"964","AT1G76040"
"965","AT1G76050"
"966","AT1G76065"
"967","AT1G76170"
"968","AT1G76250"
"969","AT1G76270"
"970","AT1G76280"
"971","AT1G76320"
"972","AT1G76390"
"973","AT1G76450"
"974","AT1G76630"
"975","AT1G76700"
"976","AT1G76720"
"977","AT1G76780"
"978","AT1G76970"
"979","AT1G76980"
"980","AT1G77000"
"981","AT1G77060"
"982","AT1G77230"
"983","AT1G77240"
"984","AT1G77260"
"985","AT1G77290"
"986","AT1G77310"
"987","AT1G77320"
"988","AT1G77460"
"989","AT1G77480"
"990","AT1G77500"
"991","AT1G77530"
"992","AT1G77600"
"993","AT1G77620"
"994","AT1G77680"
"995","AT1G77700"
"996","AT1G77740"
"997","AT1G77760"
"998","AT1G77810"
"999","AT1G77890"
"1000","AT1G78010"
"1001","AT1G78020"
"1002","AT1G78050"
"1003","AT1G78060"
"1004","AT1G78090"
"1005","AT1G78120"
"1006","AT1G78130"
"1007","AT1G78140"
"1008","AT1G78190"
"1009","AT1G78200"
"1010","AT1G78210"
"1011","AT1G78265"
"1012","AT1G78270"
"1013","AT1G78280"
"1014","AT1G78310"
"1015","AT1G78430"
"1016","AT1G78510"
"1017","AT1G78580"
"1018","AT1G78600"
"1019","AT1G78610"
"1020","AT1G78650"
"1021","AT1G78690"
"1022","AT1G78790"
"1023","AT1G78810"
"1024","AT1G78830"
"1025","AT1G78910"
"1026","AT1G78922"
"1027","AT1G79020"
"1028","AT1G79080"
"1029","AT1G79110"
"1030","AT1G79190"
"1031","AT1G79220"
"1032","AT1G79350"
"1033","AT1G79450"
"1034","AT1G79460"
"1035","AT1G79470"
"1036","AT1G79490"
"1037","AT1G79520"
"1038","AT1G79540"
"1039","AT1G79560"
"1040","AT1G79570"
"1041","AT1G79580"
"1042","AT1G79600"
"1043","AT1G79610"
"1044","AT1G79620"
"1045","AT1G79630"
"1046","AT1G79670"
"1047","AT1G79720"
"1048","AT1G79760"
"1049","AT1G79950"
"1050","AT1G80010"
"1051","AT1G80030"
"1052","AT1G80100"
"1053","AT1G80120"
"1054","AT1G80150"
"1055","AT1G80170"
"1056","AT1G80190"
"1057","AT1G80210"
"1058","AT1G80400"
"1059","AT1G80480"
"1060","AT1G80510"
"1061","AT1G80520"
"1062","AT1G80550"
"1063","AT1G80570"
"1064","AT1G80630"
"1065","AT1G80640"
"1066","AT1G80650"
"1067","AT1G80710"
"1068","AT1G80760"
"1069","AT1G80770"
"1070","AT1G80810"
"1071","AT1G80850"
"1072","AT1G80980"
"1073","AT2G01130"
"1074","AT2G01180"
"1075","AT2G01200"
"1076","AT2G01340"
"1077","AT2G01400"
"1078","AT2G01430"
"1079","AT2G01460"
"1080","AT2G01520"
"1081","AT2G01750"
"1082","AT2G01913"
"1083","AT2G01940"
"1084","AT2G01980"
"1085","AT2G02070"
"1086","AT2G02148"
"1087","AT2G02170"
"1088","AT2G02220"
"1089","AT2G02230"
"1090","AT2G02360"
"1091","AT2G02400"
"1092","AT2G02590"
"1093","AT2G02610"
"1094","AT2G02630"
"1095","AT2G02680"
"1096","AT2G02810"
"1097","AT2G02860"
"1098","AT2G02880"
"1099","AT2G02910"
"1100","AT2G03050"
"1101","AT2G03060"
"1102","AT2G03140"
"1103","AT2G03270"
"1104","AT2G03280"
"1105","AT2G03330"
"1106","AT2G03340"
"1107","AT2G03450"
"1108","AT2G03480"
"1109","AT2G03620"
"1110","AT2G03667"
"1111","AT2G03670"
"1112","AT2G03800"
"1113","AT2G03810"
"1114","AT2G03975"
"1115","AT2G04100"
"1116","AT2G04235"
"1117","AT2G04270"
"1118","AT2G04350"
"1119","AT2G04430"
"1120","AT2G04480"
"1121","AT2G04540"
"1122","AT2G04660"
"1123","AT2G04740"
"1124","AT2G04852"
"1125","AT2G04890"
"1126","AT2G05120"
"1127","AT2G05180"
"1128","AT2G05320"
"1129","AT2G05632"
"1130","AT2G05812"
"1131","AT2G05940"
"1132","AT2G06000"
"1133","AT2G06005"
"1134","AT2G06040"
"1135","AT2G06520"
"1136","AT2G07515"
"1137","AT2G07627"
"1138","AT2G07641"
"1139","AT2G07678"
"1140","AT2G07680"
"1141","AT2G07687"
"1142","AT2G07695"
"1143","AT2G07707"
"1144","AT2G07715"
"1145","AT2G07773"
"1146","AT2G08635"
"1147","AT2G10931"
"1148","AT2G11000"
"1149","AT2G12462"
"1150","AT2G12550"
"1151","AT2G13290"
"1152","AT2G13440"
"1153","AT2G13665"
"1154","AT2G13690"
"1155","AT2G13790"
