"","X","WS_c1.which.mclass....8...1."
"3098",3098,"AT5G48810"
"2948",2948,"AT5G35735"
"1798",1798,"AT3G45770"
"898",898,"AT2G16640"
"677",677,"AT1G70230"
"2495",2495,"AT4G36730"
"2360",2360,"AT4G28880"
"1111",1111,"AT2G32850"
"2255",2255,"AT4G21105"
"344",344,"AT1G26830"
"168",168,"AT1G13080"
"2581",2581,"AT5G03420"
"44",44,"AT1G04780"
"1031",1031,"AT2G26650"
"361",361,"AT1G27770"
"189",189,"AT1G14650"
"2573",2573,"AT5G02310"
"993",993,"AT2G23460"
"1500",1500,"AT3G11450"
"1757",1757,"AT3G28940"
"1179",1179,"AT2G37360"
"1090",1090,"AT2G31060"
"2413",2413,"AT4G32210"
"1698",1698,"AT3G24660"
"443",443,"AT1G36370"
"1822",1822,"AT3G48110"
"125",125,"AT1G09840"
"2156",2156,"AT4G13170"
"2980",2980,"AT5G40200"
"1362",1362,"AT3G01690"
"1268",1268,"AT2G43070"
"424",424,"AT1G33240"
"2469",2469,"AT4G34700"
"1383",1383,"AT3G02630"
"713",713,"AT1G73180"
"580",580,"AT1G59990"
"291",291,"AT1G21380"
"2533",2533,"AT4G39050"
"2430",2430,"AT4G32730"
"3081",3081,"AT5G47780"
"2648",2648,"AT5G08290"
"2859",2859,"AT5G21482"
"3139",3139,"AT5G52790"
"2337",2337,"AT4G27320"
"2321",2321,"AT4G26480"
"105",105,"AT1G08680"
"2412",2412,"AT4G32180"
"2159",2159,"AT4G13350"
"697",697,"AT1G72040"
"268",268,"AT1G19520"
"2190",2190,"AT4G15393"
"1408",1408,"AT3G04720"
"410",410,"AT1G31780"
"389",389,"AT1G30410"
"902",902,"AT2G16890"
"2163",2163,"AT4G13850"
"3343",3343,"AT5G66030"
"3278",3278,"AT5G61840"
"2217",2217,"AT4G18020"
"2065",2065,"AT4G02400"
"692",692,"AT1G71710"
"3356",3356,"AT5G66950"
"2384",2384,"AT4G30310"
"1735",1735,"AT3G27150"
"1027",1027,"AT2G26280"
"1649",1649,"AT3G20410"
"1951",1951,"AT3G57870"
"901",901,"AT2G16860"
"3007",3007,"AT5G42480"
"287",287,"AT1G20920"
"310",310,"AT1G23230"
"1663",1663,"AT3G22170"
"2594",2594,"AT5G04280"
"1016",1016,"AT2G25610"
"2515",2515,"AT4G38100"
"3351",3351,"AT5G66420"
"1366",1366,"AT3G01810"
"372",372,"AT1G28580"
"402",402,"AT1G30900"
"2209",2209,"AT4G17280"
"2103",2103,"AT4G08350"
"1510",1510,"AT3G12280"
"1180",1180,"AT2G37362"
"2398",2398,"AT4G31170"
"2907",2907,"AT5G25510"
"177",177,"AT1G13360"
"674",674,"AT1G69850"
"1205",1205,"AT2G39260"
"1979",1979,"AT3G60030"
"1290",1290,"AT2G44620"
"1595",1595,"AT3G16940"
"2408",2408,"AT4G31920"
"453",453,"AT1G44100"
"2905",2905,"AT5G25270"
"2415",2415,"AT4G32330"
