"","WS_c1.which.mclass....6...1."
"907","AT5G16710"
"908","AT5G16715"
"909","AT5G17170"
"910","AT5G17230"
"911","AT5G17310"
"912","AT5G17710"
"913","AT5G18660"
"914","AT5G18670"
"915","AT5G19140"
"916","AT5G19220"
"917","AT5G19510"
"918","AT5G19760"
"919","AT5G19770"
"920","AT5G19780"
"921","AT5G19820"
"922","AT5G19855"
"923","AT5G19940"
"924","AT5G20010"
"925","AT5G20020"
"926","AT5G20190"
"927","AT5G20250"
"928","AT5G20280"
"929","AT5G20630"
"930","AT5G20700"
"931","AT5G20890"
"932","AT5G21020"
"933","AT5G21105"
"934","AT5G22060"
"935","AT5G22640"
"936","AT5G22800"
"937","AT5G23020"
"938","AT5G23040"
"939","AT5G23120"
"940","AT5G23740"
"941","AT5G24150"
"942","AT5G24300"
"943","AT5G24490"
"944","AT5G24690"
"945","AT5G24810"
"946","AT5G24930"
"947","AT5G25350"
"948","AT5G25460"
"949","AT5G25610"
"950","AT5G25630"
"951","AT5G25757"
"952","AT5G26360"
"953","AT5G27640"
"954","AT5G27850"
"955","AT5G28060"
"956","AT5G28500"
"957","AT5G28540"
"958","AT5G28840"
"959","AT5G33320"
"960","AT5G34850"
"961","AT5G35170"
"962","AT5G35210"
"963","AT5G35360"
"964","AT5G35530"
"965","AT5G35735"
"966","AT5G35970"
"967","AT5G36230"
"968","AT5G36700"
"969","AT5G37130"
"970","AT5G37510"
"971","AT5G37600"
"972","AT5G38480"
"973","AT5G38520"
"974","AT5G38660"
"975","AT5G39570"
"976","AT5G39740"
"977","AT5G40450"
"978","AT5G40950"
"979","AT5G41520"
"980","AT5G41700"
"981","AT5G41790"
"982","AT5G42020"
"983","AT5G42050"
"984","AT5G42080"
"985","AT5G42100"
"986","AT5G42390"
"987","AT5G42530"
"988","AT5G42650"
"989","AT5G42760"
"990","AT5G43830"
"991","AT5G43850"
"992","AT5G43940"
"993","AT5G44020"
"994","AT5G44130"
"995","AT5G44190"
"996","AT5G44340"
"997","AT5G45390"
"998","AT5G45430"
"999","AT5G45775"
"1000","AT5G46290"
"1001","AT5G46420"
"1002","AT5G46580"
"1003","AT5G46800"
"1004","AT5G47030"
"1005","AT5G47040"
"1006","AT5G47110"
"1007","AT5G47190"
"1008","AT5G47560"
"1009","AT5G47690"
"1010","AT5G47700"
"1011","AT5G47840"
"1012","AT5G48180"
"1013","AT5G48300"
"1014","AT5G48570"
"1015","AT5G48930"
"1016","AT5G49030"
"1017","AT5G49360"
"1018","AT5G49440"
"1019","AT5G49480"
"1020","AT5G49720"
"1021","AT5G49730"
"1022","AT5G50850"
"1023","AT5G51070"
"1024","AT5G51110"
"1025","AT5G51180"
"1026","AT5G51190"
"1027","AT5G51200"
"1028","AT5G51970"
"1029","AT5G52470"
"1030","AT5G52570"
"1031","AT5G52640"
"1032","AT5G52650"
"1033","AT5G52920"
"1034","AT5G53140"
"1035","AT5G53170"
"1036","AT5G53300"
"1037","AT5G53460"
"1038","AT5G53970"
"1039","AT5G54160"
"1040","AT5G54390"
"1041","AT5G54810"
"1042","AT5G54940"
"1043","AT5G55190"
"1044","AT5G55220"
"1045","AT5G56030"
"1046","AT5G57290"
"1047","AT5G57345"
"1048","AT5G57560"
"1049","AT5G57870"
"1050","AT5G57930"
"1051","AT5G57990"
"1052","AT5G58140"
"1053","AT5G58250"
"1054","AT5G58330"
"1055","AT5G58420"
"1056","AT5G58430"
"1057","AT5G58770"
"1058","AT5G58870"
"1059","AT5G58950"
"1060","AT5G59550"
"1061","AT5G59730"
"1062","AT5G59732"
"1063","AT5G59820"
"1064","AT5G59850"
"1065","AT5G59880"
"1066","AT5G59910"
"1067","AT5G60360"
"1068","AT5G60790"
"1069","AT5G61170"
"1070","AT5G61600"
"1071","AT5G61790"
"1072","AT5G61820"
"1073","AT5G62000"
"1074","AT5G62190"
"1075","AT5G62350"
"1076","AT5G62390"
"1077","AT5G62670"
"1078","AT5G62690"
"1079","AT5G62700"
"1080","AT5G62720"
"1081","AT5G62790"
"1082","AT5G62890"
"1083","AT5G63310"
"1084","AT5G63570"
"1085","AT5G64260"
"1086","AT5G64290"
"1087","AT5G64400"
"1088","AT5G64570"
"1089","AT5G64740"
"1090","AT5G64940"
"1091","AT5G65010"
"1092","AT5G65220"
"1093","AT5G65380"
"1094","AT5G65620"
"1095","AT5G65630"
"1096","AT5G65670"
"1097","AT5G66040"
"1098","AT5G67030"
"1099","AT5G67300"
"1100","AT5G67360"
"1101","AT5G67370"
"1102","ATCG00480"
"1103","ATCG00490"
"1104","ATCG01210"
